frame_id,point_id,x,y,z,doppler,snr,noise
1,1,0.7938,1.464,-0.635,0,295,657,560
1,2,1.9497,1.2559,-0.3482,0,224,767,560
1,3,-1.4038,7.7502,0.234,0,191,830,560
1,4,-5.1472,5.6652,-1.8717,0,191,830,560
1,5,-3.0415,7.9722,0.2535,0,155,849,560
1,6,-4.4509,7.5715,0.7854,0,181,811,560
1,7,-3.8214,7.5709,3.5484,0,169,751,560
2,1,0.7938,1.464,-0.635,0,289,663,561
2,2,2.089,0.9806,-0.4178,0,228,771,561
2,3,-1.4038,7.7502,0.234,0,191,829,561
2,4,-5.1472,5.6652,-1.8717,0,191,829,561
2,5,-3.0415,7.9722,0.2535,0,154,850,561
2,6,-4.4509,7.5715,0.7854,0,178,813,561
2,7,-3.8214,7.5709,3.5484,0,167,753,561
3,1,0.7938,1.464,-0.635,0,291,661,561
3,2,2.089,1.0074,-0.3482,0,243,773,561
3,3,-1.4038,7.7502,0.234,0,189,831,561
3,4,-5.1472,5.6652,-1.8717,0,189,831,561
3,5,-3.0415,7.9722,0.2535,0,156,849,561
3,6,-4.4509,7.5715,0.7854,0,179,812,561
3,7,-3.8214,7.5709,3.5484,0,171,748,561
4,1,0.7938,1.464,-0.635,0,292,661,561
4,2,2.0193,1.1741,-0.2089,0,245,769,561
4,3,-1.4038,7.7502,0.234,0,191,830,561
4,4,-5.1472,5.6652,-1.8717,0,191,830,561
4,5,-3.0415,7.9722,0.2535,0,158,847,561
4,6,-4.4509,7.5715,0.7854,0,180,810,561
4,7,-3.8214,7.5709,3.5484,0,171,749,561
5,1,0.7938,1.464,-0.635,0,291,662,562
5,2,2.0193,1.1741,-0.2089,0,240,771,562
5,3,-1.4038,7.7502,0.234,0,191,829,562
5,4,-5.1472,5.6652,-1.8717,0,191,829,562
5,5,-3.0415,7.9722,0.2535,0,159,847,562
5,6,-4.4509,7.5715,0.7854,0,177,812,562
5,7,-4.0944,7.4268,3.5484,0,169,750,562
5,8,-3.8214,7.5709,3.5484,0,169,750,562
6,1,0.7938,1.464,-0.635,0,300,654,572
6,2,0.6016,2.1695,0,0,288,727,572
6,3,1.6712,1.3173,0.7353,0,288,727,572
6,4,-1.4038,7.7502,0.234,0,191,828,572
6,5,-5.1472,5.6652,-1.8717,0,191,828,572
6,6,-3.0415,7.9722,0.2535,0,159,845,572
6,7,-4.4509,7.5715,0.7854,0,178,812,572
6,8,-3.8214,7.5709,3.5484,0,168,750,572
7,1,0.7938,1.464,-0.635,0,293,659,605
7,2,2.089,1.0289,-0.2785,0,260,763,605
7,3,0.4178,2.3066,0.0696,0,260,763,605
7,4,-1.4038,7.7502,0.234,0,190,828,605
7,5,-5.1472,5.6652,-1.8717,0,190,828,605
7,6,-3.0415,7.9762,0,0,159,846,605
7,7,-4.4509,7.5715,0.7854,0,178,811,605
