frame_id,point_id,x,y,z,doppler,snr,noise
2,1,0.1151,0.2399,-0.2646,0,264,692,562
2,2,0.3883,1.4789,2.0192,0,284,660,562
2,3,0,1.969,2.14,0,229,657,562
2,4,0.5034,1.7714,2.7182,0,206,795,562
2,5,2.6261,6.7467,-2.8649,0,158,900,562
2,6,3.3826,6.6019,-2.6578,0,163,895,562
2,7,-2.0537,8.7704,-3.2273,0,175,826,562
3,1,0.1151,0.2399,-0.2646,0,243,711,578
3,2,0.3883,1.4789,2.0192,0,259,683,578
3,3,0,1.969,2.14,0,185,700,578
3,4,0.5034,1.7714,2.7182,0,191,810,578
3,5,2.6261,6.7467,-2.8649,0,158,900,578
3,6,-2.0537,8.7704,-3.2273,0,177,824,578
4,1,0.1151,0.2399,-0.2646,0,231,725,610
4,2,0.3883,1.4789,2.0192,0,275,668,610
4,3,0,1.969,2.14,0,3024,3177,610
4,4,0.4027,1.6345,2.8188,0,3122,2958,610
4,5,2.6261,6.7467,-2.8649,0,2971,3143,610
4,6,-2.0537,8.7704,-3.2273,0,3264,3093,610
5,1,0.1151,0.252,-0.2531,0,235,720,643
5,2,0.3106,1.3862,2.0969,0,262,680,643
5,3,1.3979,1.1271,-1.7862,0,49410,10240,643
5,4,0.5034,1.7714,2.7182,0,40195,34048,643
5,5,2.6261,6.7467,-2.8649,0,44803,15104,643
5,6,-2.0537,8.7704,-3.2273,0,515,0,643
6,1,0.1151,0.2399,-0.2646,0,236,719,678
6,2,0.233,1.2775,2.1745,0,268,672,678
6,3,1.3979,1.2416,-1.7086,0,268,672,678
6,4,0.5034,1.7714,2.7182,0,193,807,678
6,5,2.6261,6.7467,-2.8649,0,157,901,678
6,6,-2.0537,8.7704,-3.2273,0,177,824,678
8,1,0.1151,0.252,-0.2531,0,251,705,744
8,2,0.233,1.2775,2.1745,0,241,703,744
8,3,1.3979,1.1271,-1.7862,0,241,703,744
8,4,-0.7766,1.0268,2.5024,0,221,666,744
8,5,-2.1573,0.5362,1.7258,0,221,666,744
8,6,0.5034,1.7714,2.7182,0,202,798,744
8,7,2.6261,6.7467,-2.8649,0,157,901,744
8,8,-2.3471,8.7998,-2.9339,0,176,825,744
9,1,0.1266,0.234,-0.2646,0,251,705,781
9,2,0.233,1.2775,2.1745,0,273,669,781
9,3,1.3979,1.1271,-1.7862,0,273,669,781
9,4,-0.7766,1.0268,2.5024,0,240,647,781
9,5,-2.071,1.1037,1.5532,0,240,647,781
9,6,-2.1573,0.5362,1.7258,0,240,647,781
9,7,0.5034,1.7714,2.7182,0,196,804,781
9,8,2.6261,6.7467,-2.8649,0,158,900,781
9,9,-2.3471,8.7998,-2.9339,0,178,823,781
12,1,0.1151,0.2399,-0.2646,0,238,717,876
12,2,0.233,1.2775,2.1745,0,281,662,876
12,3,1.3203,1.3239,-1.7086,0,281,662,876
12,4,-0.7766,1.0268,2.5024,0,246,642,876
12,5,-2.071,0.9709,1.6395,0,246,642,876
12,6,0.5034,1.7714,2.7182,0,195,806,876
12,7,2.6261,6.7467,-2.8649,0,158,901,876
12,8,-2.0537,8.7704,-3.2273,0,176,825,876
10,1,0.1151,0.2399,-0.2646,0,246,709,909
10,2,0.233,1.2775,2.1745,0,274,668,909
10,3,1.3979,1.2416,-1.7086,0,274,668,909
10,4,-0.7766,1.0268,2.5024,0,244,644,909
10,5,0.5034,1.7714,2.7182,0,194,808,909
10,6,2.6261,6.7467,-2.8649,0,157,901,909
10,7,-2.0537,8.7704,-3.2273,0,177,824,909
14,1,0.1151,0.2399,-0.2646,0,217,737,943
14,2,0.233,1.2775,2.1745,0,266,676,943
14,3,1.3979,1.2416,-1.7086,0,266,676,943
14,4,-0.7766,1.0268,2.5024,0,226,662,943
14,5,-2.1573,0.5362,1.7258,0,226,662,943
14,6,0.5034,1.7714,2.7182,0,194,808,943
14,7,2.6261,6.7467,-2.8649,0,158,901,943
14,8,-2.0537,8.7704,-3.2273,0,177,824,943
15,1,0.1151,0.2399,-0.2646,0,254,701,977
15,2,0.233,1.2775,2.1745,0,272,670,977
15,3,1.3203,1.3239,-1.7086,0,272,670,977
