frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,-0.5177,1.2825,0.2589,0,174,848,27
1,2,-1.3231,1.2677,-0.4027,0,173,920,27
1,3,5.1919,6.7079,-2.7326,0,281,791,27
2,1,-0.4832,1.2212,0,0,150,889,60
2,2,-1.2081,1.3597,-0.4602,0,179,959,60
2,3,0.2416,1.6693,2.0135,0,155,893,60
2,4,5.1919,6.7079,-2.7326,0,273,789,60
3,1,-0.443,1.2357,-0.0403,0,166,872,93
3,2,-1.2081,1.3597,-0.4602,0,191,947,93
3,3,0.2416,1.6693,2.0135,0,153,894,93
3,4,5.1919,6.7079,-2.7326,0,266,794,93
4,1,-0.443,1.2357,-0.0403,0,161,876,127
4,2,-1.2081,1.3597,-0.4602,0,189,949,127
4,3,0.2416,1.6693,2.0135,0,154,893,127
4,4,4.9186,6.9108,-2.7326,0,270,792,127
5,1,-0.443,1.2357,-0.0403,0,158,881,160
5,2,-1.2081,1.3597,-0.4602,0,183,955,160
5,3,0.2416,1.6693,2.0135,0,154,893,160
5,4,5.1919,6.7079,-2.7326,0,271,791,160
5,5,4.8898,7.9588,0.8629,0,150,810,160
5,6,8.9168,1.7872,2.3011,0,150,810,160
5,7,0.8629,9.1214,-2.0135,0,150,810,160
6,1,-0.4832,1.2212,0,0,169,870,193
6,2,-1.2081,1.3597,-0.4602,0,191,947,193
6,3,0.2416,1.6693,2.0135,0,155,892,193
6,4,4.9186,6.9108,-2.7326,0,266,793,193
7,1,-0.443,1.2357,-0.0403,0,180,860,227
7,2,-1.2081,1.3597,-0.4602,0,194,944,227
7,3,0.2416,1.6693,2.0135,0,155,892,227
7,4,5.1919,6.7079,-2.7326,0,270,793,227
7,5,4.9186,7.0126,-2.4593,0,270,793,227
8,1,-1.2081,1.3597,-0.4602,0,173,964,260
8,2,0.2416,1.6693,2.0135,0,156,891,260
8,3,4.9186,6.9108,-2.7326,0,273,789,260
9,1,-0.443,1.2357,-0.0403,0,188,854,293
9,2,-1.2081,1.3597,-0.4602,0,194,943,293
9,3,0.2416,1.6693,2.0135,0,159,888,293
9,4,4.9186,6.9108,-2.7326,0,275,786,293
10,1,-0.443,1.2363,0,0,168,876,326
10,2,-1.2081,1.3597,-0.4602,0,191,945,326
10,3,0.2416,1.5671,2.094,0,153,893,326
