frame_id,point_id,x,y,z,doppler,snr,noise
1,1,0.1035,0.2678,-0.2416,0,247,681,1118
1,2,1.5015,0.7707,0.0518,0,195,718,1118
1,3,-0.9808,2.6848,-0.535,0,237,720,1118
1,4,-0.7594,2.847,-0.9492,0,272,727,1118
1,5,-0.7248,2.6473,-1.9674,0,186,820,1118
1,6,2.6261,6.8431,-2.6261,0,178,872,1118
2,1,1.4497,0.8595,0.1035,0,183,721,1119
2,2,-0.8543,2.82,-0.9492,0,270,730,1119
2,3,-0.7248,2.6473,-1.9674,0,187,819,1119
2,4,-0.2761,4.2769,-1.3807,0,157,851,1119
2,5,2.8649,6.6488,-2.8649,0,177,873,1119
3,1,0.1035,0.2569,-0.2531,0,255,674,1119
3,2,1.5015,0.7707,0.0518,0,185,722,1119
3,3,-0.8543,2.8502,-0.8543,0,267,731,1119
3,4,-0.7248,2.6473,-1.9674,0,186,819,1119
3,5,2.6261,6.8431,-2.6261,0,175,875,1119
4,1,1.5015,0.7707,0.0518,0,197,713,1119
4,2,-0.8543,2.8502,-0.8543,0,264,734,1119
4,3,-0.7248,2.6473,-1.9674,0,183,823,1119
4,4,2.6261,6.8431,-2.6261,0,175,874,1119
5,1,1.5015,0.7707,0.0518,0,192,718,1120
5,2,-0.9808,2.6655,-0.6242,0,231,726,1120
5,3,-0.7594,2.847,-0.9492,0,262,735,1120
5,4,-0.7248,2.6473,-1.9674,0,180,825,1120
5,5,2.6261,6.8431,-2.6261,0,175,875,1120
6,1,1.5015,0.7707,0.0518,0,188,717,1120
6,2,-1.07,2.667,-0.4458,0,230,731,1120
6,3,-0.8543,2.8502,-0.8543,0,258,740,1120
6,4,-0.7248,2.6473,-1.9674,0,176,829,1120
6,5,2.6261,6.8431,-2.6261,0,176,874,1120
7,1,1.5015,0.7655,0.1035,0,190,717,1138
7,2,-0.8543,2.8502,-0.8543,0,265,734,1138
7,3,-0.7248,2.6473,-1.9674,0,183,822,1138
7,4,2.6261,6.8431,-2.6261,0,177,873,1138
24,1,1.4497,0.8595,0.1035,0,186,714,1171
24,2,-0.8543,2.8502,-0.8543,0,272,727,1171
24,3,-0.7248,2.6473,-1.9674,0,189,816,1171
24,4,-0.2761,4.2769,-1.3807,0,151,857,1171
24,5,2.6261,6.8431,-2.6261,0,175,875,1171
25,1,1.5015,0.7707,0.0518,0,186,724,1204
25,2,-0.8543,2.8502,-0.8543,0,263,736,1204
25,3,-0.7248,2.6473,-1.9674,0,188,817,1204
25,4,-0.2761,4.2769,-1.3807,0,157,851,1204
25,5,2.6261,6.8431,-2.6261,0,173,877,1204
26,1,1.4497,0.8595,0.1035,0,178,731,1238
26,2,-0.8543,2.8502,-0.8543,0,256,743,1239
26,3,-0.7248,2.6473,-1.9674,0,183,823,1239
26,4,-0.2761,4.2769,-1.3807,0,153,855,1239
26,5,2.6261,6.8431,-2.6261,0,172,878,1239
27,1,1.605,0.5009,-0.1553,0,169,741,1271
27,2,-0.8543,2.8502,-0.8543,0,262,737,1271
27,3,-0.7248,2.6473,-1.9674,0,184,821,1271
27,4,-0.2761,4.2769,-1.3807,0,155,853,1271
27,5,2.6261,6.8431,-2.6261,0,173,877,1271
28,1,1.4497,0.8517,0.1553,0,179,729,1305
28,2,-1.0873,0.9457,0.8802,0,179,729,1305
28,3,-0.8543,2.8502,-0.8543,0,262,738,1305
28,4,-0.7248,2.6473,-1.9674,0,177,828,1305
28,5,2.6261,6.8431,-2.6261,0,175,875,1305
29,1,0.1035,0.2569,-0.2531,0,234,693,1338
29,2,1.5015,0.7707,0.0518,0,190,722,1338
29,3,-0.9808,2.6655,-0.6242,0,228,726,1338
29,4,-0.8543,2.8502,-0.8543,0,263,735,1338
29,5,-0.7248,2.6473,-1.9674,0,183,823,1338
29,6,-0.2761,4.2769,-1.3807,0,154,854,1338
29,7,2.6261,6.8431,-2.6261,0,175,875,1338
30,1,0.1035,0.2569,-0.2531,0,240,689,1371
30,2,1.5532,0.6602,-0.0518,0,178,730,1371
30,3,-0.9808,2.6655,-0.6242,0,234,721,1371
30,4,-0.8543,2.8502,-0.8543,0,266,730,1371
30,5,-0.7248,2.6473,-1.9674,0,186,819,1371
30,6,2.6261,6.8431,-2.6261,0,177,873,1371
31,1,1.5015,0.7707,0.0518,0,203,706,1404
31,2,-0.9808,2.6655,-0.6242,0,227,726,1404
31,3,-0.7594,2.847,-0.9492,0,262,736,1404
31,4,-0.7248,2.6473,-1.9674,0,181,825,1404
31,5,-0.2761,4.2769,-1.3807,0,157,851,1404
31,6,2.6261,6.8431,-2.6261,0,177,873,1404
32,1,1.5532,0.6622,0,0,176,735,1438
32,2,-0.9808,2.6655,-0.6242,0,223,729,1438
32,3,-0.8543,2.8502,-0.8543,0,259,739,1438
32,4,-0.7248,2.6473,-1.9674,0,179,826,1438
32,5,-0.4142,4.308,-1.2425,0,152,856,1438
32,6,2.6261,6.8431,-2.6261,0,176,874,1438
33,1,1.3979,0.911,0.2589,0,179,726,1471
33,2,-1.139,0.7655,0.9837,0,179,726,1471
33,3,-0.9808,2.6655,-0.6242,0,220,732,1471
33,4,-0.8543,2.8502,-0.8543,0,256,742,1471
33,5,-0.7248,2.6473,-1.9674,0,176,830,1471
33,6,-0.2761,4.2769,-1.3807,0,158,850,1471
33,7,2.6261,6.8431,-2.6261,0,176,874,1471
34,1,1.3979,0.911,0.2589,0,192,715,1504
34,2,-1.139,0.7655,0.9837,0,192,715,1504
34,3,-1.07,2.6506,-0.535,0,222,732,1504
34,4,-0.8543,2.8502,-0.8543,0,257,741,1504
34,5,-0.7248,2.6473,-1.9674,0,179,827,1504
34,6,-0.2761,4.2769,-1.3807,0,153,855,1504
34,7,2.6261,6.8431,-2.6261,0,176,873,1504
35,1,1.5532,0.6602,0.0518,0,191,717,1538
35,2,-0.9808,2.6655,-0.6242,0,226,727,1538
35,3,-0.8543,2.8502,-0.8543,0,262,736,1538
35,4,-0.7248,2.6473,-1.9674,0,180,825,1538
35,5,2.6261,6.8431,-2.6261,0,176,873,1538
36,1,1.5015,0.7655,0.1035,0,192,712,1571
36,2,-0.9808,2.6848,-0.535,0,225,730,1571
36,3,-0.8543,2.8502,-0.8543,0,257,741,1571
36,4,-0.7248,2.6473,-1.9674,0,175,831,1571
36,5,2.6261,6.8431,-2.6261,0,179,871,1571
37,1,0.1035,0.2569,-0.2531,0,247,681,1605
37,2,1.4497,0.8595,0.1035,0,191,719,1605
37,3,-1.07,2.6804,-0.3567,0,232,725,1605
37,4,-0.8543,2.8502,-0.8543,0,263,734,1605
37,5,-0.7248,2.6473,-1.9674,0,178,828,1605
37,6,-0.4142,4.308,-1.2425,0,151,857,1605
37,7,2.6261,6.8431,-2.6261,0,177,872,1605
38,1,0.1035,0.2569,-0.2531,0,229,698,1638
38,2,1.5015,0.7655,0.1035,0,163,739,1638
38,3,-1.07,2.6506,-0.535,0,238,724,1638
38,4,-0.7594,2.847,-0.9492,0,265,732,1638
38,5,-0.7248,2.6473,-1.9674,0,183,823,1638
38,6,-0.4142,4.308,-1.2425,0,153,855,1638
38,7,2.6261,6.8431,-2.6261,0,174,875,1638
39,1,0.1035,0.2678,-0.2416,0,230,698,1671
39,2,1.5015,0.7707,0.0518,0,173,736,1671
39,3,-1.07,2.6506,-0.535,0,228,726,1671
39,4,-0.8543,2.82,-0.9492,0,263,734,1671
39,5,-0.7248,2.6473,-1.9674,0,186,819,1671
39,6,-0.2761,4.2769,-1.3807,0,153,855,1671
39,7,2.6261,6.8431,-2.6261,0,178,871,1671
40,1,1.5015,0.7707,0.0518,0,195,716,1705
40,2,-1.07,2.6506,-0.535,0,231,730,1705
40,3,-0.8543,2.82,-0.9492,0,257,740,1705
40,4,-0.7248,2.6473,-1.9674,0,177,828,1705
40,5,2.6261,6.8431,-2.6261,0,178,871,1705
41,1,1.5015,0.7707,0.0518,0,196,713,1737
41,2,-1.07,2.6804,-0.3567,0,240,725,1737
41,3,-0.8543,2.82,-0.9492,0,263,734,1737
41,4,-0.7248,2.6473,-1.9674,0,183,823,1737
41,5,2.6261,6.8431,-2.6261,0,176,873,1737
42,1,1.5532,0.6622,0,0,183,725,1771
42,2,-0.8025,2.7434,-0.535,0,236,721,1771
42,3,-0.8543,2.82,-0.9492,0,268,730,1771
42,4,-0.7248,2.6473,-1.9674,0,181,826,1771
42,5,2.6261,6.8431,-2.6261,0,185,865,1771
43,1,0.1035,0.2678,-0.2416,0,242,686,1805
43,2,1.5015,0.7707,0.0518,0,198,717,1805
43,3,-0.7594,2.847,-0.9492,0,263,735,1805
43,4,-0.7248,2.6473,-1.9674,0,186,821,1805
43,5,2.6261,6.8431,-2.6261,0,180,870,1805
44,1,0.1035,0.2569,-0.2531,0,241,687,1838
44,2,1.5849,0.8136,0.0547,0,196,703,1838
44,3,-0.8543,2.8502,-0.8543,0,261,738,1838
44,4,-0.7248,2.6473,-1.9674,0,179,828,1838
44,5,2.6261,6.8431,-2.6261,0,180,869,1838
45,1,1.5015,0.7707,0.0518,0,176,732,1871
45,2,-0.7594,2.847,-0.9492,0,258,738,1871
45,3,-0.7248,2.6473,-1.9674,0,179,828,1871
45,4,2.6261,6.8431,-2.6261,0,175,875,1871
46,1,1.4497,0.8517,0.1553,0,187,712,1904
46,2,1.5849,0.8136,0.0547,0,210,689,1904
46,3,-0.7594,2.847,-0.9492,0,262,736,1904
46,4,-0.8543,2.8502,-0.8543,0,262,736,1904
