frame_id,point_id,x,y,z,doppler,snr,noise
1,1,0.1253,1.3789,-0.2507,0,303,751,1118
1,2,-4.6793,5.5628,-3.0415,0,210,830,1118
1,3,-1.1698,7.7784,-0.4679,0,210,830,1118
1,4,-3.6264,7.8965,-0.7771,0,178,835,1118
1,5,-3.5484,8.1947,2.1837,0,157,758,1118
2,1,0.1253,1.3789,-0.2507,0,302,752,1119
2,2,-4.6793,5.5628,-3.0415,0,211,830,1119
2,3,-1.1698,7.7784,-0.4679,0,211,830,1119
2,4,-3.6264,7.8965,-0.7771,0,174,839,1119
2,5,-3.5484,8.1947,2.1837,0,154,762,1119
3,1,0.1253,1.3859,-0.2089,0,303,750,1119
3,2,-4.6793,5.5628,-3.0415,0,213,827,1119
3,3,-1.1698,7.7784,-0.4679,0,213,827,1119
3,4,-3.6264,7.8965,-0.7771,0,175,839,1119
3,5,-3.5484,8.1947,2.1837,0,152,764,1119
4,1,0.1253,1.3859,-0.2089,0,304,750,1119
4,2,-4.6793,5.5628,-3.0415,0,214,826,1119
4,3,-1.1698,7.7784,-0.4679,0,214,826,1119
4,4,-3.0749,8.0598,-0.2562,0,160,854,1119
4,5,-3.2755,8.3076,2.1837,0,154,763,1119
5,1,0.1253,1.3859,-0.2089,0,300,753,1120
5,2,-4.6793,5.5628,-3.0415,0,213,827,1120
5,3,-1.1698,7.7784,-0.4679,0,213,827,1120
5,4,-3.0749,8.0598,-0.2562,0,159,855,1120
5,5,-3.2755,8.3076,2.1837,0,153,763,1120
6,1,0.1253,1.3859,-0.2089,0,306,749,1129
6,2,-4.6793,5.5628,-3.0415,0,212,828,1129
6,3,-1.1698,7.7784,-0.4679,0,212,828,1129
6,4,-3.0749,8.0598,-0.2562,0,159,854,1129
6,5,-3.6264,7.8965,-0.7771,0,172,841,1129
6,6,-3.2755,8.3076,2.1837,0,151,763,1129
7,1,0.1253,1.3859,-0.2089,0,305,749,1163
7,2,-4.6793,5.5628,-3.0415,0,211,829,1163
7,3,-1.1698,7.7784,-0.4679,0,211,829,1163
7,4,-3.6264,7.8965,-0.7771,0,174,840,1163
7,5,-3.2755,8.3076,2.1837,0,150,763,1163
8,1,0.1253,1.3859,-0.2089,0,301,753,1196
8,2,-4.6793,5.5628,-3.0415,0,210,829,1196
8,3,-1.1698,7.7784,-0.4679,0,210,829,1196
8,4,-3.6264,7.8965,-0.7771,0,175,839,1196
8,5,-3.5484,8.1171,2.4566,0,150,761,1196
9,1,0.1253,1.3859,-0.2089,0,304,750,1230
9,2,-4.6793,5.5628,-3.0415,0,211,828,1230
9,3,-1.1698,7.7784,-0.4679,0,211,828,1230
9,4,-3.6264,7.8965,-0.7771,0,175,839,1230
10,1,0.1253,1.3789,-0.2507,0,302,751,1263
10,2,-4.6793,5.5628,-3.0415,0,214,826,1263
10,3,-1.1698,7.7784,-0.4679,0,214,826,1263
10,4,-3.0749,8.0598,-0.2562,0,163,851,1263
11,1,0.0836,1.389,-0.2089,0,304,750,1296
11,2,-4.6793,5.5628,-3.0415,0,212,828,1296
11,3,-1.1698,7.7784,-0.4679,0,212,828,1296
11,4,-3.0749,8.0598,-0.2562,0,163,850,1296
12,1,0.1253,1.3859,-0.2089,0,306,748,1330
12,2,-4.6793,5.5628,-3.0415,0,213,827,1330
12,3,-1.1698,7.7784,-0.4679,0,213,827,1330
12,4,-3.0749,8.0598,-0.2562,0,165,848,1330
10,1,0.1253,1.3859,-0.2089,0,307,746,1363
10,2,-4.6793,5.5628,-3.0415,0,217,822,1363
10,3,-1.1698,7.7784,-0.4679,0,217,822,1363
10,4,-3.0749,8.0598,-0.2562,0,163,850,1363
14,1,0.1253,1.3859,-0.2089,0,306,748,1396
14,2,-4.6793,5.5628,-3.0415,0,213,827,1396
14,3,-1.1698,7.7784,-0.4679,0,213,827,1396
14,4,-3.0749,8.0598,-0.2562,0,163,850,1396
15,1,0.1253,1.3859,-0.2089,0,301,753,1430
15,2,-4.6793,5.5628,-3.0415,0,213,826,1430
15,3,-1.1698,7.7784,-0.4679,0,213,826,1430
15,4,-3.0749,8.0598,-0.2562,0,164,849,1430
16,1,0.1253,1.3859,-0.2089,0,302,751,1463
16,2,-4.6793,5.5628,-3.0415,0,215,825,1463
16,3,-1.1698,7.7784,-0.4679,0,215,825,1463
16,4,-3.0749,8.0598,-0.2562,0,164,849,1463
17,1,0.1253,1.3859,-0.2089,0,305,749,1496
17,2,-4.6793,5.5628,-3.0415,0,216,824,1496
17,3,-1.1698,7.7784,-0.4679,0,216,824,1496
17,4,-3.0749,8.0598,-0.2562,0,163,850,1496
18,1,0.1253,1.3859,-0.2089,0,303,750,1530
18,2,-4.6793,5.5628,-3.0415,0,215,825,1530
18,3,-1.1698,7.7784,-0.4679,0,215,825,1530
18,4,-3.0749,8.0598,-0.2562,0,163,850,1530
19,1,0.1253,1.3859,-0.2089,0,304,750,1563
19,2,-4.6793,5.5628,-3.0415,0,214,826,1563
19,3,-1.1698,7.7784,-0.4679,0,214,826,1563
19,4,-3.0749,8.0598,-0.2562,0,163,851,1563
19,5,-3.5484,8.1947,2.1837,0,151,762,1563
20,1,0.1253,1.3859,-0.2089,0,303,751,1597
20,2,-4.6793,5.5628,-3.0415,0,214,826,1597
20,3,-1.1698,7.7784,-0.4679,0,214,826,1597
20,4,-3.6264,7.8965,-0.7771,0,175,839,1597
20,5,-3.5484,8.1947,2.1837,0,153,761,1597
21,1,0.1253,1.3859,-0.2089,0,305,749,1630
21,2,-4.6793,5.5628,-3.0415,0,211,826,1630
21,3,-1.1698,7.7784,-0.4679,0,211,826,1630
21,4,-3.0749,8.0598,-0.2562,0,168,845,1630
21,5,-3.5484,8.1947,2.1837,0,155,760,1630
22,1,0.1253,1.3859,-0.2089,0,304,749,1663
22,2,-4.6793,5.5628,-3.0415,0,207,828,1663
22,3,-1.1698,7.7784,-0.4679,0,207,828,1663
22,4,-3.0749,8.0598,-0.2562,0,167,845,1663
22,5,-3.5484,8.1947,2.1837,0,159,754,1663
23,1,0.1253,1.3859,-0.2089,0,304,750,1696
23,2,-4.4453,5.6215,-3.2755,0,209,827,1696
23,3,-1.1698,7.7784,-0.4679,0,209,827,1696
23,4,-3.0749,8.0598,-0.2562,0,165,847,1696
23,5,-3.5484,8.1947,2.1837,0,157,757,1696
24,1,0.1253,1.3859,-0.2089,0,305,749,1730
24,2,-4.4453,5.6215,-3.2755,0,211,828,1730
24,3,-1.1698,7.7784,-0.4679,0,211,828,1730
24,4,-3.0749,8.0598,-0.2562,0,157,855,1730
25,1,0.1253,1.3859,-0.2089,0,303,750,1763
25,2,-4.4453,5.6215,-3.2755,0,215,827,1763
25,3,-1.1698,7.7784,-0.4679,0,215,827,1763
25,4,-3.8855,7.7938,-0.5181,0,163,846,1763
25,5,-3.5484,8.1947,2.1837,0,161,760,1763
26,1,0.1253,1.3859,-0.2089,0,301,752,1797
26,2,-4.6793,5.5628,-3.0415,0,213,826,1797
26,3,-1.1698,7.7784,-0.4679,0,213,826,1797
26,4,-3.8855,7.7938,-0.5181,0,176,833,1797
