frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.999413,-0.00513237,0.0338826,-0.000152118,-0.680301,-0.0830137,9.78492,-0.0769428,-0.544216,0.943559,-0.00680503,-0.000838314,0.0978489,1,4.00712e-05,-1.04904e-05,2.46407e-05,0.00801424,-0.00209809,0.00492814,0.999413,-0.00513237,0.0338826,-0.000152118,0.186718,0.580599,-0.918748,28.6875,1,25554,2601064
1,2,0.999413,-0.00508988,0.0338677,-0.000141067,-0.684094,-0.0776065,9.79177,-0.0770924,-0.539057,0.950088,-0.0068434,-0.00078409,0.0979174,1,3.98457e-05,-1.26995e-05,1.62144e-05,0.00796913,-0.00253989,0.00324289,0.999413,-0.00508988,0.0338677,-0.000141067,0.18675,0.580093,-0.917749,28.6875,1,25555,2601164
1,3,0.999414,-0.00500254,0.0338517,-0.000140823,-0.688299,-0.105757,9.79155,-0.0871601,-0.570576,0.951869,-0.00688482,-0.00106481,0.0979153,1,3.70928e-05,-9.35211e-06,-1.5367e-06,0.00741856,-0.00187042,-0.00030734,0.999414,-0.00500254,0.0338517,-0.000140823,0.188214,0.578139,-0.918305,28.6875,1,25557,2601364
1,4,0.999415,-0.00493257,0.0338428,-0.000116478,-0.684541,-0.0857806,9.78118,-0.0853824,-0.549295,0.936955,-0.00684534,-0.000865345,0.0978117,1,3.76627e-05,2.55362e-07,1.25635e-05,0.00753254,5.10725e-05,0.00251271,0.999415,-0.00493257,0.0338428,-0.000116478,0.188128,0.581093,-0.919754,28.6875,1,25559,2601564
2,1,0.999416,-0.0048488,0.0338378,-0.000101082,-0.686266,-0.077986,9.7938,-0.0819963,-0.544542,0.95359,-0.00686217,-0.000788169,0.097938,1,4.10173e-05,2.32825e-06,1.99882e-05,0.00820345,0.000465649,0.00399763,0.999416,-0.0048488,0.0338378,-0.000101082,0.187696,0.57817,-0.919817,28.6875,1,25561,2601764
2,2,0.999417,-0.00474901,0.0338057,-6.42401e-05,-0.687674,-0.0957807,9.79096,-0.086789,-0.564851,0.94854,-0.00687967,-0.000966943,0.0979093,1,4.47928e-05,-1.52237e-05,2.65557e-05,0.00895856,-0.00304473,0.00531115,0.999417,-0.00474901,0.0338057,-6.42401e-05,0.185791,0.577689,-0.919314,28.6875,1,25563,2601964
2,3,0.999418,-0.00469342,0.0337994,-5.41981e-05,-0.690123,-0.0970557,9.78858,-0.0912385,-0.564916,0.950496,-0.00690241,-0.000981298,0.0978856,1,5.40409e-05,-6.15048e-06,1.16601e-05,0.0108082,-0.0012301,0.00233203,0.999418,-0.00469342,0.0337994,-5.41981e-05,0.185327,0.578163,-0.918291,28.6875,1,25564,2602064
2,4,0.999419,-0.00460305,0.0337817,-1.2869e-05,-0.677296,-0.0889256,9.78653,-0.0720373,-0.554407,0.942672,-0.00677443,-0.000896191,0.0978651,1,3.34922e-05,-7.81015e-06,2.80291e-05,0.00669843,-0.00156203,0.00560583,0.999419,-0.00460305,0.0337817,-1.2869e-05,0.186265,0.579618,-0.918263,28.6875,1,25566,2602264
3,1,0.99942,-0.00452038,0.0337539,1.20388e-05,-0.678513,-0.0886996,9.78112,-0.0745771,-0.562068,0.937073,-0.00678929,-0.000895897,0.0978108,1,4.41373e-05,-2.1467e-05,1.96546e-05,0.00882745,-0.00429339,0.00393093,0.99942,-0.00452038,0.0337539,1.20388e-05,0.187268,0.577172,-0.918322,28.6875,1,25568,2602464
3,2,0.999421,-0.00443347,0.0337339,2.9665e-05,-0.680317,-0.0850999,9.7876,-0.0841984,-0.55895,0.948183,-0.00680595,-0.000858554,0.0978758,1,3.81656e-05,-1.42809e-05,6.1729e-06,0.00763312,-0.00285618,0.00123458,0.999421,-0.00443347,0.0337339,2.9665e-05,0.186252,0.578182,-0.91981,28.6875,1,25570,2602664
