frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.999438,-0.00368834,0.033311,-0.000112109,-0.667262,-0.0752385,9.7877,0.100863,-0.502402,1.00294,-0.00667456,-0.000764187,0.0978767,1,5.92823e-05,-9.99861e-06,1.47972e-05,0.0118565,-0.00199972,0.00295943,0.999438,-0.00368834,0.033311,-0.000112109,0.0198755,0.513697,-1.00179,34.8125,1,33815,3427227
1,2,0.999438,-0.00365455,0.0333089,-8.8234e-05,-0.667556,-0.079335,9.79005,0.0991041,-0.511879,1.00574,-0.00667698,-0.000800512,0.0979003,1,3.55857e-05,-7.39502e-06,1.45547e-05,0.00711714,-0.001479,0.00291094,0.999438,-0.00365455,0.0333089,-8.8234e-05,0.019468,0.512202,-0.999801,34.8125,1,33816,3427327
1,3,0.99944,-0.00356245,0.0332784,-7.09302e-05,-0.65534,-0.0718798,9.78189,0.109837,-0.501334,0.993597,-0.0065575,-0.000728456,0.0978185,1,4.88031e-05,-2.10423e-05,8.37082e-06,0.00976062,-0.00420845,0.00167416,0.99944,-0.00356245,0.0332784,-7.09302e-05,0.0190409,0.514094,-0.996222,34.8125,1,33818,3427527
1,4,0.999441,-0.00346061,0.0332534,-2.88892e-05,-0.664721,-0.075968,9.7843,0.0990678,-0.506633,0.990309,-0.00665049,-0.000770838,0.0978427,1,5.53804e-05,-1.69387e-05,2.40873e-05,0.0110761,-0.00338773,0.00481747,0.999441,-0.00346061,0.0332534,-2.88892e-05,0.0194229,0.512717,-1.0013,34.8125,1,33820,3427727
2,1,0.999442,-0.0033594,0.0332344,-7.68896e-06,-0.662613,-0.0804655,9.79204,0.0997583,-0.513554,1.00307,-0.00662961,-0.000815205,0.0979201,1,5.29904e-05,-1.78739e-05,1.3044e-05,0.0105981,-0.00357478,0.00260879,0.999442,-0.0033594,0.0332344,-7.68896e-06,0.0180408,0.511239,-0.999816,34.8125,1,33822,3427927
2,2,0.999444,-0.00324895,0.0331954,3.31489e-05,-0.663592,-0.0836057,9.79237,0.104059,-0.516373,1.00502,-0.00664004,-0.000846135,0.0979233,1,5.00698e-05,-2.12436e-05,2.04648e-05,0.010014,-0.00424872,0.00409295,0.999444,-0.00324895,0.0331954,3.31489e-05,0.0194727,0.514126,-0.998243,34.8125,1,33824,3428127
2,3,0.999444,-0.00319549,0.0331895,4.97403e-05,-0.669298,-0.0723165,9.79079,0.0984035,-0.510049,1.0025,-0.00669413,-0.000733814,0.0979078,1,5.31189e-05,-6.0015e-06,1.84383e-05,0.0106238,-0.0012003,0.00368766,0.999444,-0.00319549,0.0331895,4.97403e-05,0.0213564,0.515104,-0.99924,34.8125,1,33825,3428227
2,4,0.999445,-0.00309226,0.0331695,5.65926e-05,-0.661615,-0.0813602,9.78932,0.100364,-0.524732,0.999086,-0.00661978,-0.000824465,0.0978929,1,5.48847e-05,-1.85891e-05,8.85511e-06,0.0109769,-0.00371782,0.00177102,0.999445,-0.00309226,0.0331695,5.65926e-05,0.0184559,0.510801,-1.00286,34.8125,1,33827,3428427
3,1,0.999446,-0.00298643,0.0331406,6.41215e-05,-0.669131,-0.085145,9.79611,0.0935984,-0.53097,1.01162,-0.00669383,-0.00085996,0.0979609,1,4.31445e-05,-1.28932e-05,4.26378e-06,0.00862889,-0.00257863,0.000852757,0.999446,-0.00298643,0.0331406,6.41215e-05,0.0195619,0.510206,-0.99732,34.8125,1,33829,3428627
3,2,0.999447,-0.00287717,0.0331158,8.38144e-05,-0.663803,-0.0753483,9.79786,0.100685,-0.518542,1.0049,-0.00663988,-0.000764046,0.0979784,1,5.34691e-05,-9.49939e-06,6.3818e-06,0.0106938,-0.00189988,0.00127636,0.999447,-0.00287717,0.0331158,8.38144e-05,0.0203979,0.514145,-0.999762,34.8125,1,33831,3428827
