frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.999292,-0.00311914,0.0375037,-9.64334e-05,-0.706881,-0.072709,9.79299,0.018978,0.253046,1.0164,-0.00706949,-0.000740487,0.0979297,1,6.65503e-05,-3.68432e-06,2.56751e-05,0.0133101,-0.000736864,0.00513502,0.999292,-0.00311914,0.0375037,-9.64334e-05,0.161045,-0.257401,-1.00089,34.3125,1,20828,2103893
1,2,0.999292,-0.00304087,0.0374931,-6.86764e-05,-0.712618,-0.0689103,9.78865,0.0128275,0.257853,1.01314,-0.00712786,-0.000699425,0.0978864,1,5.18318e-05,-8.64684e-06,1.22617e-05,0.0103664,-0.00172937,0.00245234,0.999292,-0.00304087,0.0374931,-6.86764e-05,0.161509,-0.25932,-1.00296,34.3125,1,20829,2103993
1,3,0.999293,-0.00293303,0.0374837,-4.75644e-05,-0.722238,-0.0630108,9.78334,0.00323678,0.26026,1.00798,-0.00722301,-0.000640562,0.0978332,1,5.29662e-05,-3.27234e-06,6.23965e-06,0.0105932,-0.000654468,0.00124793,0.999293,-0.00293303,0.0374837,-4.75644e-05,0.162477,-0.255958,-1.00036,34.3125,1,20831,2104193
1,4,0.999294,-0.00282739,0.0374668,-2.61217e-05,-0.723883,-0.0757591,9.78426,-0.00175665,0.245732,1.00736,-0.00724081,-0.00076704,0.0978424,1,4.73223e-05,-1.02166e-05,1.29998e-05,0.00946445,-0.00204333,0.00259996,0.999294,-0.00282739,0.0374668,-2.61217e-05,0.161087,-0.256949,-0.998864,34.3125,1,20833,2104393
2,1,0.999295,-0.00272967,0.0374311,-1.30505e-05,-0.713316,-0.0719227,9.77541,0.00950379,0.251049,0.996122,-0.00713636,-0.000727422,0.0977538,1,4.14941e-05,-1.64547e-05,5.7724e-06,0.00829882,-0.00329094,0.00115448,0.999295,-0.00272967,0.0374311,-1.30505e-05,0.162475,-0.260294,-1.00349,34.3125,1,20835,2104593
2,2,0.999296,-0.0026444,0.0374104,1.43798e-05,-0.70743,-0.0790098,9.78752,0.0162787,0.24363,1.01559,-0.00707554,-0.000800735,0.097875,1,5.29179e-05,-6.49859e-06,1.97196e-05,0.0105836,-0.00129972,0.00394392,0.999296,-0.0026444,0.0374104,1.43798e-05,0.162529,-0.258406,-0.999913,34.3125,1,20837,2104793
2,3,0.999297,-0.00259023,0.0374084,3.62336e-05,-0.720274,-0.0637289,9.78942,0.000121689,0.257099,1.01396,-0.00720305,-0.000648105,0.0978941,1,5.34931e-05,-1.73942e-06,2.37565e-05,0.0106986,-0.000347884,0.00475131,0.999297,-0.00259023,0.0374084,3.62336e-05,0.163044,-0.257471,-0.997874,34.3125,1,20838,2104893
2,4,0.999297,-0.0024864,0.0373931,5.73569e-05,-0.715026,-0.0722792,9.78864,0.0104438,0.240962,1.01119,-0.00715079,-0.000732796,0.0978863,1,5.05484e-05,-2.73462e-06,7.55483e-06,0.0101097,-0.000546924,0.00151097,0.999297,-0.0024864,0.0373931,5.73569e-05,0.162525,-0.258885,-1.00043,34.3125,1,20840,2105093
3,1,0.999299,-0.00238707,0.0373666,5.82317e-05,-0.715177,-0.0786631,9.77978,0.00327817,0.238672,1.00449,-0.0071565,-0.000797162,0.0977973,1,5.4419e-05,-2.41492e-05,-7.89758e-06,0.0108838,-0.00482984,-0.00157952,0.999299,-0.00238707,0.0373666,5.82317e-05,0.163429,-0.26126,-1.00453,34.3125,1,20842,2105293
3,2,0.9993,-0.00228132,0.037346,7.96579e-05,-0.719731,-0.0767076,9.78626,-5.54195e-05,0.237291,1.01325,-0.00719878,-0.000777418,0.0978624,1,5.20982e-05,-7.58284e-06,1.00658e-05,0.0104196,-0.00151657,0.00201315,0.9993,-0.00228132,0.037346,7.96579e-05,0.162554,-0.258424,-0.998903,34.3125,1,20844,2105493
