frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.999217,-0.00281984,0.0394729,-0.000104028,-0.791498,-0.0699301,9.78862,0.104963,-0.49017,1.03132,-0.0079145,-0.000709081,0.0978862,1,4.90454e-05,2.33752e-06,1.1265e-05,0.00980907,0.000467503,0.002253,0.999217,-0.00281984,0.0394729,-0.000104028,0.0399262,0.487623,-1.0267,31.875,1,22777,2327876
1,2,0.999217,-0.00276774,0.0394629,-0.000107656,-0.77736,-0.0686283,9.77089,0.114474,-0.488707,1.01137,-0.00777538,-0.000695895,0.0977086,1,4.92148e-05,-9.07495e-06,-3.42444e-07,0.00984296,-0.00181499,-6.84889e-05,0.999217,-0.00276774,0.0394629,-0.000107656,0.0388937,0.486718,-1.03026,31.875,1,22778,2327976
1,3,0.999218,-0.00268006,0.0394429,-8.65619e-05,-0.773113,-0.0766569,9.79216,0.119738,-0.498357,1.03664,-0.0077325,-0.000775783,0.0979214,1,4.58806e-05,-7.14458e-06,1.47991e-05,0.00917613,-0.00142892,0.00295981,0.999218,-0.00268006,0.0394429,-8.65619e-05,0.0374291,0.484336,-1.03283,31.875,1,22780,2328176
1,4,0.999219,-0.00260302,0.0394408,-6.5422e-05,-0.76622,-0.073994,9.78333,0.131488,-0.497007,1.03107,-0.00766318,-0.000747747,0.0978332,1,3.88959e-05,-5.09292e-06,1.27735e-05,0.00777918,-0.00101858,0.0025547,0.999219,-0.00260302,0.0394408,-6.5422e-05,0.0376179,0.483235,-1.02578,31.875,1,22782,2328376
2,1,0.999219,-0.00251797,0.0394359,-4.40541e-05,-0.743785,-0.0664135,9.78424,0.154764,-0.491784,1.02177,-0.0074356,-0.000672764,0.0978425,1,4.30774e-05,1.13957e-05,1.3452e-05,0.00861548,0.00227913,0.0026904,0.999219,-0.00251797,0.0394359,-4.40541e-05,0.0393706,0.486235,-1.03077,31.875,1,22784,2328576
2,2,0.999219,-0.00242483,0.039437,-3.82531e-05,-0.749748,-0.0824513,9.77804,0.150634,-0.512586,1.02416,-0.00749671,-0.000834978,0.0977804,1,5.33536e-05,3.92629e-06,2.1012e-06,0.0106707,0.000785258,0.000420239,0.999219,-0.00242483,0.039437,-3.82531e-05,0.0384397,0.481402,-1.0329,31.875,1,22786,2328776
2,3,0.999219,-0.00238882,0.0394291,-1.72615e-05,-0.764953,-0.0745261,9.77924,0.133014,-0.497871,1.02579,-0.00765101,-0.000752496,0.0977922,1,3.52189e-05,-7.74866e-06,2.26683e-05,0.00704379,-0.00154973,0.00453366,0.999219,-0.00238882,0.0394291,-1.72615e-05,0.038481,0.481854,-1.03087,31.875,1,22787,2328876
2,4,0.99922,-0.00230813,0.0394098,9.08533e-06,-0.785021,-0.073316,9.78075,0.116698,-0.501519,1.02399,-0.00785187,-0.000740616,0.0978073,1,3.74001e-05,-8.54183e-06,8.93322e-06,0.00748002,-0.00170837,0.00178664,0.99922,-0.00230813,0.0394098,9.08533e-06,0.0399746,0.484696,-1.02677,31.875,1,22789,2329076
3,1,0.999222,-0.00221467,0.0393865,5.35359e-05,-0.750197,-0.0862608,9.77633,0.143978,-0.52399,1.0163,-0.00750376,-0.000871754,0.0977631,1,4.49905e-05,-9.3801e-06,2.32773e-05,0.0089981,-0.00187602,0.00465545,0.999222,-0.00221467,0.0393865,5.35359e-05,0.0402341,0.4863,-1.03482,31.875,1,22791,2329276
3,2,0.999222,-0.00211752,0.0393758,8.68799e-05,-0.76781,-0.0687301,9.78236,0.129435,-0.505909,1.03629,-0.00767796,-0.000695828,0.0978235,1,4.15239e-05,5.04578e-07,2.62168e-05,0.00830478,0.000100916,0.00524337,0.999222,-0.00211752,0.0393758,8.68799e-05,0.0380127,0.483294,-1.02932,31.875,1,22793,2329476
3,3,0.999223,-0.00204521,0.0393622,0.000106301,-0.770952,-0.077805,9.78808,0.121873,-0.513749,1.03175,-0.00771124,-0.0007856,0.0978806,1,3.74691e-05,-8.90516e-06,1.39118e-05,0.00749382,-0.00178103,0.00278237,0.999223,-0.00204521,0.0393622,0.000106301,0.0394897,0.485667,-1.02624,31.875,1,22795,2329676
3,4,0.999224,-0.00194742,0.0393488,0.000127067,-0.761847,-0.0785765,9.7802,0.132452,-0.523292,1.02327,-0.00761994,-0.000794973,0.0978018,1,4.58211e-05,-7.63311e-06,1.61024e-05,0.00916423,-0.00152662,0.00322048,0.999224,-0.00194742,0.0393488,0.000127067,0.0383305,0.487264,-1.03327,31.875,1,22797,2329876
4,1,0.999224,-0.00191362,0.0393345,0.000145299,-0.786667,-0.0808181,9.77255,0.108675,-0.526229,1.02048,-0.00786942,-0.000815103,0.0977252,1,3.38257e-05,-1.41952e-05,1.97049e-05,0.00676513,-0.00283904,0.00394099,0.999224,-0.00191362,0.0393345,0.000145299,0.0369152,0.484846,-1.03382,31.875,1,22798,2329976
4,2,0.999226,-0.00182559,0.0392952,0.000157397,-0.789777,-0.0674813,9.77812,0.10296,-0.506124,1.02585,-0.00790145,-0.000682876,0.0977808,1,4.12519e-05,-1.88148e-05,-3.0535e-07,0.00825038,-0.00376296,-6.10699e-05,0.999226,-0.00182559,0.0392952,0.000157397,0.0385597,0.483723,-1.02628,31.875,1,22800,2330176
4,3,0.999227,-0.00174513,0.0392667,0.000175745,-0.755668,-0.084036,9.79131,0.135826,-0.5311,1.03525,-0.00755806,-0.00084951,0.0979129,1,4.5903e-05,-7.13218e-06,1.06229e-05,0.0091806,-0.00142644,0.00212457,0.999227,-0.00174513,0.0392667,0.000175745,0.0403086,0.487691,-1.03075,31.875,1,22802,2330376
