frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.999182,-0.00167721,0.0404092,-7.5412e-05,-0.763134,-0.0785684,9.8049,-0.418515,-0.183085,0.731288,-0.00763579,-0.000796226,0.0980486,1,5.40074e-05,-2.2676e-05,-3.22385e-06,0.0108015,-0.00453519,-0.000644771,0.999182,-0.00167721,0.0404092,-7.5412e-05,0.557224,0.143011,-0.628159,33.125,1,60072,6061953
1,2,0.999183,-0.0016329,0.0403924,-8.34405e-05,-0.782147,0.00464073,9.78402,-0.444552,-0.120683,0.715632,-0.00782358,3.71218e-05,0.09784,1,4.68865e-05,-1.08033e-05,7.07646e-06,0.00937729,-0.00216066,0.00141529,0.999183,-0.0016329,0.0403924,-8.34405e-05,0.55717,0.142568,-0.630693,33.125,1,60073,6062053
1,3,0.999183,-0.00154202,0.0403837,-6.70608e-05,-0.846924,-0.0326762,9.75462,-0.501769,-0.127168,0.688689,-0.00847062,-0.000334725,0.0975461,1,4.06262e-05,-7.09465e-06,2.1791e-06,0.00812524,-0.00141893,0.00043582,0.999183,-0.00154202,0.0403837,-6.70608e-05,0.560513,0.139667,-0.633804,33.125,1,60075,6062253
1,4,0.999186,-0.00146636,0.0403256,-4.2469e-05,-0.801929,-0.00755187,9.7922,-0.456164,-0.124566,0.728543,-0.0080244,-8.35819e-05,0.0979216,1,4.06782e-05,-2.61125e-05,6.0205e-06,0.00813564,-0.00522249,0.0012041,0.999186,-0.00146636,0.0403256,-4.2469e-05,0.558169,0.141088,-0.630226,33.125,1,60077,6062453
2,1,0.999187,-0.0013791,0.0402884,-2.10537e-05,-0.815419,-0.0420772,9.76994,-0.478681,-0.151778,0.703333,-0.00815775,-0.000429711,0.0976991,1,4.4398e-05,-1.82856e-05,1.62198e-05,0.00887961,-0.00365712,0.00324396,0.999187,-0.0013791,0.0402884,-2.10537e-05,0.558177,0.1406,-0.630237,33.125,1,60079,6062653
2,2,0.999189,-0.0012855,0.0402424,1.44605e-05,-0.76302,-0.024963,9.78467,-0.431144,-0.129451,0.712749,-0.00763421,-0.000258561,0.0978463,1,4.40107e-05,-2.05915e-05,2.08429e-05,0.00880213,-0.00411831,0.00416857,0.999189,-0.0012855,0.0402424,1.44605e-05,0.560994,0.141109,-0.632764,33.125,1,60081,6062853
2,3,0.99919,-0.00125456,0.0402121,2.80542e-05,-0.738002,-0.00458497,9.77721,-0.405487,-0.11661,0.707539,-0.00738597,-5.20201e-05,0.0977717,1,3.04357e-05,-3.04374e-05,1.48248e-05,0.00608713,-0.00608749,0.00296497,0.99919,-0.00125456,0.0402121,2.80542e-05,0.559592,0.141572,-0.630727,33.125,1,60082,6062953
2,4,0.999192,-0.00114478,0.0401704,7.02472e-05,-0.734201,-0.0278827,9.77867,-0.400045,-0.138494,0.707748,-0.00734569,-0.000290786,0.0977864,1,5.89266e-05,-1.89152e-05,2.95566e-05,0.0117853,-0.00378304,0.00591133,0.999192,-0.00114478,0.0401704,7.02472e-05,0.558198,0.141548,-0.628701,33.125,1,60084,6063153
3,1,0.999194,-0.00106993,0.0401312,9.95925e-05,-0.741852,-0.04477,9.77892,-0.406914,-0.153179,0.704774,-0.00742256,-0.000452641,0.0977889,1,2.35215e-05,-2.07368e-05,2.2944e-05,0.0047043,-0.00414737,0.00458881,0.999194,-0.00106993,0.0401312,9.95925e-05,0.559616,0.140109,-0.630759,33.125,1,60086,6063353
3,2,0.999195,-0.00100587,0.0400928,0.00011889,-0.730915,-0.0158753,9.77909,-0.388784,-0.136348,0.700141,-0.00731256,-0.000163611,0.0977906,1,2.42516e-05,-1.74381e-05,7.82506e-06,0.00485032,-0.00348762,0.00156501,0.999195,-0.00100587,0.0400928,0.00011889,0.559571,0.140624,-0.632263,33.125,1,60088,6063553
