frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.999518,0.00752647,0.0301139,0.000233305,-0.601505,0.138913,9.81386,0.440153,0.0874988,0.903091,-0.00601826,0.00137873,0.0981385,1,5.23962e-05,-1.62067e-05,9.71372e-06,0.0104792,-0.00324134,0.00194274,0.999518,0.00752647,0.0301139,0.000233305,-0.340706,-0.122815,-0.923867,27.0625,1,19103,1930633
1,2,0.999518,0.00758264,0.030101,0.000234308,-0.599723,0.117769,9.80959,0.444433,0.067267,0.895312,-0.00599886,0.00116618,0.098096,1,5.89303e-05,-8.37645e-06,-3.87251e-06,0.0117861,-0.00167529,-0.000774502,0.999518,0.00758264,0.030101,0.000234308,-0.339625,-0.121947,-0.918297,27.0625,1,19104,1930733
1,3,0.999519,0.0076754,0.0300601,0.000243572,-0.577016,0.136452,9.78688,0.44974,0.0865031,0.863293,-0.00577537,0.00135602,0.0978686,1,4.29116e-05,-2.64832e-05,8.83794e-06,0.00858233,-0.00529664,0.00176759,0.999519,0.0076754,0.0300601,0.000243572,-0.340505,-0.122481,-0.915275,27.0625,1,19106,1930933
1,4,0.999519,0.0077878,0.0300344,0.000282013,-0.543672,0.127105,9.80183,0.496772,0.0665641,0.88328,-0.00543984,0.00126147,0.0980183,1,4.7397e-05,-1.55919e-05,2.62782e-05,0.00947941,-0.00311838,0.00525563,0.999519,0.0077878,0.0300344,0.000282013,-0.342212,-0.124203,-0.927427,27.0625,1,19108,1931133
2,1,0.999518,0.00790165,0.0300281,0.000307296,-0.61863,0.123332,9.79076,0.431388,0.065115,0.875685,-0.00618815,0.00122256,0.0979076,1,5.37149e-05,-9.23694e-06,1.98056e-05,0.010743,-0.00184739,0.00396113,0.999518,0.00790165,0.0300281,0.000307296,-0.339103,-0.122944,-0.917312,27.0625,1,19110,1931333
2,2,0.999517,0.00800222,0.030018,0.000315623,-0.652954,0.137313,9.79519,0.384896,0.0714932,0.876468,-0.00653119,0.0013632,0.097952,1,5.00755e-05,-8.31668e-06,9.22521e-06,0.0100151,-0.00166334,0.00184504,0.999517,0.00800222,0.030018,0.000315623,-0.340933,-0.123479,-0.91378,27.0625,1,19112,1931533
2,3,0.999517,0.00804587,0.0300212,0.000324055,-0.645218,0.125181,9.80147,0.392893,0.0639631,0.882734,-0.00645169,0.0012431,0.0980148,1,4.37888e-05,2.64706e-06,9.89631e-06,0.00875777,0.000529411,0.00197926,0.999517,0.00804587,0.0300212,0.000324055,-0.340662,-0.124775,-0.923406,27.0625,1,19113,1931633
2,4,0.999516,0.00816205,0.0300232,0.000335746,-0.664286,0.120915,9.78527,0.371447,0.044938,0.872508,-0.00664255,0.00119724,0.0978529,1,6.04597e-05,1.65775e-06,6.42407e-06,0.0120919,0.000331549,0.00128481,0.999516,0.00816205,0.0300232,0.000335746,-0.338716,-0.123843,-0.921879,27.0625,1,19115,1931833
3,1,0.999515,0.00827198,0.0300045,0.000346503,-0.670156,0.129222,9.80135,0.361228,0.0602854,0.882464,-0.00670534,0.00128038,0.0980134,1,6.07763e-05,-1.93526e-05,-5.15969e-06,0.0121553,-0.00387053,-0.00103194,0.999515,0.00827198,0.0300045,0.000346503,-0.336562,-0.124509,-0.912813,27.0625,1,19117,1932033
3,2,0.999514,0.00838433,0.0300084,0.000354552,-0.642235,0.152264,9.77623,0.397389,0.0792659,0.857758,-0.00642074,0.00151177,0.0977625,1,5.56503e-05,8.23642e-06,-7.88037e-07,0.0111301,0.00164728,-0.000157607,0.999514,0.00838433,0.0300084,0.000354552,-0.340678,-0.1238,-0.923384,27.0625,1,19119,1932233
3,3,0.999513,0.0084923,0.0300173,0.00038219,-0.770541,0.0968842,9.80037,0.296686,0.0426546,0.901677,-0.00770318,0.000956231,0.098004,1,6.2665e-05,1.15893e-05,2.12862e-05,0.012533,0.00231787,0.00425724,0.999513,0.0084923,0.0300173,0.00038219,-0.338244,-0.124804,-0.922913,27.0625,1,19121,1932433
3,4,0.999512,0.00859404,0.0300416,0.000389344,-0.712704,0.159677,9.78999,0.322355,0.101849,0.884937,-0.00712373,0.00158554,0.0979003,1,5.606e-05,1.71772e-05,1.78907e-05,0.011212,0.00343544,0.00357815,0.999512,0.00859404,0.0300416,0.000389344,-0.338959,-0.123531,-0.91177,27.0625,1,19123,1932633
4,1,0.999511,0.00864867,0.0300499,0.000400846,-0.744938,0.138116,9.76152,0.291936,0.0713628,0.860211,-0.00744816,0.00137021,0.0976155,1,5.50598e-05,6.43194e-06,1.34222e-05,0.011012,0.00128639,0.00268445,0.999511,0.00864867,0.0300499,0.000400846,-0.340003,-0.122981,-0.914783,27.0625,1,19124,1932733
4,2,0.99951,0.00875771,0.0300595,0.000433733,-0.715913,0.129607,9.79758,0.314771,0.0488173,0.885704,-0.00715985,0.00128366,0.0979759,1,6.16276e-05,-3.37716e-06,2.32028e-05,0.0123255,-0.000675432,0.00464055,0.99951,0.00875771,0.0300595,0.000433733,-0.338861,-0.124701,-0.928463,27.0625,1,19126,1932933
4,3,0.999509,0.00883854,0.0300502,0.00044646,-0.761761,0.157329,9.77845,0.276812,0.0730514,0.882686,-0.00761991,0.00156338,0.0977844,1,5.03008e-05,-1.16526e-05,4.98426e-06,0.0100602,-0.00233053,0.000996851,0.999509,0.00883854,0.0300502,0.00044646,-0.340497,-0.124414,-0.916328,27.0625,1,19128,1933133
4,4,0.999509,0.00894126,0.0300292,0.000461802,-0.736811,0.147933,9.78261,0.296816,0.0677672,0.872121,-0.00737141,0.00146968,0.097826,1,4.86038e-05,-1.67508e-05,9.93164e-06,0.00972077,-0.00335016,0.00198633,0.999509,0.00894126,0.0300292,0.000461802,-0.339518,-0.123952,-0.915312,27.0625,1,19130,1933333
5,1,0.999509,0.00902748,0.0300094,0.000483804,-0.691126,0.126696,9.7828,0.341081,0.0397511,0.865241,-0.0069138,0.00125824,0.0978279,1,4.33643e-05,-1.27328e-05,1.70527e-05,0.00867285,-0.00254657,0.00341054,0.999509,0.00902748,0.0300094,0.000483804,-0.341249,-0.122766,-0.926389,27.0625,1,19132,1933533
5,2,0.999508,0.00906374,0.0300049,0.000488304,-0.706217,0.139489,9.77657,0.33752,0.0484724,0.868568,-0.00706425,0.00138738,0.0977656,1,3.79496e-05,-1.05481e-05,6.56752e-06,0.00758992,-0.00210962,0.0013135,0.999508,0.00906374,0.0300049,0.000488304,-0.339703,-0.123817,-0.922884,27.0625,1,19133,1933633
5,3,0.999507,0.00916134,0.0300176,0.00050185,-0.635843,0.136002,9.79132,0.381519,0.0469009,0.876327,-0.00635705,0.00135118,0.0979134,1,4.4467e-05,7.21744e-06,1.09616e-05,0.0088934,0.00144349,0.00219231,0.999507,0.00916134,0.0300176,0.00050185,-0.338984,-0.123513,-0.91278,27.0625,1,19135,1933833
5,4,0.999505,0.00923152,0.0300872,0.000528495,-0.56917,0.165779,9.83353,0.481803,0.062897,0.909642,-0.00568388,0.00165129,0.0983359,1,3.23075e-05,3.99835e-05,1.32512e-05,0.00646151,0.0079967,0.00265023,0.999505,0.00923152,0.0300872,0.000528495,-0.338712,-0.123364,-0.921363,27.0625,1,19137,1934033
6,1,0.999502,0.00939152,0.0301286,0.000549912,-1.2647,0.101783,9.70945,-0.249636,-0.155144,0.801463,-0.0126512,0.00100124,0.0970942,1,8.37486e-05,-2.15322e-05,1.29587e-05,0.0167497,-0.00430643,0.00259174,0.999502,0.00939152,0.0301286,0.000549912,-0.3397,-0.124783,-0.923411,27.0625,1,19139,1934233
6,2,0.999504,0.00943267,0.0300265,0.000592157,-0.711246,-0.0269008,9.81731,0.359725,-0.17254,0.883751,-0.00712361,-0.000273698,0.0981723,1,2.25758e-05,-5.68267e-05,1.80903e-05,0.00451516,-0.0113653,0.00361807,0.999504,0.00943267,0.0300265,0.000592157,-0.33754,-0.123525,-0.912786,27.0625,1,19141,1934433
6,3,0.999503,0.00952333,0.0300464,0.000595436,-0.619751,0.109995,9.70988,0.485789,0.0757394,0.788629,-0.00619311,0.00108575,0.0970992,1,7.28875e-05,2.26509e-05,2.9431e-06,0.0145775,0.00453018,0.000588621,0.999503,0.00952333,0.0300464,0.000595436,-0.339654,-0.125298,-0.921907,27.0625,1,19143,1934633
6,4,0.999502,0.0095789,0.0300639,0.000598974,-0.918343,0.200372,9.6828,0.134257,0.150626,0.776625,-0.00918224,0.00199211,0.0968284,1,5.93197e-05,6.28811e-06,6.53787e-06,0.0118639,0.00125762,0.00130757,0.999502,0.0095789,0.0300639,0.000598974,-0.341205,-0.124726,-0.925928,27.0625,1,19144,1934733
7,1,0.999502,0.00965277,0.0300476,0.000633707,-0.646562,0.0708256,9.84515,0.371794,-0.0383327,0.936126,-0.0064695,0.000699753,0.0984513,1,4.1511e-05,-1.95519e-05,2.54233e-05,0.00830221,-0.00391039,0.00508467,0.999502,0.00965277,0.0300476,0.000633707,-0.339086,-0.122475,-0.916291,27.0625,1,19146,1934933
7,2,0.999501,0.00974979,0.0300446,0.000663051,-0.637784,0.163673,9.79499,0.382561,0.0358858,0.876145,-0.00638231,0.00162742,0.0979497,1,4.62177e-05,-2.24788e-05,2.03734e-05,0.00924353,-0.00449576,0.00407468,0.999501,0.00974979,0.0300446,0.000663051,-0.338552,-0.123481,-0.914801,27.0625,1,19148,1935133
7,3,0.999501,0.00982677,0.0300248,0.00067484,-0.743541,0.129828,9.79643,0.303274,0.0479853,0.881046,-0.00744234,0.00128872,0.0979639,1,4.83726e-05,-3.53013e-05,5.41069e-06,0.00967453,-0.00706027,0.00108214,0.999501,0.00982677,0.0300248,0.00067484,-0.340732,-0.125688,-0.926961,27.0625,1,19150,1935333
7,4,0.999501,0.00992672,0.0299848,0.000702348,-0.671366,0.123954,9.79556,0.366448,0.0363457,0.891284,-0.00671979,0.00123058,0.0979553,1,4.45229e-05,-3.10522e-05,1.73315e-05,0.00890457,-0.00621044,0.00346629,0.999501,0.00992672,0.0299848,0.000702348,-0.339552,-0.124891,-0.917353,27.0625,1,19152,1935533
8,1,0.999501,0.00997501,0.0299586,0.000712085,-0.682988,0.144814,9.8043,0.361169,0.0392475,0.905455,-0.006838,0.00143746,0.0980425,1,5.35717e-05,-4.11772e-05,1.33143e-05,0.0107143,-0.00823544,0.00266286,0.999501,0.00997501,0.0299586,0.000712085,-0.338462,-0.124511,-0.911794,27.0625,1,19153,1935633
8,2,0.999502,0.0100593,0.0299049,0.000735591,-0.570515,0.152526,9.80259,0.447802,0.0351914,0.879346,-0.00571325,0.00151618,0.0980255,1,4.51821e-05,-4.09708e-05,1.95001e-05,0.00903642,-0.00819416,0.00390001,0.999502,0.0100593,0.0299049,0.000735591,-0.340645,-0.124305,-0.922386,27.0625,1,19155,1935833
8,3,0.999501,0.0101234,0.0299237,0.000757281,-0.622547,0.10822,9.76249,0.446215,0.00101583,0.852186,-0.00622582,0.00107372,0.0976249,1,4.28762e-05,-1.69337e-06,8.87384e-06,0.00857524,-0.000338674,0.00177477,0.999501,0.0101234,0.0299237,0.000757281,-0.339724,-0.12332,-0.923378,27.0625,1,19157,1936033
8,4,0.999501,0.0101871,0.0299015,0.000783452,-0.592899,0.12814,9.78929,0.438617,0.0145744,0.867826,-0.00593479,0.00127375,0.0978926,1,3.81862e-05,-2.94185e-05,1.46422e-05,0.00763725,-0.00588369,0.00292844,0.999501,0.0101871,0.0299015,0.000783452,-0.338507,-0.123996,-0.913297,27.0625,1,19159,1936233
9,1,0.999499,0.0102624,0.0299277,0.00079824,-0.585214,0.12566,9.80685,0.453544,0.0151139,0.876584,-0.00585393,0.00124775,0.0980685,1,4.43086e-05,-8.95565e-06,1.3385e-05,0.00886171,-0.00179113,0.002677,0.999499,0.0102624,0.0299277,0.00079824,-0.341122,-0.125268,-0.92291,27.0625,1,19161,1936433
9,2,0.999498,0.0103022,0.0299563,0.000809306,-0.655482,0.13784,9.79622,0.37853,0.0166307,0.876138,-0.00655328,0.00136839,0.0979625,1,5.00382e-05,8.04491e-06,1.55452e-05,0.0100076,0.00160898,0.00310903,0.999498,0.0103022,0.0299563,0.000809306,-0.34074,-0.1252,-0.926951,27.0625,1,19162,1936533
9,3,0.999497,0.0103587,0.0299761,0.000838776,-0.651501,0.124429,9.80254,0.375323,0.0119798,0.888347,-0.00651732,0.00123554,0.0980253,1,4.31911e-05,-1.14794e-05,2.17035e-05,0.00863822,-0.00229588,0.0043407,0.999497,0.0103587,0.0299761,0.000838776,-0.339132,-0.123405,-0.918837,27.0625,1,19164,1936733
9,4,0.999496,0.0104539,0.0299543,0.000847389,-0.583531,0.136195,9.79878,0.448514,0.0172271,0.883264,-0.00583863,0.00135026,0.0979878,1,5.92172e-05,-1.68625e-05,7.48402e-06,0.0118434,-0.00337249,0.0014968,0.999496,0.0104539,0.0299543,0.000847389,-0.339066,-0.124417,-0.91684,27.0625,1,19166,1936933
10,1,0.999495,0.0105348,0.0299557,0.000874035,-0.606842,0.114967,9.79571,0.422287,-0.004172,0.87402,-0.00607208,0.00113997,0.097957,1,4.88497e-05,-1.85595e-05,1.06113e-05,0.00976994,-0.0037119,0.00212227,0.999495,0.0105348,0.0299557,0.000874035,-0.341229,-0.123263,-0.925895,27.0625,1,19168,1937133
10,2,0.999493,0.010604,0.030026,0.000892756,-0.681436,0.132478,9.76544,0.350388,-0.0101894,0.875544,-0.00680936,0.00131684,0.0976549,1,3.97098e-05,2.57623e-05,1.39137e-05,0.00794196,0.00515246,0.00278274,0.999493,0.010604,0.030026,0.000892756,-0.341019,-0.123416,-0.917313,27.0625,1,19170,1937333
10,3,0.999491,0.0106977,0.0300564,0.000889533,-0.734984,0.146955,9.78529,0.296404,0.0171115,0.884784,-0.00734852,0.0014581,0.0978531,1,5.82076e-05,6.80815e-06,3.95253e-06,0.0116415,0.00136163,0.000790505,0.999491,0.0106977,0.0300564,0.000889533,-0.339074,-0.123929,-0.916829,27.0625,1,19172,1937533
10,4,0.99949,0.0107357,0.0300723,0.000896763,-0.721142,0.128213,9.77758,0.300467,-0.000417797,0.871609,-0.00721139,0.00127237,0.0977759,1,4.88349e-05,3.41251e-07,1.42935e-05,0.00976699,6.82503e-05,0.00285871,0.99949,0.0107357,0.0300723,0.000896763,-0.341106,-0.124798,-0.921889,27.0625,1,19173,1937633
11,1,0.999487,0.0108063,0.0301267,0.000920987,-0.711923,0.13189,9.79825,0.336994,-0.00129302,0.891641,-0.00712015,0.00130827,0.0979826,1,5.30853e-05,-4.45554e-06,1.5464e-05,0.0106171,-0.000891107,0.0030928,0.999487,0.0108063,0.0301267,0.000920987,-0.339283,-0.12233,-0.924368,27.0625,1,19175,1937833
11,2,0.999486,0.0108736,0.0301564,0.000940423,-0.768128,0.132549,9.77726,0.277111,0.00332622,0.872567,-0.00768358,0.00131615,0.0977726,1,4.64003e-05,-1.1565e-05,1.74141e-05,0.00928006,-0.002313,0.00348282,0.999486,0.0108736,0.0301564,0.000940423,-0.337985,-0.124994,-0.912312,27.0625,1,19177,1938033
11,3,0.999484,0.0109634,0.0301713,0.000931204,-0.75625,0.132058,9.79039,0.279981,-0.00174501,0.881801,-0.00756267,0.00130897,0.097904,1,5.82262e-05,-6.92911e-07,1.3376e-05,0.0116452,-0.000138582,0.0026752,0.999484,0.0109634,0.0301713,0.000931204,-0.33965,-0.124819,-0.921391,27.0625,1,19179,1938233
11,4,0.999482,0.0110196,0.030218,0.000958662,-0.752243,0.153964,9.77496,0.286366,0.0214908,0.869588,-0.00752533,0.0015304,0.0977495,1,4.61713e-05,-1.46048e-05,1.44299e-05,0.00923427,-0.00292096,0.00288598,0.999482,0.0110196,0.030218,0.000958662,-0.339704,-0.125262,-0.923926,27.0625,1,19181,1938433
12,1,0.999481,0.0110529,0.0302348,0.000963896,-0.743829,0.135542,9.78425,0.298175,0.00778437,0.876794,-0.00744158,0.00134469,0.0978424,1,5.39869e-05,-1.66429e-05,1.15521e-05,0.0107974,-0.00332858,0.00231041,0.999481,0.0110529,0.0302348,0.000963896,-0.340041,-0.1244,-0.91734,27.0625,1,19182,1938533
12,2,0.99948,0.0111148,0.0302395,0.000981927,-0.729073,0.128514,9.79496,0.319805,0.00225292,0.890785,-0.00729419,0.00127959,0.0979494,1,2.70383e-05,-1.74154e-05,1.78256e-05,0.00540767,-0.00348309,0.00356511,0.99948,0.0111148,0.0302395,0.000981927,-0.340472,-0.124432,-0.915318,27.0625,1,19184,1938733
