frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.9994,-0.00436385,0.0343679,-0.000134391,-0.660649,-0.0757036,9.78452,0.0727594,-0.487229,0.987744,-0.00660864,-0.0007631,0.097845,1,2.97877e-05,-1.10826e-05,1.77544e-05,0.00595753,-0.00221651,0.00355089,0.9994,-0.00436385,0.0343679,-0.000134391,0.0756035,0.514873,-0.984344,31.6875,1,21183,15275699
1,2,0.9994,-0.00433085,0.0343575,-0.000127656,-0.668461,-0.0798881,9.79064,0.0668675,-0.49169,0.993903,-0.00668608,-0.000805599,0.0979063,1,3.33656e-05,-7.65922e-06,1.38467e-05,0.00667313,-0.00153184,0.00276935,0.9994,-0.00433085,0.0343575,-0.000127656,0.0780869,0.513832,-0.981853,31.6875,1,21184,15275799
1,3,0.999401,-0.00422451,0.0343357,-0.000101696,-0.664675,-0.0779567,9.79708,0.0624619,-0.492105,1.00128,-0.00664875,-0.000789481,0.0979706,1,4.98687e-05,-1.0278e-05,1.07678e-05,0.00997373,-0.00205559,0.00215355,0.999401,-0.00422451,0.0343357,-0.000101696,0.0776015,0.513358,-0.982367,31.6875,1,21186,15275999
1,4,0.999402,-0.00414303,0.0343197,-6.01583e-05,-0.66955,-0.0761002,9.79305,0.0601936,-0.494135,0.995577,-0.00669712,-0.000769367,0.0979303,1,4.10565e-05,-8.45633e-06,2.41287e-05,0.00821129,-0.00169127,0.00482573,0.999402,-0.00414303,0.0343197,-6.01583e-05,0.0775726,0.512897,-0.983892,31.6875,1,21188,15276199
2,1,0.999404,-0.00404066,0.0342925,-1.90562e-05,-0.663016,-0.0872802,9.78985,0.0674929,-0.504359,0.995672,-0.00663176,-0.00088308,0.0978983,1,5.10626e-05,-8.37266e-06,2.10831e-05,0.0102125,-0.00167453,0.00421662,0.999404,-0.00404066,0.0342925,-1.90562e-05,0.0770791,0.51291,-0.984394,31.6875,1,21190,15276399
2,2,0.999405,-0.00394435,0.0342668,-1.59494e-05,-0.655363,-0.0889596,9.79319,0.0741773,-0.50649,0.998125,-0.00655788,-0.000898117,0.0979316,1,4.37665e-05,-2.16422e-05,-3.93022e-06,0.0087533,-0.00432844,-0.000786043,0.999405,-0.00394435,0.0342668,-1.59494e-05,0.0771,0.513858,-0.982858,31.6875,1,21192,15276599
2,3,0.999406,-0.0039037,0.0342531,-6.27775e-07,-0.656948,-0.0779325,9.7899,0.0737237,-0.500934,0.99186,-0.0065721,-0.000787531,0.0978987,1,4.0777e-05,-1.35132e-05,1.68962e-05,0.00815541,-0.00270265,0.00337925,0.999406,-0.0039037,0.0342531,-6.27775e-07,0.0780048,0.514374,-0.984871,31.6875,1,21193,15276699
2,4,0.999406,-0.00383053,0.0342492,1.19451e-05,-0.659046,-0.0818078,9.78852,0.0693969,-0.505268,0.996758,-0.00658979,-0.000823957,0.0978852,1,2.96049e-05,3.32685e-06,6.32346e-06,0.00592098,0.00066537,0.00126469,0.999406,-0.00383053,0.0342492,1.19451e-05,0.0775356,0.512924,-0.985406,31.6875,1,21195,15276899
3,1,0.999406,-0.00375305,0.0342516,3.27322e-05,-0.659906,-0.0727734,9.78622,0.0707808,-0.492985,0.991871,-0.00659836,-0.000738369,0.0978621,1,5.3389e-05,3.4608e-06,1.41171e-05,0.0106778,0.00069216,0.00282343,0.999406,-0.00375305,0.0342516,3.27322e-05,0.0771119,0.512404,-0.983396,31.6875,1,21197,15277099
3,2,0.999407,-0.00367576,0.0342312,5.90393e-05,-0.666981,-0.0908559,9.79325,0.0638352,-0.517239,0.994309,-0.00667265,-0.000914799,0.0979323,1,3.07152e-05,-1.4709e-05,1.67545e-05,0.00614305,-0.00294179,0.0033509,0.999407,-0.00367576,0.0342312,5.90393e-05,0.0770222,0.514879,-0.98536,31.6875,1,21199,15277299
3,3,0.999408,-0.00357287,0.0342038,0.000105427,-0.666868,-0.084228,9.7838,0.0613578,-0.513589,0.992523,-0.00667012,-0.00085194,0.0978378,1,4.81996e-05,-7.48985e-06,1.71606e-05,0.00963992,-0.00149797,0.00343213,0.999408,-0.00357287,0.0342038,0.000105427,0.0775679,0.510973,-0.98545,31.6875,1,21201,15277499
3,4,0.999409,-0.00347875,0.0342032,0.00013623,-0.666515,-0.0866238,9.79564,0.0651361,-0.514194,0.998843,-0.00666488,-0.000876193,0.0979564,1,4.9429e-05,1.22349e-06,2.03365e-05,0.0098858,0.000244699,0.00406729,0.999409,-0.00347875,0.0342032,0.00013623,0.0780665,0.514329,-0.982347,31.6875,1,21203,15277699
4,1,0.99941,-0.00343655,0.034186,0.000155796,-0.662602,-0.0767078,9.78792,0.0646541,-0.508901,0.991317,-0.00662929,-0.000775612,0.0978789,1,4.21071e-05,-1.69132e-05,2.19248e-05,0.00842141,-0.00338264,0.00438495,0.99941,-0.00343655,0.034186,0.000155796,0.0780746,0.513841,-0.982358,31.6875,1,21204,15277799
4,2,0.999411,-0.00334162,0.0341641,0.000182101,-0.667741,-0.0863819,9.79465,0.0612479,-0.521172,0.993925,-0.00667833,-0.000872675,0.0979463,1,4.4061e-05,-4.85417e-06,1.67897e-05,0.00881219,-0.000970833,0.00335794,0.999411,-0.00334162,0.0341641,0.000182101,0.0760268,0.513948,-0.987397,31.6875,1,21206,15277999
4,3,0.999411,-0.00326178,0.0341621,0.000212902,-0.660186,-0.0813808,9.78988,0.0714581,-0.52245,0.995055,-0.00660069,-0.000823599,0.0978988,1,4.85497e-05,5.80273e-06,2.15864e-05,0.00970994,0.00116055,0.00431727,0.999411,-0.00326178,0.0341621,0.000212902,0.0780575,0.511926,-0.984421,31.6875,1,21208,15278199
4,4,0.999412,-0.00315764,0.0341354,0.000251776,-0.660283,-0.0920658,9.79556,0.067338,-0.530246,0.997086,-0.00660406,-0.000931432,0.0979554,1,5.31654e-05,-6.53222e-06,2.7124e-05,0.0106331,-0.00130644,0.0054248,0.999412,-0.00315764,0.0341354,0.000251776,0.0784983,0.514361,-0.984369,31.6875,1,21210,15278399
5,1,0.999413,-0.00308195,0.0341235,0.000289391,-0.669898,-0.0836857,9.78993,0.055615,-0.528072,0.993534,-0.00669896,-0.000844547,0.0978993,1,3.75845e-05,-9.13169e-08,2.47544e-05,0.00751691,-1.82634e-05,0.00495088,0.999413,-0.00308195,0.0341235,0.000289391,0.0775479,0.512915,-0.984901,31.6875,1,21212,15278599
5,2,0.999413,-0.00304437,0.0341103,0.000309979,-0.663112,-0.0770754,9.78756,0.0666155,-0.521116,0.990878,-0.00663358,-0.000778352,0.0978754,1,3.73255e-05,-1.27462e-05,2.19793e-05,0.00746509,-0.00254925,0.00439586,0.999413,-0.00304437,0.0341103,0.000309979,0.0770668,0.512919,-0.984899,31.6875,1,21213,15278699
5,3,0.999414,-0.00296456,0.0340911,0.000334893,-0.66679,-0.0781009,9.79709,0.0617715,-0.522414,0.997544,-0.00666927,-0.000790419,0.0979707,1,4.75403e-05,-7.04647e-06,7.11897e-06,0.00950806,-0.00140929,0.00142379,0.999414,-0.00296456,0.0340911,0.000334893,0.0785965,0.512844,-0.981372,31.6875,1,21215,15278899
5,4,0.999415,-0.00287388,0.0340754,0.000359366,-0.658299,-0.0854653,9.79085,0.0658436,-0.529974,0.989883,-0.00658522,-0.000864909,0.0979083,1,5.14629e-05,-1.14981e-05,1.35305e-05,0.0102926,-0.00229962,0.0027061,0.999415,-0.00287388,0.0340754,0.000359366,0.0770303,0.514391,-0.985371,31.6875,1,21217,15279099
6,1,0.999416,-0.00275772,0.034069,0.00037817,-0.662671,-0.0828042,9.79397,0.0665533,-0.529998,0.997827,-0.00662809,-0.000837769,0.0979395,1,4.93806e-05,-7.09119e-06,4.16282e-06,0.00987611,-0.00141824,0.000832564,0.999416,-0.00275772,0.034069,0.00037817,0.075595,0.513915,-0.985375,31.6875,1,21219,15279299
6,2,0.999416,-0.00269221,0.0340488,0.000396417,-0.67131,-0.0873156,9.77668,0.0604482,-0.538705,0.977317,-0.00671341,-0.000880618,0.0977667,1,3.77484e-05,-1.62272e-06,6.04044e-06,0.00754968,-0.000324543,0.00120809,0.999416,-0.00269221,0.0340488,0.000396417,0.0761463,0.514824,-0.981822,31.6875,1,21221,15279499
6,3,0.999418,-0.00263156,0.0340236,0.000409589,-0.676147,-0.0745045,9.79106,0.0492992,-0.529434,0.990116,-0.00676232,-0.000751132,0.0979105,1,3.02083e-05,-4.433e-06,1.26643e-05,0.00604166,-0.000886599,0.00253286,0.999418,-0.00263156,0.0340236,0.000409589,0.0788731,0.516362,-0.987356,31.6875,1,21223,15279699
