frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.999449,-0.00336664,0.0330065,-0.00010542,-0.666069,-0.0486969,9.78942,-0.0171321,-0.371945,0.81382,-0.00666427,-0.000493421,0.0978939,1,3.24174e-05,-1.83435e-05,7.91624e-06,0.00648348,-0.0036687,0.00158325,0.999449,-0.00336664,0.0330065,-0.00010542,0.103585,0.40309,-0.801095,29.6875,1,1534,6752747
1,2,0.99945,-0.00334982,0.0329851,-0.000106788,-0.663166,-0.0657814,9.79096,-0.0124167,-0.389791,0.812347,-0.00663482,-0.000664034,0.0979093,1,3.06313e-05,-1.62272e-05,1.66743e-05,0.00612626,-0.00324545,0.00333486,0.99945,-0.00334982,0.0329851,-0.000106788,0.104018,0.406013,-0.801032,29.6875,1,1535,6752847
1,3,0.999451,-0.00327815,0.0329672,-8.69077e-05,-0.666339,-0.0636226,9.78963,-0.0156212,-0.399365,0.815812,-0.00666527,-0.000643487,0.0978962,1,3.65376e-05,-9.69506e-06,8.05599e-06,0.00730753,-0.00193901,0.0016112,0.999451,-0.00327815,0.0329672,-8.69077e-05,0.105741,0.407108,-0.808592,29.6875,1,1537,6753047
1,4,0.999452,-0.00319765,0.0329431,-5.07364e-05,-0.675343,-0.0733798,9.79199,-0.0258404,-0.406528,0.824886,-0.00675711,-0.000740516,0.0979196,1,3.3211e-05,-1.89375e-05,1.58511e-05,0.0066422,-0.00378749,0.00317023,0.999452,-0.00319765,0.0329431,-5.07364e-05,0.104464,0.400734,-0.806202,29.6875,1,1539,6753247
2,1,0.999453,-0.00313929,0.0329309,-3.77697e-05,-0.67257,-0.0581679,9.7792,-0.0263873,-0.390882,0.804817,-0.00672869,-0.000588891,0.0977918,1,3.66867e-05,-1.52996e-05,2.71027e-06,0.00733734,-0.00305992,0.000542053,0.999453,-0.00313929,0.0329309,-3.77697e-05,0.104017,0.404568,-0.802075,29.6875,1,1541,6753447
2,2,0.999454,-0.00306487,0.0329086,-3.17942e-05,-0.674138,-0.0688264,9.78523,-0.0275404,-0.406396,0.810801,-0.00674302,-0.000696055,0.0978521,1,3.93186e-05,-8.46015e-06,7.15988e-06,0.00786372,-0.00169203,0.00143198,0.999454,-0.00306487,0.0329086,-3.17942e-05,0.103784,0.40763,-0.809581,29.6875,1,1543,6753647
2,3,0.999455,-0.00302779,0.0328855,-1.37002e-05,-0.671675,-0.0610307,9.79343,-0.0229657,-0.398087,0.824271,-0.0067213,-0.000617678,0.0979339,1,3.63252e-05,-2.33558e-05,1.90717e-05,0.00726505,-0.00467116,0.00381433,0.999455,-0.00302779,0.0328855,-1.37002e-05,0.103869,0.403231,-0.809174,29.6875,1,1544,6753747
2,4,0.999455,-0.00294259,0.032866,2.52098e-06,-0.675992,-0.0599173,9.78633,-0.0282348,-0.394734,0.814541,-0.0067612,-0.000608191,0.0978632,1,4.55435e-05,-6.57511e-06,7.72822e-06,0.00910871,-0.00131502,0.00154564,0.999455,-0.00294259,0.032866,2.52098e-06,0.102623,0.401653,-0.802133,29.6875,1,1546,6753947
3,1,0.999456,-0.00283345,0.0328554,2.79549e-05,-0.672991,-0.0618012,9.77985,-0.0248394,-0.399271,0.805253,-0.00673045,-0.000627567,0.0977983,1,4.80599e-05,-2.85527e-06,1.15113e-05,0.00961199,-0.000571054,0.00230226,0.999456,-0.00283345,0.0328554,2.79549e-05,0.104393,0.408014,-0.80402,29.6875,1,1548,6754147
3,2,0.999457,-0.00273653,0.032845,6.02033e-05,-0.677071,-0.0587837,9.78702,-0.0292343,-0.402444,0.810359,-0.00677084,-0.00059861,0.0978701,1,5.37876e-05,-7.5802e-07,1.8038e-05,0.0107575,-0.000151604,0.00360761,0.999457,-0.00273653,0.032845,6.02033e-05,0.103853,0.404206,-0.809153,29.6875,1,1550,6754347
