frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,-0.3222,0.5491,-0.1611,0,228,931,33
1,2,-1.5532,8.2824,0.5177,0,163,796,33
2,1,-0.3222,0.5491,-0.1611,0,228,931,67
2,2,-1.5532,8.2824,0.5177,0,167,793,67
3,1,-0.3222,0.5491,-0.1611,0,226,933,100
3,2,-1.5532,8.2824,0.5177,0,163,796,100
4,1,-0.3222,0.5491,-0.1611,0,229,929,133
4,2,-1.5532,8.2824,0.5177,0,165,795,133
5,1,-0.3222,0.5491,-0.1611,0,228,931,167
5,2,-1.5532,8.2824,0.5177,0,165,795,167
6,1,-0.3222,0.5491,-0.1611,0,227,932,200
6,2,-1.5532,8.2824,0.5177,0,165,793,200
7,1,-0.3222,0.5491,-0.1611,0,232,926,233
7,2,-1.5532,8.2824,0.5177,0,167,793,233
8,1,-0.3222,0.5491,-0.1611,0,226,933,267
8,2,-1.5532,8.2824,0.5177,0,161,797,267
9,1,-0.3222,0.5491,-0.1611,0,226,933,300
9,2,-1.5532,8.2824,0.5177,0,161,798,300
10,1,-0.3222,0.5491,-0.1611,0,227,931,334
10,2,-1.5532,8.2824,0.5177,0,164,797,334
11,1,-0.3222,0.5491,-0.1611,0,225,933,367
11,2,-1.5532,8.2824,0.5177,0,161,798,367
12,1,-0.3222,0.5491,-0.1611,0,225,933,401
12,2,-1.5532,8.2824,0.5177,0,165,795,401
13,1,-0.3222,0.5491,-0.1611,0,229,930,433
13,2,-1.2944,8.3267,0.5177,0,162,797,433
14,1,-0.3222,0.5491,-0.1611,0,231,928,467
14,2,-1.5532,8.2824,0.5177,0,161,798,467
15,1,-0.3222,0.5491,-0.1611,0,226,933,500
15,2,-1.5532,8.2824,0.5177,0,163,796,500
16,1,-0.3222,0.5491,-0.1611,0,227,931,533
16,2,-1.5532,8.2824,0.5177,0,160,799,533
17,1,-0.3222,0.5491,-0.1611,0,227,931,567
17,2,-1.5532,8.2824,0.5177,0,161,797,567
18,1,-0.3222,0.5491,-0.1611,0,226,932,600
18,2,-1.5532,8.2824,0.5177,0,162,797,600
19,1,-0.3222,0.5491,-0.1611,0,224,935,633
19,2,-1.5532,8.2824,0.5177,0,165,794,633
20,1,-0.3222,0.5491,-0.1611,0,227,932,667
20,2,-1.5532,8.2824,0.5177,0,163,796,667
21,1,-0.3222,0.5491,-0.1611,0,228,931,701
21,2,-1.5532,8.2824,0.5177,0,162,797,701
22,1,-0.3222,0.5491,-0.1611,0,227,932,733
22,2,-1.5532,8.2824,0.5177,0,166,794,733
23,1,-0.3222,0.5491,-0.1611,0,226,933,767
23,2,-1.5532,8.2824,0.5177,0,160,800,767
