frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,-1.1275,0.6685,0.0805,0,191,845,38
1,2,0.1611,1.4644,2.1745,0,210,866,38
1,3,-0.9578,3.0357,-1.3835,0,213,924,38
1,4,-2.9339,9.1074,0,0,171,786,38
2,1,-0.9722,0.7352,0.0374,0,184,858,72
2,2,0.1611,1.4644,2.1745,0,206,869,72
2,3,-0.9578,3.0357,-1.3835,0,212,925,72
2,4,-2.9339,9.1074,0,0,172,783,72
3,1,-1.0096,0.6747,0.1122,0,195,863,106
3,2,0.1611,1.4644,2.1745,0,202,873,106
3,3,-0.9578,3.0357,-1.3835,0,215,923,106
3,4,-3.2273,9.0076,0,0,181,775,106
4,1,-0.9348,0.7831,0,0,213,863,138
4,2,0.1611,1.4644,2.1745,0,204,870,138
4,3,-0.9578,3.0357,-1.3835,0,217,922,138
4,4,-3.2273,9.0076,0,0,174,780,138
5,1,-1.047,0.7928,0,0,222,846,171
5,2,0.1611,1.4644,2.1745,0,197,878,171
5,3,-0.9578,3.0357,-1.3835,0,215,923,171
5,4,-3.2273,9.0076,0,0,174,778,171
6,1,-1.0096,0.6674,0.1496,0,195,855,205
6,2,0.1611,1.4644,2.1745,0,211,863,205
6,3,-0.9578,3.0357,-1.3835,0,216,922,205
6,4,-2.9339,9.1074,0,0,177,775,205
7,1,-1.0873,0.7322,0.0805,0,211,848,238
7,2,0.1611,1.4644,2.1745,0,196,878,238
7,3,-0.9578,3.0357,-1.3835,0,218,920,238
7,4,-2.9339,9.1074,0,0,174,777,238
8,1,-1.0067,0.8434,0,0,233,846,272
8,2,0.1611,1.4644,2.1745,0,187,887,272
8,3,-0.9578,3.0357,-1.3835,0,215,923,272
8,4,-2.9339,9.1074,0,0,176,776,272
9,1,-1.0067,0.8434,0,0,222,850,306
9,2,0.1611,1.4644,2.1745,0,184,890,306
9,3,-0.9578,3.0357,-1.3835,0,213,925,306
9,4,-2.9339,9.1074,0,0,175,777,306
9,5,0.7335,0.7924,1.1736,6.8794,213,582,306
10,1,-1.0067,0.8434,0,0,201,848,339
10,2,0.1611,1.4644,2.1745,0,182,892,339
10,3,-0.9578,3.0357,-1.3835,0,213,926,339
10,4,-3.2273,9.0076,0,0,180,773,339
11,1,-1.1275,0.6722,0.0403,0,154,846,371
11,2,0.1611,1.4644,2.1745,0,185,888,371
11,3,-0.9578,3.0357,-1.3835,0,211,927,371
11,4,-2.9339,9.1074,0,0,176,778,371
12,1,0.1611,1.4644,2.1745,0,198,876,405
12,2,-0.9578,3.0357,-1.3835,0,215,923,405
12,3,-2.9339,9.1074,0,0,173,778,405
13,1,-0.791,0.6349,0.1898,0,176,873,438
13,2,0.1611,1.4644,2.1745,0,200,873,438
13,3,-0.9578,3.0357,-1.3835,0,213,925,438
13,4,-2.9339,9.1074,0,0,173,782,438
14,1,-0.6731,0.9596,0.3365,0,167,851,472
14,2,-1.1966,0.071,-0.2244,0,167,851,472
14,3,0.1611,1.4644,2.1745,0,213,860,472
14,4,-0.9578,3.0357,-1.3835,0,214,922,472
