frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,-0.1351,0.2517,-0.2416,0,154,836,0
1,2,-0.3365,0.6973,-0.3365,0,152,743,0
1,3,-0.6213,0.8245,-0.4487,0,156,706,0
1,4,-0.1726,1.1606,-0.7766,0,158,680,0
1,5,-0.7594,2.7356,-1.234,0,181,636,0
1,6,-4.8927,2.7756,-1.8121,0,210,780,0
1,7,-3.4171,5.1594,0.1898,0,185,783,0
1,8,-3.8256,4.9427,-2.0135,0,172,795,0
2,1,-0.1351,0.2517,-0.2416,0,157,832,0
2,2,-0.6213,0.8424,-0.4142,0,157,701,0
2,3,-0.0431,1.1428,-0.8198,0,167,669,0
2,4,-0.7594,2.7765,-1.139,0,172,641,0
2,5,-2.9109,2.8335,1.4554,0,160,653,0
2,6,-4.8927,2.8858,-1.6309,0,214,777,0
2,7,-3.8256,4.9427,-2.0135,0,174,795,0
2,8,0.2991,0.3402,0.5983,0.4914,214,714,0
3,1,-0.1266,0.2464,-0.2531,0,159,834,0
3,2,-0.7594,2.7356,-1.234,0,174,644,0
3,3,-4.8927,2.7756,-1.8121,0,213,779,0
3,4,-3.2273,5.2802,0.1898,0,188,778,0
3,5,-3.8256,4.9427,-2.0135,0,170,797,0
3,1,-0.1351,0.2517,-0.2416,0,153,835,0
3,2,-0.6213,0.8424,-0.4142,0,157,706,0
3,3,-0.2589,1.1985,-0.6903,0,153,679,0
3,4,-0.7594,2.7765,-1.139,0,180,637,0
3,5,-4.8927,2.7756,-1.8121,0,212,779,0
3,6,-3.4171,5.1594,0.1898,0,191,779,0
3,7,-3.8256,4.9427,-2.0135,0,169,799,0
4,1,-0.1351,0.2517,-0.2416,0,150,841,1
4,2,-0.3106,0.6964,-0.3624,0,163,748,1
4,3,-0.6213,0.8424,-0.4142,0,156,712,1
4,4,-0.7594,2.7356,-1.234,0,164,657,1
4,5,-4.8927,2.7756,-1.8121,0,216,774,1
4,6,-3.607,5.0177,0.3797,0,197,776,1
4,7,-3.8256,4.9427,-2.0135,0,170,798,1
5,1,-0.6213,0.8424,-0.4142,0,159,709,1
5,2,-0.302,1.1884,-0.6903,0,159,681,1
5,3,-0.6644,2.7158,-1.3289,0,184,633,1
5,4,-2.9109,2.8335,1.4554,0,150,658,1
5,5,-4.8927,2.6485,-1.9933,0,213,776,1
5,6,-3.607,5.0177,0.3797,0,195,778,1
5,7,-3.8256,4.9427,-2.0135,0,165,800,1
6,1,-0.6213,0.8424,-0.4142,0,159,712,34
6,2,-0.4746,1.2,-0.5609,0,150,685,34
6,3,-0.6644,2.7158,-1.3289,0,187,628,34
6,4,-2.9109,2.8335,1.4554,0,156,657,34
6,5,-4.8927,2.6485,-1.9933,0,218,771,34
6,6,-3.607,5.0177,0.3797,0,202,773,34
6,7,-3.8256,4.8558,-2.1679,0,165,800,34
7,1,-0.1351,0.2517,-0.2416,0,153,835,67
7,2,-0.6213,0.8245,-0.4487,0,162,706,67
7,3,-0.3452,1.2008,-0.6472,0,150,679,67
7,4,-0.6644,2.7602,-1.234,0,176,641,67
7,5,-2.9109,2.8335,1.4554,0,153,656,67
7,6,-4.8927,2.6485,-1.9933,0,210,779,67
7,7,-3.607,5.0177,0.3797,0,193,782,67
7,8,-3.8256,4.9427,-2.0135,0,162,806,67
8,1,-0.6213,0.8424,-0.4142,0,168,706,100
8,2,-0.7594,2.7356,-1.234,0,184,635,100
8,3,-4.8927,2.6485,-1.9933,0,213,775,100
8,4,-3.607,5.0177,0.3797,0,198,780,100
8,5,-3.8256,4.8558,-2.1679,0,161,806,100
9,1,-0.6213,0.8424,-0.4142,0,171,708,133
9,2,-0.4746,1.1789,-0.604,0,153,689,133
9,3,-0.6644,2.7602,-1.234,0,184,634,133
9,4,-5.0739,2.2822,-1.9933,0,210,776,133
9,5,-3.7968,4.8571,0.5695,0,196,784,133
9,6,-4.0269,4.78,-2.0135,0,165,804,133
10,1,-0.5405,0.8723,-0.4487,0,167,711,167
10,2,-0.7594,2.7356,-1.234,0,180,637,167
10,3,-5.0739,2.2822,-1.9933,0,210,775,167
10,4,-3.7968,4.8571,0.5695,0,196,785,167
10,5,-3.8256,4.8558,-2.1679,0,165,802,167
11,1,-0.1266,0.2464,-0.2531,0,150,838,200
