frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,0.233,1.5111,2.0192,0,331,616,11
1,2,0,1.9055,2.071,0,327,607,11
1,3,3.4056,5.1376,-3.1928,0,202,839,11
2,1,0.1553,1.4121,2.0969,0,306,641,45
2,2,0,1.9055,2.071,0,315,619,45
2,3,3.4056,5.1376,-3.1928,0,205,837,45
3,1,0.233,1.5111,2.0192,0,288,659,78
3,2,0,1.9055,2.071,0,320,613,78
3,3,3.4056,5.1376,-3.1928,0,203,839,78
4,1,0.233,1.5111,2.0192,0,283,664,111
4,2,0,1.9055,2.071,0,290,645,111
4,3,3.4056,5.1376,-3.1928,0,205,837,111
5,1,0.233,1.5111,2.0192,0,332,615,145
5,2,0,1.9055,2.071,0,311,624,145
5,3,3.4056,5.1376,-3.1928,0,202,840,145
6,1,0.1553,1.4121,2.0969,0,306,641,178
6,2,0,1.9055,2.071,0,325,612,178
6,3,3.4056,5.1376,-3.1928,0,205,837,178
7,1,0.233,1.5111,2.0192,0,285,662,211
7,2,0.1553,1.4121,2.0969,0,285,662,211
7,3,0,1.9055,2.071,0,284,651,211
7,4,3.4056,5.1376,-3.1928,0,205,838,211
8,1,0.233,1.5111,2.0192,0,294,653,245
8,2,0,1.9055,2.071,0,329,606,245
8,3,3.4056,5.1376,-3.1928,0,204,837,245
9,1,0.233,1.5111,2.0192,0,296,651,278
9,2,0,1.9055,2.071,0,321,614,278
9,3,3.4056,5.1376,-3.1928,0,206,836,278
10,1,0.233,1.5111,2.0192,0,311,636,311
10,2,0.1553,1.4121,2.0969,0,311,636,311
10,3,0,1.9055,2.071,0,310,625,311
10,4,3.4056,5.1376,-3.1928,0,205,837,311
11,1,0.233,1.5111,2.0192,0,290,657,345
11,2,0,1.9055,2.071,0,311,625,345
11,3,3.4056,5.1376,-3.1928,0,204,839,345
12,1,0.233,1.5111,2.0192,0,298,649,378
12,2,0,1.9055,2.071,0,324,610,378
12,3,3.4056,5.1376,-3.1928,0,206,836,378
13,1,0.233,1.5111,2.0192,0,298,649,412
13,2,0,1.9055,2.071,0,314,622,412
13,3,3.4056,5.1376,-3.1928,0,208,835,412
14,1,0.233,1.5111,2.0192,0,302,645,445
14,2,0,1.9055,2.071,0,312,623,445
14,3,3.4056,5.1376,-3.1928,0,206,836,445
15,1,0.233,1.5111,2.0192,0,318,630,479
15,2,0.1553,1.4121,2.0969,0,318,630,479
15,3,0,1.9055,2.071,0,323,611,479
15,4,3.4056,5.1376,-3.1928,0,203,839,479
