frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,0.3899,1.4066,2.1837,0,266,661,21
1,2,1.5598,1.1175,-1.7937,0,266,661,21
1,3,2.451,2.5069,-1.3369,0,164,855,21
2,1,0.3899,1.4066,2.1837,0,255,672,54
2,2,1.5598,1.1175,-1.7937,0,255,672,54
2,3,2.451,2.5069,-1.3369,0,163,854,54
3,1,1.5598,1.1175,-1.7937,0,262,665,88
3,2,0.3899,1.4066,2.1837,0,262,665,88
3,3,2.451,2.5069,-1.3369,0,160,857,88
4,1,1.5598,1.1175,-1.7937,0,274,652,121
4,2,0.3899,1.5209,2.1057,0,274,652,121
4,3,0.8913,2.4333,1.5152,0,153,679,121
4,4,2.3396,2.6653,-1.2255,0,161,856,121
5,1,1.5598,1.1175,-1.7937,0,252,674,154
5,2,0.3899,1.4066,2.1837,0,252,674,154
5,3,2.3396,2.6653,-1.2255,0,161,856,154
6,1,0.3899,1.4066,2.1837,0,259,668,187
6,2,1.5598,1.1175,-1.7937,0,259,668,187
6,3,2.3396,2.6653,-1.2255,0,164,855,187
7,1,0.3899,1.5209,2.1057,0,252,674,221
7,2,1.5598,1.1175,-1.7937,0,252,674,221
7,3,2.451,2.5069,-1.3369,0,163,855,221
8,1,1.5598,1.1175,-1.7937,0,266,659,254
8,2,0.3899,1.4066,2.1837,0,266,659,254
8,3,2.3396,2.6653,-1.2255,0,162,856,254
9,1,1.5598,1.1175,-1.7937,0,275,650,287
9,2,0.3899,1.5209,2.1057,0,275,650,287
9,3,0.9804,2.3987,1.5152,0,150,679,287
9,4,2.451,2.5069,-1.3369,0,166,853,287
10,1,0.3899,1.4066,2.1837,0,267,659,321
10,2,1.5598,1.1175,-1.7937,0,267,659,321
10,3,0.9804,2.3987,1.5152,0,154,676,321
10,4,2.451,2.5069,-1.3369,0,166,854,321
10,5,2.3396,2.6653,-1.2255,0,166,854,321
11,1,1.5598,1.1175,-1.7937,0,267,660,354
11,2,0.3899,1.4066,2.1837,0,267,660,354
11,3,0.8913,2.4333,1.5152,0,155,674,354
11,4,2.451,2.5069,-1.3369,0,165,855,354
12,1,1.5598,1.1175,-1.7937,0,262,665,387
12,2,0.3899,1.4066,2.1837,0,262,665,387
12,3,0.8913,2.4333,1.5152,0,151,676,387
12,4,2.451,2.5069,-1.3369,0,165,855,387
13,1,1.5598,1.1175,-1.7937,0,263,663,421
13,2,0.3899,1.4066,2.1837,0,263,663,421
13,3,2.451,2.5069,-1.3369,0,166,855,421
14,1,0.3899,1.4066,2.1837,0,265,662,454
14,2,1.5598,1.1175,-1.7937,0,265,662,454
14,3,2.451,2.5069,-1.3369,0,169,853,454
15,1,1.5598,1.1175,-1.7937,0,267,660,487
15,2,0.3899,1.4066,2.1837,0,267,660,487
15,3,2.451,2.5069,-1.3369,0,167,855,487
16,1,0.3899,1.4066,2.1837,0,271,655,521
16,2,1.5598,1.1175,-1.7937,0,271,655,521
16,3,1.0695,2.3603,1.5152,0,165,674,521
16,4,2.451,2.5069,-1.3369,0,165,856,521
17,1,1.5598,1.1175,-1.7937,0,272,654,554
17,2,0.3899,1.4066,2.1837,0,272,654,554
17,3,0.8913,2.4333,1.5152,0,153,678,554
17,4,2.451,2.5069,-1.3369,0,165,856,554
18,1,0.3899,1.4066,2.1837,0,266,657,587
18,2,1.5598,1.1175,-1.7937,0,266,657,587
18,3,0.9804,2.3987,1.5152,0,153,678,587
18,4,2.451,2.5069,-1.3369,0,165,856,587
19,1,0.3899,1.4066,2.1837,0,273,653,622
19,2,1.5598,1.1175,-1.7937,0,273,653,622
19,3,1.0695,2.3603,1.5152,0,158,680,622
19,4,2.451,2.5069,-1.3369,0,165,855,622
19,5,2.3396,2.6653,-1.2255,0,165,855,622
20,1,1.5598,1.1175,-1.7937,0,276,651,654
20,2,0.3899,1.4066,2.1837,0,276,651,654
20,3,0.9804,2.3987,1.5152,0,154,674,654
20,4,2.451,2.5069,-1.3369,0,164,856,654
21,1,1.5598,1.1175,-1.7937,0,293,634,687
21,2,0.3899,1.4066,2.1837,0,293,634,687
21,3,0.9804,2.3987,1.5152,0,168,665,687
21,4,2.3396,2.6653,-1.2255,0,163,855,687
22,1,0.3899,1.4066,2.1837,0,277,650,721
22,2,1.5598,1.1175,-1.7937,0,277,650,721
22,3,1.0695,2.3603,1.5152,0,163,670,721
22,4,2.451,2.5069,-1.3369,0,164,855,721
23,1,1.5598,1.1175,-1.7937,0,283,643,754
23,2,0.3899,1.5209,2.1057,0,283,643,754
23,3,0.9804,2.3987,1.5152,0,166,663,754
23,4,2.451,2.5069,-1.3369,0,164,854,754
24,1,0.3899,1.4066,2.1837,0,274,652,787
24,2,1.5598,1.1175,-1.7937,0,274,652,787
24,3,0.9804,2.3987,1.5152,0,153,680,787
24,4,2.451,2.5069,-1.3369,0,163,855,787
25,1,0.3899,1.4066,2.1837,0,265,662,822
25,2,1.5598,1.1175,-1.7937,0,265,662,822
25,3,2.451,2.5069,-1.3369,0,164,854,822
26,1,1.5598,1.1175,-1.7937,0,281,644,854
26,2,0.3899,1.5209,2.1057,0,281,644,854
26,3,0.9804,2.3987,1.5152,0,152,675,854
26,4,2.451,2.5069,-1.3369,0,164,854,854
27,1,0.3899,1.4066,2.1837,0,268,658,887
27,2,1.5598,1.1175,-1.7937,0,268,658,887
27,3,0.9804,2.3987,1.5152,0,158,674,887
27,4,2.451,2.5069,-1.3369,0,164,855,887
28,1,1.5598,1.1175,-1.7937,0,268,658,921
28,2,0.3899,1.5209,2.1057,0,268,658,921
28,3,0.9804,2.3987,1.5152,0,152,683,921
28,4,2.451,2.5069,-1.3369,0,162,856,921
29,1,1.5598,1.1175,-1.7937,0,290,636,955
29,2,0.3899,1.4066,2.1837,0,290,636,955
29,3,1.0695,2.3603,1.5152,0,173,658,955
29,4,2.3396,2.6653,-1.2255,0,163,855,955
30,1,0.3899,1.4066,2.1837,0,272,654,987
30,2,1.5598,1.1175,-1.7937,0,272,654,987
30,3,0.9804,2.3987,1.5152,0,156,678,987
30,4,2.451,2.5069,-1.3369,0,162,856,987
31,1,0.3899,1.4066,2.1837,0,275,651,1021
31,2,1.5598,1.1175,-1.7937,0,275,651,1021
31,3,1.0695,2.3603,1.5152,0,168,668,1021
31,4,2.451,2.5069,-1.3369,0,163,855,1021
32,1,0.3899,1.4066,2.1837,0,278,648,1054
32,2,1.5598,1.1175,-1.7937,0,278,648,1054
32,3,0.9804,2.3987,1.5152,0,153,672,1054
32,4,2.451,2.5069,-1.3369,0,165,854,1054
