frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,0.8272,0.5888,-0.1838,0,243,648,0
1,2,-0.766,0.6341,0.2757,0,243,648,0
1,3,0,0.8191,-2.4956,0,232,648,0
1,4,0,1.7383,2.3313,0,215,641,0
1,5,-1.9581,2.6741,-1.0306,0,209,818,0
2,1,0.7966,0.6378,-0.1532,0,240,651,0
2,2,-0.766,0.6341,0.2757,0,240,651,0
2,3,0,1.0267,2.4176,0,227,651,0
2,4,-0.0863,1.6138,2.4176,0,210,647,0
2,5,-1.9581,2.6741,-1.0306,0,208,821,0
2,6,0.2005,0.4013,0.6016,-2.855,267,558,0
3,1,0.7966,0.6378,-0.1532,0,236,656,0
3,2,-0.766,0.6341,0.2757,0,236,656,0
3,3,0,1.0267,2.4176,0,223,656,0
3,4,0,1.7383,2.3313,0,205,653,0
3,5,-1.9581,2.6741,-1.0306,0,205,823,0
3,1,0.7966,0.6378,-0.1532,0,232,660,0
3,2,-0.766,0.6341,0.2757,0,232,660,0
3,3,0,0.8191,-2.4956,0,220,660,0
3,4,0,1.7383,2.3313,0,204,653,0
3,5,-1.9581,2.6741,-1.0306,0,208,821,0
4,1,0.7966,0.6378,-0.1532,0,238,654,0
4,2,-0.766,0.6341,0.2757,0,238,654,0
4,3,0,1.0267,2.4176,0,225,654,0
4,4,0,1.7383,2.3313,0,208,650,0
4,5,-1.9581,2.6741,-1.0306,0,206,822,0
5,1,0.7966,0.6378,-0.1532,0,239,652,3
5,2,-0.766,0.6341,0.2757,0,239,652,3
5,3,0,1.0267,2.4176,0,227,652,3
5,4,0,1.7383,2.3313,0,210,649,3
5,5,-1.9581,2.6741,-1.0306,0,207,821,3
6,1,0.7966,0.6378,-0.1532,0,235,656,36
6,2,-0.766,0.6341,0.2757,0,235,656,36
6,3,0,0.8191,-2.4956,0,225,656,36
6,4,0,1.7383,2.3313,0,201,657,36
6,5,-1.9581,2.6741,-1.0306,0,203,825,36
7,1,0.8272,0.5888,-0.1838,0,235,657,68
7,2,-0.766,0.6341,0.2757,0,235,657,68
7,3,0,0.8191,-2.4956,0,221,657,68
7,4,-0.1727,1.6068,2.4176,0,207,653,68
7,5,-1.9581,2.6741,-1.0306,0,207,821,68
8,1,0.8272,0.5888,-0.1838,0,237,653,102
8,2,-0.766,0.6341,0.2757,0,237,653,102
8,3,0,0.8191,-2.4956,0,227,653,102
8,4,-0.0863,1.7362,2.3313,0,208,654,102
8,5,-1.9581,2.6741,-1.0306,0,204,824,102
9,1,0.8272,0.5888,-0.1838,0,244,647,135
9,2,-0.766,0.6341,0.2757,0,244,647,135
9,3,0,0.8191,-2.4956,0,231,647,135
9,4,-0.0863,1.7362,2.3313,0,217,645,135
9,5,-1.9581,2.6741,-1.0306,0,206,822,135
10,1,0.8272,0.5888,-0.1838,0,240,650,168
10,2,-0.766,0.6341,0.2757,0,240,650,168
10,3,0,0.8191,-2.4956,0,229,650,168
10,4,-0.1727,1.6068,2.4176,0,215,646,168
10,5,-1.9581,2.6741,-1.0306,0,204,824,168
11,1,0.8272,0.5888,-0.1838,0,231,660,203
11,2,-0.766,0.6341,0.2757,0,231,660,203
11,3,0,1.0267,2.4176,0,220,660,203
11,4,-0.0863,1.7362,2.3313,0,200,661,203
11,5,-1.9581,2.6741,-1.0306,0,203,824,203
12,1,0.7966,0.6378,-0.1532,0,239,652,235
12,2,-0.766,0.6341,0.2757,0,239,652,235
12,3,0,1.0267,2.4176,0,228,652,235
12,4,-0.0863,1.6138,2.4176,0,213,649,235
12,5,-1.9581,2.6741,-1.0306,0,204,824,235
13,1,0.7966,0.6378,-0.1532,0,242,649,268
13,2,-0.766,0.6341,0.2757,0,242,649,268
13,3,0,0.8191,-2.4956,0,230,649,268
13,4,-0.0863,1.6138,2.4176,0,221,641,268
13,5,-1.9581,2.6741,-1.0306,0,206,821,268
14,1,0.8272,0.5888,-0.1838,0,245,646,302
14,2,-0.766,0.6341,0.2757,0,245,646,302
14,3,0,0.8191,-2.4956,0,233,646,302
14,4,-0.0863,1.7362,2.3313,0,222,641,302
14,5,-1.9581,2.6741,-1.0306,0,204,823,302
15,1,0.8272,0.5888,-0.1838,0,237,653,336
15,2,-0.766,0.6341,0.2757,0,237,653,336
15,3,0,0.8191,-2.4956,0,227,653,336
15,4,0,1.7383,2.3313,0,218,645,336
15,5,-1.9581,2.6741,-1.0306,0,205,823,336
16,1,0.7966,0.6378,-0.1532,0,231,659,369
16,2,-0.766,0.6341,0.2757,0,231,659,369
16,3,0,0.8191,-2.4956,0,220,659,369
16,4,-0.0863,1.7362,2.3313,0,210,653,369
16,5,-1.9581,2.6741,-1.0306,0,204,824,369
17,1,0.8272,0.5888,-0.1838,0,240,650,402
17,2,-0.766,0.6341,0.2757,0,240,650,402
17,3,0,0.8191,-2.4956,0,229,650,402
17,4,0,1.7383,2.3313,0,220,643,402
17,5,-1.9581,2.6741,-1.0306,0,205,823,402
18,1,0.7966,0.6378,-0.1532,0,234,655,435
18,2,-0.766,0.6341,0.2757,0,234,655,435
18,3,0,0.8191,-2.4956,0,224,655,435
18,4,0,1.7383,2.3313,0,215,646,435
18,5,-1.9581,2.6741,-1.0306,0,206,821,435
19,1,0.7966,0.6378,-0.1532,0,238,652,468
19,2,-0.766,0.6341,0.2757,0,238,652,468
19,3,0,0.8191,-2.4956,0,226,652,468
19,4,-0.0863,1.7362,2.3313,0,211,649,468
19,5,-1.9581,2.6741,-1.0306,0,205,822,468
20,1,0.8272,0.5888,-0.1838,0,235,655,502
20,2,-0.766,0.6341,0.2757,0,235,655,502
20,3,0,0.8191,-2.4956,0,224,655,502
20,4,-0.0863,1.7362,2.3313,0,212,650,502
20,5,-1.9581,2.6741,-1.0306,0,204,824,502
21,1,0.8272,0.5888,-0.1838,0,229,661,536
21,2,-0.766,0.6341,0.2757,0,229,661,536
21,3,0,0.8191,-2.4956,0,218,661,536
21,4,0,1.7383,2.3313,0,203,659,536
21,5,-1.9581,2.6741,-1.0306,0,205,822,536
22,1,0.7966,0.6378,-0.1532,0,236,654,569
22,2,-0.766,0.6341,0.2757,0,236,654,569
22,3,0,1.0267,2.4176,0,225,654,569
22,4,-0.0863,1.7362,2.3313,0,212,649,569
22,5,-1.9581,2.6741,-1.0306,0,205,822,569
23,1,0.8272,0.5888,-0.1838,0,238,652,603
23,2,-0.766,0.6341,0.2757,0,238,652,603
23,3,0,1.0267,2.4176,0,227,652,603
23,4,0,0.8191,-2.4956,0,227,652,603
23,5,0,1.7383,2.3313,0,213,648,603
23,6,-1.9581,2.6741,-1.0306,0,207,821,603
24,1,0.8272,0.5888,-0.1838,0,236,655,635
24,2,-0.766,0.6341,0.2757,0,236,655,635
24,3,0,1.0267,2.4176,0,224,655,635
24,4,-0.0863,1.7362,2.3313,0,212,649,635
24,5,-1.9581,2.6741,-1.0306,0,207,821,635
25,1,0.7966,0.6378,-0.1532,0,233,658,668
25,2,-0.766,0.6341,0.2757,0,233,658,668
25,3,0,0.8191,-2.4956,0,220,658,668
25,4,-0.0863,1.7362,2.3313,0,209,654,668
25,5,-1.9581,2.6741,-1.0306,0,205,823,668
26,1,0.8272,0.5888,-0.1838,0,233,657,703
26,2,-0.766,0.6341,0.2757,0,233,657,703
26,3,0,0.8191,-2.4956,0,222,657,703
26,4,0,1.7383,2.3313,0,204,656,703
26,5,-1.9581,2.6741,-1.0306,0,204,824,703
27,1,0.8272,0.5888,-0.1838,0,238,652,736
27,2,-0.766,0.6341,0.2757,0,238,652,736
27,3,0,1.0267,2.4176,0,227,652,736
27,4,-0.0863,1.7362,2.3313,0,213,648,736
27,5,-1.9581,2.6741,-1.0306,0,205,822,736
28,1,0.8272,0.5888,-0.1838,0,228,662,769
28,2,-0.766,0.6341,0.2757,0,228,662,769
28,3,0,0.8191,-2.4956,0,217,662,769
28,4,-0.0863,1.7362,2.3313,0,204,655,769
28,5,-1.9581,2.6741,-1.0306,0,206,822,769
29,1,0.8272,0.5888,-0.1838,0,238,652,802
29,2,-0.766,0.6341,0.2757,0,238,652,802
29,3,0,1.0267,2.4176,0,228,652,802
29,4,0,1.7383,2.3313,0,215,646,802
29,5,-1.9581,2.6741,-1.0306,0,205,822,802
30,1,0.8272,0.5888,-0.1838,0,234,657,835
30,2,-0.766,0.6341,0.2757,0,234,657,835
30,3,0,0.8191,-2.4956,0,222,657,835
30,4,-0.0863,1.7362,2.3313,0,213,647,835
30,5,-1.9581,2.6741,-1.0306,0,207,821,835
31,1,0.8272,0.5888,-0.1838,0,241,649,868
31,2,-0.766,0.6341,0.2757,0,241,649,868
31,3,0,1.0267,2.4176,0,231,649,868
31,4,0,1.7383,2.3313,0,213,646,868
31,5,-1.9581,2.6741,-1.0306,0,204,823,868
32,1,0.7966,0.6378,-0.1532,0,230,661,903
32,2,-0.766,0.6341,0.2757,0,230,661,903
32,3,0,0.8191,-2.4956,0,219,661,903
32,4,-0.0863,1.7362,2.3313,0,207,653,903
32,5,-1.9581,2.6741,-1.0306,0,206,821,903
33,1,0.7966,0.6378,-0.1532,0,232,657,936
33,2,-0.766,0.6341,0.2757,0,232,657,936
33,3,0,0.8191,-2.4956,0,223,657,936
33,4,-0.0863,1.7362,2.3313,0,213,649,936
33,5,-1.9581,2.6741,-1.0306,0,206,822,936
34,1,0.7966,0.6378,-0.1532,0,229,662,969
34,2,-0.766,0.6341,0.2757,0,229,662,969
34,3,0,1.0267,2.4176,0,218,662,969
34,4,0,1.7383,2.3313,0,210,652,969
34,5,-1.9581,2.6741,-1.0306,0,207,821,969
35,1,0.8272,0.5888,-0.1838,0,229,662,1003
35,2,-0.766,0.6341,0.2757,0,229,662,1003
35,3,0,1.0267,2.4176,0,217,662,1003
35,4,0,1.7383,2.3313,0,202,660,1003
35,5,-1.9581,2.6741,-1.0306,0,204,823,1003
36,1,0.7966,0.6378,-0.1532,0,230,660,1035
36,2,-0.766,0.6341,0.2757,0,230,660,1035
36,3,0,1.0267,2.4176,0,218,660,1035
36,4,-0.0863,1.6138,2.4176,0,205,658,1035
36,5,-1.9581,2.6741,-1.0306,0,205,823,1035
37,1,0.8272,0.5888,-0.1838,0,244,646,1068
37,2,-0.766,0.6341,0.2757,0,244,646,1068
37,3,0,1.0267,2.4176,0,232,646,1068
37,4,0,1.7383,2.3313,0,219,644,1068
37,5,-1.9581,2.6741,-1.0306,0,206,822,1068
38,1,0.7966,0.6378,-0.1532,0,243,646,1102
38,2,-0.766,0.6341,0.2757,0,243,646,1102
38,3,0,0.8191,-2.4956,0,233,646,1102
38,4,0,1.7383,2.3313,0,217,646,1102
38,5,-1.9581,2.6741,-1.0306,0,204,824,1102
39,1,0.7966,0.6378,-0.1532,0,247,643,1136
39,2,-0.766,0.6341,0.2757,0,247,643,1136
39,3,0,1.0267,2.4176,0,238,643,1136
39,4,0,1.7383,2.3313,0,224,640,1136
39,5,-1.9581,2.6741,-1.0306,0,204,823,1136
40,1,0.8272,0.5888,-0.1838,0,228,662,1169
40,2,-0.766,0.6341,0.2757,0,228,662,1169
40,3,0,0.8191,-2.4956,0,217,662,1169
40,4,-0.0863,1.6138,2.4176,0,199,662,1169
40,5,-1.9581,2.6741,-1.0306,0,203,824,1169
41,1,0.7966,0.6378,-0.1532,0,224,666,1202
41,2,-0.766,0.6341,0.2757,0,224,666,1202
41,3,0,0.8191,-2.4956,0,212,666,1202
41,4,0,1.7383,2.3313,0,204,656,1202
41,5,-1.9581,2.6741,-1.0306,0,205,822,1202
42,1,0.7966,0.6378,-0.1532,0,229,661,1236
42,2,-0.766,0.6341,0.2757,0,229,661,1236
42,3,0,0.8191,-2.4956,0,217,661,1236
42,4,-0.0863,1.7362,2.3313,0,205,657,1236
42,5,-1.9581,2.6741,-1.0306,0,205,823,1236
43,1,0.7966,0.6378,-0.1532,0,231,660,1269
43,2,-0.766,0.6341,0.2757,0,231,660,1269
43,3,0,0.8191,-2.4956,0,218,660,1269
43,4,0,1.7383,2.3313,0,211,653,1269
43,5,-1.9581,2.6741,-1.0306,0,206,821,1269
44,1,0.8272,0.5888,-0.1838,0,241,649,1302
44,2,-0.766,0.6341,0.2757,0,241,649,1302
44,3,0,1.0267,2.4176,0,230,649,1302
44,4,0,1.7383,2.3313,0,223,641,1302
44,5,-1.9581,2.6741,-1.0306,0,203,824,1302
45,1,0.8272,0.5888,-0.1838,0,243,648,1335
45,2,-0.766,0.6341,0.2757,0,243,648,1335
45,3,0,0.8191,-2.4956,0,232,648,1335
45,4,0,1.7383,2.3313,0,219,646,1335
45,5,-1.9581,2.6741,-1.0306,0,202,825,1335
46,1,0.8272,0.5888,-0.1838,0,246,645,1368
46,2,-0.766,0.6341,0.2757,0,246,645,1368
46,3,0,0.8191,-2.4956,0,235,645,1368
46,4,0,1.7383,2.3313,0,228,637,1368
46,5,-1.9581,2.6741,-1.0306,0,206,822,1368
47,1,0.7966,0.6378,-0.1532,0,227,664,1402
47,2,-0.766,0.6341,0.2757,0,227,664,1402
47,3,0,1.0267,2.4176,0,215,664,1402
47,4,0,1.7383,2.3313,0,212,652,1402
47,5,-1.9581,2.6741,-1.0306,0,205,823,1402
48,1,0.8272,0.5888,-0.1838,0,223,668,1435
48,2,-0.766,0.6341,0.2757,0,223,668,1435
48,3,0,1.0267,2.4176,0,212,668,1435
48,4,0,1.7383,2.3313,0,204,659,1435
48,5,-1.9581,2.6741,-1.0306,0,206,821,1435
49,1,0.8272,0.5888,-0.1838,0,243,647,1468
49,2,-0.766,0.6341,0.2757,0,243,647,1468
49,3,0,0.8191,-2.4956,0,232,647,1468
49,4,0.0863,1.8465,2.2449,0,222,640,1468
49,5,0,1.7383,2.3313,0,222,640,1468
49,6,-1.9581,2.6741,-1.0306,0,207,821,1468
50,1,0.7966,0.6378,-0.1532,0,240,651,1503
50,2,-0.766,0.6341,0.2757,0,240,651,1503
50,3,0,1.0267,2.4176,0,229,651,1503
50,4,0.0863,1.8465,2.2449,0,220,645,1503
50,5,-1.9581,2.6741,-1.0306,0,203,824,1503
51,1,0.7966,0.6378,-0.1532,0,241,650,1536
51,2,-0.766,0.6341,0.2757,0,241,650,1536
51,3,0,0.8191,-2.4956,0,230,650,1536
51,4,0,1.7383,2.3313,0,220,641,1536
51,5,-1.9581,2.6741,-1.0306,0,205,823,1536
52,1,0.7966,0.6378,-0.1532,0,252,639,1569
52,2,-0.766,0.6341,0.2757,0,252,639,1569
52,3,0,0.8191,-2.4956,0,239,639,1569
52,4,0,1.7383,2.3313,0,233,631,1569
52,5,-1.9581,2.6741,-1.0306,0,206,821,1569
53,1,0.7966,0.6378,-0.1532,0,240,651,1603
53,2,-0.766,0.6341,0.2757,0,240,651,1603
53,3,0,1.0267,2.4176,0,229,651,1603
53,4,0,1.7383,2.3313,0,217,645,1603
53,5,-1.9581,2.6741,-1.0306,0,206,822,1603
54,1,0.8272,0.5888,-0.1838,0,250,641,1636
54,2,-0.766,0.6341,0.2757,0,250,641,1636
54,3,0,0.8191,-2.4956,0,238,641,1636
54,4,0,1.7383,2.3313,0,231,631,1636
54,5,-1.9581,2.6741,-1.0306,0,207,821,1636
55,1,0.8272,0.5888,-0.1838,0,234,657,1669
55,2,-0.766,0.6341,0.2757,0,234,657,1669
55,3,0,1.0267,2.4176,0,222,657,1669
55,4,0,1.7383,2.3313,0,209,653,1669
55,5,-1.9581,2.6741,-1.0306,0,204,823,1669
56,1,0.7966,0.6378,-0.1532,0,240,650,1702
56,2,-0.766,0.6341,0.2757,0,240,650,1702
56,3,0,0.8191,-2.4956,0,229,650,1702
56,4,0,1.7383,2.3313,0,218,643,1702
56,5,-1.9581,2.6741,-1.0306,0,207,820,1702
57,1,0.8272,0.5888,-0.1838,0,240,650,1735
57,2,-0.766,0.6341,0.2757,0,240,650,1735
57,3,0,1.0267,2.4176,0,230,650,1735
57,4,0,1.7383,2.3313,0,221,642,1735
57,5,-1.9581,2.6741,-1.0306,0,205,823,1735
58,1,0.7966,0.6378,-0.1532,0,236,654,1768
58,2,-0.766,0.6341,0.2757,0,236,654,1768
58,3,0,0.8191,-2.4956,0,225,654,1768
58,4,0,1.7383,2.3313,0,219,644,1768
58,5,-1.9581,2.6741,-1.0306,0,205,822,1768
59,1,0.8272,0.5888,-0.1838,0,248,642,1802
59,2,-0.766,0.6341,0.2757,0,248,642,1802
59,3,0,1.0267,2.4176,0,238,642,1802
59,4,0,0.8191,-2.4956,0,238,642,1802
59,5,0,1.7383,2.3313,0,230,634,1802
59,6,-1.9581,2.6741,-1.0306,0,206,821,1802
60,1,0.7966,0.6378,-0.1532,0,239,652,1835
60,2,-0.766,0.6341,0.2757,0,239,652,1835
60,3,0,0.8191,-2.4956,0,227,652,1835
60,4,0,1.7383,2.3313,0,219,643,1835
60,5,-1.9581,2.6741,-1.0306,0,208,820,1835
61,1,0.8272,0.5888,-0.1838,0,227,663,1869
61,2,-0.766,0.6341,0.2757,0,227,663,1869
61,3,0,1.0267,2.4176,0,217,663,1869
61,4,0,1.7383,2.3313,0,211,655,1869
61,5,-1.9581,2.6741,-1.0306,0,204,823,1869
62,1,0.8272,0.5888,-0.1838,0,244,647,1903
62,2,-0.766,0.6341,0.2757,0,244,647,1903
62,3,0,1.0267,2.4176,0,232,647,1903
62,4,0,1.7383,2.3313,0,226,639,1903
62,5,-1.9581,2.6741,-1.0306,0,204,824,1903
63,1,0.7966,0.6378,-0.1532,0,237,654,1936
63,2,-0.766,0.6341,0.2757,0,237,654,1936
63,3,0,0.8191,-2.4956,0,225,654,1936
63,4,0,1.7383,2.3313,0,212,654,1936
63,5,-1.9581,2.6741,-1.0306,0,205,822,1936
64,1,0.7966,0.6378,-0.1532,0,239,652,1969
64,2,-0.766,0.6341,0.2757,0,239,652,1969
64,3,0,1.0267,2.4176,0,228,652,1969
64,4,0,1.7383,2.3313,0,213,653,1969
64,5,-1.9581,2.6741,-1.0306,0,203,825,1969
65,1,0.7966,0.6378,-0.1532,0,236,655,2002
65,2,-0.766,0.6341,0.2757,0,236,655,2002
65,3,0,0.8191,-2.4956,0,225,655,2002
65,4,0.0863,1.8465,2.2449,0,212,653,2002
65,5,-1.9581,2.6741,-1.0306,0,202,825,2002
66,1,0.7966,0.6378,-0.1532,0,240,650,2035
66,2,-0.766,0.6341,0.2757,0,240,650,2035
66,3,0,0.8191,-2.4956,0,229,650,2035
66,4,0,1.7383,2.3313,0,217,650,2035
66,5,-1.9581,2.6741,-1.0306,0,202,825,2035
67,1,0.7966,0.6378,-0.1532,0,237,654,2068
67,2,-0.766,0.6341,0.2757,0,237,654,2068
67,3,0,0.8191,-2.4956,0,226,654,2068
67,4,0,1.7383,2.3313,0,218,647,2068
67,5,-1.9581,2.6741,-1.0306,0,202,825,2068
68,1,0.7966,0.6378,-0.1532,0,231,660,2102
68,2,-0.766,0.6341,0.2757,0,231,660,2102
68,3,0,1.0267,2.4176,0,219,660,2102
68,4,0,1.7383,2.3313,0,217,648,2102
68,5,-1.9581,2.6741,-1.0306,0,205,823,2102
69,1,0.7966,0.6378,-0.1532,0,243,648,2136
69,2,-0.766,0.6341,0.2757,0,243,648,2136
69,3,0,1.0267,2.4176,0,230,648,2136
69,4,0,1.7383,2.3313,0,221,642,2136
69,5,-1.9581,2.6741,-1.0306,0,205,822,2136
70,1,0.7966,0.6378,-0.1532,0,238,653,2169
70,2,-0.766,0.6341,0.2757,0,238,653,2169
70,3,0,1.0267,2.4176,0,226,653,2169
70,4,0.0863,1.8465,2.2449,0,218,648,2169
70,5,-1.9581,2.6741,-1.0306,0,203,825,2169
71,1,0.7966,0.6378,-0.1532,0,243,647,2203
71,2,-0.766,0.6341,0.2757,0,243,647,2203
71,3,0,0.8191,-2.4956,0,232,647,2203
71,4,0,1.7383,2.3313,0,222,644,2203
71,5,-1.9581,2.6741,-1.0306,0,205,823,2203
72,1,0.7966,0.6378,-0.1532,0,237,654,2236
72,2,-0.766,0.6341,0.2757,0,237,654,2236
72,3,0,0.8191,-2.4956,0,225,654,2236
