frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,0.0362,1.0725,-0.5793,0,302,862,26
1,2,0.0696,1.9351,1.323,0,240,899,26
1,3,0.312,1.426,2.1837,0,185,854,26
1,4,1.4038,1.4987,-1.6377,0,185,854,26
2,1,0.0362,1.0725,-0.5793,0,303,860,59
2,2,0.0696,1.9351,1.323,0,239,902,59
2,3,0.312,1.426,2.1837,0,172,870,59
3,1,0.0362,1.0725,-0.5793,0,313,850,93
3,2,0.0696,1.9351,1.323,0,238,903,93
3,3,0.312,1.426,2.1837,0,173,870,93
4,1,0.0362,1.0725,-0.5793,0,307,857,126
4,2,0.0696,1.9351,1.323,0,236,904,126
4,3,0.312,1.426,2.1837,0,176,866,126
5,1,0.0362,1.0725,-0.5793,0,309,855,159
5,2,0.0696,1.9351,1.323,0,236,905,159
5,3,0.234,1.315,2.2616,0,178,864,159
6,1,0.0362,1.0725,-0.5793,0,304,859,193
6,2,0.0696,1.9351,1.323,0,240,900,193
6,3,0.234,1.315,2.2616,0,183,859,193
7,1,0.0362,1.0725,-0.5793,0,303,860,226
7,2,0.0696,1.9351,1.323,0,244,896,226
7,3,0.234,1.4408,2.1837,0,189,854,226
8,1,0.0362,1.0725,-0.5793,0,301,863,259
8,2,0.0696,1.9351,1.323,0,244,896,259
8,3,0.234,1.315,2.2616,0,190,853,259
9,1,0.0362,1.0725,-0.5793,0,296,867,293
9,2,0.0696,1.9351,1.323,0,245,896,293
9,3,0.234,1.315,2.2616,0,188,854,293
10,1,0.0362,1.0725,-0.5793,0,300,864,326
10,2,0.0696,1.9351,1.323,0,246,894,326
10,3,0.234,1.315,2.2616,0,183,859,326
11,1,0.0362,1.0725,-0.5793,0,296,867,359
11,2,0.0696,1.9351,1.323,0,241,900,359
11,3,0.312,1.426,2.1837,0,184,859,359
12,1,0.0362,1.0725,-0.5793,0,299,865,393
12,2,0.0696,1.9351,1.323,0,240,900,393
12,3,0.312,1.426,2.1837,0,181,862,393
13,1,0.0362,1.0725,-0.5793,0,303,860,426
13,2,0.0696,1.9351,1.323,0,242,898,426
13,3,0.312,1.426,2.1837,0,177,866,426
14,1,0.0362,1.0725,-0.5793,0,296,867,459
14,2,0.0696,1.9351,1.323,0,246,894,459
14,3,0.234,1.315,2.2616,0,182,861,459
15,1,0.0362,1.0725,-0.5793,0,292,871,493
15,2,0.0696,1.9351,1.323,0,245,895,493
15,3,0.234,1.315,2.2616,0,182,860,493
16,1,0.0362,1.0725,-0.5793,0,298,866,526
16,2,0.0696,1.9351,1.323,0,247,893,526
16,3,0.234,1.315,2.2616,0,184,858,526
17,1,0.0362,1.0725,-0.5793,0,300,863,559
17,2,0.0696,1.9351,1.323,0,249,891,559
17,3,0.234,1.315,2.2616,0,184,857,559
18,1,0.0362,1.0725,-0.5793,0,309,855,593
18,2,0.0696,1.9351,1.323,0,249,890,593
18,3,0.234,1.315,2.2616,0,181,859,593
19,1,0.0362,1.0725,-0.5793,0,304,859,626
19,2,0.0696,1.9351,1.323,0,248,891,626
19,3,0.234,1.315,2.2616,0,175,865,626
20,1,0.0362,1.0725,-0.5793,0,304,859,659
20,2,0.0696,1.9351,1.323,0,250,889,659
20,3,0.234,1.315,2.2616,0,171,868,659
21,1,0.0362,1.0725,-0.5793,0,301,862,693
21,2,0.0696,1.9351,1.323,0,248,891,693
21,3,0.234,1.315,2.2616,0,171,868,693
22,1,0.0362,1.0725,-0.5793,0,314,849,726
22,2,0.0696,1.9351,1.323,0,247,892,726
22,3,0.234,1.315,2.2616,0,171,868,726
23,1,0.0362,1.0725,-0.5793,0,308,856,760
23,2,0.0696,1.9351,1.323,0,244,894,760
23,3,0.234,1.315,2.2616,0,173,866,760
24,1,0.0362,1.0725,-0.5793,0,310,853,793
24,2,0.0696,1.9351,1.323,0,242,896,793
24,3,0.234,1.315,2.2616,0,174,866,793
25,1,0.0362,1.0725,-0.5793,0,302,861,826
25,2,0.0696,1.9351,1.323,0,243,896,826
25,3,0.312,1.426,2.1837,0,179,861,826
26,1,0.0362,1.0725,-0.5793,0,300,863,859
26,2,0.0696,1.9351,1.323,0,243,896,859
26,3,0.312,1.426,2.1837,0,177,863,859
27,1,0.0362,1.0725,-0.5793,0,305,858,893
27,2,0.0696,1.9351,1.323,0,243,896,893
27,3,0.234,1.315,2.2616,0,173,866,893
28,1,0.0362,1.0725,-0.5793,0,299,864,926
28,2,0.0696,1.9351,1.323,0,244,895,926
28,3,0.234,1.315,2.2616,0,172,866,926
29,1,0.0362,1.0725,-0.5793,0,311,852,959
29,2,0.0696,1.9351,1.323,0,244,895,959
29,3,0.234,1.315,2.2616,0,170,867,959
30,1,0.0362,1.0725,-0.5793,0,308,856,993
30,2,0.0696,1.9351,1.323,0,241,898,993
30,3,0.234,1.315,2.2616,0,171,865,993
31,1,0.0362,1.0725,-0.5793,0,301,862,1026
31,2,0.0696,1.9351,1.323,0,245,894,1026
31,3,0.234,1.315,2.2616,0,171,864,1026
32,1,0.0362,1.0725,-0.5793,0,303,860,1060
32,2,0.0696,1.9351,1.323,0,252,888,1060
32,3,0.234,1.315,2.2616,0,170,865,1060
33,1,0.0362,1.0725,-0.5793,0,302,860,1094
33,2,0.0696,1.9351,1.323,0,254,887,1094
33,3,0.312,1.426,2.1837,0,170,863,1094
34,1,0.0362,1.0725,-0.5793,0,293,870,1126
34,2,0.0696,1.9351,1.323,0,255,886,1126
34,3,0.312,1.426,2.1837,0,176,856,1126
35,1,0.0362,1.0725,-0.5793,0,295,869,1160
35,2,0.0696,1.9351,1.323,0,252,890,1160
35,3,0.312,1.426,2.1837,0,178,855,1160
35,4,1.3258,1.5682,-1.6377,0,178,855,1160
36,1,0.0362,1.0725,-0.5793,0,298,865,1194
36,2,0.0696,1.9351,1.323,0,251,890,1194
36,3,0.234,1.4408,2.1837,0,177,857,1194
36,4,1.3258,1.5682,-1.6377,0,177,857,1194
37,1,0.0362,1.0725,-0.5793,0,309,854,1227
37,2,0.0696,1.9351,1.323,0,249,892,1227
37,3,0.234,1.4408,2.1837,0,176,858,1227
37,4,1.2478,1.7056,-1.5598,0,176,858,1227
38,1,0.0362,1.0725,-0.5793,0,293,870,1259
38,2,0.0696,1.9351,1.323,0,247,893,1259
38,3,0.234,1.4408,2.1837,0,176,858,1259
38,4,1.2478,1.7056,-1.5598,0,176,858,1259
39,1,0.0362,1.0725,-0.5793,0,303,859,1293
39,2,0.0696,1.9351,1.323,0,250,891,1293
39,3,0.234,1.4408,2.1837,0,171,861,1293
39,4,1.2478,1.7056,-1.5598,0,171,861,1293
40,1,0.0362,1.0725,-0.5793,0,305,858,1326
40,2,0.0696,1.9351,1.323,0,249,892,1326
40,3,0.234,1.315,2.2616,0,179,853,1326
40,4,1.3258,1.5682,-1.6377,0,179,853,1326
41,1,0.0362,1.0725,-0.5793,0,303,860,1359
41,2,0.0696,1.9351,1.323,0,247,892,1359
41,3,0.234,1.315,2.2616,0,174,857,1359
41,4,1.3258,1.5682,-1.6377,0,174,857,1359
42,1,0.0362,1.0725,-0.5793,0,291,872,1393
42,2,0.0696,1.9351,1.323,0,244,894,1393
42,3,0.3899,1.5209,2.1057,0,179,855,1393
42,4,0.312,1.426,2.1837,0,179,855,1393
42,5,1.5598,1.2339,-1.7157,0,179,855,1393
43,1,0.0362,1.0725,-0.5793,0,296,866,1426
43,2,0.0696,1.9351,1.323,0,246,892,1426
43,3,0.312,1.2987,2.2616,0,200,839,1426
43,4,1.4818,1.4217,-1.6377,0,200,839,1426
44,1,0.0362,1.0725,-0.5793,0,301,862,1459
44,2,0.0696,1.9351,1.323,0,254,881,1459
44,3,0.234,1.4408,2.1837,0,189,844,1459
45,1,0.0362,1.0725,-0.5793,0,300,863,1493
45,2,0.0696,1.9351,1.323,0,245,889,1493
