frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,0.156,1.5623,2.1057,0,433,581,20
1,2,1.2478,1.5486,-1.7157,0,433,581,20
2,1,0.156,1.5623,2.1057,0,402,611,54
2,2,1.2478,1.5486,-1.7157,0,402,611,54
3,1,0.156,1.5623,2.1057,0,411,603,88
3,2,1.2478,1.5486,-1.7157,0,411,603,88
4,1,0.156,1.5623,2.1057,0,435,578,121
4,2,1.2478,1.5486,-1.7157,0,435,578,121
5,1,0.156,1.5623,2.1057,0,404,610,155
5,2,1.2478,1.5486,-1.7157,0,404,610,155
6,1,0.156,1.5623,2.1057,0,417,597,187
6,2,1.2478,1.5486,-1.7157,0,417,597,187
7,1,0.156,1.5623,2.1057,0,430,584,220
7,2,1.2478,1.5486,-1.7157,0,430,584,220
8,1,0.156,1.4513,2.1837,0,416,598,254
8,2,1.2478,1.5486,-1.7157,0,416,598,254
9,1,0.156,1.5623,2.1057,0,406,607,287
9,2,1.2478,1.5486,-1.7157,0,406,607,287
10,1,0.156,1.5623,2.1057,0,429,585,320
10,2,1.2478,1.5486,-1.7157,0,429,585,320
11,1,0.156,1.4513,2.1837,0,424,590,354
11,2,1.2478,1.5486,-1.7157,0,424,590,354
12,1,0.156,1.5623,2.1057,0,423,592,388
12,2,1.2478,1.5486,-1.7157,0,423,592,388
13,1,0.156,1.4513,2.1837,0,432,582,421
13,2,1.2478,1.5486,-1.7157,0,432,582,421
14,1,0.156,1.5623,2.1057,0,422,592,455
14,2,0.156,1.4513,2.1837,0,422,592,455
14,3,1.2478,1.5486,-1.7157,0,422,592,455
15,1,0.156,1.5623,2.1057,0,410,604,487
15,2,1.2478,1.5486,-1.7157,0,410,604,487
16,1,0.156,1.5623,2.1057,0,435,580,520
16,2,1.2478,1.5486,-1.7157,0,435,580,520
17,1,0.156,1.5623,2.1057,0,439,575,554
17,2,1.2478,1.5486,-1.7157,0,439,575,554
18,1,0.156,1.5623,2.1057,0,426,588,587
18,2,1.2478,1.5486,-1.7157,0,426,588,587
19,1,0.156,1.4513,2.1837,0,433,581,620
19,2,1.2478,1.5486,-1.7157,0,433,581,620
20,1,0.156,1.4513,2.1837,0,437,577,654
20,2,1.2478,1.5486,-1.7157,0,437,577,654
21,1,0.156,1.4513,2.1837,0,426,588,688
21,2,1.2478,1.5486,-1.7157,0,426,588,688
22,1,0.156,1.5623,2.1057,0,433,581,721
22,2,1.2478,1.5486,-1.7157,0,433,581,721
23,1,0.156,1.5623,2.1057,0,412,601,755
23,2,1.2478,1.5486,-1.7157,0,412,601,755
24,1,0.6629,0.4206,1.0528,0,151,630,787
24,2,0.156,1.5623,2.1057,0,423,590,787
24,3,1.2478,1.5486,-1.7157,0,423,590,787
25,1,0.6629,0.4206,1.0528,0,150,632,820
25,2,0.156,1.4513,2.1837,0,425,589,820
25,3,1.2478,1.5486,-1.7157,0,425,589,820
26,1,0.156,1.5623,2.1057,0,423,591,854
26,2,1.2478,1.5486,-1.7157,0,423,591,854
27,1,0.156,1.5623,2.1057,0,414,600,887
27,2,1.2478,1.5486,-1.7157,0,414,600,887
28,1,0.5459,0.3847,1.1308,0,155,633,920
28,2,0.156,1.5623,2.1057,0,434,579,920
28,3,1.2478,1.5486,-1.7157,0,434,579,920
29,1,0.156,1.5623,2.1057,0,410,604,954
29,2,1.2478,1.5486,-1.7157,0,410,604,954
30,1,0.156,1.5623,2.1057,0,416,597,988
30,2,1.2478,1.5486,-1.7157,0,416,597,988
31,1,0.156,1.5623,2.1057,0,409,604,1021
31,2,1.2478,1.5486,-1.7157,0,409,604,1021
32,1,0.156,1.5623,2.1057,0,419,594,1055
32,2,1.2478,1.5486,-1.7157,0,419,594,1055
33,1,0.156,1.5623,2.1057,0,431,582,1088
33,2,1.2478,1.5486,-1.7157,0,431,582,1088
34,1,0.156,1.5623,2.1057,0,410,604,1121
34,2,1.2478,1.5486,-1.7157,0,410,604,1121
35,1,0.156,1.5623,2.1057,0,395,618,1154
35,2,1.2478,1.5486,-1.7157,0,395,618,1154
36,1,0.156,1.5623,2.1057,0,417,596,1188
36,2,1.2478,1.5486,-1.7157,0,417,596,1188
37,1,0.156,1.5623,2.1057,0,425,589,1221
37,2,1.2478,1.5486,-1.7157,0,425,589,1221
38,1,0.156,1.5623,2.1057,0,407,607,1255
38,2,1.2478,1.5486,-1.7157,0,407,607,1255
39,1,0.078,1.4576,2.1837,0,400,614,1288
39,2,1.2478,1.5486,-1.7157,0,400,614,1288
40,1,0.156,1.5623,2.1057,0,408,606,1320
40,2,1.2478,1.5486,-1.7157,0,408,606,1320
41,1,0.156,1.5623,2.1057,0,424,589,1355
41,2,1.2478,1.5486,-1.7157,0,424,589,1355
42,1,0.156,1.5623,2.1057,0,427,586,1387
42,2,1.2478,1.5486,-1.7157,0,427,586,1387
43,1,0.156,1.5623,2.1057,0,393,620,1420
43,2,1.2478,1.5486,-1.7157,0,393,620,1420
44,1,0.156,1.5623,2.1057,0,422,592,1454
44,2,1.2478,1.5486,-1.7157,0,422,592,1454
45,1,0.156,1.5623,2.1057,0,403,611,1487
45,2,1.2478,1.5486,-1.7157,0,403,611,1487
46,1,0.156,1.5623,2.1057,0,457,556,1520
46,2,1.2478,1.5486,-1.7157,0,457,556,1520
47,1,0.156,1.5623,2.1057,0,430,584,1554
47,2,1.2478,1.5486,-1.7157,0,430,584,1554
48,1,0.156,1.5623,2.1057,0,433,580,1588
48,2,1.2478,1.5486,-1.7157,0,433,580,1588
49,1,0.156,1.5623,2.1057,0,427,587,1621
49,2,1.2478,1.5486,-1.7157,0,427,587,1621
50,1,0.156,1.5623,2.1057,0,423,590,1654
50,2,1.2478,1.5486,-1.7157,0,423,590,1654
51,1,0.156,1.5623,2.1057,0,431,582,1688
51,2,1.2478,1.5486,-1.7157,0,431,582,1688
52,1,0.156,1.5623,2.1057,0,422,592,1721
52,2,1.2478,1.5486,-1.7157,0,422,592,1721
53,1,0.156,1.5623,2.1057,0,414,600,1754
53,2,1.2478,1.5486,-1.7157,0,414,600,1754
54,1,0.156,1.5623,2.1057,0,450,564,1787
54,2,1.2478,1.5486,-1.7157,0,450,564,1787
55,1,0.156,1.5623,2.1057,0,407,607,1821
55,2,1.2478,1.5486,-1.7157,0,407,607,1821
56,1,0.156,1.5623,2.1057,0,430,585,1854
56,2,1.2478,1.5486,-1.7157,0,430,585,1854
57,1,0.156,1.5623,2.1057,0,420,594,1888
57,2,1.2478,1.5486,-1.7157,0,420,594,1888
58,1,0.156,1.5623,2.1057,0,441,574,1921
58,2,1.2478,1.5486,-1.7157,0,441,574,1921
59,1,0.156,1.5623,2.1057,0,417,598,1954
59,2,1.2478,1.5486,-1.7157,0,417,598,1954
60,1,0.156,1.5623,2.1057,0,451,565,1988
60,2,1.2478,1.5486,-1.7157,0,451,565,1988
61,1,0.156,1.5623,2.1057,0,423,593,2020
61,2,1.2478,1.5486,-1.7157,0,423,593,2020
62,1,0.156,1.5623,2.1057,0,407,610,2054
62,2,1.2478,1.5486,-1.7157,0,407,610,2054
63,1,0.156,1.5623,2.1057,0,445,572,2087
63,2,1.2478,1.5486,-1.7157,0,445,572,2087
64,1,0.156,1.5623,2.1057,0,445,572,2120
64,2,1.2478,1.5486,-1.7157,0,445,572,2120
65,1,0.156,1.5623,2.1057,0,433,585,2153
65,2,1.2478,1.5486,-1.7157,0,433,585,2153
66,1,0.156,1.4513,2.1837,0,438,579,2188
66,2,1.2478,1.5486,-1.7157,0,438,579,2188
67,1,0.156,1.4513,2.1837,0,443,575,2221
67,2,1.2478,1.5486,-1.7157,0,443,575,2221
68,1,0.156,1.4513,2.1837,0,438,580,2254
68,2,1.2478,1.5486,-1.7157,0,438,580,2254
69,1,0.156,1.5623,2.1057,0,418,600,2288
69,2,0.156,1.4513,2.1837,0,418,600,2288
69,3,1.2478,1.5486,-1.7157,0,418,600,2288
70,1,0.156,1.4513,2.1837,0,433,585,2321
70,2,1.2478,1.5486,-1.7157,0,433,585,2321
71,1,0.156,1.4513,2.1837,0,435,582,2354
71,2,1.2478,1.5486,-1.7157,0,435,582,2354
72,1,0.156,1.4513,2.1837,0,417,601,2387
72,2,1.2478,1.5486,-1.7157,0,417,601,2387
73,1,0.156,1.4513,2.1837,0,437,581,2421
73,2,1.2478,1.5486,-1.7157,0,437,581,2421
74,1,0.156,1.5623,2.1057,0,430,588,2454
74,2,1.2478,1.5486,-1.7157,0,430,588,2454
75,1,0.156,1.4513,2.1837,0,421,597,2487
75,2,1.2478,1.5486,-1.7157,0,421,597,2487
76,1,0.156,1.5623,2.1057,0,435,583,2520
76,2,1.2478,1.5486,-1.7157,0,435,583,2520
77,1,0.156,1.5623,2.1057,0,404,615,2554
77,2,1.2478,1.5486,-1.7157,0,404,615,2554
78,1,0.5793,0.515,0.9414,0,158,582,2587
78,2,0.156,1.5623,2.1057,0,433,585,2587
78,3,1.2478,1.5486,-1.7157,0,433,585,2587
79,1,0.156,1.5623,2.1057,0,441,577,2620
79,2,1.2478,1.5486,-1.7157,0,441,577,2620
80,1,0.156,1.4513,2.1837,0,438,580,2655
80,2,1.2478,1.5486,-1.7157,0,438,580,2655
81,1,0.156,1.4513,2.1837,0,445,574,2688
81,2,1.2478,1.5486,-1.7157,0,445,574,2688
82,1,0.156,1.5623,2.1057,0,414,605,2721
82,2,1.2478,1.5486,-1.7157,0,414,605,2721
83,1,0.156,1.4513,2.1837,0,432,587,2753
83,2,1.2478,1.5486,-1.7157,0,432,587,2753
84,1,0.156,1.4513,2.1837,0,425,595,2788
84,2,1.2478,1.5486,-1.7157,0,425,595,2788
85,1,0.156,1.4513,2.1837,0,438,582,2821
85,2,1.2478,1.5486,-1.7157,0,438,582,2821
86,1,0.156,1.4513,2.1837,0,442,578,2853
86,2,1.2478,1.5486,-1.7157,0,442,578,2853
87,1,0.156,1.4513,2.1837,0,417,603,2888
87,2,1.2478,1.5486,-1.7157,0,417,603,2888
88,1,0.156,1.4513,2.1837,0,406,614,2921
88,2,1.2478,1.6309,-1.6377,0,406,614,2921
88,3,-0.3565,2.5667,1.5152,0,176,700,2921
89,1,0.156,1.4513,2.1837,0,429,590,2954
89,2,1.3258,1.4824,-1.7157,0,429,590,2954
89,3,-0.3565,2.5667,1.5152,0,187,690,2954
89,4,0.6601,6.2287,-3.9607,0,154,759,2954
90,1,0.156,1.4513,2.1837,0,440,580,2987
90,2,1.3258,1.4824,-1.7157,0,440,580,2987
90,3,0.8801,6.0553,-4.1807,0,154,760,2987
91,1,0.156,1.4513,2.1837,0,437,582,3020
91,2,1.3258,1.4824,-1.7157,0,437,582,3020
91,3,0.8801,6.0553,-4.1807,0,157,757,3020
92,1,0.1504,1.3995,2.1057,0,410,610,3054
92,2,1.128,1.6274,-1.5793,0,410,610,3054
92,3,0.8801,6.0553,-4.1807,0,153,760,3054
93,1,0.0752,1.2858,2.1809,0,418,603,3087
93,2,0.6601,6.2287,-3.9607,0,155,758,3087
94,1,0.0752,1.4055,2.1057,0,408,614,3121
94,2,-0.7771,2.2719,1.6405,0,262,639,3121
94,3,0.5181,1.0118,2.6767,0,262,639,3121
94,4,0.8801,6.0553,-4.1807,0,161,753,3121
95,1,0.0752,1.4055,2.1057,0,412,612,3155
95,2,1.128,1.6274,-1.5793,0,412,612,3155
95,3,-0.6907,2.3588,1.5542,0,258,646,3155
95,4,0.5181,1.0118,2.6767,0,258,646,3155
95,5,0.8801,5.8973,-4.4007,0,163,747,3155
95,6,-2.4204,2.3423,6.6011,0,163,747,3155
96,1,0.0752,1.4055,2.1057,0,405,620,3188
96,2,1.128,1.6274,-1.5793,0,405,620,3188
96,3,-0.6907,2.3588,1.5542,0,235,661,3188
96,4,0.5181,1.0118,2.6767,0,235,661,3188
96,5,-0.6239,2.5151,1.5152,0,182,714,3188
96,6,0.713,1.3497,2.5847,0,182,714,3188
97,1,0.0752,1.4055,2.1057,0,435,591,3221
97,2,1.128,1.6274,-1.5793,0,435,591,3221
97,3,-0.4456,2.6505,1.3369,0,208,695,3221
97,4,0.8022,1.4627,2.4956,0,208,695,3221
98,1,0.0752,1.4055,2.1057,0,450,577,3254
99,1,0.0752,1.4055,2.1057,0,428,600,3287
99,2,0,2.2735,1.8132,0,241,635,3287
100,1,0.0752,1.4055,2.1057,0,405,623,3320
101,1,0.0752,1.4055,2.1057,0,410,616,3355
102,1,0.0752,1.2858,2.1809,0,430,589,3388
102,2,-0.6239,2.3333,1.7826,0,214,684,3388
103,1,0,1.288,2.1809,0,402,609,3421
103,2,1.128,1.6274,-1.5793,0,402,609,3421
103,3,-0.5348,2.4202,1.6934,0,230,688,3421
103,4,0.713,0.9319,-2.763,0,230,688,3421
104,1,0,1.288,2.1809,0,401,596,3454
104,2,-0.4596,2.5758,1.6545,0,177,724,3454
104,3,0.6601,6.3633,-3.7406,0,165,768,3454
105,1,0,1.288,2.1809,0,357,617,3488
