frame_id,point_id,x,y,z,doppler,snr,noise,timestamp
1,1,1.5598,0.8436,-0.6128,0,349,639,21
1,2,2.2728,3.7105,-1.9887,0,160,873,21
2,1,1.5598,0.8436,-0.6128,0,341,646,55
2,2,2.2728,3.7105,-1.9887,0,175,858,55
2,3,-3.0917,5.1334,-3.5039,0,163,794,55
2,4,0,6.8926,-0.8244,0,163,794,55
3,1,1.5598,0.8436,-0.6128,0,339,648,88
3,2,2.2728,3.7105,-1.9887,0,177,855,88
3,3,-3.2978,5.1417,-3.2978,0,160,792,88
3,4,0,6.9141,-0.6183,0,160,792,88
4,1,1.5598,0.8436,-0.6128,0,363,625,121
4,2,2.2728,3.7105,-1.9887,0,180,853,121
4,3,-3.0917,5.2682,-3.2978,0,152,801,121
4,4,0,6.9141,-0.6183,0,152,801,121
5,1,1.5598,0.8436,-0.6128,0,361,627,155
5,2,2.2728,3.7105,-1.9887,0,171,862,155
5,3,-3.0917,5.1334,-3.5039,0,161,795,155
5,4,0,6.9141,-0.6183,0,161,795,155
6,1,1.5598,0.8436,-0.6128,0,358,630,188
6,2,2.2728,3.7105,-1.9887,0,165,868,188
6,3,-3.0917,5.2682,-3.2978,0,161,794,188
6,4,0,6.9141,-0.6183,0,161,794,188
7,1,1.5598,0.8436,-0.6128,0,347,641,221
7,2,2.2728,3.7105,-1.9887,0,164,869,221
7,3,-3.0917,5.2682,-3.2978,0,150,800,221
7,4,0,6.9141,-0.6183,0,150,800,221
8,1,1.5598,0.8436,-0.6128,0,349,639,255
8,2,2.2728,3.7105,-1.9887,0,169,864,255
8,3,-3.0917,5.1334,-3.5039,0,150,805,255
8,4,0,6.9141,-0.6183,0,150,805,255
9,1,1.5598,0.8436,-0.6128,0,345,642,289
9,2,2.2728,3.7105,-1.9887,0,170,862,289
9,3,-3.0917,5.1334,-3.5039,0,162,796,289
9,4,0,6.9141,-0.6183,0,162,796,289
10,1,1.5598,0.8436,-0.6128,0,359,629,322
10,2,2.2728,3.7105,-1.9887,0,165,868,322
10,3,-3.0917,5.1334,-3.5039,0,167,792,322
10,4,0,6.8926,-0.8244,0,167,792,322
11,1,1.5598,0.8436,-0.6128,0,358,630,355
11,2,2.2728,3.7105,-1.9887,0,184,849,355
11,3,-3.2978,5.1417,-3.2978,0,162,794,355
11,4,0,6.8926,-0.8244,0,162,794,355
12,1,1.5598,0.8436,-0.6128,0,355,633,388
12,2,2.2728,3.7105,-1.9887,0,171,862,388
12,3,-3.0917,5.1334,-3.5039,0,155,802,388
12,4,0,6.8926,-0.8244,0,155,802,388
13,1,1.5598,0.8436,-0.6128,0,350,638,421
13,2,2.2728,3.7105,-1.9887,0,166,867,421
13,3,-3.0917,5.1334,-3.5039,0,161,798,421
13,4,0,6.8926,-0.8244,0,161,798,421
14,1,1.5598,0.8436,-0.6128,0,348,639,454
14,2,2.2728,3.7105,-1.9887,0,170,863,454
14,3,-3.0917,5.1334,-3.5039,0,160,801,454
14,4,0,6.8926,-0.8244,0,160,801,454
15,1,1.5598,0.8436,-0.6128,0,336,651,488
15,2,2.2728,3.7105,-1.9887,0,176,857,488
16,1,1.5598,0.8436,-0.6128,0,337,651,522
16,2,2.2728,3.7105,-1.9887,0,177,855,522
17,1,1.5598,0.8436,-0.6128,0,363,625,555
17,2,2.2728,3.7105,-1.9887,0,161,872,555
18,1,1.5598,0.8436,-0.6128,0,340,648,589
18,2,2.2728,3.7105,-1.9887,0,177,856,589
19,1,1.5598,0.8436,-0.6128,0,343,645,621
19,2,2.2728,3.7105,-1.9887,0,177,855,621
20,1,1.5598,0.8436,-0.6128,0,343,645,654
20,2,2.2728,3.7105,-1.9887,0,164,868,654
21,1,1.5598,0.8436,-0.6128,0,356,632,688
21,2,2.2728,3.7105,-1.9887,0,171,862,688
22,1,1.5598,0.8436,-0.6128,0,350,637,721
22,2,2.2728,3.7105,-1.9887,0,180,853,721
23,1,1.5598,0.8436,-0.6128,0,361,627,754
23,2,2.2728,3.7105,-1.9887,0,180,852,754
24,1,1.5598,0.8436,-0.6128,0,362,626,788
24,2,2.2728,3.7105,-1.9887,0,165,867,788
24,3,0.1727,5.5511,-1.7269,-1.4275,216,541,788
24,4,-2.2449,3.4073,-4.1445,-1.4275,216,541,788
25,1,1.5598,0.8436,-0.6128,0,340,648,821
25,2,2.2728,3.7105,-1.9887,0,178,855,821
26,1,1.5598,0.8436,-0.6128,0,351,637,854
26,2,2.2728,3.7105,-1.9887,0,177,856,854
27,1,1.5598,0.8436,-0.6128,0,350,637,888
27,2,2.2728,3.7105,-1.9887,0,177,855,888
27,3,-3.0917,5.1334,-3.5039,0,153,809,888
27,4,0,6.8926,-0.8244,0,153,809,888
28,1,1.5598,0.8436,-0.6128,0,355,633,922
28,2,2.2728,3.7105,-1.9887,0,174,859,922
29,1,1.5598,0.8436,-0.6128,0,347,641,955
29,2,2.2728,3.7105,-1.9887,0,160,873,955
30,1,1.5598,0.8436,-0.6128,0,341,646,989
30,2,2.2728,3.7105,-1.9887,0,177,855,989
31,1,1.5598,0.8436,-0.6128,0,350,637,1021
31,2,2.2728,3.7105,-1.9887,0,173,859,1021
31,3,-3.0917,5.1334,-3.5039,0,151,811,1021
31,4,0,6.8926,-0.8244,0,151,811,1021
32,1,1.5598,0.8436,-0.6128,0,349,639,1054
32,2,2.2728,3.7105,-1.9887,0,176,856,1054
32,3,-3.2978,5.1417,-3.2978,0,150,809,1054
32,4,0,6.8926,-0.8244,0,150,809,1054
33,1,1.5598,0.8436,-0.6128,0,318,670,1088
33,2,2.2728,3.7105,-1.9887,0,173,859,1088
34,1,1.5598,0.8436,-0.6128,0,346,641,1121
34,2,2.2728,3.7105,-1.9887,0,172,861,1121
34,3,-3.0917,5.2682,-3.2978,0,156,798,1121
34,4,0,6.8926,-0.8244,0,156,798,1121
35,1,1.5598,0.8436,-0.6128,0,346,641,1154
35,2,2.2728,3.7105,-1.9887,0,170,862,1154
36,1,1.5598,0.8436,-0.6128,0,353,634,1188
36,2,2.2728,3.7105,-1.9887,0,174,858,1188
37,1,1.5598,0.8436,-0.6128,0,349,639,1221
37,2,2.2728,3.7105,-1.9887,0,168,865,1221
37,3,-3.2978,5.0035,-3.5039,0,154,805,1221
37,4,0,6.8648,-1.0306,0,154,805,1221
38,1,1.5598,0.8436,-0.6128,0,333,655,1254
38,2,2.2728,3.7105,-1.9887,0,175,858,1254
38,3,-3.0917,5.1334,-3.5039,0,156,802,1254
38,4,0,6.8926,-0.8244,0,156,802,1254
39,1,1.5598,0.8436,-0.6128,0,345,643,1288
39,2,2.2728,3.7105,-1.9887,0,164,869,1288
39,3,-3.0917,5.1334,-3.5039,0,160,793,1288
39,4,0,6.8926,-0.8244,0,160,793,1288
40,1,1.5598,0.8436,-0.6128,0,356,631,1322
40,2,2.2728,3.7105,-1.9887,0,176,857,1322
41,1,1.5598,0.8436,-0.6128,0,352,636,1355
41,2,2.2728,3.7105,-1.9887,0,164,869,1355
42,1,1.5598,0.8436,-0.6128,0,343,645,1389
42,2,2.2728,3.7105,-1.9887,0,168,864,1389
42,3,-3.0917,5.1334,-3.5039,0,155,805,1389
42,4,0,6.8926,-0.8244,0,155,805,1389
43,1,1.5598,0.8436,-0.6128,0,345,642,1422
43,2,2.2728,3.7105,-1.9887,0,169,863,1422
43,3,0,5.1922,-2.1725,-1.4275,237,553,1422
44,1,1.5598,0.8436,-0.6128,0,346,641,1455
