frame_id	accel_x	accel_y	accel_z	free_accel_x	free_accel_y	free_accel_z	delta_v_x	delta_v_y	delta_v_z	delta_q_w	delta_q_x	delta_q_y	delta_q_z	rate_x	rate_y	rate_z	quat_w	quat_x	quat_y	quat_z	mag_x	mag_y	mag_z	temperature	status_byte	packet_counter	time_fine
1866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	-0.73052	-0.0496907	9.7821	0.894962	-0.92889	0.89698	-0.00730438	-0.000511121	0.097821	1	7.04806e-05	4.05906e-06	2.90982e-05	0.0140961	0.000811811	0.00581964	0	0	0	0	0.309237	0.431687	-0.971109	34.0625	3	51511	5202664
7	-0.73052	-0.0496907	9.7821	0.894962	-0.92889	0.89698	-0.00730438	-0.000511121	0.097821	1	7.04806e-05	4.05906e-06	2.90982e-05	0.0140961	0.000811811	0.00581964	0	0	0	0	0.309237	0.431687	-0.971109	34.0625	3	51511	5202664
8	-0.73052	-0.0496907	9.7821	0.894962	-0.92889	0.89698	-0.00730438	-0.000511121	0.097821	1	7.04806e-05	4.05906e-06	2.90982e-05	0.0140961	0.000811811	0.00581964	0	0	0	0	0.309237	0.431687	-0.971109	34.0625	3	51511	5202664
9	-0.73052	-0.0496907	9.7821	0.894962	-0.92889	0.89698	-0.00730438	-0.000511121	0.097821	1	7.04806e-05	4.05906e-06	2.90982e-05	0.0140961	0.000811811	0.00581964	0	0	0	0	0.309237	0.431687	-0.971109	34.0625	3	51511	5202664
10	-0.73052	-0.0496907	9.7821	0.894962	-0.92889	0.89698	-0.00730438	-0.000511121	0.097821	1	7.04806e-05	4.05906e-06	2.90982e-05	0.0140961	0.000811811	0.00581964	0	0	0	0	0.309237	0.431687	-0.971109	34.0625	3	51511	5202664
11	-0.759961	-0.0675068	9.7899	0.201	-0.466263	0.997768	-0.00760402	-0.000684072	0.0978986	1	4.37724e-05	-2.27502e-05	2.85244e-05	0.00875447	-0.00455005	0.00570487	0	0	0	0	0.047807	0.506352	-0.98592	34.125	1	54158	5468828
12	-0.683843	-0.0638838	9.78634	0.278374	-0.467112	0.982269	-0.00683875	-0.000645601	0.0978633	1	3.30599e-05	-1.78261e-06	2.13108e-05	0.00661199	-0.000356521	0.00426216	0	0	0	0	0.047778	0.505891	-0.987445	34.125	1	54162	5469228
10	-0.732294	-0.0436903	9.77769	0.221287	-0.444463	0.981935	-0.00732291	-0.000443975	0.0977768	1	3.50047e-05	4.48465e-08	1.54283e-05	0.00700094	8.9693e-06	0.00308567	0	0	0	0	0.0473263	0.507801	-0.984876	34.125	1	54165	5469528
14	-0.786519	-0.0903909	9.78475	0.17711	-0.49602	0.99585	-0.00785934	-0.000910553	0.0978479	1	3.17973e-05	2.96664e-05	2.68219e-05	0.00635947	0.00593328	0.00536438	0	0	0	0	0.0478108	0.505386	-0.986447	34.125	1	54168	5469828
15	-0.757459	-0.0786418	9.78129	0.200124	-0.487663	0.98754	-0.00757501	-0.000797655	0.0978128	1	5.52387e-05	-2.37514e-06	2.84835e-05	0.0110477	-0.000475028	0.00569671	0	0	0	0	0.048782	0.50778	-0.984378	34.125	1	54172	5470228
16	-0.926907	-0.152332	9.73572	-0.0269732	-0.411411	0.916872	-0.00927002	-0.00153573	0.0973569	1	6.13527e-05	-5.2665e-06	2.48475e-05	0.0122705	-0.0010533	0.00496951	0	0	0	0	0.0478397	0.505846	-0.984921	34.125	1	54175	5470528
17	-0.90685	-0.0144488	9.78218	-0.0512517	-0.462499	0.978993	-0.00906991	-0.000156174	0.0978217	1	5.7705e-05	-7.22773e-06	2.18422e-05	0.011541	-0.00144555	0.00436843	0	0	0	0	0.0487692	0.506344	-0.985925	34.125	1	54178	5470828
18	-0.884118	-0.0918307	9.76374	0.0290929	-0.577006	0.972415	-0.00884429	-0.000924431	0.0976371	1	2.91468e-05	-1.61709e-05	2.44233e-05	0.00582936	-0.00323419	0.00488466	0	0	0	0	0.0473752	0.50632	-0.983899	34.125	1	54182	5471228
19	-0.816284	-0.0661361	9.75771	0.102425	-0.504061	0.962936	-0.00816332	-0.000669044	0.097577	1	3.74483e-05	-2.61549e-06	2.29853e-05	0.00748967	-0.000523098	0.00459706	0	0	0	0	0.0497196	0.50779	-0.985392	34.125	1	54185	5471528
20	-0.845719	-0.0832398	9.79172	0.0873162	-0.489634	0.995155	-0.00846652	-0.000838998	0.0979163	1	3.3274e-05	-4.76783e-05	4.93359e-06	0.0066548	-0.00953566	0.000986717	0	0	0	0	0.0497234	0.506824	-0.985918	34.125	1	54188	5471828
21	-0.771707	-0.074167	9.78855	0.168923	-0.49507	0.99307	-0.00771838	-0.000749742	0.0978853	1	3.98382e-05	-6.79311e-06	1.76915e-05	0.00796764	-0.00135862	0.0035383	0	0	0	0	0.0482388	0.506384	-0.987942	34.125	1	54192	5472228
22	-0.738088	-0.0747082	9.79749	0.213246	-0.509536	1.00126	-0.00738626	-0.000759741	0.0979744	1	6.26629e-05	-2.76196e-05	2.57288e-05	0.0125326	-0.00552391	0.00514576	0	0	0	0	0.0473629	0.506329	-0.984403	34.125	1	54195	5472528
23	-0.687794	-0.0825165	9.78928	0.272103	-0.520279	0.981018	-0.00688306	-0.000836324	0.0978924	1	5.55608e-05	-2.63638e-05	2.04259e-05	0.0111122	-0.00527277	0.00408518	0	0	0	0	0.047305	0.505408	-0.987454	34.125	1	54198	5472828
24	-0.697465	-0.0473937	9.78861	0.26295	-0.487024	0.991118	-0.0069753	-0.000484855	0.097886	1	5.35101e-05	-3.46613e-06	3.17079e-05	0.010702	-0.000693226	0.00634158	0	0	0	0	0.0482881	0.506348	-0.985922	34.125	1	54202	5473228
25	-0.697261	-0.0977798	9.79125	0.262325	-0.549099	0.991627	-0.0069747	-0.000987886	0.0979122	1	5.09154e-05	-1.07273e-05	8.36858e-06	0.0101831	-0.00214546	0.00167372	0	0	0	0	0.0463751	0.503465	-0.987493	34.125	1	54205	5473528
