frame_id	accel_x	accel_y	accel_z	free_accel_x	free_accel_y	free_accel_z	delta_v_x	delta_v_y	delta_v_z	delta_q_w	delta_q_x	delta_q_y	delta_q_z	rate_x	rate_y	rate_z	quat_w	quat_x	quat_y	quat_z	mag_x	mag_y	mag_z	temperature	status_byte	packet_counter	time_fine
2003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	-0.67988	-0.0784856	9.79207	1.26084	-0.100637	0.855608	-0.00680276	-0.000796018	0.0979204	1	5.56352e-05	-2.03923e-05	1.95656e-05	0.011127	-0.00407846	0.00391312	0	0	0	0	0.0780319	0.509054	-0.987515	33.75	3	38783	3926902
7	-0.67988	-0.0784856	9.79207	1.26084	-0.100637	0.855608	-0.00680276	-0.000796018	0.0979204	1	5.56352e-05	-2.03923e-05	1.95656e-05	0.011127	-0.00407846	0.00391312	0	0	0	0	0.0780319	0.509054	-0.987515	33.75	3	38783	3926902
8	-0.67988	-0.0784856	9.79207	1.26084	-0.100637	0.855608	-0.00680276	-0.000796018	0.0979204	1	5.56352e-05	-2.03923e-05	1.95656e-05	0.011127	-0.00407846	0.00391312	0	0	0	0	0.0780319	0.509054	-0.987515	33.75	3	38783	3926902
9	-0.67988	-0.0784856	9.79207	1.26084	-0.100637	0.855608	-0.00680276	-0.000796018	0.0979204	1	5.56352e-05	-2.03923e-05	1.95656e-05	0.011127	-0.00407846	0.00391312	0	0	0	0	0.0780319	0.509054	-0.987515	33.75	3	38783	3926902
10	-0.67988	-0.0784856	9.79207	1.26084	-0.100637	0.855608	-0.00680276	-0.000796018	0.0979204	1	5.56352e-05	-2.03923e-05	1.95656e-05	0.011127	-0.00407846	0.00391312	0	0	0	0	0.0780319	0.509054	-0.987515	33.75	3	38783	3926902
11	-0.689953	-0.0756088	9.76968	0.104499	-0.430321	0.991332	-0.00689793	-0.000767087	0.0976968	1	5.51155e-05	8.07432e-06	1.66098e-05	0.0110231	0.00161486	0.00332196	0	0	0	0	0.0745028	0.506308	-0.996145	33.8125	1	40895	4139577
12	-0.73248	-0.108292	9.77548	0.0509964	-0.458723	0.993126	-0.00733052	-0.00108861	0.0977543	1	2.76565e-05	-2.94667e-05	1.96571e-05	0.00553131	-0.00589334	0.00393142	0	0	0	0	0.0812897	0.511998	-0.98999	33.8125	1	40898	4139877
10	-0.740027	-0.140488	9.77487	0.0680908	-0.492768	1.00723	-0.00739232	-0.00141115	0.0977492	1	3.00238e-05	4.02929e-05	2.69338e-05	0.00600476	0.00805858	0.00538677	0	0	0	0	0.0765796	0.506663	-0.989581	33.8125	1	40902	4140277
14	-0.78079	-0.380798	9.82308	-0.00610023	-0.737529	1.04945	-0.00782966	-0.00380279	0.0982293	1	-2.82997e-05	-0.000111661	2.37622e-05	-0.00565993	-0.0223321	0.00475244	0	0	0	0	0.080624	0.513582	-0.996517	33.8125	1	40905	4140577
15	-0.954983	-0.289041	9.82913	-0.215785	-0.68245	1.06512	-0.00955334	-0.0029155	0.0982902	1	0.000124813	-1.86928e-05	2.91379e-05	0.0249626	-0.00373856	0.00582757	0	0	0	0	0.0756178	0.508116	-0.988535	33.8125	1	40908	4140877
16	-0.667692	-0.0558198	9.83972	0.0436251	-0.403476	1.02697	-0.00670053	-0.00056009	0.0983956	1	8.75472e-06	-0.00012005	1.26257e-05	0.00175094	-0.0240099	0.00252514	0	0	0	0	0.0776827	0.510273	-1.00112	33.8125	1	40912	4141277
17	-0.95725	-0.11999	9.76245	-0.166452	-0.473878	1.06895	-0.00959465	-0.00119916	0.0976224	1	-6.97679e-06	-0.000113855	3.24182e-05	-0.00139536	-0.0227711	0.00648364	0	0	0	0	0.0789453	0.510527	-0.988496	33.8125	1	40915	4141577
18	-1.06798	-0.718309	9.78668	-0.265086	-1.10057	1.07461	-0.0106705	-0.00712422	0.0978721	1	-0.00030546	4.41844e-05	4.34147e-05	-0.061092	0.00883688	0.00868294	0	0	0	0	0.0792082	0.509719	-0.998112	33.8125	1	40918	4141877
19	-0.705384	0.313924	9.7863	0.0991071	-0.141421	1.0108	-0.00705458	0.00303632	0.0978662	1	0.000525994	-3.85568e-06	-1.99024e-06	0.105199	-0.000771135	-0.000398047	0	0	0	0	0.0812607	0.511537	-0.991515	33.8125	1	40922	4142277
20	-0.65289	-0.0912254	9.80122	0.129901	-0.523647	1.02925	-0.00653262	-0.000947996	0.0980116	1	0.000180421	-1.91999e-05	2.8721e-05	0.0360842	-0.00383997	0.0057442	0	0	0	0	0.0769003	0.506776	-0.996146	33.8125	1	40925	4142577
21	-0.709845	0.00925202	9.76752	0.0847344	-0.400233	0.997986	-0.00710528	6.95687e-05	0.0976748	1	0.000117062	-3.49433e-05	5.87963e-06	0.0234123	-0.00698865	0.00117593	0	0	0	0	0.0812038	0.513506	-0.992481	33.8125	1	40928	4142877
22	-0.566281	-0.0873106	9.91259	0.235241	-0.473969	1.04592	-0.00566415	-0.000878244	0.0991257	1	2.41453e-05	-7.044e-06	3.09459e-05	0.00482905	-0.0014088	0.00618918	0	0	0	0	0.0766204	0.505669	-0.988594	33.8125	1	40932	4143277
23	-0.791993	-0.0633249	9.51713	0.0465335	-0.488835	0.780854	-0.0079302	-0.00062893	0.0951705	1	-2.61097e-05	-5.42284e-05	4.10062e-05	-0.00522195	-0.0108457	0.00820123	0	0	0	0	0.0786174	0.51414	-0.999526	33.8125	1	40935	4143577
24	-0.661705	-0.117284	9.87532	0.0853559	-0.543612	1.08988	-0.00660951	-0.00118016	0.0987536	1	3.60834e-05	3.80076e-05	1.4663e-05	0.00721669	0.00760152	0.00293259	0	0	0	0	0.0766161	0.505191	-0.989109	33.8125	1	40938	4143877
25	-0.675268	-0.15557	9.88593	0.0445779	-0.515688	0.967823	-0.0067482	-0.00155184	0.0988596	1	-2.02842e-05	2.25286e-05	1.08948e-05	-0.00405684	0.00450572	0.00217896	0	0	0	0	0.0781838	0.508327	-1.00167	33.8125	1	40942	4144277
26	-0.80882	-0.0798103	9.69753	0.0158003	-0.498662	0.935607	-0.00808854	-0.000803627	0.0969752	1	2.8234e-05	-1.79908e-06	2.92783e-06	0.00564681	-0.000359816	0.000585566	0	0	0	0	0.0789661	0.511476	-0.98696	33.8125	1	40945	4144577
27	-0.786626	-0.136499	9.78169	-0.000400282	-0.535788	0.99519	-0.00786355	-0.0013811	0.0978169	1	8.09151e-05	1.36055e-05	1.7695e-05	0.016183	0.00272109	0.003539	0	0	0	0	0.0767414	0.511229	-0.999582	33.8125	1	40948	4144877
28	-0.569677	-0.123746	9.78479	0.233468	-0.519457	1.05833	-0.00570909	-0.00124821	0.097847	1	5.3739e-05	-6.32093e-05	1.97709e-05	0.0107478	-0.0126419	0.00395418	0	0	0	0	0.0788471	0.512045	-0.991493	33.8125	1	40952	4145277
29	-0.829353	-0.0213186	9.83292	-0.0396644	-0.463488	1.17887	-0.00830511	-0.000230095	0.0983282	1	8.55494e-05	-5.8895e-05	5.11801e-06	0.0171099	-0.011779	0.0010236	0	0	0	0	0.0759381	0.506784	-0.996142	33.8125	1	40955	4145577
