frame_id,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
15,-0.710579,-0.131185,9.8052,0.202157,-0.444281,1.03106,-0.00711478,-0.00132169,0.0980513,1,4.78919e-05,-4.62594e-05,3.14323e-05,0.00957838,-0.00925187,0.00628645,0,0,0,0,0.0948023,0.499809,-0.996889,34.8125,1,7839,7398001
16,-0.827246,0.0340509,9.78565,0.0783511,-0.467669,1.01634,-0.00827652,0.000328206,0.0978562,1,6.23278e-05,-2.06883e-05,6.33782e-06,0.0124655,-0.00413765,0.00126756,0,0,0,0,0.088546,0.494079,-1.00103,34.8125,1,7842,7398301
17,-0.366597,-0.333412,9.86766,0.54618,-1.02311,1.20029,-0.00365956,-0.00335166,0.0986762,1,8.73835e-05,3.10717e-05,4.07801e-05,0.0174767,0.00621433,0.00815602,0,0,0,0,0.0942923,0.499352,-0.998412,34.8125,1,7845,7398601
18,-0.640675,0.348957,9.76518,0.18812,-0.029716,0.954334,-0.00640953,0.00347947,0.097652,1,4.79088e-05,-1.2163e-05,5.80071e-05,0.00958176,-0.0024326,0.0116014,0,0,0,0,0.091185,0.490998,-0.993532,34.8125,1,7849,7399001
19,-0.783049,-0.0919718,9.80636,0.124676,-0.674643,1.04358,-0.00783508,-0.000924742,0.0980632,1,2.50843e-05,-2.34542e-05,6.68654e-06,0.00501685,-0.00469085,0.00133731,0,0,0,0,0.0950737,0.499958,-1.00547,34.8125,1,7852,7399301
20,-0.844538,-0.033812,9.75806,0.0475852,-0.448867,0.988773,-0.00844675,-0.000347605,0.0975804,1,4.80674e-05,-7.01506e-06,6.18152e-06,0.00961348,-0.00140301,0.00123631,0,0,0,0,0.0891173,0.493046,-0.998023,34.8125,1,7855,7399601
21,-0.718089,-0.204569,9.80664,0.153506,-0.675716,1.01255,-0.00718869,-0.00205673,0.0980656,1,5.52666e-05,-4.00562e-05,1.38783e-05,0.0110533,-0.00801125,0.00277566,0,0,0,0,0.0911826,0.496647,-1.00957,34.8125,1,7859,7400001
22,-0.687958,-0.0362152,9.8038,0.190461,-0.538779,1.01431,-0.00688513,-0.000374035,0.0980375,1,5.99159e-05,-2.83621e-05,9.78633e-06,0.0119832,-0.00567242,0.00195727,0,0,0,0,0.0930041,0.495877,-0.994443,34.8125,1,7862,7400301
23,-0.728851,-0.0871493,9.77174,0.139663,-0.60076,0.984757,-0.00728846,-0.000879277,0.0977173,1,3.68115e-05,-8.76993e-08,4.04547e-05,0.00736231,-1.75399e-05,0.00809094,0,0,0,0,0.0917254,0.496598,-1.00705,34.8125,1,7865,7400601
24,-0.726692,-0.0294015,9.78647,0.141238,-0.534886,0.99262,-0.00726942,-0.000301924,0.0978645,1,3.93969e-05,-1.28092e-05,1.3655e-05,0.00787938,-0.00256185,0.002731,0,0,0,0,0.0924252,0.498844,-0.996394,34.8125,1,7869,7401001
