frame_id,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
15,-0.740556,-0.0650569,9.7862,0.140331,-0.501093,0.990916,-0.00741179,-0.000658536,0.0978615,1,3.88214e-05,-3.19725e-05,2.48622e-05,0.00776427,-0.00639449,0.00497244,0,0,0,0,0.0297623,0.504269,-0.9975,34.875,1,14725,8088041
16,-0.744504,-0.0762483,9.77763,0.143243,-0.520078,0.990301,-0.00744685,-0.00076711,0.0977761,1,2.23722e-05,-9.38578e-06,1.69036e-05,0.00447444,-0.00187716,0.00338073,0,0,0,0,0.0307696,0.503746,-0.996001,34.875,1,14728,8088341
17,-0.738721,-0.0736248,9.77829,0.149372,-0.512349,0.988842,-0.00738904,-0.00074736,0.0977827,1,5.57062e-05,-9.46791e-06,1.47483e-05,0.0111412,-0.00189358,0.00294966,0,0,0,0,0.0317394,0.501805,-0.997058,34.875,1,14732,8088741
18,-0.73617,-0.079718,9.77993,0.147036,-0.525903,0.991112,-0.00736539,-0.000808874,0.0977989,1,5.84667e-05,-1.90138e-05,1.75366e-05,0.0116933,-0.00380275,0.00350732,0,0,0,0,0.0317152,0.503268,-0.997026,34.875,1,14735,8089041
19,-0.735843,-0.0483536,9.78798,0.151187,-0.49846,0.991692,-0.00735999,-0.00049425,0.0978797,1,5.35305e-05,-8.03954e-06,1.59835e-05,0.0107061,-0.00160791,0.00319669,0,0,0,0,0.0317437,0.502284,-0.996543,34.875,1,14738,8089341
20,-0.733452,-0.0549595,9.78892,0.151165,-0.509847,0.996647,-0.00733546,-0.000558093,0.0978891,1,4.21069e-05,-4.88387e-06,1.73488e-05,0.00842138,-0.000976774,0.00346977,0,0,0,0,0.0303212,0.503244,-0.995,34.875,1,14742,8089741
21,-0.763638,-0.0608735,9.78264,0.117983,-0.518801,0.990833,-0.00763859,-0.000618918,0.0978261,1,5.14108e-05,-1.13304e-05,8.11578e-06,0.0102822,-0.00226607,0.00162316,0,0,0,0,0.0331671,0.504214,-0.996001,34.875,1,14745,8090041
22,-0.730752,-0.0525606,9.78621,0.146459,-0.513885,0.998225,-0.00730894,-0.000533719,0.097862,1,4.02461e-05,-7.31823e-06,1.61046e-05,0.00804923,-0.00146365,0.00322092,0,0,0,0,0.0307572,0.503755,-0.996505,34.875,1,14748,8090341
23,-0.735072,-0.0452538,9.78394,0.143718,-0.512713,0.991357,-0.00735388,-0.000462886,0.0978391,1,5.13663e-05,-1.62551e-05,2.01816e-05,0.0102733,-0.00325101,0.00403633,0,0,0,0,0.030762,0.505679,-0.994947,34.875,1,14752,8090741
24,-0.73198,-0.0503456,9.791,0.139577,-0.524731,1.00117,-0.00732214,-0.000515331,0.0979097,1,5.8813e-05,-1.20962e-05,2.44489e-05,0.0117626,-0.00241924,0.00488978,0,0,0,0,0.0317356,0.502771,-0.996532,34.875,1,14755,8091041
25,-0.722804,-0.0592465,9.79018,0.155272,-0.532045,0.992369,-0.00722948,-0.000602019,0.0979016,1,4.71174e-05,-7.46939e-06,2.27187e-05,0.00942348,-0.00149388,0.00454374,0,0,0,0,0.0317161,0.506159,-0.994941,34.875,1,14758,8091341
26,-0.730057,-0.0436415,9.78764,0.142742,-0.515805,0.991176,-0.00730292,-0.000444087,0.0978762,1,3.74745e-05,-1.20754e-05,2.30354e-05,0.00749491,-0.00241508,0.00460708,0,0,0,0,0.0293262,0.503758,-0.995994,34.875,1,14762,8091741
27,-0.721435,-0.0654473,9.78164,0.156271,-0.548619,0.989387,-0.00721553,-0.000662949,0.0978162,1,4.09783e-05,-6.25853e-06,3.18269e-05,0.00819566,-0.00125171,0.00636538,0,0,0,0,0.0331747,0.502281,-0.997054,34.875,1,14765,8092041
28,-0.71506,-0.0729149,9.78321,0.16013,-0.55222,0.988321,-0.00715006,-0.000737126,0.0978321,1,3.91546e-05,2.58347e-06,2.20632e-05,0.00783092,0.000516694,0.00441264,0,0,0,0,0.0298439,0.502281,-0.995524,34.875,1,14768,8092341
29,-0.729233,-0.0654044,9.79457,0.146332,-0.552696,1.00102,-0.0072913,-0.00066464,0.0979457,1,5.28806e-05,5.13717e-06,1.62475e-05,0.0105761,0.00102743,0.00324949,0,0,0,0,0.0302557,0.504256,-0.996997,34.875,1,14772,8092741
30,-0.730191,-0.0473618,9.78828,0.143617,-0.534502,0.993841,-0.00729988,-0.000483295,0.0978829,1,4.77005e-05,1.0256e-05,2.32401e-05,0.0095401,0.00205119,0.00464802,0,0,0,0,0.031337,0.503679,-0.992469,34.875,1,14775,8093041
31,-0.743226,-0.0632783,9.78621,0.134337,-0.558441,0.992648,-0.00743399,-0.000646278,0.0978618,1,6.78729e-05,-8.9089e-06,1.41434e-05,0.0135746,-0.00178178,0.00282869,0,0,0,0,0.0321593,0.503291,-0.998542,34.875,1,14778,8093341
32,-0.763326,-0.069054,9.7951,0.103919,-0.566609,1.00254,-0.00763262,-0.000703691,0.0979509,1,6.46596e-05,3.05471e-06,3.17419e-05,0.0129319,0.000610941,0.00634839,0,0,0,0,0.03077,0.505191,-0.994958,34.875,1,14782,8093741
33,-0.828289,-0.0595151,9.78715,0.0431283,-0.562796,1.00132,-0.00828361,-0.000603639,0.0978714,1,4.08626e-05,-3.88007e-06,2.95789e-05,0.00817253,-0.000776014,0.00591579,0,0,0,0,0.0288408,0.503283,-0.996507,34.875,1,14785,8094041
34,-0.907933,-0.0358808,9.77333,-0.0502246,-0.538745,0.989769,-0.00908401,-0.000367007,0.0977328,1,4.07884e-05,-2.40129e-05,1.2448e-05,0.00815767,-0.00480259,0.00248959,0,0,0,0,0.0317318,0.503738,-0.996005,34.875,1,14788,8094341
35,-0.685921,-0.0626773,9.77836,0.185776,-0.561987,0.982321,-0.00685883,-0.000633609,0.0977836,1,3.38349e-05,1.84793e-06,1.59388e-05,0.00676698,0.000369586,0.00318775,0,0,0,0,0.0303501,0.503705,-0.993474,34.875,1,14792,8094741
36,-0.79256,-0.0553239,9.79136,0.0744234,-0.56724,0.99693,-0.00792531,-0.000559616,0.0979136,1,3.05271e-05,1.3297e-06,2.51437e-05,0.00610541,0.000265941,0.00502873,0,0,0,0,0.0307373,0.505697,-0.995957,34.875,1,14795,8095041
37,-0.525411,0.0593023,9.57719,0.221768,-0.53046,0.940297,-0.00525854,0.000575281,0.0957718,1,9.14803e-05,-2.29767e-05,2.09083e-05,0.0182961,-0.00459534,0.00418165,0,0,0,0,0.0298524,0.503239,-0.994492,34.875,1,14798,8095341
38,0.235994,-0.53972,10.0135,1.33675,-1.62951,1.20337,0.00236692,-0.00538398,0.100135,1,-6.44094e-05,3.11819e-05,6.79669e-05,-0.0128819,0.00623638,0.0135934,0,0,0,0,0.0297457,0.503799,-0.99852,34.875,1,14802,8095741
39,-1.31993,0.0711642,9.80281,-0.488571,-0.201237,1.02489,-0.0132018,0.00070203,0.0980279,1,4.3791e-05,-1.21907e-05,3.88818e-05,0.0087582,-0.00243814,0.00777636,0,0,0,0,0.0308597,0.502716,-0.992993,34.875,1,14805,8096041
40,-0.764218,-0.210263,9.74104,0.0232354,-0.677735,0.938786,-0.00764555,-0.00211399,0.0974099,1,5.80047e-05,-1.74139e-05,3.545e-06,0.0116009,-0.00348279,0.000709,0,0,0,0,0.0316905,0.503286,-0.998035,34.875,1,14808,8096341
41,-0.557559,-0.0300792,9.76761,0.317161,-0.617454,0.962272,-0.00557181,-0.000302766,0.0976763,1,9.57019e-06,1.93196e-05,9.3502e-06,0.00191404,0.00386393,0.00187004,0,0,0,0,0.0326822,0.505184,-0.995472,34.875,1,14812,8096741
42,-1.22237,-0.414305,9.7735,-0.318364,-0.894636,1.00657,-0.0122157,-0.00415313,0.0977356,1,4.33366e-05,3.80814e-05,6.58216e-05,0.00866732,0.00761629,0.0131643,0,0,0,0,0.032212,0.500843,-0.998092,34.875,1,14815,8097041
43,-1.88476,0.103484,9.6903,-1.03576,-0.433788,0.98467,-0.0188572,0.00102176,0.0969013,1,5.99781e-05,-4.90653e-05,3.83939e-05,0.0119956,-0.00981306,0.00767878,0,0,0,0,0.033187,0.502272,-0.99655,34.875,1,14818,8097341
44,-0.676786,0.120127,9.80334,0.177417,-0.410565,0.994806,-0.00678552,0.00119334,0.0980323,1,4.01395e-05,-8.99828e-05,4.72148e-06,0.00802791,-0.0179966,0.000944295,0,0,0,0,0.0313319,0.500309,-0.995069,34.875,1,14822,8097741
45,0.556797,-0.831788,9.66222,1.604,-0.286948,0.713545,0.00555428,-0.00832556,0.0966224,1,3.61235e-05,-6.54654e-05,-6.25461e-05,0.00722471,-0.0130931,-0.0125092,0,0,0,0,0.0335946,0.503767,-0.998538,34.875,1,14825,8098041
46,-1.14365,-0.222315,9.88103,-0.216164,-0.271705,0.982149,-0.0114122,-0.0022457,0.0988127,1,0.000105156,0.000121417,7.74379e-05,0.0210311,0.0242835,0.0154876,0,0,0,0,0.0293509,0.50374,-0.994984,34.875,1,14828,8098341
47,-0.832946,-0.130304,9.64147,-0.0131134,-0.74896,0.863047,-0.00833593,-0.00130484,0.0964141,1,8.38752e-06,-3.36892e-05,1.08681e-05,0.0016775,-0.00673783,0.00217361,0,0,0,0,0.0302676,0.502801,-0.997534,34.875,1,14832,8098741
48,-0.532438,0.204546,9.76031,0.291064,-0.436394,0.940715,-0.00532363,0.0020405,0.0976032,1,2.31174e-05,4.69525e-06,4.24328e-05,0.00462349,0.00093905,0.00848656,0,0,0,0,0.029861,0.504197,-0.993461,34.875,1,14835,8099041
49,-0.471729,-0.198305,9.81578,0.410393,-0.696326,0.992767,-0.00470898,-0.00199097,0.098158,1,3.9358e-05,4.18656e-05,2.08315e-05,0.0078716,0.00837312,0.0041663,0,0,0,0,0.0311971,0.503299,-0.998538,34.875,1,14838,8099341
50,-1.08026,-0.00987097,9.75908,-0.214378,-0.563864,0.998259,-0.0108012,-0.000111238,0.0975909,1,6.18324e-05,7.05389e-06,2.12602e-05,0.0123665,0.00141078,0.00425203,0,0,0,0,0.0322053,0.505667,-0.994954,34.875,1,14842,8099741
51,-0.880027,-0.0395286,9.76267,-0.0230512,-0.580612,0.983982,-0.00880496,-0.000403009,0.0976262,1,3.87971e-05,-2.40989e-05,8.42435e-06,0.00775943,-0.00481978,0.00168487,0,0,0,0,0.0317518,0.501796,-0.996554,34.8125,1,14845,8100041
52,-0.763419,-0.0520489,9.7638,0.0946984,-0.596497,0.968859,-0.00763639,-0.000525923,0.0976378,1,2.58089e-05,-1.14294e-05,2.579e-05,0.00516178,-0.00228588,0.005158,0,0,0,0,0.0302932,0.505674,-0.99444,34.8125,1,14848,8100341
53,-0.846309,-0.080835,9.75969,0.0166438,-0.627887,0.971659,-0.00846286,-0.000814776,0.0975968,1,3.07057e-05,1.01171e-06,2.55666e-05,0.00614115,0.000202342,0.00511332,0,0,0,0,0.0304071,0.501736,-0.992508,34.8125,1,14852,8100741
54,-0.820544,-0.0999549,9.77631,0.0404725,-0.642075,0.976389,-0.0082062,-0.00100816,0.097763,1,4.23733e-05,-4.06625e-06,1.99267e-05,0.00847465,-0.000813249,0.00398534,0,0,0,0,0.0321474,0.504745,-0.998005,34.8125,1,14855,8101041
55,-0.63929,-0.0155711,9.78194,0.211753,-0.565672,0.980805,-0.00639909,-0.000164415,0.0978189,1,4.36923e-05,-3.16739e-05,1.22619e-05,0.00873845,-0.00633479,0.00245238,0,0,0,0,0.0317935,0.503693,-0.993481,34.8125,1,14858,8101341
56,-0.695055,-0.0657507,9.79476,0.161221,-0.623727,0.984084,-0.0069549,-0.000666398,0.0979473,1,4.32802e-05,-2.24374e-05,2.96405e-05,0.00865605,-0.00448749,0.0059281,0,0,0,0,0.0316829,0.505219,-0.996982,34.8125,1,14862,8101741
57,-0.598169,-0.00858095,9.79257,0.260445,-0.552782,0.980093,-0.00598633,-9.2838e-05,0.0979254,1,3.44086e-05,-2.3719e-05,2.41957e-05,0.00688172,-0.00474381,0.00483913,0,0,0,0,0.033718,0.503677,-0.99349,34.8125,1,14865,8102041
58,-0.707711,-0.109709,9.77207,0.150054,-0.664119,0.966796,-0.00707557,-0.00110867,0.0977207,1,5.83586e-05,7.76134e-06,1.22359e-05,0.0116717,0.00155227,0.00244718,0,0,0,0,0.0326813,0.502294,-0.997557,34.8125,1,14868,8102341
59,-0.727051,-0.0400119,9.79688,0.133781,-0.595184,0.996026,-0.00727035,-0.000410515,0.0979688,1,5.14481e-05,7.28584e-07,2.16794e-05,0.0102896,0.000145717,0.00433588,0,0,0,0,0.0341217,0.506139,-0.994953,34.8125,1,14872,8102741
60,-0.706836,-0.0971482,9.78032,0.146739,-0.658584,0.973313,-0.00707093,-0.000981634,0.097803,1,5.12209e-05,-1.32155e-05,9.40076e-06,0.0102442,-0.0026431,0.00188015,0,0,0,0,0.0322457,0.503228,-0.995009,34.8125,1,14875,8103041
61,-0.712437,-0.0388903,9.78798,0.140714,-0.596476,0.98601,-0.00712726,-0.000398076,0.0978795,1,4.57223e-05,-1.48192e-05,1.56075e-05,0.00914445,-0.00296383,0.00312149,0,0,0,0,0.0326907,0.506142,-0.994441,34.8125,1,14878,8103341
62,-0.785213,-0.0917559,9.78292,0.0673448,-0.656758,0.987243,-0.00785169,-0.000928163,0.0978291,1,5.29233e-05,2.0806e-06,1.59089e-05,0.0105847,0.00041612,0.00318177,0,0,0,0,0.0312507,0.503742,-0.996003,34.8125,1,14882,8103741
63,-0.809724,-0.0130813,9.77427,0.0454479,-0.570201,0.975154,-0.00809535,-0.000136636,0.0977428,1,2.72786e-05,9.6093e-06,3.02585e-05,0.00545573,0.00192186,0.00605171,0,0,0,0,0.0340681,0.505696,-0.997488,34.8125,1,14885,8104041
64,-0.796136,-0.093271,9.7864,0.0646938,-0.654837,0.991576,-0.00796627,-0.000941143,0.0978635,1,4.10509e-05,-2.53187e-05,2.50024e-05,0.00821019,-0.00506374,0.00500048,0,0,0,0,0.0327097,0.501309,-0.997074,34.8125,1,14888,8104341
65,-0.765096,-0.0437137,9.77982,0.086328,-0.612187,0.979817,-0.00765411,-0.000446322,0.0977979,1,4.49138e-05,-1.62332e-05,2.60995e-05,0.00898277,-0.00324664,0.0052199,0,0,0,0,0.0311937,0.505711,-0.996969,34.8125,1,14892,8104741
66,-0.750696,-0.0618197,9.78363,0.105952,-0.627131,0.985053,-0.0075089,-0.000625926,0.0978361,1,3.86591e-05,-9.9821e-06,1.09357e-05,0.00773183,-0.00199642,0.00218714,0,0,0,0,0.0322338,0.504682,-0.994471,34.8125,1,14895,8105041
67,-0.788141,-0.0524219,9.78431,0.0669764,-0.618488,0.988281,-0.00788135,-0.00053352,0.097843,1,4.61602e-05,2.43977e-07,1.69627e-05,0.00923204,4.87954e-05,0.00339254,0,0,0,0,0.0331092,0.503292,-0.999052,34.8125,1,14898,8105341
68,-0.75723,-0.0445984,9.77366,0.0956084,-0.612678,0.97472,-0.00757518,-0.000454981,0.0977363,1,4.4305e-05,-1.48491e-05,2.22566e-05,0.00886099,-0.00296981,0.00445131,0,0,0,0,0.0326537,0.506169,-0.995955,34.8125,1,14902,8105741
69,-0.797691,-0.0515135,9.78641,0.0581948,-0.643888,0.995049,-0.00797833,-0.000523624,0.097864,1,4.193e-05,-7.31089e-06,1.76747e-05,0.00838599,-0.00146218,0.00353494,0,0,0,0,0.0293504,0.502295,-0.996026,34.8125,1,14905,8106041
70,-0.795138,-0.0404682,9.79567,0.0539603,-0.606976,0.997947,-0.00795688,-0.000411732,0.0979562,1,3.49934e-05,-2.81261e-05,1.22134e-05,0.00699869,-0.00562522,0.00244268,0,0,0,0,0.032258,0.503219,-0.994504,34.8125,1,14908,8106341
71,-0.679697,-0.0956176,9.77913,0.171297,-0.676297,0.969223,-0.00679906,-0.000964412,0.0977911,1,4.11775e-05,-1.08072e-05,1.34484e-05,0.00823549,-0.00216143,0.00268968,0,0,0,0,0.0298524,0.503239,-0.994492,34.8125,3,14912,8106741
72,-0.6418,-0.026986,9.78862,0.212021,-0.592543,0.979548,-0.00641852,-0.000279137,0.0978862,1,4.67226e-05,-2.67103e-06,1.0088e-05,0.00934453,-0.000534207,0.00201759,0,0,0,0,0.031634,0.506701,-0.997959,34.8125,3,14915,8107041
73,-0.741179,-0.0854231,9.77827,0.111568,-0.663678,0.98047,-0.00741112,-0.000864349,0.0977826,1,5.0621e-05,3.27091e-06,1.46817e-05,0.0101242,0.000654182,0.00293634,0,0,0,0,0.0303131,0.503732,-0.994989,34.8125,3,14918,8107341
74,0.180551,-0.527324,9.5792,0.928262,-0.12294,0.64978,0.00179001,-0.00529063,0.0957913,1,8.99695e-05,-7.856e-05,-4.20849e-05,0.0179939,-0.015712,-0.00841699,0,0,0,0,0.0296844,0.505289,-1,34.8125,3,14922,8107741
75,-1.01461,-0.237419,9.75185,-0.160609,-0.546018,0.960376,-0.0101301,-0.00239461,0.0975197,1,9.62227e-05,7.96521e-05,8.1525e-05,0.0192446,0.0159304,0.016305,0,0,0,0,0.0327643,0.504642,-0.992454,34.8125,3,14925,8108041
76,-1.03341,0.17726,9.71438,-0.135557,-0.591128,0.952716,-0.0103358,0.00177078,0.0971437,1,1.04682e-05,-2.74384e-05,-8.8697e-06,0.00178639,-0.00174164,0.000792176,0,0,0,0,0.0316948,0.503765,-0.99752,34.8125,3,14929,8108441
77,-0.759106,0.0701968,9.78041,0.0604437,-0.472132,0.962168,-0.00758903,0.000694896,0.0978043,1,3.22331e-05,1.07533e-05,5.04987e-05,0.00644661,0.00215066,0.0100997,0,0,0,0,0.0326698,0.505193,-0.995977,34.8125,3,14932,8108741
78,-0.420449,-0.102226,9.77292,0.411956,-0.641451,0.944993,-0.00420021,-0.00103078,0.0977293,1,4.47851e-05,2.2199e-05,-2.80125e-05,0.00895702,0.0044398,-0.0056025,0,0,0,0,0.0302671,0.501356,-0.998577,34.8125,3,14935,8109041
79,-1.06957,-0.309433,9.81012,-0.170621,-0.902465,1.01923,-0.0106935,-0.00310155,0.0981012,1,3.23676e-05,9.9889e-06,4.08326e-05,0.00647351,0.00199778,0.00816652,0,0,0,0,0.0321474,0.504745,-0.998005,34.8125,3,14938,8109341
80,-1.9374,-0.0385463,9.56262,-1.08792,-0.548467,0.860195,-0.0193826,-0.000386288,0.0956244,1,-4.38824e-06,-4.54648e-05,4.29288e-05,-0.000877649,-0.00909296,0.00858576,0,0,0,0,0.0323102,0.499326,-0.995096,34.8125,3,14942,8109741
81,-1.0803,-0.088798,9.82842,-0.243427,-0.670523,1.06244,-0.0108272,-0.000893899,0.0982815,1,2.95628e-05,-0.000122979,4.97632e-06,0.00591257,-0.0245958,0.000995264,0,0,0,0,0.0330765,0.503798,-1.00005,34.875,3,14945,8110041
82,-0.248533,0.197409,9.73728,0.587022,-0.340003,0.897946,-0.00248132,0.00196779,0.097373,1,3.28981e-05,2.01858e-05,-2.07736e-05,0.00657962,0.00403716,-0.00415472,0,0,0,0,0.029795,0.503763,-0.996501,34.875,3,14948,8110341
83,0.253781,-0.172038,9.93782,0.959306,-1.64918,1.24967,0.00255092,-0.00170869,0.0993781,1,-5.77358e-05,6.51825e-05,4.27626e-05,-0.0115472,0.0130365,0.00855252,0,0,0,0,0.0292926,0.501373,-0.999077,34.875,3,14952,8110741
84,-1.17436,0.267989,9.86109,-0.31311,-0.671722,1.06536,-0.0117536,0.00267618,0.0986098,1,1.11077e-05,-4.89e-05,6.47855e-05,0.00222153,-0.00978,0.0129571,0,0,0,0,0.0323035,0.504149,-0.991958,34.875,3,14955,8111041
85,-0.784594,-0.328182,9.69609,0.0355512,-0.841002,0.887008,-0.00785888,-0.00329074,0.0969596,1,4.70945e-05,-6.62672e-05,-1.36723e-05,0.00941891,-0.0132534,-0.00273446,0,0,0,0,0.029701,0.505759,-0.998981,34.875,3,14958,8111341
86,-0.310297,0.0728994,9.78411,0.549318,-0.50356,0.944202,-0.00309531,0.000722964,0.0978414,1,2.89726e-05,3.95634e-05,5.80768e-05,0.00579452,0.00791267,0.0116154,0,0,0,0,0.0321972,0.506155,-0.994943,34.875,3,14962,8111741
87,-0.950839,-0.17703,9.82934,-0.108215,-0.77798,1.04528,-0.00950189,-0.00177764,0.0982939,1,3.63423e-05,3.28697e-05,1.02935e-05,0.00726846,0.00657395,0.0020587,0,0,0,0,0.0312175,0.502802,-0.998044,34.875,3,14965,8112041
88,-1.09732,0.0588407,9.76285,-0.253295,-0.537277,0.987168,-0.0109747,0.000576842,0.0976284,1,5.66002e-05,-7.87331e-06,2.34265e-05,0.01132,-0.00157466,0.00468531,0,0,0,0,0.0327107,0.5042,-0.994989,34.875,3,14968,8112341
89,-0.818326,-0.0936261,9.75423,0.0144629,-0.696447,0.957664,-0.00818533,-0.000945576,0.097542,1,4.54652e-05,-1.08722e-05,2.71631e-05,0.00909304,-0.00217444,0.00543263,0,0,0,0,0.031283,0.501791,-0.996046,34.875,3,14972,8112741
90,-0.745632,-0.0550406,9.77,0.100246,-0.656227,0.971993,-0.00745321,-0.000555375,0.0977002,1,2.40655e-05,1.5797e-05,1.7872e-05,0.0048131,0.0031594,0.0035744,0,0,0,0,0.0330319,0.505758,-1.00051,34.875,3,14975,8113041
91,-0.781852,-0.100849,9.78953,0.0678944,-0.703352,0.988514,-0.00781625,-0.00101602,0.0978954,1,3.60514e-05,1.12914e-05,3.00222e-05,0.00721029,0.00225828,0.00600444,0,0,0,0,0.032258,0.503219,-0.994504,34.875,3,14979,8113441
92,-0.839271,-0.0821597,9.78839,0.00842487,-0.693377,0.991982,-0.00839334,-0.00083037,0.0978838,1,4.32171e-05,-3.40877e-06,1.86171e-05,0.00864342,-0.000681753,0.00372342,0,0,0,0,0.03262,0.503784,-0.999039,34.875,3,14982,8113741
93,-0.686052,-0.026701,9.798,0.161412,-0.63589,0.992929,-0.00686011,-0.000279428,0.09798,1,6.29369e-05,2.09366e-06,6.16549e-06,0.0125874,0.000418732,0.0012331,0,0,0,0,0.031235,0.506163,-0.994939,34.875,3,14985,8114041
94,-0.668195,-0.142763,9.77552,0.185043,-0.758715,0.970655,-0.00668252,-0.00143819,0.097755,1,5.16027e-05,-3.47009e-06,3.54126e-05,0.0103205,-0.000694018,0.00708252,0,0,0,0,0.0321512,0.503779,-0.998532,34.875,3,14988,8114341
95,-0.707017,-0.0592974,9.80025,0.145465,-0.663165,0.989328,-0.00707364,-0.000601838,0.0980022,1,4.448e-05,-1.77957e-05,1.03526e-05,0.008896,-0.00355913,0.00207052,0,0,0,0,0.0331021,0.506671,-0.996956,34.875,3,14992,8114741
96,-0.746532,-0.0562437,9.77817,0.102676,-0.66759,0.97582,-0.0074703,-0.000573368,0.0977812,1,5.41323e-05,-2.56188e-05,2.30594e-05,0.0108265,-0.00512376,0.00461189,0,0,0,0,0.0331628,0.503735,-0.996517,34.875,3,14995,8115041
97,-0.666783,-0.088874,9.79159,0.181171,-0.704253,0.97922,-0.0066679,-0.000898146,0.0979158,1,4.68494e-05,-5.06511e-07,1.74265e-05,0.00936988,-0.000101302,0.0034853,0,0,0,0,0.0326418,0.507623,-0.995418,34.875,3,14998,8115341
