frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.9994,0.00249903,0.0344273,-0.00267474,-0.720402,-0.0582627,9.80095,0.0785721,-0.622905,0.998386,-0.0072038,-0.000592999,0.0980095,1,5.32847e-05,1.2017e-06,-5.01405e-06,0.0106569,0.00024034,-0.00100281,0.9994,0.00249903,0.0344273,-0.00267474,0.00905093,0.508795,-0.995283,35.5,1,53082,38167418
1,2,0.9994,0.00249903,0.0344273,-0.00267474,-0.540306,-0.0514097,7.33192,0.0785721,-0.622905,0.998386,-0.0054057,-0.000522487,0.0733189,1,5.64512e-05,-1.80451e-05,1.03471e-05,0.0112902,-0.00360903,0.00206941,0.9994,0.00249903,0.0344273,-0.00267474,0.00960514,0.505846,-0.994341,35.5,1,54181,38278829
1,3,0.9994,0.00249903,0.0344273,-0.00267474,-0.540306,-0.0514097,7.33192,0.0785721,-0.622905,0.998386,-0.0054057,-0.000522487,0.0733189,1,5.64512e-05,-1.80451e-05,1.03471e-05,0.0112902,-0.00360903,0.00206941,0.9994,0.00249903,0.0344273,-0.00267474,0.00960514,0.505846,-0.994341,35.5,1,54181,38278829
1,4,0.9994,0.00249903,0.0344273,-0.00267474,-0.540306,-0.0514097,7.33192,0.0785721,-0.622905,0.998386,-0.0054057,-0.000522487,0.0733189,1,5.64512e-05,-1.80451e-05,1.03471e-05,0.0112902,-0.00360903,0.00206941,0.9994,0.00249903,0.0344273,-0.00267474,0.00960514,0.505846,-0.994341,35.5,1,54181,38278829
2,1,0.999317,-0.00349492,0.036781,-0.000129312,-0.736876,-0.0815806,9.78594,0.121039,-0.505058,0.993309,-0.00737036,-0.000826814,0.0978592,1,5.59836e-05,-8.20337e-06,3.44788e-06,0.0111967,-0.00164068,0.000689577,0.999317,-0.00349492,0.036781,-0.000129312,0.0104867,0.510716,-0.994237,35.5,1,54182,38278929
2,2,0.999317,-0.00349492,0.036781,-0.000129312,-0.736876,-0.0815806,9.78594,0.121039,-0.505058,0.993309,-0.00737036,-0.000826814,0.0978592,1,5.59836e-05,-8.20337e-06,3.44788e-06,0.0111967,-0.00164068,0.000689577,0.999317,-0.00349492,0.036781,-0.000129312,0.0104867,0.510716,-0.994237,35.5,1,54182,38278929
3,1,0.999317,-0.00349492,0.036781,-0.000129312,-0.736876,-0.0815806,9.78594,0.121039,-0.505058,0.993309,-0.00737036,-0.000826814,0.0978592,1,5.59836e-05,-8.20337e-06,3.44788e-06,0.0111967,-0.00164068,0.000689577,0.999317,-0.00349492,0.036781,-0.000129312,0.0104867,0.510716,-0.994237,35.5,1,54182,38278929
3,2,0.999318,-0.00345671,0.0367751,-0.000107385,-0.734199,-0.0728517,9.78668,0.124808,-0.500198,0.988942,-0.00734398,-0.000740869,0.0978666,1,6.19404e-05,-1.02443e-05,1.55198e-05,0.0123881,-0.00204886,0.00310396,0.999318,-0.00345671,0.0367751,-0.000107385,0.0123622,0.512181,-0.995223,35.5,1,54183,38279029
3,3,0.999318,-0.00345671,0.0367751,-0.000107385,-0.734199,-0.0728517,9.78668,0.124808,-0.500198,0.988942,-0.00734398,-0.000740869,0.0978666,1,6.19404e-05,-1.02443e-05,1.55198e-05,0.0123881,-0.00204886,0.00310396,0.999318,-0.00345671,0.0367751,-0.000107385,0.0123622,0.512181,-0.995223,35.5,1,54183,38279029
3,4,0.999318,-0.00345671,0.0367751,-0.000107385,-0.734199,-0.0728517,9.78668,0.124808,-0.500198,0.988942,-0.00734398,-0.000740869,0.0978666,1,6.19404e-05,-1.02443e-05,1.55198e-05,0.0123881,-0.00204886,0.00310396,0.999318,-0.00345671,0.0367751,-0.000107385,0.0123622,0.512181,-0.995223,35.5,1,54183,38279029
