frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
2186,1,0.997312,0.031184,0.0340552,0.0568834,-0.679762,-0.0435598,9.79855,0.210534,-1.16197,1.10917,-0.00679935,-0.000444794,0.0979853,1,4.55453e-05,-8.93883e-06,1.98709e-05,0.00910906,-0.00178777,0.00397417,0.997312,0.031184,0.0340552,0.0568834,0.0701343,0.334424,-1.17924,30.4375,3,35211,3572695
2186,2,0.997312,0.031184,0.0340552,0.0568834,-0.467387,-0.0684465,7.3456,0.210534,-1.16197,1.10917,-0.00467778,-0.000689718,0.0734557,1,3.43361e-05,-2.67734e-05,2.23537e-05,0.00686722,-0.00535469,0.00447074,0.997312,0.031184,0.0340552,0.0568834,0.0306456,0.514919,-0.993226,30.75,1,39482,4001328
2186,3,0.997312,0.031184,0.0340552,0.0568834,-0.467387,-0.0684465,7.3456,0.210534,-1.16197,1.10917,-0.00467778,-0.000689718,0.0734557,1,3.43361e-05,-2.67734e-05,2.23537e-05,0.00686722,-0.00535469,0.00447074,0.997312,0.031184,0.0340552,0.0568834,0.0306456,0.514919,-0.993226,30.75,1,39482,4001328
2186,4,0.997312,0.031184,0.0340552,0.0568834,-0.467387,-0.0684465,7.3456,0.210534,-1.16197,1.10917,-0.00467778,-0.000689718,0.0734557,1,3.43361e-05,-2.67734e-05,2.23537e-05,0.00686722,-0.00535469,0.00447074,0.997312,0.031184,0.0340552,0.0568834,0.0306456,0.514919,-0.993226,30.75,1,39482,4001328
1,1,0.999484,-0.00463749,0.0317792,-0.00013094,-0.64123,-0.0749764,9.78545,0.0775315,-0.480541,0.992531,-0.00641483,-0.000758761,0.0978543,1,4.47017e-05,-1.30794e-05,1.93826e-05,0.00894033,-0.00261589,0.00387653,0.999484,-0.00463749,0.0317792,-0.00013094,0.0322574,0.514302,-0.986682,30.75,1,39483,4001428
1,2,0.999484,-0.00463749,0.0317792,-0.00013094,-0.64123,-0.0749764,9.78545,0.0775315,-0.480541,0.992531,-0.00641483,-0.000758761,0.0978543,1,4.47017e-05,-1.30794e-05,1.93826e-05,0.00894033,-0.00261589,0.00387653,0.999484,-0.00463749,0.0317792,-0.00013094,0.0322574,0.514302,-0.986682,30.75,1,39483,4001428
1,3,0.999484,-0.00463749,0.0317792,-0.00013094,-0.64123,-0.0749764,9.78545,0.0775315,-0.480541,0.992531,-0.00641483,-0.000758761,0.0978543,1,4.47017e-05,-1.30794e-05,1.93826e-05,0.00894033,-0.00261589,0.00387653,0.999484,-0.00463749,0.0317792,-0.00013094,0.0322574,0.514302,-0.986682,30.75,1,39483,4001428
1,4,0.999484,-0.00461043,0.0317761,-8.38055e-05,-0.642485,-0.0815615,9.79864,0.0769045,-0.482338,1.00229,-0.00642716,-0.000823802,0.0979862,1,3.97135e-05,-1.20321e-05,3.14919e-05,0.0079427,-0.00240642,0.00629839,0.999484,-0.00461043,0.0317761,-8.38055e-05,0.0327637,0.515726,-0.984632,30.75,1,39484,4001528
1,5,0.999484,-0.00461043,0.0317761,-8.38055e-05,-0.642485,-0.0815615,9.79864,0.0769045,-0.482338,1.00229,-0.00642716,-0.000823802,0.0979862,1,3.97135e-05,-1.20321e-05,3.14919e-05,0.0079427,-0.00240642,0.00629839,0.999484,-0.00461043,0.0317761,-8.38055e-05,0.0327637,0.515726,-0.984632,30.75,1,39484,4001528
1,6,0.999484,-0.00461043,0.0317761,-8.38055e-05,-0.642485,-0.0815615,9.79864,0.0769045,-0.482338,1.00229,-0.00642716,-0.000823802,0.0979862,1,3.97135e-05,-1.20321e-05,3.14919e-05,0.0079427,-0.00240642,0.00629839,0.999484,-0.00461043,0.0317761,-8.38055e-05,0.0327637,0.515726,-0.984632,30.75,1,39484,4001528
