frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,-0.0907895,-0.0484703,0.00274882,0.994686,-0.820921,-0.00354706,9.76913,-0.377839,0.515041,0.884308,-0.00821115,-4.55813e-05,0.0976911,1,5.09936e-05,-9.97063e-06,8.9818e-06,0.0101987,-0.00199413,0.00179636,-0.0907895,-0.0484703,0.00274882,0.994686,0.0832883,-0.432257,-0.897853,35.5625,3,65444,39406592
1,2,-0.0907895,-0.0484703,0.00274882,0.994686,-0.507869,-0.069236,7.33963,-0.377839,0.515041,0.884308,-0.00507904,-0.000697479,0.0733962,1,3.52133e-05,-2.37139e-06,-4.91013e-06,0.00704265,-0.000474279,-0.000982026,-0.0907895,-0.0484703,0.00274882,0.994686,0.0139244,0.497974,-1.02029,35.5625,1,8563,40273564
1,3,-0.0907895,-0.0484703,0.00274882,0.994686,-0.507869,-0.069236,7.33963,-0.377839,0.515041,0.884308,-0.00507904,-0.000697479,0.0733962,1,3.52133e-05,-2.37139e-06,-4.91013e-06,0.00704265,-0.000474279,-0.000982026,-0.0907895,-0.0484703,0.00274882,0.994686,0.0139244,0.497974,-1.02029,35.5625,1,8563,40273564
1,4,-0.0907895,-0.0484703,0.00274882,0.994686,-0.507869,-0.069236,7.33963,-0.377839,0.515041,0.884308,-0.00507904,-0.000697479,0.0733962,1,3.52133e-05,-2.37139e-06,-4.91013e-06,0.00704265,-0.000474279,-0.000982026,-0.0907895,-0.0484703,0.00274882,0.994686,0.0139244,0.497974,-1.02029,35.5625,1,8563,40273564
2,1,0.999393,-0.00469266,0.0345234,-0.00016334,-0.677313,-0.084342,9.78274,0.126344,-0.471182,1.01553,-0.00677595,-0.000852143,0.0978271,1,4.44557e-05,-1.44262e-05,1.83832e-06,0.00889115,-0.00288525,0.000367665,0.999393,-0.00469266,0.0345234,-0.00016334,0.0110377,0.497998,-1.02028,35.5625,1,8564,40273664
2,2,0.999393,-0.00469266,0.0345234,-0.00016334,-0.677313,-0.084342,9.78274,0.126344,-0.471182,1.01553,-0.00677595,-0.000852143,0.0978271,1,4.44557e-05,-1.44262e-05,1.83832e-06,0.00889115,-0.00288525,0.000367665,0.999393,-0.00469266,0.0345234,-0.00016334,0.0110377,0.497998,-1.02028,35.5625,1,8564,40273664
2,3,0.999393,-0.00469266,0.0345234,-0.00016334,-0.677313,-0.084342,9.78274,0.126344,-0.471182,1.01553,-0.00677595,-0.000852143,0.0978271,1,4.44557e-05,-1.44262e-05,1.83832e-06,0.00889115,-0.00288525,0.000367665,0.999393,-0.00469266,0.0345234,-0.00016334,0.0110377,0.497998,-1.02028,35.5625,1,8564,40273664
2,4,0.999395,-0.00464371,0.0344823,-0.000193554,-0.6693,-0.078692,9.78885,0.132259,-0.469875,1.01978,-0.00669826,-0.000796772,0.0978881,1,5.03922e-05,-2.68348e-05,-1.06749e-06,0.0100784,-0.00536696,-0.000213498,0.999395,-0.00464371,0.0344823,-0.000193554,0.00922712,0.494075,-1.01834,35.5625,1,8565,40273764
3,1,0.999395,-0.00464371,0.0344823,-0.000193554,-0.6693,-0.078692,9.78885,0.132259,-0.469875,1.01978,-0.00669826,-0.000796772,0.0978881,1,5.03922e-05,-2.68348e-05,-1.06749e-06,0.0100784,-0.00536696,-0.000213498,0.999395,-0.00464371,0.0344823,-0.000193554,0.00922712,0.494075,-1.01834,35.5625,1,8565,40273764
3,2,0.999395,-0.00464371,0.0344823,-0.000193554,-0.6693,-0.078692,9.78885,0.132259,-0.469875,1.01978,-0.00669826,-0.000796772,0.0978881,1,5.03922e-05,-2.68348e-05,-1.06749e-06,0.0100784,-0.00536696,-0.000213498,0.999395,-0.00464371,0.0344823,-0.000193554,0.00922712,0.494075,-1.01834,35.5625,1,8565,40273764
3,3,0.999395,-0.00459419,0.0344775,-0.000206269,-0.6765,-0.0675511,9.791,0.12195,-0.457497,1.02196,-0.006766,-0.000685159,0.0979099,1,5.00847e-05,-5.01976e-06,-1.17848e-05,0.0100169,-0.00100395,-0.00235696,0.999395,-0.00459419,0.0344775,-0.000206269,0.0103161,0.491565,-1.01486,35.5625,1,8566,40273864
3,4,0.999395,-0.00459419,0.0344775,-0.000206269,-0.6765,-0.0675511,9.791,0.12195,-0.457497,1.02196,-0.006766,-0.000685159,0.0979099,1,5.00847e-05,-5.01976e-06,-1.17848e-05,0.0100169,-0.00100395,-0.00235696,0.999395,-0.00459419,0.0344775,-0.000206269,0.0103161,0.491565,-1.01486,35.5625,1,8566,40273864
4,1,0.999395,-0.00459419,0.0344775,-0.000206269,-0.6765,-0.0675511,9.791,0.12195,-0.457497,1.02196,-0.006766,-0.000685159,0.0979099,1,5.00847e-05,-5.01976e-06,-1.17848e-05,0.0100169,-0.00100395,-0.00235696,0.999395,-0.00459419,0.0344775,-0.000206269,0.0103161,0.491565,-1.01486,35.5625,1,8566,40273864
4,2,0.999395,-0.00453536,0.0344722,-0.000206048,-0.658391,-0.078906,9.78638,0.14683,-0.465612,1.01335,-0.00658495,-0.000800731,0.0978637,1,5.94891e-05,-5.33107e-06,2.07882e-06,0.0118978,-0.00106621,0.000415765,0.999395,-0.00453536,0.0344722,-0.000206048,0.0117931,0.493938,-1.01179,35.5625,1,8567,40273964
4,3,0.999395,-0.00453536,0.0344722,-0.000206048,-0.658391,-0.078906,9.78638,0.14683,-0.465612,1.01335,-0.00658495,-0.000800731,0.0978637,1,5.94891e-05,-5.33107e-06,2.07882e-06,0.0118978,-0.00106621,0.000415765,0.999395,-0.00453536,0.0344722,-0.000206048,0.0117931,0.493938,-1.01179,35.5625,1,8567,40273964
4,4,0.999395,-0.00453536,0.0344722,-0.000206048,-0.658391,-0.078906,9.78638,0.14683,-0.465612,1.01335,-0.00658495,-0.000800731,0.0978637,1,5.94891e-05,-5.33107e-06,2.07882e-06,0.0118978,-0.00106621,0.000415765,0.999395,-0.00453536,0.0344722,-0.000206048,0.0117931,0.493938,-1.01179,35.5625,1,8567,40273964
8,1,0.999396,-0.00447822,0.0344632,-0.000191291,-0.66094,-0.0875471,9.79616,0.149282,-0.469517,1.02136,-0.00661115,-0.000886963,0.0979614,1,5.75129e-05,-9.06558e-06,1.68887e-05,0.0115026,-0.00181312,0.00337775,0.999396,-0.00447822,0.0344632,-0.000191291,0.0131391,0.498334,-1.01271,35.5625,1,8568,40274064
8,2,0.999396,-0.00447822,0.0344632,-0.000191291,-0.66094,-0.0875471,9.79616,0.149282,-0.469517,1.02136,-0.00661115,-0.000886963,0.0979614,1,5.75129e-05,-9.06558e-06,1.68887e-05,0.0115026,-0.00181312,0.00337775,0.999396,-0.00447822,0.0344632,-0.000191291,0.0131391,0.498334,-1.01271,35.5625,1,8568,40274064
8,3,0.999396,-0.00447822,0.0344632,-0.000191291,-0.66094,-0.0875471,9.79616,0.149282,-0.469517,1.02136,-0.00661115,-0.000886963,0.0979614,1,5.75129e-05,-9.06558e-06,1.68887e-05,0.0115026,-0.00181312,0.00337775,0.999396,-0.00447822,0.0344632,-0.000191291,0.0131391,0.498334,-1.01271,35.5625,1,8568,40274064
