frame_id,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
14,-0.81351,-0.0963707,9.7831,-0.181162,-0.466869,1.03038,-0.00813964,-0.000967916,0.0978305,1,2.15844e-05,-2.32384e-05,-8.75357e-07,0.00431687,-0.00464767,-0.000175071,0,0,0,0,0.0796065,0.482309,-1.02095,34.8125,1,25036,2552270
15,-0.873633,-0.0437825,9.76458,-0.221094,-0.425404,1.02082,-0.00873353,-0.000440995,0.097646,1,1.52718e-05,1.43181e-05,1.07159e-05,0.00305437,0.00286361,0.00214318,0,0,0,0,0.0792185,0.477426,-1.02055,34.8125,1,25040,2552670
16,-1.23231,-0.0796996,9.78169,-0.602883,-0.459436,1.05439,-0.0123325,-0.000802731,0.0978157,1,2.66582e-05,-4.82834e-05,2.10908e-05,0.00533165,-0.00965669,0.00421816,0,0,0,0,0.0796018,0.480385,-1.0225,34.8125,1,25043,2552970
17,-0.95092,-0.114685,9.75232,-0.315727,-0.503956,1.01289,-0.00951529,-0.00115109,0.0975226,1,1.95763e-05,-3.14954e-05,2.23781e-05,0.00391525,-0.00629907,0.00447561,0,0,0,0,0.0801883,0.475485,-1.0216,34.8125,1,25046,2553270
18,-0.966105,-0.113477,9.75919,-0.334809,-0.498328,1.01997,-0.00966003,-0.00114643,0.0975919,1,5.67475e-05,4.8856e-06,3.03796e-05,0.0113495,0.000977119,0.00607591,0,0,0,0,0.0795316,0.479472,-1.02606,34.8125,1,25050,2553670
19,-0.800782,0.0119094,9.78258,-0.188158,-0.396705,1.03568,-0.00801269,0.000106018,0.0978254,1,6.25103e-05,-2.48345e-05,5.28005e-05,0.0125021,-0.00496689,0.0105601,0,0,0,0,0.0782524,0.478401,-1.02002,34.8125,1,25053,2553970
20,-0.849129,-0.0603848,9.78192,-0.211207,-0.453244,1.03374,-0.00849039,-0.000615233,0.0978192,1,5.53056e-05,4.3513e-06,3.32707e-05,0.0110611,0.00087026,0.00665415,0,0,0,0,0.081485,0.479917,-1.02454,34.8125,1,25056,2554270
21,-0.600938,-0.0381856,9.78314,0.0283656,-0.447201,1.02362,-0.00600466,-0.000396445,0.0978317,1,7.1408e-05,2.38942e-05,5.13384e-05,0.0142816,0.00477884,0.0102677,0,0,0,0,0.0815476,0.482762,-1.01993,34.8125,1,25060,2554670
22,-0.705555,-0.0949409,9.79593,-0.0719168,-0.502637,1.04025,-0.00705483,-0.000964522,0.0979592,1,7.38259e-05,3.24732e-06,4.60072e-05,0.0147652,0.000649463,0.00920145,0,0,0,0,0.0801072,0.478917,-1.02254,34.8125,1,25063,2554970
23,-0.4436,-0.0719955,9.78012,0.190068,-0.489447,1.00224,-0.00443614,-0.000736247,0.097801,1,8.18131e-05,-9.90971e-07,3.26797e-05,0.0163626,-0.000198194,0.00653594,0,0,0,0,0.0806305,0.482256,-1.01843,34.8125,1,25066,2555270
24,-0.782005,-0.04544,9.78091,-0.133468,-0.460896,1.03251,-0.00781674,-0.000466104,0.0978093,1,5.89994e-05,1.68471e-05,1.03881e-05,0.0117999,0.00336941,0.00207761,0,0,0,0,0.0777305,0.479398,-1.021,34.8125,1,25070,2555670
