frame_id,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
15,-0.809446,-0.0540727,9.78442,-0.0201185,-0.603885,0.983947,-0.00809192,-0.000549279,0.0978443,1,4.25912e-05,1.2938e-05,1.33702e-05,0.00851824,0.0025876,0.00267403,0,0,0,0,0.124992,0.507971,-0.976139,34.8125,1,49803,5034815
16,-0.868885,0.0129587,9.76945,-0.0870668,-0.553345,0.970984,-0.00868648,0.000120353,0.0976947,1,4.50891e-05,1.21852e-05,2.44118e-05,0.00901783,0.00243705,0.00488235,0,0,0,0,0.127509,0.509315,-0.970565,34.8125,1,49806,5035115
17,-0.846283,-0.0342875,9.7784,-0.0593502,-0.602238,0.979983,-0.00846175,-0.000350061,0.0977841,1,3.58168e-05,5.47241e-06,1.07233e-05,0.00716336,0.00109448,0.00214465,0,0,0,0,0.123129,0.507942,-0.973606,34.8125,1,49810,5035515
18,-0.911047,0.0134766,9.76706,-0.129041,-0.555698,0.970355,-0.00911477,0.000128938,0.0976702,1,2.81539e-05,-2.19606e-05,1.80079e-05,0.00563078,-0.00439212,0.00360158,0,0,0,0,0.126848,0.511378,-0.976577,34.8125,1,49813,5035815
19,-0.670676,-0.0325971,9.78301,0.112938,-0.59391,0.971905,-0.00670744,-0.000329742,0.09783,1,1.763e-05,-3.58199e-06,2.39927e-05,0.003526,-0.000716398,0.00479854,0,0,0,0,0.124626,0.506927,-0.97212,34.8125,1,49816,5036115
20,-0.802992,-0.0758775,9.79607,-0.0255309,-0.657437,0.987431,-0.0080273,-0.00076751,0.0979608,1,4.41261e-05,1.33107e-05,5.59123e-06,0.00882521,0.00266214,0.00111825,0,0,0,0,0.125424,0.509448,-0.977118,34.8125,1,49820,5036515
21,-0.733146,-0.0893071,9.77617,0.0394243,-0.607442,0.97845,-0.00733311,-0.000904982,0.0977615,1,5.92471e-05,-8.60398e-06,2.22528e-05,0.0118494,-0.0017208,0.00445056,0,0,0,0,0.127998,0.508823,-0.970578,34.8125,1,49823,5036815
22,-0.618634,-0.0937532,9.79027,0.145878,-0.699279,0.98006,-0.00618405,-0.000944415,0.0979027,1,3.29446e-05,1.13515e-05,3.49337e-05,0.00658893,0.00227029,0.00698674,0,0,0,0,0.124495,0.510396,-0.975073,34.8125,1,49827,5037215
23,-0.715829,-0.0361694,9.79479,0.0750025,-0.59538,0.985347,-0.00715086,-0.000372724,0.0979484,1,5.41698e-05,3.78448e-05,2.92621e-05,0.010834,0.00756896,0.00585243,0,0,0,0,0.128427,0.511267,-0.971031,34.8125,1,49830,5037515
24,-0.732762,0.00856131,9.80749,0.057473,-0.561422,0.998616,-0.00732242,7.90136e-05,0.0980753,1,3.12587e-05,2.65073e-05,3.195e-05,0.00625174,0.00530146,0.00639,0,0,0,0,0.124988,0.507492,-0.976655,34.8125,1,49833,5037815
25,-0.713496,-0.0171471,9.80274,0.0892107,-0.62024,0.989471,-0.00712941,-0.000178532,0.0980278,1,3.43322e-05,2.82622e-05,2.31226e-05,0.00686644,0.00565245,0.00462452,0,0,0,0,0.127485,0.509333,-0.971575,34.8125,1,49836,5038115
26,-0.739454,-0.0302424,9.80447,0.0613501,-0.602799,0.990189,-0.00738585,-0.000307607,0.0980454,1,2.27388e-05,4.41818e-05,4.89674e-05,0.00454777,0.00883635,0.00979348,0,0,0,0,0.127065,0.507847,-0.970091,34.8125,1,49840,5038515
27,-0.859046,-0.117724,9.80151,-0.0673575,-0.701007,0.991482,-0.0085888,-0.00118388,0.0980152,1,2.99683e-05,7.94756e-06,4.41019e-05,0.00599365,0.00158951,0.00882037,0,0,0,0,0.12878,0.510874,-0.976597,34.8125,1,49843,5038815
28,-0.772681,-0.0241929,9.77936,-0.0014588,-0.60135,0.995235,-0.00772886,-0.000251732,0.0977935,1,4.75443e-05,-1.05217e-05,3.26445e-05,0.00950886,-0.00210434,0.00652891,0,0,0,0,0.126595,0.506396,-0.970626,34.8125,1,49846,5039115
29,-0.828466,-0.00651634,9.72428,-0.0515087,-0.603778,0.892951,-0.00829063,-7.2929e-05,0.0972423,1,3.69384e-05,-3.07241e-05,3.50921e-05,0.00738769,-0.00614481,0.00701842,0,0,0,0,0.128291,0.511366,-0.976584,34.8125,1,49850,5039515
30,-0.8965,0.00285006,9.75194,-0.103751,-0.578647,0.927352,-0.00896778,2.01584e-05,0.0975191,1,4.05108e-05,-1.4218e-05,2.45922e-05,0.00810216,-0.00284359,0.00491844,0,0,0,0,0.127032,0.509798,-0.970047,34.8125,1,49853,5039815
31,-0.847749,-0.0207735,9.71883,-0.0756191,-0.630184,0.953999,-0.00847762,-0.000213849,0.0971883,1,2.86234e-05,-7.39514e-07,3.24081e-05,0.00572467,-0.000147903,0.00648161,0,0,0,0,0.128336,0.509406,-0.976123,34.8125,1,49856,5040115
32,-0.979939,0.0131728,9.75666,-0.204125,-0.557622,0.941993,-0.00980049,0.000129384,0.0975665,1,9.32091e-06,-5.5898e-06,2.68015e-05,0.00186418,-0.00111796,0.0053603,0,0,0,0,0.128406,0.511764,-0.971525,34.8125,1,49860,5040515
33,-0.927602,-0.045798,9.76972,-0.148779,-0.657836,0.972241,-0.00927913,-0.000456563,0.0976969,1,-9.47345e-06,-1.60018e-05,2.34285e-05,-0.00189469,-0.00320037,0.0046857,0,0,0,0,0.128368,0.5089,-0.975124,34.8125,1,49863,5040815
34,-0.838021,-0.0765482,9.78585,-0.0415822,-0.658856,0.971694,-0.00839249,-0.000768499,0.0978574,1,1.33775e-05,-6.29557e-05,2.37446e-05,0.0026755,-0.0125911,0.00474892,0,0,0,0,0.128908,0.512708,-0.969991,34.8125,1,49866,5041115
35,-0.557923,-0.0904422,9.80758,0.216751,-0.660794,0.981204,-0.00559303,-0.000903793,0.0980751,1,-2.87475e-06,-7.03042e-05,-5.82455e-06,-0.00057495,-0.0140608,-0.00116491,0,0,0,0,0.126588,0.508329,-0.969573,34.8125,1,49870,5041515
36,-0.43829,-0.286713,9.82576,0.369371,-0.810022,0.980695,-0.00439473,-0.00287258,0.0982569,1,2.79581e-05,-6.00852e-05,-4.34602e-06,0.00559162,-0.012017,-0.000869204,0,0,0,0,0.129768,0.512294,-0.97455,34.8125,1,49873,5041815
37,-0.936243,0.00278272,9.73221,-0.137996,-0.593859,0.934316,-0.00937059,2.01386e-05,0.0973213,1,3.75454e-05,-4.1954e-05,2.03182e-05,0.00750908,-0.0083908,0.00406363,0,0,0,0,0.124643,0.508842,-0.970057,34.8125,1,49876,5042115
38,-0.887707,-0.167605,9.73859,-0.111397,-0.767606,0.946374,-0.00888919,-0.00168218,0.0973847,1,2.96254e-05,-6.25734e-05,2.03967e-05,0.00592508,-0.0125147,0.00407934,0,0,0,0,0.12688,0.509427,-0.976621,34.8125,1,49880,5042515
39,-0.86247,0.0255081,9.74717,-0.0870148,-0.531589,0.947204,-0.00863404,0.000245956,0.0974709,1,4.56999e-05,-4.78794e-05,1.25244e-05,0.00913999,-0.00957587,0.00250488,0,0,0,0,0.126111,0.508812,-0.969055,34.8125,1,49883,5042815
40,-0.806876,-0.482938,9.81886,-0.0651146,-1.20496,1.00772,-0.00808407,-0.00484408,0.0981866,1,7.41904e-05,-7.83585e-05,7.9508e-06,0.0148381,-0.0156717,0.00159016,0,0,0,0,0.125906,0.510889,-0.976079,34.8125,1,49886,5043115
