frame_id,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
14,-1.28192,0.162965,9.81326,-0.773887,-0.16943,1.04413,-0.0128261,0.00162723,0.0981317,1,4.53668e-06,-3.43787e-05,5.96326e-05,0.000907336,-0.00687574,0.0119265,0,0,0,0,0.0902489,0.495323,-0.989392,34.8125,1,53750,5430984
15,-0.353762,-0.00353019,9.73532,0.227768,-0.391396,0.916155,-0.00353071,-3.78706e-05,0.0973534,1,1.19858e-05,3.54827e-05,3.32432e-05,0.00239717,0.00709654,0.00664864,0,0,0,0,0.0921211,0.4992,-0.988809,34.8125,1,53754,5431384
16,-0.685317,-0.0668232,9.82758,-0.0831313,-0.493898,1.04304,-0.00684918,-0.000673293,0.098276,1,2.42427e-05,2.01588e-05,2.16308e-05,0.00484853,0.00403176,0.00432616,0,0,0,0,0.0874893,0.494291,-0.984856,34.8125,1,53757,5431684
17,-0.820105,-0.109083,9.84613,-0.255733,-0.517631,1.06065,-0.00820544,-0.001099,0.0984608,1,3.66436e-05,-2.29368e-05,5.81668e-05,0.00732872,-0.00458737,0.0116334,0,0,0,0,0.091175,0.498233,-0.988826,34.8125,1,53761,5432084
18,-0.587381,-0.0441964,9.76914,-0.00666348,-0.381257,0.981632,-0.00588318,-0.000452163,0.0976908,1,4.98591e-05,-4.81518e-05,3.88597e-05,0.00997181,-0.00963035,0.00777194,0,0,0,0,0.088489,0.495701,-0.982304,34.8125,1,53764,5432384
19,-0.522028,-0.0105589,9.79272,0.0549175,-0.419459,0.989613,-0.00522564,-0.000114866,0.0979269,1,4.60947e-05,-2.74128e-05,2.38383e-05,0.00921894,-0.00548256,0.00476766,0,0,0,0,0.092133,0.497746,-0.989346,34.8125,1,53767,5432684
20,-0.688869,-0.0138649,9.80704,-0.119462,-0.420796,1.01496,-0.00689239,-0.000147243,0.0980701,1,4.24591e-05,-1.88722e-05,1.93043e-05,0.00849183,-0.00377444,0.00386086,0,0,0,0,0.0894266,0.495711,-0.983318,34.8125,1,53770,5432984
21,-0.772916,-0.0412707,9.78091,-0.209578,-0.458936,0.994498,-0.00773112,-0.000424021,0.0978088,1,5.59484e-05,-1.01215e-05,2.38827e-05,0.0111897,-0.00202431,0.00477653,0,0,0,0,0.0907266,0.497731,-0.987825,34.8125,1,53774,5433384
22,-0.631827,-0.0944438,9.77475,-0.0698561,-0.517639,0.979601,-0.006318,-0.000954249,0.0977474,1,4.89914e-05,1.23272e-06,1.84548e-05,0.00979829,0.000246544,0.00369095,0,0,0,0,0.0913102,0.496688,-0.984315,34.8125,1,53777,5433684
23,-0.782466,-0.0655651,9.79162,-0.220881,-0.493282,1.00349,-0.00782695,-0.000664438,0.097916,1,4.33234e-05,-1.18148e-05,1.93265e-05,0.00866468,-0.00236296,0.0038653,0,0,0,0,0.0892994,0.496768,-0.98784,34.8125,1,53780,5433984
