source,frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
right,11,1,0.924246,0.0453908,0.0227947,-0.378404,-0.711363,-0.0412551,9.80293,-0.841322,-0.461841,0.790709,-0.0071163,-0.000421762,0.098029,1,4.59868e-05,-1.36903e-05,1.3726e-05,0.00919737,-0.00273806,0.00274519,0.924246,0.0453908,0.0227947,-0.378404,0.204302,0.346025,-0.794748,35.0625,3,681,6670286
right,11,2,0.924246,0.0453908,0.0227947,-0.378404,-0.605411,-0.0976261,7.34347,-0.841322,-0.461841,0.790709,-0.00605292,-0.000977537,0.0734348,1,7.81569e-06,7.97213e-06,1.05388e-05,0.00156314,0.00159443,0.00210776,0.924246,0.0453908,0.0227947,-0.378404,0.561296,0.122387,-0.733183,34.75,1,5937,7197356
right,11,3,0.924246,0.0453908,0.0227947,-0.378404,-0.605411,-0.0976261,7.34347,-0.841322,-0.461841,0.790709,-0.00605292,-0.000977537,0.0734348,1,7.81569e-06,7.97213e-06,1.05388e-05,0.00156314,0.00159443,0.00210776,0.924246,0.0453908,0.0227947,-0.378404,0.561296,0.122387,-0.733183,34.75,1,5937,7197356
right,11,4,0.924246,0.0453908,0.0227947,-0.378404,-0.605411,-0.0976261,7.34347,-0.841322,-0.461841,0.790709,-0.00605292,-0.000977537,0.0734348,1,7.81569e-06,7.97213e-06,1.05388e-05,0.00156314,0.00159443,0.00210776,0.924246,0.0453908,0.0227947,-0.378404,0.561296,0.122387,-0.733183,34.75,1,5937,7197356
right,11,5,0.999133,-0.00659026,0.0411086,-0.000251645,-0.869323,-0.108447,9.74306,-0.499528,-0.0808982,0.787585,-0.00869299,-0.0010919,0.0974305,1,3.61185e-05,1.01324e-06,2.25325e-05,0.0072237,0.000202648,0.00450649,0.999133,-0.00659026,0.0411086,-0.000251645,0.561284,0.122396,-0.733688,34.75,1,5938,7197456
left,29,1,0.999133,-0.00659026,0.0411086,-0.000251645,-0.869323,-0.108447,9.74306,-0.499528,-0.0808982,0.787585,-0.00869299,-0.0010919,0.0974305,1,3.61185e-05,1.01324e-06,2.25325e-05,0.0072237,0.000202648,0.00450649,0.999133,-0.00659026,0.0411086,-0.000251645,0.561284,0.122396,-0.733688,34.75,1,5938,7197456
left,29,2,0.999133,-0.00659026,0.0411086,-0.000251645,-0.869323,-0.108447,9.74306,-0.499528,-0.0808982,0.787585,-0.00869299,-0.0010919,0.0974305,1,3.61185e-05,1.01324e-06,2.25325e-05,0.0072237,0.000202648,0.00450649,0.999133,-0.00659026,0.0411086,-0.000251645,0.561284,0.122396,-0.733688,34.75,1,5938,7197456
left,29,3,0.999134,-0.00654383,0.0410913,-0.000228419,-0.855697,-0.0110098,9.79537,-0.493657,0.0290341,0.857123,-0.00856001,-0.000119435,0.0979534,1,4.53851e-05,-1.55346e-05,2.60195e-05,0.00907702,-0.00310691,0.0052039,0.999134,-0.00654383,0.0410913,-0.000228419,0.560309,0.122413,-0.734188,34.75,1,5939,7197556
left,29,4,0.999134,-0.00654383,0.0410913,-0.000228419,-0.855697,-0.0110098,9.79537,-0.493657,0.0290341,0.857123,-0.00856001,-0.000119435,0.0979534,1,4.53851e-05,-1.55346e-05,2.60195e-05,0.00907702,-0.00310691,0.0052039,0.999134,-0.00654383,0.0410913,-0.000228419,0.560309,0.122413,-0.734188,34.75,1,5939,7197556
left,29,5,0.999134,-0.00654383,0.0410913,-0.000228419,-0.855697,-0.0110098,9.79537,-0.493657,0.0290341,0.857123,-0.00856001,-0.000119435,0.0979534,1,4.53851e-05,-1.55346e-05,2.60195e-05,0.00907702,-0.00310691,0.0052039,0.999134,-0.00654383,0.0410913,-0.000228419,0.560309,0.122413,-0.734188,34.75,1,5939,7197556
