frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.983444,0.0351461,0.0298651,0.175244,-0.719111,0.00372743,9.79086,0.351227,-1.22847,0.877446,-0.00719176,2.82261e-05,0.0979085,1,4.53778e-05,-3.32111e-06,1.12931e-05,0.00907556,-0.000664221,0.00225862,0.983444,0.0351461,0.0298651,0.175244,0.0740621,0.359636,-0.978696,33,3,5305,582125
1,2,0.983444,0.0351461,0.0298651,0.175244,-0.522616,-0.0411832,7.34817,0.351227,-1.22847,0.877446,-0.00522677,-0.000417328,0.0734816,1,3.83276e-05,-4.04032e-06,-1.30925e-05,0.00766552,-0.000808063,-0.00261851,0.983444,0.0351461,0.0298651,0.175244,0.0358562,0.477831,-1.02286,33.1875,1,14701,1523253
3,1,0.983444,0.0351461,0.0298651,0.175244,-0.522616,-0.0411832,7.34817,0.351227,-1.22847,0.877446,-0.00522677,-0.000417328,0.0734816,1,3.83276e-05,-4.04032e-06,-1.30925e-05,0.00766552,-0.000808063,-0.00261851,0.983444,0.0351461,0.0298651,0.175244,0.0358562,0.477831,-1.02286,33.1875,1,14701,1523253
3,2,0.983444,0.0351461,0.0298651,0.175244,-0.522616,-0.0411832,7.34817,0.351227,-1.22847,0.877446,-0.00522677,-0.000417328,0.0734816,1,3.83276e-05,-4.04032e-06,-1.30925e-05,0.00766552,-0.000808063,-0.00261851,0.983444,0.0351461,0.0298651,0.175244,0.0358562,0.477831,-1.02286,33.1875,1,14701,1523253
3,3,0.999366,-0.00280141,0.0354993,-8.69239e-05,-0.684714,-0.0724387,9.78296,0.120651,-0.483905,1.01741,-0.00684681,-0.000730221,0.0978296,1,2.8789e-05,1.5609e-06,1.46591e-05,0.00575781,0.00031218,0.00293181,0.999366,-0.00280141,0.0354993,-8.69239e-05,0.0357907,0.478843,-1.02486,33.1875,1,14702,1523353
3,4,0.999366,-0.00280141,0.0354993,-8.69239e-05,-0.684714,-0.0724387,9.78296,0.120651,-0.483905,1.01741,-0.00684681,-0.000730221,0.0978296,1,2.8789e-05,1.5609e-06,1.46591e-05,0.00575781,0.00031218,0.00293181,0.999366,-0.00280141,0.0354993,-8.69239e-05,0.0357907,0.478843,-1.02486,33.1875,1,14702,1523353
3,5,0.999366,-0.00280141,0.0354993,-8.69239e-05,-0.684714,-0.0724387,9.78296,0.120651,-0.483905,1.01741,-0.00684681,-0.000730221,0.0978296,1,2.8789e-05,1.5609e-06,1.46591e-05,0.00575781,0.00031218,0.00293181,0.999366,-0.00280141,0.0354993,-8.69239e-05,0.0357907,0.478843,-1.02486,33.1875,1,14702,1523353
3,6,0.999366,-0.00275087,0.035493,-8.84956e-05,-0.697743,-0.0799229,9.79554,0.113391,-0.496192,1.03062,-0.00697853,-0.000809318,0.0979553,1,5.13848e-05,-5.65662e-06,1.64095e-06,0.010277,-0.00113132,0.00032819,0.999366,-0.00275087,0.035493,-8.84956e-05,0.0357125,0.478418,-1.02841,33.1875,1,14703,1523453
4,1,0.999366,-0.00275087,0.035493,-8.84956e-05,-0.697743,-0.0799229,9.79554,0.113391,-0.496192,1.03062,-0.00697853,-0.000809318,0.0979553,1,5.13848e-05,-5.65662e-06,1.64095e-06,0.010277,-0.00113132,0.00032819,0.999366,-0.00275087,0.035493,-8.84956e-05,0.0357125,0.478418,-1.02841,33.1875,1,14703,1523453
4,2,0.999366,-0.00275087,0.035493,-8.84956e-05,-0.697743,-0.0799229,9.79554,0.113391,-0.496192,1.03062,-0.00697853,-0.000809318,0.0979553,1,5.13848e-05,-5.65662e-06,1.64095e-06,0.010277,-0.00113132,0.00032819,0.999366,-0.00275087,0.035493,-8.84956e-05,0.0357125,0.478418,-1.02841,33.1875,1,14703,1523453
12,1,0.999366,-0.00271975,0.0354882,-7.34844e-05,-0.682284,-0.0669307,9.7813,0.119928,-0.478619,1.02006,-0.00682376,-0.000675567,0.0978129,1,3.08715e-05,-4.82048e-06,1.61714e-05,0.00617431,-0.000964096,0.00323428,0.999366,-0.00271975,0.0354882,-7.34844e-05,0.0367682,0.474969,-1.02697,33.1875,1,14704,1523553
12,2,0.999366,-0.00271975,0.0354882,-7.34844e-05,-0.682284,-0.0669307,9.7813,0.119928,-0.478619,1.02006,-0.00682376,-0.000675567,0.0978129,1,3.08715e-05,-4.82048e-06,1.61714e-05,0.00617431,-0.000964096,0.00323428,0.999366,-0.00271975,0.0354882,-7.34844e-05,0.0367682,0.474969,-1.02697,33.1875,1,14704,1523553
12,3,0.999366,-0.00271975,0.0354882,-7.34844e-05,-0.682284,-0.0669307,9.7813,0.119928,-0.478619,1.02006,-0.00682376,-0.000675567,0.0978129,1,3.08715e-05,-4.82048e-06,1.61714e-05,0.00617431,-0.000964096,0.00323428,0.999366,-0.00271975,0.0354882,-7.34844e-05,0.0367682,0.474969,-1.02697,33.1875,1,14704,1523553
12,4,0.999367,-0.00267739,0.0354828,-7.80772e-05,-0.686104,-0.071497,9.77722,0.118967,-0.491042,1.01857,-0.00686211,-0.000723254,0.097772,1,4.25726e-05,-5.45238e-06,-3.00605e-06,0.00851453,-0.00109048,-0.000601209,0.999367,-0.00267739,0.0354828,-7.80772e-05,0.0358268,0.475925,-1.02543,33.1875,1,14705,1523653
10,1,0.999367,-0.00267739,0.0354828,-7.80772e-05,-0.686104,-0.071497,9.77722,0.118967,-0.491042,1.01857,-0.00686211,-0.000723254,0.097772,1,4.25726e-05,-5.45238e-06,-3.00605e-06,0.00851453,-0.00109048,-0.000601209,0.999367,-0.00267739,0.0354828,-7.80772e-05,0.0358268,0.475925,-1.02543,33.1875,1,14705,1523653
10,2,0.999367,-0.00267739,0.0354828,-7.80772e-05,-0.686104,-0.071497,9.77722,0.118967,-0.491042,1.01857,-0.00686211,-0.000723254,0.097772,1,4.25726e-05,-5.45238e-06,-3.00605e-06,0.00851453,-0.00109048,-0.000601209,0.999367,-0.00267739,0.0354828,-7.80772e-05,0.0358268,0.475925,-1.02543,33.1875,1,14705,1523653
10,3,0.999367,-0.00263679,0.0354706,-5.60037e-05,-0.680224,-0.0713619,9.78499,0.123145,-0.48263,1.02208,-0.0068046,-0.000721546,0.0978496,1,3.88919e-05,-1.22229e-05,2.32105e-05,0.00777838,-0.00244458,0.0046421,0.999367,-0.00263679,0.0354706,-5.60037e-05,0.0358472,0.475428,-1.02494,33.1875,1,14706,1523753
10,4,0.999367,-0.00263679,0.0354706,-5.60037e-05,-0.680224,-0.0713619,9.78499,0.123145,-0.48263,1.02208,-0.0068046,-0.000721546,0.0978496,1,3.88919e-05,-1.22229e-05,2.32105e-05,0.00777838,-0.00244458,0.0046421,0.999367,-0.00263679,0.0354706,-5.60037e-05,0.0358472,0.475428,-1.02494,33.1875,1,14706,1523753
14,1,0.999367,-0.00263679,0.0354706,-5.60037e-05,-0.680224,-0.0713619,9.78499,0.123145,-0.48263,1.02208,-0.0068046,-0.000721546,0.0978496,1,3.88919e-05,-1.22229e-05,2.32105e-05,0.00777838,-0.00244458,0.0046421,0.999367,-0.00263679,0.0354706,-5.60037e-05,0.0358472,0.475428,-1.02494,33.1875,1,14706,1523753
14,2,0.999367,-0.00258819,0.0354668,-4.30106e-05,-0.691006,-0.0768132,9.79281,0.115718,-0.493569,1.03134,-0.00691076,-0.000777785,0.097928,1,4.82481e-05,-3.72375e-06,1.47335e-05,0.00964962,-0.00074475,0.0029467,0.999367,-0.00258819,0.0354668,-4.30106e-05,0.0343754,0.476425,-1.02541,33.1875,1,14707,1523853
14,3,0.999367,-0.00258819,0.0354668,-4.30106e-05,-0.691006,-0.0768132,9.79281,0.115718,-0.493569,1.03134,-0.00691076,-0.000777785,0.097928,1,4.82481e-05,-3.72375e-06,1.47335e-05,0.00964962,-0.00074475,0.0029467,0.999367,-0.00258819,0.0354668,-4.30106e-05,0.0343754,0.476425,-1.02541,33.1875,1,14707,1523853
14,4,0.999367,-0.00258819,0.0354668,-4.30106e-05,-0.691006,-0.0768132,9.79281,0.115718,-0.493569,1.03134,-0.00691076,-0.000777785,0.097928,1,4.82481e-05,-3.72375e-06,1.47335e-05,0.00964962,-0.00074475,0.0029467,0.999367,-0.00258819,0.0354668,-4.30106e-05,0.0343754,0.476425,-1.02541,33.1875,1,14707,1523853
15,1,0.999368,-0.00254879,0.0354571,-4.55727e-05,-0.677022,-0.0792015,9.791,0.126204,-0.489815,1.02396,-0.00677214,-0.000799756,0.0979098,1,3.96483e-05,-9.76584e-06,-1.64468e-06,0.00792965,-0.00195317,-0.000328937,0.999368,-0.00254879,0.0354571,-4.55727e-05,0.0338416,0.478877,-1.02586,33.1875,1,14708,1523953
