frame_id,imu_idx,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
2,1,-0.742602,-0.0603161,9.80294,0.380384,-0.894502,0.893641,-0.00742689,-0.000614048,0.0980293,1,5.49741e-05,-4.50023e-06,7.36632e-06,0.0109948,-0.000900047,0.00147327,0,0,0,0,0.263775,0.305132,-0.911085,35.375,3,33238,3366937
2,2,-0.121687,-0.21572,7.11619,0.380384,-0.894502,0.893641,-0.00121766,-0.00219067,0.0711608,1,0.000235161,-5.58066e-06,9.99222e-07,0.0470322,-0.00111613,0.000199844,0,0,0,0,0.045111,0.511403,-0.994381,35.4375,1,52044,5249083
4,1,-0.121687,-0.21572,7.11619,0.380384,-0.894502,0.893641,-0.00121766,-0.00219067,0.0711608,1,0.000235161,-5.58066e-06,9.99222e-07,0.0470322,-0.00111613,0.000199844,0,0,0,0,0.045111,0.511403,-0.994381,35.4375,1,52044,5249083
4,2,-1.16611,0.517999,9.64059,-1.01186,0.363805,0.850929,-0.0116613,0.0051656,0.0964067,1,8.03639e-05,-3.30362e-06,-4.72244e-05,0.0160728,-0.000660724,-0.00944489,0,0,0,0,0.0437531,0.508461,-0.992925,35.4375,1,52045,5249183
4,3,-1.16611,0.517999,9.64059,-1.01186,0.363805,0.850929,-0.0116613,0.0051656,0.0964067,1,8.03639e-05,-3.30362e-06,-4.72244e-05,0.0160728,-0.000660724,-0.00944489,0,0,0,0,0.0437531,0.508461,-0.992925,35.4375,1,52045,5249183
4,4,-0.207692,0.106718,10.1997,0.0310268,0.31244,1.40895,-0.00208452,0.0010915,0.101997,1,-0.000119314,-3.72419e-05,4.18707e-06,-0.0238628,-0.00744839,0.000837414,0,0,0,0,0.0410832,0.504954,-0.986425,35.4375,1,52046,5249283
4,5,-0.207692,0.106718,10.1997,0.0310268,0.31244,1.40895,-0.00208452,0.0010915,0.101997,1,-0.000119314,-3.72419e-05,4.18707e-06,-0.0238628,-0.00744839,0.000837414,0,0,0,0,0.0410832,0.504954,-0.986425,35.4375,1,52046,5249283
4,6,-0.77462,-0.791653,9.62116,-0.479857,-0.883375,0.90783,-0.00774272,-0.00793463,0.0962104,1,9.10985e-05,1.50585e-05,3.69198e-05,0.0182197,0.00301171,0.00738395,0,0,0,0,0.0427154,0.50384,-0.979387,35.4375,1,52047,5249383
7,1,-0.77462,-0.791653,9.62116,-0.479857,-0.883375,0.90783,-0.00774272,-0.00793463,0.0962104,1,9.10985e-05,1.50585e-05,3.69198e-05,0.0182197,0.00301171,0.00738395,0,0,0,0,0.0427154,0.50384,-0.979387,35.4375,1,52047,5249383
7,2,-0.675013,-0.0773926,9.64533,-0.666093,-0.0262222,0.790471,-0.00676256,-0.000782851,0.0964523,1,4.37144e-05,-6.47116e-05,3.64588e-05,0.00874288,-0.0129423,0.00729176,0,0,0,0,0.0450318,0.50774,-0.980321,35.4375,1,52048,5249483
9,1,-0.675013,-0.0773926,9.64533,-0.666093,-0.0262222,0.790471,-0.00676256,-0.000782851,0.0964523,1,4.37144e-05,-6.47116e-05,3.64588e-05,0.00874288,-0.0129423,0.00729176,0,0,0,0,0.0450318,0.50774,-0.980321,35.4375,1,52048,5249483
9,2,-0.198717,-0.59597,10.0009,-0.0218189,-0.594995,1.23121,-0.00198282,-0.00596467,0.100009,1,2.3996e-05,1.91858e-05,4.2731e-05,0.0047992,0.00383716,0.0085462,0,0,0,0,0.046328,0.510727,-0.984301,35.4375,1,52049,5249583
9,3,-0.198717,-0.59597,10.0009,-0.0218189,-0.594995,1.23121,-0.00198282,-0.00596467,0.100009,1,2.3996e-05,1.91858e-05,4.2731e-05,0.0047992,0.00383716,0.0085462,0,0,0,0,0.046328,0.510727,-0.984301,35.4375,1,52049,5249583
9,4,-0.963536,-0.0445539,9.69802,-0.728979,-0.401202,0.928543,-0.00963383,-0.000469023,0.0969802,1,0.000122547,7.94454e-06,-1.48188e-05,0.0245094,0.00158891,-0.00296377,0,0,0,0,0.0466691,0.510343,-0.990372,35.4375,1,52050,5249683
9,5,-0.963536,-0.0445539,9.69802,-0.728979,-0.401202,0.928543,-0.00963383,-0.000469023,0.0969802,1,0.000122547,7.94454e-06,-1.48188e-05,0.0245094,0.00158891,-0.00296377,0,0,0,0,0.0466691,0.510343,-0.990372,35.4375,1,52050,5249683
9,6,-0.614253,0.517549,9.79135,-0.554722,0.305922,0.981026,-0.0061492,0.00516751,0.0979135,1,4.22654e-05,-3.53255e-05,-2.40554e-05,0.00845308,-0.00706511,-0.00481108,0,0,0,0,0.0428848,0.506473,-0.99044,35.4375,1,52051,5249783
9,7,-0.614253,0.517549,9.79135,-0.554722,0.305922,0.981026,-0.0061492,0.00516751,0.0979135,1,4.22654e-05,-3.53255e-05,-2.40554e-05,0.00845308,-0.00706511,-0.00481108,0,0,0,0,0.0428848,0.506473,-0.99044,35.4375,1,52051,5249783
9,8,-0.401416,0.159873,9.84043,-0.151637,-0.000182364,1.0699,-0.00401072,0.0015932,0.0984046,1,2.90164e-05,1.70824e-05,-2.27759e-05,0.00580329,0.00341647,-0.00455517,0,0,0,0,0.0406837,0.502971,-0.984447,35.4375,1,52052,5249883
10,1,-0.401416,0.159873,9.84043,-0.151637,-0.000182364,1.0699,-0.00401072,0.0015932,0.0984046,1,2.90164e-05,1.70824e-05,-2.27759e-05,0.00580329,0.00341647,-0.00455517,0,0,0,0,0.0406837,0.502971,-0.984447,35.4375,1,52052,5249883
10,2,-0.793983,-0.23081,9.78074,-0.647397,-0.310248,0.993098,-0.0079446,-0.00231263,0.0978069,1,2.33836e-05,-2.43206e-05,-2.72157e-06,0.00467672,-0.00486411,-0.000544313,0,0,0,0,0.0427111,0.503361,-0.979902,35.4375,1,52053,5249983
10,3,-0.793983,-0.23081,9.78074,-0.647397,-0.310248,0.993098,-0.0079446,-0.00231263,0.0978069,1,2.33836e-05,-2.43206e-05,-2.72157e-06,0.00467672,-0.00486411,-0.000544313,0,0,0,0,0.0427111,0.503361,-0.979902,35.4375,1,52053,5249983
10,4,-0.69821,-0.634634,9.77801,-0.566031,-0.75895,0.993225,-0.00698585,-0.00635958,0.097779,1,6.76121e-05,-1.9206e-05,1.04447e-06,0.0135224,-0.0038412,0.000208895,0,0,0,0,0.0455048,0.508224,-0.980312,35.4375,1,52054,5250083
11,1,-0.69821,-0.634634,9.77801,-0.566031,-0.75895,0.993225,-0.00698585,-0.00635958,0.097779,1,6.76121e-05,-1.9206e-05,1.04447e-06,0.0135224,-0.0038412,0.000208895,0,0,0,0,0.0455048,0.508224,-0.980312,35.4375,1,52054,5250083
11,2,-0.617925,-0.0995073,9.83459,-0.445587,-0.241337,1.04713,-0.00618346,-0.00100829,0.0983455,1,6.75636e-05,-2.13164e-05,-6.22489e-06,0.0135127,-0.00426327,-0.00124498,0,0,0,0,0.0468257,0.511193,-0.983283,35.4375,1,52055,5250183
12,1,-0.617925,-0.0995073,9.83459,-0.445587,-0.241337,1.04713,-0.00618346,-0.00100829,0.0983455,1,6.75636e-05,-2.13164e-05,-6.22489e-06,0.0135127,-0.00426327,-0.00124498,0,0,0,0,0.0468257,0.511193,-0.983283,35.4375,1,52055,5250183
12,2,-0.632949,-0.161033,9.79416,-0.474963,-0.32941,1.00214,-0.00633324,-0.00161689,0.0979412,1,3.14005e-05,-1.96953e-05,3.27977e-05,0.00628011,-0.00393906,0.00655954,0,0,0,0,0.0457397,0.509846,-0.989368,35.4375,1,52056,5250283
12,3,-0.632949,-0.161033,9.79416,-0.474963,-0.32941,1.00214,-0.00633324,-0.00161689,0.0979412,1,3.14005e-05,-1.96953e-05,3.27977e-05,0.00628011,-0.00393906,0.00655954,0,0,0,0,0.0457397,0.509846,-0.989368,35.4375,1,52056,5250283
12,4,-0.669693,0.0823638,9.78292,-0.539501,-0.120284,0.972056,-0.00669983,0.000813404,0.097829,1,5.10702e-05,-1.46252e-05,1.80617e-05,0.010214,-0.00292504,0.00361234,0,0,0,0,0.0433702,0.506948,-0.989927,35.4375,1,52057,5250383
10,1,-0.669693,0.0823638,9.78292,-0.539501,-0.120284,0.972056,-0.00669983,0.000813404,0.097829,1,5.10702e-05,-1.46252e-05,1.80617e-05,0.010214,-0.00292504,0.00361234,0,0,0,0,0.0433702,0.506948,-0.989927,35.4375,1,52057,5250383
10,2,-0.51938,0.170087,9.81588,-0.378974,0.0142357,1.02614,-0.00519633,0.00169318,0.0981588,1,3.95142e-05,-1.29492e-05,-6.12207e-06,0.00790284,-0.00258984,-0.00122441,0,0,0,0,0.0411368,0.505397,-0.98389,35.4375,1,52058,5250483
14,1,-0.51938,0.170087,9.81588,-0.378974,0.0142357,1.02614,-0.00519633,0.00169318,0.0981588,1,3.95142e-05,-1.29492e-05,-6.12207e-06,0.00790284,-0.00258984,-0.00122441,0,0,0,0,0.0411368,0.505397,-0.98389,35.4375,1,52058,5250483
14,2,-0.613241,-0.110835,9.77103,-0.446205,-0.254023,0.985324,-0.00613285,-0.0011164,0.0977102,1,4.13843e-05,-2.23495e-06,-2.65092e-06,0.00827685,-0.00044699,-0.000530184,0,0,0,0,0.0446199,0.505766,-0.978848,35.4375,1,52059,5250583
18,1,-0.613241,-0.110835,9.77103,-0.446205,-0.254023,0.985324,-0.00613285,-0.0011164,0.0977102,1,4.13843e-05,-2.23495e-06,-2.65092e-06,0.00827685,-0.00044699,-0.000530184,0,0,0,0,0.0446199,0.505766,-0.978848,35.4375,1,52059,5250583
