frame_id,imu_idx,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,-0.651885,-0.0279125,9.84188,-0.342724,-1.00502,1.19022,-0.00652081,-0.000286916,0.0984186,1,3.87001e-05,-9.9987e-06,1.3238e-05,0.00774002,-0.00199974,0.0026476,0,0,0,0,-0.0502715,0.417727,-1.22532,35.4375,3,53287,5373383
1,2,-0.323604,0.0316965,7.23523,-0.342724,-1.00502,1.19022,-0.00323399,0.000308575,0.0723524,1,5.62702e-05,1.43382e-05,3.81402e-05,0.011254,0.00286764,0.00762803,0,0,0,0,0.0785577,0.50709,-0.987056,35.4375,1,57568,5802949
1,3,-0.323604,0.0316965,7.23523,-0.342724,-1.00502,1.19022,-0.00323399,0.000308575,0.0723524,1,5.62702e-05,1.43382e-05,3.81402e-05,0.011254,0.00286764,0.00762803,0,0,0,0,0.0785577,0.50709,-0.987056,35.4375,1,57568,5802949
1,4,-0.633024,-0.215318,9.69734,-0.189522,-0.773931,0.887923,-0.00632945,-0.00216604,0.0969732,1,6.45874e-05,3.50025e-06,2.61791e-05,0.0129175,0.00070005,0.00523582,0,0,0,0,0.0766332,0.507106,-0.987047,35.4375,1,57569,5803049
1,5,-0.633024,-0.215318,9.69734,-0.189522,-0.773931,0.887923,-0.00632945,-0.00216604,0.0969732,1,6.45874e-05,3.50025e-06,2.61791e-05,0.0129175,0.00070005,0.00523582,0,0,0,0,0.0766332,0.507106,-0.987047,35.4375,1,57569,5803049
1,6,-0.698693,-0.125312,9.89836,-0.281415,-0.686946,1.09195,-0.00699266,-0.00126802,0.098983,1,7.38764e-05,-2.91914e-05,2.00824e-05,0.0147753,-0.00583828,0.00401647,0,0,0,0,0.0758181,0.504115,-0.983069,35.4375,1,57570,5803149
3,1,-0.698693,-0.125312,9.89836,-0.281415,-0.686946,1.09195,-0.00699266,-0.00126802,0.098983,1,7.38764e-05,-2.91914e-05,2.00824e-05,0.0147753,-0.00583828,0.00401647,0,0,0,0,0.0758181,0.504115,-0.983069,35.4375,1,57570,5803149
3,2,-0.519777,0.0777183,9.91482,-0.0594609,-0.478153,1.1071,-0.00520324,0.000763972,0.0991481,1,6.53696e-05,-2.73698e-05,2.39162e-05,0.0130739,-0.00547396,0.00478324,0,0,0,0,0.0774128,0.501583,-0.978587,35.4375,1,57571,5803249
3,3,-0.519777,0.0777183,9.91482,-0.0594609,-0.478153,1.1071,-0.00520324,0.000763972,0.0991481,1,6.53696e-05,-2.73698e-05,2.39162e-05,0.0130739,-0.00547396,0.00478324,0,0,0,0,0.0774128,0.501583,-0.978587,35.4375,1,57571,5803249
3,4,-0.504387,-0.0426767,9.68713,-0.069984,-0.559578,0.8625,-0.00505424,-0.000435309,0.0968708,1,4.25805e-05,-5.36905e-05,2.89306e-05,0.00851609,-0.0107381,0.00578613,0,0,0,0,0.08081,0.503461,-0.976035,35.4375,1,57572,5803349
3,5,-0.504387,-0.0426767,9.68713,-0.069984,-0.559578,0.8625,-0.00505424,-0.000435309,0.0968708,1,4.25805e-05,-5.36905e-05,2.89306e-05,0.00851609,-0.0107381,0.00578613,0,0,0,0,0.08081,0.503461,-0.976035,35.4375,1,57572,5803349
3,6,-0.344392,-0.160894,9.78813,0.102468,-0.718384,0.926236,-0.00344812,-0.00162231,0.0978809,1,6.74423e-05,-2.18898e-05,2.46341e-05,0.0134885,-0.00437796,0.00492682,0,0,0,0,0.0815886,0.507924,-0.980485,35.4375,1,57573,5803449
9,1,-0.344392,-0.160894,9.78813,0.102468,-0.718384,0.926236,-0.00344812,-0.00162231,0.0978809,1,6.74423e-05,-2.18898e-05,2.46341e-05,0.0134885,-0.00437796,0.00492682,0,0,0,0,0.0815886,0.507924,-0.980485,35.4375,1,57573,5803449
9,2,-0.344,-0.165179,9.84066,0.119423,-0.754804,1.01127,-0.00343601,-0.00166574,0.0984065,1,7.03745e-05,2.00252e-05,1.44356e-05,0.0140749,0.00400505,0.00288711,0,0,0,0,0.0809713,0.506582,-0.987078,35.4375,1,57574,5803549
9,3,-0.344,-0.165179,9.84066,0.119423,-0.754804,1.01127,-0.00343601,-0.00166574,0.0984065,1,7.03745e-05,2.00252e-05,1.44356e-05,0.0140749,0.00400505,0.00288711,0,0,0,0,0.0809713,0.506582,-0.987078,35.4375,1,57574,5803549
9,4,-0.660803,-0.176184,9.78367,-0.191367,-0.693389,0.974698,-0.00660366,-0.00177277,0.0978368,1,5.46743e-05,2.20145e-05,1.7233e-05,0.0109349,0.0044029,0.0034466,0,0,0,0,0.079054,0.50322,-0.989164,35.4375,1,57575,5803649
