frame_id,imu_idx,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1470,1,-0.702839,0.0192453,9.79194,0.122332,-0.962416,1.09038,-0.00703179,0.00018037,0.0979192,1,5.99288e-05,-1.72835e-05,2.46594e-05,0.0119858,-0.00345669,0.00493187,0,0,0,0,0.0490381,0.304109,-1.1379,35.5625,3,17024,1741089
1470,2,-0.484373,0.0239338,7.36062,0.122332,-0.962416,1.09038,-0.00484509,0.000221153,0.0736062,1,0.000124823,-9.31161e-06,-1.96803e-05,0.0249647,-0.00186232,-0.00393606,0,0,0,0,0.0132008,0.497941,-0.990493,35.5625,1,20779,2118086
1,1,-0.484373,0.0239338,7.36062,0.122332,-0.962416,1.09038,-0.00484509,0.000221153,0.0736062,1,0.000124823,-9.31161e-06,-1.96803e-05,0.0249647,-0.00186232,-0.00393606,0,0,0,0,0.0132008,0.497941,-0.990493,35.5625,1,20779,2118086
1,2,-0.702906,-0.0476456,9.76526,0.0564077,-0.581747,0.958106,-0.00703091,-0.000483085,0.0976525,1,3.46061e-05,-9.41943e-06,-9.22952e-06,0.00692121,-0.00188389,-0.0018459,0,0,0,0,0.0151585,0.498865,-0.988461,35.5625,1,20780,2118186
1,3,-0.702906,-0.0476456,9.76526,0.0564077,-0.581747,0.958106,-0.00703091,-0.000483085,0.0976525,1,3.46061e-05,-9.41943e-06,-9.22952e-06,0.00692121,-0.00188389,-0.0018459,0,0,0,0,0.0151585,0.498865,-0.988461,35.5625,1,20780,2118186
1,4,-0.663443,-0.186057,9.80518,0.0974658,-0.69654,0.995348,-0.0066363,-0.00187634,0.0980514,1,8.04012e-05,-9.55677e-06,-1.13455e-08,0.0160802,-0.00191135,-2.2691e-06,0,0,0,0,0.0160718,0.500338,-0.989443,35.5625,1,20781,2118286
1,5,-0.663443,-0.186057,9.80518,0.0974658,-0.69654,0.995348,-0.0066363,-0.00187634,0.0980514,1,8.04012e-05,-9.55677e-06,-1.13455e-08,0.0160802,-0.00191135,-2.2691e-06,0,0,0,0,0.0160718,0.500338,-0.989443,35.5625,1,20781,2118286
1,6,-0.700877,-0.0873535,9.82764,0.0894746,-0.58592,1.00028,-0.00701065,-0.000889022,0.0982761,1,8.00584e-05,-9.38975e-06,-1.77171e-05,0.0160117,-0.00187795,-0.00354343,0,0,0,0,0.0168779,0.500926,-0.995494,35.5625,1,20782,2118386
1,7,-0.700877,-0.0873535,9.82764,0.0894746,-0.58592,1.00028,-0.00701065,-0.000889022,0.0982761,1,8.00584e-05,-9.38975e-06,-1.77171e-05,0.0160117,-0.00187795,-0.00354343,0,0,0,0,0.0168779,0.500926,-0.995494,35.5625,1,20782,2118386
1,8,-0.677213,-0.0798553,9.78245,0.0641779,-0.608249,0.95255,-0.0067765,-0.00081537,0.0978241,1,8.76318e-05,-2.21074e-05,-2.42131e-05,0.0175264,-0.00442147,-0.00484262,0,0,0,0,0.0167588,0.501495,-1.00003,35.5625,1,20783,2118486
7,1,-0.677213,-0.0798553,9.78245,0.0641779,-0.608249,0.95255,-0.0067765,-0.00081537,0.0978241,1,8.76318e-05,-2.21074e-05,-2.42131e-05,0.0175264,-0.00442147,-0.00484262,0,0,0,0,0.0167588,0.501495,-1.00003,35.5625,1,20783,2118486
7,2,-0.774672,-0.102733,9.80765,-0.0117059,-0.640293,1.00309,-0.00774675,-0.00104193,0.0980764,1,7.50964e-05,-5.37091e-08,-7.94231e-06,0.0150193,-1.07418e-05,-0.00158846,0,0,0,0,0.0159191,0.498522,-0.997058,35.5625,1,20784,2118586
9,1,-0.774672,-0.102733,9.80765,-0.0117059,-0.640293,1.00309,-0.00774675,-0.00104193,0.0980764,1,7.50964e-05,-5.37091e-08,-7.94231e-06,0.0150193,-1.07418e-05,-0.00158846,0,0,0,0,0.0159191,0.498522,-0.997058,35.5625,1,20784,2118586
9,2,-0.839914,-0.102295,9.77963,-0.0659454,-0.674524,1.01213,-0.00840352,-0.00103771,0.0977958,1,7.58563e-05,-2.23138e-05,-4.47791e-06,0.0151713,-0.00446276,-0.000895583,0,0,0,0,0.0146356,0.496972,-0.991531,35.5625,1,20785,2118686
10,1,-0.839914,-0.102295,9.77963,-0.0659454,-0.674524,1.01213,-0.00840352,-0.00103771,0.0977958,1,7.58563e-05,-2.23138e-05,-4.47791e-06,0.0151713,-0.00446276,-0.000895583,0,0,0,0,0.0146356,0.496972,-0.991531,35.5625,1,20785,2118686
10,2,-0.738196,-0.0170901,9.74914,-0.0278724,-0.621442,0.963145,-0.00738525,-0.000185688,0.0974911,1,7.63983e-05,-1.68828e-05,-7.46415e-06,0.0152797,-0.00337656,-0.00149283,0,0,0,0,0.0156515,0.497407,-0.989001,35.5625,1,20786,2118786
12,1,-0.738196,-0.0170901,9.74914,-0.0278724,-0.621442,0.963145,-0.00738525,-0.000185688,0.0974911,1,7.63983e-05,-1.68828e-05,-7.46415e-06,0.0152797,-0.00337656,-0.00149283,0,0,0,0,0.0156515,0.497407,-0.989001,35.5625,1,20786,2118786
12,2,-0.823225,-0.045733,9.78745,-0.0349841,-0.563784,0.961829,-0.0082327,-0.000465811,0.0978744,1,4.40794e-05,-2.26329e-06,-8.9316e-06,0.00881589,-0.000452658,-0.00178632,0,0,0,0,0.0155252,0.501354,-0.991438,35.5625,1,20787,2118886
15,1,-0.823225,-0.045733,9.78745,-0.0349841,-0.563784,0.961829,-0.0082327,-0.000465811,0.0978744,1,4.40794e-05,-2.26329e-06,-8.9316e-06,0.00881589,-0.000452658,-0.00178632,0,0,0,0,0.0155252,0.501354,-0.991438,35.5625,1,20787,2118886
15,2,-0.764259,-0.0402005,9.79863,-9.93898e-05,-0.527707,0.965657,-0.00764662,-0.000417406,0.097986,1,7.93785e-05,-2.05002e-05,-1.01621e-05,0.0158757,-0.00410004,-0.00203243,0,0,0,0,0.0163726,0.502393,-0.995459,35.5625,1,20788,2118986
16,1,-0.764259,-0.0402005,9.79863,-9.93898e-05,-0.527707,0.965657,-0.00764662,-0.000417406,0.097986,1,7.93785e-05,-2.05002e-05,-1.01621e-05,0.0158757,-0.00410004,-0.00203243,0,0,0,0,0.0163726,0.502393,-0.995459,35.5625,1,20788,2118986
