frame_id,imu_idx,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,2,-0.484363,-0.0516487,7.33678,0,0,0,-0.00484733,-0.000522102,0.0733675,1,3.66627e-05,-2.53502e-05,2.42033e-05,0.00733253,-0.00507005,0.00484066,0,0,0,0,0.017516,0.516093,-0.99819,34.1875,1,16393,48114176
1,1,-0.484363,-0.0516487,7.33678,0,0,0,-0.00484733,-0.000522102,0.0733675,1,3.66627e-05,-2.53502e-05,2.42033e-05,0.00733253,-0.00507005,0.00484066,0,0,0,0,0.017516,0.516093,-0.99819,34.1875,1,16393,48114176
1,2,-0.67685,-0.082065,9.79523,0.084779,-0.515487,1.00518,-0.00676712,-0.000829795,0.0979523,1,4.51729e-05,6.88031e-06,2.1778e-05,0.00903459,0.00137606,0.0043556,0,0,0,0,0.0189223,0.516108,-0.999712,34.1875,1,16394,48114276
2,1,-0.67685,-0.082065,9.79523,0.084779,-0.515487,1.00518,-0.00676712,-0.000829795,0.0979523,1,4.51729e-05,6.88031e-06,2.1778e-05,0.00903459,0.00137606,0.0043556,0,0,0,0,0.0189223,0.516108,-0.999712,34.1875,1,16394,48114276
2,2,-0.673787,-0.0707298,9.79666,0.0863827,-0.506798,1.00602,-0.00673827,-0.000716116,0.0979665,1,4.39081e-05,-2.16836e-06,1.59088e-05,0.00878163,-0.000433671,0.00318176,0,0,0,0,0.0180085,0.51319,-0.999772,34.1875,1,16395,48114376
3,1,-0.673787,-0.0707298,9.79666,0.0863827,-0.506798,1.00602,-0.00673827,-0.000716116,0.0979665,1,4.39081e-05,-2.16836e-06,1.59088e-05,0.00878163,-0.000433671,0.00318176,0,0,0,0,0.0180085,0.51319,-0.999772,34.1875,1,16395,48114376
3,2,-0.667104,-0.0708018,9.79051,0.0932096,-0.506192,1.00508,-0.00667277,-0.000713767,0.0979049,1,2.80773e-05,-8.99457e-06,1.87683e-05,0.00561547,-0.00179891,0.00375366,0,0,0,0,0.0176251,0.510231,-0.997816,34.1875,1,16396,48114476
7,1,-0.667104,-0.0708018,9.79051,0.0932096,-0.506192,1.00508,-0.00667277,-0.000713767,0.0979049,1,2.80773e-05,-8.99457e-06,1.87683e-05,0.00561547,-0.00179891,0.00375366,0,0,0,0,0.0176251,0.510231,-0.997816,34.1875,1,16396,48114476
7,2,-0.673819,-0.0820578,9.78232,0.0843543,-0.515972,0.991133,-0.00673811,-0.000832289,0.0978231,1,5.87944e-05,2.86975e-07,1.53929e-05,0.0117589,5.73949e-05,0.00307858,0,0,0,0,0.0181361,0.513578,-0.994209,34.1875,1,16397,48114576
8,1,-0.673819,-0.0820578,9.78232,0.0843543,-0.515972,0.991133,-0.00673811,-0.000832289,0.0978231,1,5.87944e-05,2.86975e-07,1.53929e-05,0.0117589,5.73949e-05,0.00307858,0,0,0,0,0.0181361,0.513578,-0.994209,34.1875,1,16397,48114576
8,2,-0.673713,-0.0799557,9.79421,0.0857604,-0.51257,1.00208,-0.0067381,-0.000809058,0.0979419,1,4.71137e-05,-5.15419e-06,2.02134e-05,0.00942274,-0.00103084,0.00404268,0,0,0,0,0.019058,0.516009,-0.994159,34.1875,1,16398,48114676
9,1,-0.673713,-0.0799557,9.79421,0.0857604,-0.51257,1.00208,-0.0067381,-0.000809058,0.0979419,1,4.71137e-05,-5.15419e-06,2.02134e-05,0.00942274,-0.00103084,0.00404268,0,0,0,0,0.019058,0.516009,-0.994159,34.1875,1,16398,48114676
9,2,-0.660574,-0.0653827,9.76814,0.100421,-0.502279,0.972678,-0.00660945,-0.000660771,0.0976811,1,3.48389e-05,-1.90979e-05,1.04194e-05,0.00696778,-0.00381957,0.00208388,0,0,0,0,0.0194485,0.515589,-0.99821,34.1875,1,16399,48114776
10,1,-0.660574,-0.0653827,9.76814,0.100421,-0.502279,0.972678,-0.00660945,-0.000660771,0.0976811,1,3.48389e-05,-1.90979e-05,1.04194e-05,0.00696778,-0.00381957,0.00208388,0,0,0,0,0.0194485,0.515589,-0.99821,34.1875,1,16399,48114776
10,2,-0.689022,-0.081706,9.79497,0.0706178,-0.525612,1.00256,-0.0068901,-0.000826405,0.0979497,1,4.63482e-05,4.32108e-07,1.92038e-05,0.00926964,8.64217e-05,0.00384075,0,0,0,0,0.0208833,0.51462,-0.999249,34.1875,1,16400,48114876
11,1,-0.689022,-0.081706,9.79497,0.0706178,-0.525612,1.00256,-0.0068901,-0.000826405,0.0979497,1,4.63482e-05,4.32108e-07,1.92038e-05,0.00926964,8.64217e-05,0.00384075,0,0,0,0,0.0208833,0.51462,-0.999249,34.1875,1,16400,48114876
11,2,-0.670931,-0.08261,9.78942,0.0874724,-0.525715,1.00012,-0.00671214,-0.000835784,0.097894,1,4.77209e-05,-1.46293e-05,2.53842e-05,0.00954418,-0.00292587,0.00507685,0,0,0,0,0.0190319,0.511691,-0.998295,34.1875,1,16401,48114976
12,1,-0.670931,-0.08261,9.78942,0.0874724,-0.525715,1.00012,-0.00671214,-0.000835784,0.097894,1,4.77209e-05,-1.46293e-05,2.53842e-05,0.00954418,-0.00292587,0.00507685,0,0,0,0,0.0190319,0.511691,-0.998295,34.1875,1,16401,48114976
12,2,-0.677605,-0.0639703,9.79369,0.0789785,-0.505586,1.00598,-0.00677903,-0.000647856,0.0979367,1,3.9836e-05,-1.54172e-05,2.58931e-05,0.0079672,-0.00308345,0.00517863,0,0,0,0,0.0171853,0.510687,-0.995784,34.1875,1,16402,48115076
10,1,-0.677605,-0.0639703,9.79369,0.0789785,-0.505586,1.00598,-0.00677903,-0.000647856,0.0979367,1,3.9836e-05,-1.54172e-05,2.58931e-05,0.0079672,-0.00308345,0.00517863,0,0,0,0,0.0171853,0.510687,-0.995784,34.1875,1,16402,48115076
10,2,-0.672691,-0.0641378,9.78011,0.0805802,-0.502388,0.988978,-0.00673087,-0.000649125,0.0978007,1,3.86426e-05,-2.03101e-05,1.39957e-05,0.00772852,-0.00406202,0.00279914,0,0,0,0,0.01812,0.514554,-0.994187,34.1875,1,16403,48115176
14,1,-0.672691,-0.0641378,9.78011,0.0805802,-0.502388,0.988978,-0.00673087,-0.000649125,0.0978007,1,3.86426e-05,-2.03101e-05,1.39957e-05,0.00772852,-0.00406202,0.00279914,0,0,0,0,0.01812,0.514554,-0.994187,34.1875,1,16403,48115176
14,2,-0.676137,-0.072007,9.78921,0.0831855,-0.510229,0.994712,-0.00676383,-0.00073027,0.0978918,1,5.06826e-05,-1.27363e-05,2.04799e-05,0.0101365,-0.00254727,0.00409597,0,0,0,0,0.019979,0.515549,-0.996194,34.1875,1,16404,48115276
15,1,-0.676137,-0.072007,9.78921,0.0831855,-0.510229,0.994712,-0.00676383,-0.00073027,0.0978918,1,5.06826e-05,-1.27363e-05,2.04799e-05,0.0101365,-0.00254727,0.00409597,0,0,0,0,0.019979,0.515549,-0.996194,34.1875,1,16404,48115276
15,2,-0.674114,-0.0680774,9.79093,0.0845703,-0.511475,0.993026,-0.00674299,-0.00068947,0.0979091,1,4.26043e-05,-9.66189e-06,2.61774e-05,0.00852087,-0.00193238,0.00523549,0,0,0,0,0.0203699,0.516575,-0.999203,34.1875,1,16405,48115376
16,1,-0.674114,-0.0680774,9.79093,0.0845703,-0.511475,0.993026,-0.00674299,-0.00068947,0.0979091,1,4.26043e-05,-9.66189e-06,2.61774e-05,0.00852087,-0.00193238,0.00523549,0,0,0,0,0.0203699,0.516575,-0.999203,34.1875,1,16405,48115376
