frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1565,1,0.987736,0.0332449,0.0335996,0.148809,-0.673289,-0.0170833,9.79167,0.431506,-1.1408,1.04654,-0.00673445,-0.000175592,0.0979166,1,2.41584e-05,-7.97406e-06,2.09002e-06,0.00483169,-0.00159481,0.000418005,0.987736,0.0332449,0.0335996,0.148809,0.0502906,0.311947,-1.14026,35.0625,3,16039,1649610
1565,2,0.987736,0.0332449,0.0335996,0.148809,-0.487788,-0.04157,7.34769,0.431506,-1.1408,1.04654,-0.0048783,-0.000419241,0.0734769,1,2.31155e-05,-2.94298e-06,1.47836e-05,0.00462311,-0.000588596,0.00295673,0.987736,0.0332449,0.0335996,0.148809,0.0282955,0.521163,-0.986511,35,1,19528,1999989
1565,3,0.987736,0.0332449,0.0335996,0.148809,-0.487788,-0.04157,7.34769,0.431506,-1.1408,1.04654,-0.0048783,-0.000419241,0.0734769,1,2.31155e-05,-2.94298e-06,1.47836e-05,0.00462311,-0.000588596,0.00295673,0.987736,0.0332449,0.0335996,0.148809,0.0282955,0.521163,-0.986511,35,1,19528,1999989
1565,4,0.987736,0.0332449,0.0335996,0.148809,-0.487788,-0.04157,7.34769,0.431506,-1.1408,1.04654,-0.0048783,-0.000419241,0.0734769,1,2.31155e-05,-2.94298e-06,1.47836e-05,0.00462311,-0.000588596,0.00295673,0.987736,0.0332449,0.0335996,0.148809,0.0282955,0.521163,-0.986511,35,1,19528,1999989
1565,5,0.999447,-0.00280565,0.0331273,-7.93963e-05,-0.648761,-0.0555975,9.7899,0.103417,-0.510712,0.986263,-0.00649035,-0.000563791,0.0978988,1,3.88454e-05,-1.41095e-05,1.61996e-05,0.00776909,-0.0028219,0.00323992,0.999447,-0.00280565,0.0331273,-7.93963e-05,0.0248949,0.521697,-0.987493,35,1,19529,2000089
1565,6,0.999447,-0.00280565,0.0331273,-7.93963e-05,-0.648761,-0.0555975,9.7899,0.103417,-0.510712,0.986263,-0.00649035,-0.000563791,0.0978988,1,3.88454e-05,-1.41095e-05,1.61996e-05,0.00776909,-0.0028219,0.00323992,0.999447,-0.00280565,0.0331273,-7.93963e-05,0.0248949,0.521697,-0.987493,35,1,19529,2000089
1,1,0.999447,-0.00280565,0.0331273,-7.93963e-05,-0.648761,-0.0555975,9.7899,0.103417,-0.510712,0.986263,-0.00649035,-0.000563791,0.0978988,1,3.88454e-05,-1.41095e-05,1.61996e-05,0.00776909,-0.0028219,0.00323992,0.999447,-0.00280565,0.0331273,-7.93963e-05,0.0248949,0.521697,-0.987493,35,1,19529,2000089
1,2,0.999448,-0.00276747,0.0330982,-0.000111664,-0.638155,-0.0602045,9.78741,0.113859,-0.520087,0.98619,-0.00638403,-0.000609781,0.0978739,1,3.92943e-05,-1.26715e-05,3.5298e-06,0.00785887,-0.00253431,0.000705961,0.999448,-0.00276747,0.0330982,-0.000111664,0.0244584,0.519741,-0.98703,35,1,19530,2000189
1,3,0.999448,-0.00276747,0.0330982,-0.000111664,-0.638155,-0.0602045,9.78741,0.113859,-0.520087,0.98619,-0.00638403,-0.000609781,0.0978739,1,3.92943e-05,-1.26715e-05,3.5298e-06,0.00785887,-0.00253431,0.000705961,0.999448,-0.00276747,0.0330982,-0.000111664,0.0244584,0.519741,-0.98703,35,1,19530,2000189
1,4,0.999448,-0.00276747,0.0330982,-0.000111664,-0.638155,-0.0602045,9.78741,0.113859,-0.520087,0.98619,-0.00638403,-0.000609781,0.0978739,1,3.92943e-05,-1.26715e-05,3.5298e-06,0.00785887,-0.00253431,0.000705961,0.999448,-0.00276747,0.0330982,-0.000111664,0.0244584,0.519741,-0.98703,35,1,19530,2000189
