frame_id,imu_idx,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,-0.504044,-0.0725218,7.33806,0,0,0,-0.00504249,-0.000728912,0.0733805,1,2.54623e-05,-1.39383e-05,-4.26177e-06,0.00509246,-0.00278766,-0.000852354,0,0,0,0,0.0778652,0.527969,-0.981033,33.4375,1,63286,19627865
2,1,-0.504044,-0.0725218,7.33806,0,0,0,-0.00504249,-0.000728912,0.0733805,1,2.54623e-05,-1.39383e-05,-4.26177e-06,0.00509246,-0.00278766,-0.000852354,0,0,0,0,0.0778652,0.527969,-0.981033,33.4375,1,63286,19627865
2,2,-0.66815,-0.0889295,9.79667,0.0622187,-0.5011,0.999823,-0.00668332,-0.00089752,0.0979665,1,4.09093e-05,-9.41029e-06,1.56741e-05,0.00818185,-0.00188206,0.00313482,0,0,0,0,0.0768911,0.529431,-0.980491,33.4375,1,63287,19627965
3,1,-0.66815,-0.0889295,9.79667,0.0622187,-0.5011,0.999823,-0.00668332,-0.00089752,0.0979665,1,4.09093e-05,-9.41029e-06,1.56741e-05,0.00818185,-0.00188206,0.00313482,0,0,0,0,0.0768911,0.529431,-0.980491,33.4375,1,63287,19627965
3,2,-0.671903,-0.0959624,9.7885,0.0577578,-0.509926,0.992896,-0.00672121,-0.000967896,0.0978847,1,4.08255e-05,-1.13673e-05,2.08227e-05,0.0081651,-0.00227346,0.00416454,0,0,0,0,0.0745633,0.52843,-0.977977,33.4375,1,63288,19628065
7,1,-0.671903,-0.0959624,9.7885,0.0577578,-0.509926,0.992896,-0.00672121,-0.000967896,0.0978847,1,4.08255e-05,-1.13673e-05,2.08227e-05,0.0081651,-0.00227346,0.00416454,0,0,0,0,0.0745633,0.52843,-0.977977,33.4375,1,63288,19628065
7,2,-0.670142,-0.0918985,9.79632,0.0609577,-0.504588,0.998502,-0.00670326,-0.000928322,0.097963,1,4.64004e-05,-9.54601e-06,1.83581e-05,0.00928008,-0.0019092,0.00367162,0,0,0,0,0.0740983,0.527459,-0.977996,33.4375,1,63289,19628165
8,1,-0.670142,-0.0918985,9.79632,0.0609577,-0.504588,0.998502,-0.00670326,-0.000928322,0.097963,1,4.64004e-05,-9.54601e-06,1.83581e-05,0.00928008,-0.0019092,0.00367162,0,0,0,0,0.0740983,0.527459,-0.977996,33.4375,1,63289,19628165
8,2,-0.676309,-0.0995723,9.79494,0.0571212,-0.511372,0.998043,-0.00676471,-0.0010036,0.0979492,1,3.9501e-05,-8.40626e-06,9.96167e-06,0.00790021,-0.00168125,0.00199233,0,0,0,0,0.0755332,0.526489,-0.979035,33.4375,1,63290,19628265
9,1,-0.676309,-0.0995723,9.79494,0.0571212,-0.511372,0.998043,-0.00676471,-0.0010036,0.0979492,1,3.9501e-05,-8.40626e-06,9.96167e-06,0.00790021,-0.00168125,0.00199233,0,0,0,0,0.0755332,0.526489,-0.979035,33.4375,1,63290,19628265
9,2,-0.667485,-0.0921453,9.79121,0.0646885,-0.510327,0.989197,-0.00667654,-0.000931385,0.0979119,1,5.01052e-05,-8.66503e-06,9.03007e-06,0.010021,-0.00173301,0.00180601,0,0,0,0,0.076047,0.52598,-0.978038,33.4375,1,63291,19628365
10,1,-0.667485,-0.0921453,9.79121,0.0646885,-0.510327,0.989197,-0.00667654,-0.000931385,0.0979119,1,5.01052e-05,-8.66503e-06,9.03007e-06,0.010021,-0.00173301,0.00180601,0,0,0,0,0.076047,0.52598,-0.978038,33.4375,1,63291,19628365
10,2,-0.667024,-0.0878007,9.78547,0.0624304,-0.5037,0.988071,-0.00667034,-0.000886391,0.0978546,1,4.11215e-05,-7.15081e-07,2.51385e-05,0.0082243,-0.000143016,0.00502769,0,0,0,0,0.0765243,0.526942,-0.977514,33.4375,1,63292,19628465
11,1,-0.667024,-0.0878007,9.78547,0.0624304,-0.5037,0.988071,-0.00667034,-0.000886391,0.0978546,1,4.11215e-05,-7.15081e-07,2.51385e-05,0.0082243,-0.000143016,0.00502769,0,0,0,0,0.0765243,0.526942,-0.977514,33.4375,1,63292,19628465
11,2,-0.669125,-0.09762,9.78609,0.0655726,-0.515357,0.986366,-0.00669368,-0.00098625,0.0978607,1,4.90509e-05,-1.27465e-05,3.35257e-05,0.00981018,-0.00254929,0.00670514,0,0,0,0,0.0754962,0.526516,-0.980549,33.4375,1,63293,19628565
12,1,-0.669125,-0.09762,9.78609,0.0655726,-0.515357,0.986366,-0.00669368,-0.00098625,0.0978607,1,4.90509e-05,-1.27465e-05,3.35257e-05,0.00981018,-0.00254929,0.00670514,0,0,0,0,0.0754962,0.526516,-0.980549,33.4375,1,63293,19628565
12,2,-0.662449,-0.0907543,9.79085,0.0667482,-0.509589,0.988419,-0.00662591,-0.000917549,0.0979083,1,4.86989e-05,-7.58249e-06,3.54612e-05,0.00973977,-0.0015165,0.00709223,0,0,0,0,0.0750639,0.525039,-0.97957,33.4375,1,63294,19628665
10,1,-0.662449,-0.0907543,9.79085,0.0667482,-0.509589,0.988419,-0.00662591,-0.000917549,0.0979083,1,4.86989e-05,-7.58249e-06,3.54612e-05,0.00973977,-0.0015165,0.00709223,0,0,0,0,0.0750639,0.525039,-0.97957,33.4375,1,63294,19628665
10,2,-0.666792,-0.0857,9.80042,0.0665985,-0.504006,1.00287,-0.00666944,-0.000867228,0.098004,1,5.15749e-05,-7.85235e-06,8.93875e-06,0.010315,-0.00157047,0.00178775,0,0,0,0,0.0760594,0.52597,-0.977533,33.4375,1,63295,19628765
14,1,-0.666792,-0.0857,9.80042,0.0665985,-0.504006,1.00287,-0.00666944,-0.000867228,0.098004,1,5.15749e-05,-7.85235e-06,8.93875e-06,0.010315,-0.00157047,0.00178775,0,0,0,0,0.0760594,0.52597,-0.977533,33.4375,1,63295,19628765
14,2,-0.669502,-0.0916878,9.7892,0.0602474,-0.512268,0.992712,-0.00669718,-0.00092437,0.0978917,1,3.65209e-05,-1.12598e-05,2.54827e-05,0.00730419,-0.00225195,0.00509655,0,0,0,0,0.0770667,0.525448,-0.976035,33.4375,1,63296,19628865
15,1,-0.669502,-0.0916878,9.7892,0.0602474,-0.512268,0.992712,-0.00669718,-0.00092437,0.0978917,1,3.65209e-05,-1.12598e-05,2.54827e-05,0.00730419,-0.00225195,0.00509655,0,0,0,0,0.0770667,0.525448,-0.976035,33.4375,1,63296,19628865
15,2,-0.663068,-0.0794232,9.78825,0.0649594,-0.498643,0.985373,-0.00663553,-0.000802934,0.0978821,1,4.36995e-05,-2.48848e-05,1.11372e-05,0.0087399,-0.00497696,0.00222744,0,0,0,0,0.0760883,0.526431,-0.976008,33.4375,1,63297,19628965
16,1,-0.663068,-0.0794232,9.78825,0.0649594,-0.498643,0.985373,-0.00663553,-0.000802934,0.0978821,1,4.36995e-05,-2.48848e-05,1.11372e-05,0.0087399,-0.00497696,0.00222744,0,0,0,0,0.0760883,0.526431,-0.976008,33.4375,1,63297,19628965
16,2,-0.656231,-0.0909759,9.78675,0.0694617,-0.51089,0.982467,-0.00656516,-0.000920153,0.0978672,1,5.23609e-05,-1.46438e-05,1.10212e-05,0.0104722,-0.00292876,0.00220424,0,0,0,0,0.076039,0.526467,-0.978027,33.4375,1,63298,19629065
17,1,-0.656231,-0.0909759,9.78675,0.0694617,-0.51089,0.982467,-0.00656516,-0.000920153,0.0978672,1,5.23609e-05,-1.46438e-05,1.10212e-05,0.0104722,-0.00292876,0.00220424,0,0,0,0,0.076039,0.526467,-0.978027,33.4375,1,63298,19629065
17,2,-0.672622,-0.0950161,9.79122,0.0563766,-0.521297,0.986604,-0.00672755,-0.000958846,0.097912,1,4.30382e-05,-6.98281e-06,1.91221e-05,0.00860765,-0.00139656,0.00382441,0,0,0,0,0.0769561,0.526974,-0.979536,33.4375,1,63299,19629165
18,1,-0.672622,-0.0950161,9.79122,0.0563766,-0.521297,0.986604,-0.00672755,-0.000958846,0.097912,1,4.30382e-05,-6.98281e-06,1.91221e-05,0.00860765,-0.00139656,0.00382441,0,0,0,0,0.0769561,0.526974,-0.979536,33.4375,1,63299,19629165
18,2,-0.661195,-0.0949332,9.78435,0.066697,-0.524095,0.982524,-0.00661185,-0.000957383,0.0978435,1,4.04436e-05,3.98744e-07,1.03509e-05,0.00808871,7.97488e-05,0.00207018,0,0,0,0,0.0784279,0.525977,-0.979059,33.4375,1,63300,19629265
19,1,-0.661195,-0.0949332,9.78435,0.066697,-0.524095,0.982524,-0.00661185,-0.000957383,0.0978435,1,4.04436e-05,3.98744e-07,1.03509e-05,0.00808871,7.97488e-05,0.00207018,0,0,0,0,0.0784279,0.525977,-0.979059,33.4375,1,63300,19629265
19,2,-0.668945,-0.0943001,9.78136,0.0559563,-0.514625,0.980503,-0.00669066,-0.000949801,0.0978135,1,3.30377e-05,-6.42987e-06,2.52072e-05,0.00660753,-0.00128597,0.00504145,0,0,0,0,0.0765239,0.525497,-0.978556,33.4375,1,63301,19629365
20,1,-0.668945,-0.0943001,9.78136,0.0559563,-0.514625,0.980503,-0.00669066,-0.000949801,0.0978135,1,3.30377e-05,-6.42987e-06,2.52072e-05,0.00660753,-0.00128597,0.00504145,0,0,0,0,0.0765239,0.525497,-0.978556,33.4375,1,63301,19629365
20,2,-0.669189,-0.0984876,9.78947,0.0575579,-0.525606,0.98936,-0.00669304,-0.000992084,0.0978945,1,3.61446e-05,-5.94007e-06,9.81621e-06,0.00722892,-0.00118802,0.00196324,0,0,0,0,0.076084,0.525952,-0.976524,33.4375,1,63302,19629465
21,1,-0.669189,-0.0984876,9.78947,0.0575579,-0.525606,0.98936,-0.00669304,-0.000992084,0.0978945,1,3.61446e-05,-5.94007e-06,9.81621e-06,0.00722892,-0.00118802,0.00196324,0,0,0,0,0.076084,0.525952,-0.976524,33.4375,1,63302,19629465
21,2,-0.671538,-0.0893757,9.80144,0.055117,-0.511318,0.998607,-0.00671689,-0.000901012,0.0980142,1,3.6506e-05,-7.77101e-06,7.36119e-06,0.00730119,-0.0015542,0.00147224,0,0,0,0,0.0760641,0.527895,-0.975976,33.4375,1,63303,19629565
22,1,-0.671538,-0.0893757,9.80144,0.055117,-0.511318,0.998607,-0.00671689,-0.000901012,0.0980142,1,3.6506e-05,-7.77101e-06,7.36119e-06,0.00730119,-0.0015542,0.00147224,0,0,0,0,0.0760641,0.527895,-0.975976,33.4375,1,63303,19629565
22,2,-0.660955,-0.0919316,9.78948,0.0658644,-0.519108,0.984892,-0.00661303,-0.000926407,0.0978945,1,3.54574e-05,-1.79037e-05,1.12112e-05,0.00709147,-0.00358074,0.00224224,0,0,0,0,0.0760147,0.527931,-0.977995,33.4375,1,63304,19629665
23,1,-0.660955,-0.0919316,9.78948,0.0658644,-0.519108,0.984892,-0.00661303,-0.000926407,0.0978945,1,3.54574e-05,-1.79037e-05,1.12112e-05,0.00709147,-0.00358074,0.00224224,0,0,0,0,0.0760147,0.527931,-0.977995,33.4375,1,63304,19629665
23,2,-0.663049,-0.0957243,9.78674,0.0653652,-0.524199,0.983916,-0.00663279,-0.000964875,0.0978672,1,3.80185e-05,-1.19303e-05,1.43553e-05,0.00760369,-0.00238605,0.00287106,0,0,0,0,0.0745135,0.527021,-0.981038,33.4375,1,63305,19629765
24,1,-0.663049,-0.0957243,9.78674,0.0653652,-0.524199,0.983916,-0.00663279,-0.000964875,0.0978672,1,3.80185e-05,-1.19303e-05,1.43553e-05,0.00760369,-0.00238605,0.00287106,0,0,0,0,0.0745135,0.527021,-0.981038,33.4375,1,63305,19629765
24,2,-0.669709,-0.0891261,9.78685,0.0577769,-0.519225,0.983243,-0.00669646,-0.000900103,0.0978684,1,4.31016e-05,2.98767e-06,3.03202e-05,0.00862031,0.000597534,0.00606404,0,0,0,0,0.0745339,0.526524,-0.980544,33.375,1,63306,19629865
25,1,-0.669709,-0.0891261,9.78685,0.0577769,-0.519225,0.983243,-0.00669646,-0.000900103,0.0978684,1,4.31016e-05,2.98767e-06,3.03202e-05,0.00862031,0.000597534,0.00606404,0,0,0,0,0.0745339,0.526524,-0.980544,33.375,1,63306,19629865
25,2,-0.666454,-0.0876689,9.79267,0.0648166,-0.514926,0.99304,-0.00666664,-0.000884214,0.0979265,1,3.63477e-05,-1.10379e-05,3.0471e-05,0.00726953,-0.00220757,0.00609421,0,0,0,0,0.0760186,0.526964,-0.978521,33.375,1,63307,19629965
26,1,-0.666454,-0.0876689,9.79267,0.0648166,-0.514926,0.99304,-0.00666664,-0.000884214,0.0979265,1,3.63477e-05,-1.10379e-05,3.0471e-05,0.00726953,-0.00220757,0.00609421,0,0,0,0,0.0760186,0.526964,-0.978521,33.375,1,63307,19629965
26,2,-0.668144,-0.0849365,9.79305,0.0604692,-0.519914,0.99112,-0.00668256,-0.000859959,0.0979304,1,5.16011e-05,-6.0352e-06,3.64348e-05,0.0103202,-0.00120704,0.00728695,0,0,0,0,0.0770301,0.52692,-0.976507,33.375,1,63308,19630065
27,1,-0.668144,-0.0849365,9.79305,0.0604692,-0.519914,0.99112,-0.00668256,-0.000859959,0.0979304,1,5.16011e-05,-6.0352e-06,3.64348e-05,0.0103202,-0.00120704,0.00728695,0,0,0,0,0.0770301,0.52692,-0.976507,33.375,1,63308,19630065
27,2,-0.679019,-0.085224,9.79617,0.0480413,-0.515488,0.993154,-0.0067932,-0.000864221,0.0979614,1,6.01336e-05,-1.54972e-05,1.46742e-05,0.0120267,-0.00309944,0.00293484,0,0,0,0,0.0760679,0.526928,-0.976502,33.375,1,63309,19630165
28,1,-0.679019,-0.085224,9.79617,0.0480413,-0.515488,0.993154,-0.0067932,-0.000864221,0.0979614,1,6.01336e-05,-1.54972e-05,1.46742e-05,0.0120267,-0.00309944,0.00293484,0,0,0,0,0.0760679,0.526928,-0.976502,33.375,1,63309,19630165
28,2,-0.667694,-0.0908718,9.80182,0.0611398,-0.524589,1.00051,-0.00668007,-0.000916309,0.0980179,1,3.6897e-05,-1.61957e-05,2.67477e-05,0.0073794,-0.00323914,0.00534954,0,0,0,0,0.076512,0.526951,-0.978019,33.375,1,63310,19630265
29,1,-0.667694,-0.0908718,9.80182,0.0611398,-0.524589,1.00051,-0.00668007,-0.000916309,0.0980179,1,3.6897e-05,-1.61957e-05,2.67477e-05,0.0073794,-0.00323914,0.00534954,0,0,0,0,0.076512,0.526951,-0.978019,33.375,1,63310,19630265
29,2,-0.672483,-0.0961764,9.78416,0.0521149,-0.531491,0.980969,-0.00672792,-0.000970427,0.0978413,1,4.22245e-05,-1.60818e-05,2.97799e-05,0.00844489,-0.00321636,0.00595598,0,0,0,0,0.0754924,0.527483,-0.980023,33.375,1,63311,19630365
30,1,-0.672483,-0.0961764,9.78416,0.0521149,-0.531491,0.980969,-0.00672792,-0.000970427,0.0978413,1,4.22245e-05,-1.60818e-05,2.97799e-05,0.00844489,-0.00321636,0.00595598,0,0,0,0,0.0754924,0.527483,-0.980023,33.375,1,63311,19630365
30,2,-0.671239,-0.0924607,9.78757,0.0519588,-0.530654,0.981691,-0.00671377,-0.000932857,0.0978756,1,4.07249e-05,-7.23999e-06,2.06809e-05,0.00814498,-0.001448,0.00413619,0,0,0,0,0.0755374,0.526968,-0.978519,33.375,1,63312,19630465
31,1,-0.671239,-0.0924607,9.78757,0.0519588,-0.530654,0.981691,-0.00671377,-0.000932857,0.0978756,1,4.07249e-05,-7.23999e-06,2.06809e-05,0.00814498,-0.001448,0.00413619,0,0,0,0,0.0755374,0.526968,-0.978519,33.375,1,63312,19630465
31,2,-0.677276,-0.0878273,9.79919,0.0474429,-0.528943,0.999852,-0.00677387,-0.000887792,0.0979917,1,4.73168e-05,-5.82124e-06,1.81343e-05,0.00946337,-0.00116425,0.00362686,0,0,0,0,0.0765281,0.525976,-0.978041,33.375,1,63313,19630565
32,1,-0.677276,-0.0878273,9.79919,0.0474429,-0.528943,0.999852,-0.00677387,-0.000887792,0.0979917,1,4.73168e-05,-5.82124e-06,1.81343e-05,0.00946337,-0.00116425,0.00362686,0,0,0,0,0.0765281,0.525976,-0.978041,33.375,1,63313,19630565
32,2,-0.662198,-0.0816643,9.78557,0.0651137,-0.516913,0.983577,-0.00662274,-0.000827228,0.0978556,1,5.33648e-05,-3.97101e-06,1.06003e-05,0.010673,-0.000794203,0.00212006,0,0,0,0,0.076104,0.52401,-0.977072,33.375,1,63314,19630665
33,1,-0.662198,-0.0816643,9.78557,0.0651137,-0.516913,0.983577,-0.00662274,-0.000827228,0.0978556,1,5.33648e-05,-3.97101e-06,1.06003e-05,0.010673,-0.000794203,0.00212006,0,0,0,0,0.076104,0.52401,-0.977072,33.375,1,63314,19630665
33,2,-0.678394,-0.090582,9.78798,0.044065,-0.528147,0.984727,-0.00678518,-0.000912625,0.0978796,1,3.38406e-05,-6.44468e-06,1.33514e-05,0.00676811,-0.00128894,0.00267028,0,0,0,0,0.0770624,0.524969,-0.97655,33.375,1,63315,19630765
34,1,-0.678394,-0.090582,9.78798,0.044065,-0.528147,0.984727,-0.00678518,-0.000912625,0.0978796,1,3.38406e-05,-6.44468e-06,1.33514e-05,0.00676811,-0.00128894,0.00267028,0,0,0,0,0.0770624,0.524969,-0.97655,33.375,1,63315,19630765
34,2,-0.666459,-0.0905395,9.79604,0.0585542,-0.524825,0.990509,-0.00666599,-0.000911618,0.0979603,1,3.06181e-05,-7.30337e-06,1.67806e-05,0.00612363,-0.00146067,0.00335613,0,0,0,0,0.0784327,0.527902,-0.977502,33.375,1,63316,19630865
35,1,-0.666459,-0.0905395,9.79604,0.0585542,-0.524825,0.990509,-0.00666599,-0.000911618,0.0979603,1,3.06181e-05,-7.30337e-06,1.67806e-05,0.00612363,-0.00146067,0.00335613,0,0,0,0,0.0784327,0.527902,-0.977502,33.375,1,63316,19630865
35,2,-0.668415,-0.0903818,9.79301,0.0562942,-0.53092,0.990749,-0.00668614,-0.000914082,0.0979298,1,5.01091e-05,-1.04758e-05,3.36371e-05,0.0100218,-0.00209517,0.00672742,0,0,0,0,0.0754966,0.527962,-0.979507,33.375,1,63317,19630965
36,1,-0.668415,-0.0903818,9.79301,0.0562942,-0.53092,0.990749,-0.00668614,-0.000914082,0.0979298,1,5.01091e-05,-1.04758e-05,3.36371e-05,0.0100218,-0.00209517,0.00672742,0,0,0,0,0.0754966,0.527962,-0.979507,33.375,1,63317,19630965
36,2,-0.667744,-0.0966392,9.79227,0.0580263,-0.542962,0.989228,-0.00667919,-0.000975324,0.0979225,1,4.40367e-05,-9.17745e-06,2.30333e-05,0.00880734,-0.00183549,0.00460666,0,0,0,0,0.0750231,0.526033,-0.980558,33.375,1,63318,19631065
37,1,-0.667744,-0.0966392,9.79227,0.0580263,-0.542962,0.989228,-0.00667919,-0.000975324,0.0979225,1,4.40367e-05,-9.17745e-06,2.30333e-05,0.00880734,-0.00183549,0.00460666,0,0,0,0,0.0750231,0.526033,-0.980558,33.375,1,63318,19631065
37,2,-0.66068,-0.0870292,9.78891,0.063249,-0.531771,0.988812,-0.00660897,-0.000877935,0.0978889,1,3.85511e-05,-1.1163e-05,7.25295e-06,0.00771023,-0.00223261,0.00145059,0,0,0,0,0.0765239,0.525497,-0.978556,33.375,1,63319,19631165
38,1,-0.66068,-0.0870292,9.78891,0.063249,-0.531771,0.988812,-0.00660897,-0.000877935,0.0978889,1,3.85511e-05,-1.1163e-05,7.25295e-06,0.00771023,-0.00223261,0.00145059,0,0,0,0,0.0765239,0.525497,-0.978556,33.375,1,63319,19631165
38,2,-0.675656,-0.0918312,9.78761,0.0454316,-0.538222,0.989972,-0.0067583,-0.000926586,0.0978759,1,4.19878e-05,-8.94245e-06,4.06245e-06,0.00839756,-0.00178849,0.00081249,0,0,0,0,0.0770752,0.526405,-0.975003,33.375,1,63320,19631265
