frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,0.671091,0.0263646,0.019647,-0.740645,-0.750941,-0.0623799,9.78004,-0.0637141,-0.226805,0.956755,-0.00751139,-0.000634239,0.0978002,1,5.1554e-05,-1.02856e-05,2.36505e-05,0.0103108,-0.00205712,0.0047301,0.671091,0.0263646,0.019647,-0.740645,0.177948,-0.277557,-0.972631,32.0625,3,7536,796323
1,2,0.671091,0.0263646,0.019647,-0.740645,-0.539289,-0.0440253,7.32888,-0.0637141,-0.226805,0.956755,-0.0053946,-0.000446637,0.0732886,1,4.30532e-05,-1.17085e-05,6.79298e-06,0.00861064,-0.00234169,0.0013586,0.671091,0.0263646,0.019647,-0.740645,0.174302,-0.2743,-0.961936,32.0625,1,7537,797956
1,3,0.671091,0.0263646,0.019647,-0.740645,-0.539289,-0.0440253,7.32888,-0.0637141,-0.226805,0.956755,-0.0053946,-0.000446637,0.0732886,1,4.30532e-05,-1.17085e-05,6.79298e-06,0.00861064,-0.00234169,0.0013586,0.671091,0.0263646,0.019647,-0.740645,0.174302,-0.2743,-0.961936,32.0625,1,7537,797956
1,4,0.671091,0.0263646,0.019647,-0.740645,-0.539289,-0.0440253,7.32888,-0.0637141,-0.226805,0.956755,-0.0053946,-0.000446637,0.0732886,1,4.30532e-05,-1.17085e-05,6.79298e-06,0.00861064,-0.00234169,0.0013586,0.671091,0.0263646,0.019647,-0.740645,0.174302,-0.2743,-0.961936,32.0625,1,7537,797956
1,5,0.999321,-0.00300333,0.0367224,-0.000101531,-0.732018,-0.0422731,9.78247,-0.0438048,0.302582,0.970905,-0.0073215,-0.000429367,0.0978245,1,3.30749e-05,-6.79706e-06,1.12859e-05,0.00661497,-0.00135941,0.00225717,0.999321,-0.00300333,0.0367224,-0.000101531,0.177109,-0.277639,-0.967579,32.0625,1,7538,798056
1,6,0.999321,-0.00300333,0.0367224,-0.000101531,-0.732018,-0.0422731,9.78247,-0.0438048,0.302582,0.970905,-0.0073215,-0.000429367,0.0978245,1,3.30749e-05,-6.79706e-06,1.12859e-05,0.00661497,-0.00135941,0.00225717,0.999321,-0.00300333,0.0367224,-0.000101531,0.177109,-0.277639,-0.967579,32.0625,1,7538,798056
1,7,0.999321,-0.00300333,0.0367224,-0.000101531,-0.732018,-0.0422731,9.78247,-0.0438048,0.302582,0.970905,-0.0073215,-0.000429367,0.0978245,1,3.30749e-05,-6.79706e-06,1.12859e-05,0.00661497,-0.00135941,0.00225717,0.999321,-0.00300333,0.0367224,-0.000101531,0.177109,-0.277639,-0.967579,32.0625,1,7538,798056
1,8,0.999321,-0.0029645,0.0367244,-8.91763e-05,-0.728517,-0.0483624,9.7868,-0.0379374,0.295477,0.976735,-0.00728645,-0.00049,0.0978679,1,3.12198e-05,-6.59924e-06,1.81609e-05,0.00624395,-0.00131985,0.00363217,0.999321,-0.0029645,0.0367244,-8.91763e-05,0.179844,-0.276589,-0.973124,32.0625,1,7539,798156
2,1,0.999321,-0.0029645,0.0367244,-8.91763e-05,-0.728517,-0.0483624,9.7868,-0.0379374,0.295477,0.976735,-0.00728645,-0.00049,0.0978679,1,3.12198e-05,-6.59924e-06,1.81609e-05,0.00624395,-0.00131985,0.00363217,0.999321,-0.0029645,0.0367244,-8.91763e-05,0.179844,-0.276589,-0.973124,32.0625,1,7539,798156
2,2,0.999321,-0.0029645,0.0367244,-8.91763e-05,-0.728517,-0.0483624,9.7868,-0.0379374,0.295477,0.976735,-0.00728645,-0.00049,0.0978679,1,3.12198e-05,-6.59924e-06,1.81609e-05,0.00624395,-0.00131985,0.00363217,0.999321,-0.0029645,0.0367244,-8.91763e-05,0.179844,-0.276589,-0.973124,32.0625,1,7539,798156
