frame_id,imu_idx,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
1,1,-0.661815,-0.0833108,9.78344,0.558349,-0.075427,0.964812,-0.00662107,-0.000841612,0.0978342,1,4.19823e-05,-1.51265e-05,2.18672e-05,0.00839646,-0.00302529,0.00437345,0,0,0,0,0.0485761,0.506967,-0.993486,36.875,3,52159,31483430
1,2,-0.510909,-0.0652842,7.34631,0.558349,-0.075427,0.964812,-0.00511233,-0.00065824,0.0734628,1,3.68021e-05,-2.21041e-05,-9.08912e-07,0.00736042,-0.00442082,-0.000181782,0,0,0,0,0.0485571,0.5118,-0.990853,36.875,1,52160,31484951
2,1,-0.510909,-0.0652842,7.34631,0.558349,-0.075427,0.964812,-0.00511233,-0.00065824,0.0734628,1,3.68021e-05,-2.21041e-05,-9.08912e-07,0.00736042,-0.00442082,-0.000181782,0,0,0,0,0.0485571,0.5118,-0.990853,36.875,1,52160,31484951
2,2,-0.674846,-0.0707689,9.78093,0.0946987,-0.478183,0.988712,-0.00675276,-0.000715353,0.0978089,1,3.84486e-05,-2.20428e-05,1.06189e-05,0.00768972,-0.00440855,0.00212379,0,0,0,0,0.0480589,0.509889,-0.992913,36.875,1,52161,31485051
3,1,-0.674846,-0.0707689,9.78093,0.0946987,-0.478183,0.988712,-0.00675276,-0.000715353,0.0978089,1,3.84486e-05,-2.20428e-05,1.06189e-05,0.00768972,-0.00440855,0.00212379,0,0,0,0,0.0480589,0.509889,-0.992913,36.875,1,52161,31485051
3,2,-0.66268,-0.0732174,9.77844,0.1065,-0.476651,0.986761,-0.00662896,-0.000743198,0.0977842,1,5.54547e-05,-1.11516e-05,1.35059e-05,0.0110909,-0.00223033,0.00270119,0,0,0,0,0.0475399,0.507029,-0.99651,36.875,1,52162,31485151
4,1,-0.66268,-0.0732174,9.77844,0.1065,-0.476651,0.986761,-0.00662896,-0.000743198,0.0977842,1,5.54547e-05,-1.11516e-05,1.35059e-05,0.0110909,-0.00223033,0.00270119,0,0,0,0,0.0475399,0.507029,-0.99651,36.875,1,52162,31485151
4,2,-0.669853,-0.0796959,9.79947,0.0961394,-0.489912,1.01036,-0.00670264,-0.000807016,0.0979943,1,5.07682e-05,-2.10481e-05,7.96626e-06,0.0101536,-0.00420961,0.00159325,0,0,0,0,0.0476908,0.503064,-0.993063,36.875,1,52163,31485251
7,1,-0.669853,-0.0796959,9.79947,0.0961394,-0.489912,1.01036,-0.00670264,-0.000807016,0.0979943,1,5.07682e-05,-2.10481e-05,7.96626e-06,0.0101536,-0.00420961,0.00159325,0,0,0,0,0.0476908,0.503064,-0.993063,36.875,1,52163,31485251
7,2,-0.66699,-0.0657847,9.7894,0.103524,-0.472227,0.996953,-0.00667436,-0.00066935,0.0978936,1,5.85988e-05,-2.27672e-05,2.26869e-06,0.0117198,-0.00455344,0.000453738,0,0,0,0,0.0467698,0.503524,-0.991029,36.875,1,52164,31485351
7,3,-0.66699,-0.0657847,9.7894,0.103524,-0.472227,0.996953,-0.00667436,-0.00066935,0.0978936,1,5.85988e-05,-2.27672e-05,2.26869e-06,0.0117198,-0.00455344,0.000453738,0,0,0,0,0.0467698,0.503524,-0.991029,36.875,1,52164,31485351
7,4,-0.66835,-0.06491,9.78839,0.102139,-0.468915,0.994215,-0.00668727,-0.000657603,0.0978836,1,4.34517e-05,-1.92822e-05,-2.87062e-07,0.00869035,-0.00385644,-5.74124e-05,0,0,0,0,0.0491151,0.507885,-0.990438,36.875,1,52165,31485451
8,1,-0.66835,-0.06491,9.78839,0.102139,-0.468915,0.994215,-0.00668727,-0.000657603,0.0978836,1,4.34517e-05,-1.92822e-05,-2.87062e-07,0.00869035,-0.00385644,-5.74124e-05,0,0,0,0,0.0491151,0.507885,-0.990438,36.875,1,52165,31485451
8,2,-0.67064,-0.0837107,9.78588,0.100861,-0.489932,0.991291,-0.00670866,-0.000844556,0.0978585,1,3.70836e-05,-1.16934e-05,1.42975e-05,0.00741671,-0.00233868,0.0028595,0,0,0,0,0.0504849,0.509372,-0.992431,36.875,1,52166,31485551
9,1,-0.67064,-0.0837107,9.78588,0.100861,-0.489932,0.991291,-0.00670866,-0.000844556,0.0978585,1,3.70836e-05,-1.16934e-05,1.42975e-05,0.00741671,-0.00233868,0.0028595,0,0,0,0,0.0504849,0.509372,-0.992431,36.875,1,52166,31485551
