source,frame_id,point_id,x,y,z,doppler,snr,noise
left,1,1,-0.5552,1.5604,-0.1009,0,167,483
left,1,2,1.2043,1.821,-0.2676,0,119,606
left,1,3,0.7864,2.3591,-0.7078,0,170,693
left,1,4,-2.6763,3.4268,-0.6691,0,122,679
left,1,5,-1.7302,4.6628,1.4156,0,121,623
left,2,3,-0.5552,1.5563,-0.1514,0,162,489
left,2,4,1.2043,1.821,-0.2676,0,118,607
left,2,5,0.7864,2.3591,-0.7078,0,170,693
left,2,6,-2.5425,3.4991,-0.8029,0,122,679
left,2,7,-1.7302,4.6628,1.4156,0,122,623
left,3,2,1.2043,1.821,-0.2676,0,119,607
left,3,3,0.7864,2.3591,-0.7078,0,170,693
left,3,4,-2.5425,3.4991,-0.8029,0,122,679
left,3,5,-1.7302,4.6628,1.4156,0,120,625
left,4,1,-0.5047,1.5734,-0.1514,0,162,489
left,4,2,1.2043,1.821,-0.2676,0,119,606
left,4,3,0.7864,2.3591,-0.7078,0,169,693
left,4,4,-2.5425,3.4991,-0.8029,0,122,679
left,4,5,-1.7302,4.6628,1.4156,0,122,623
left,18,2,1.2043,1.821,-0.2676,0,119,606
left,18,3,0.7864,2.3591,-0.7078,0,170,693
left,18,4,-2.5425,3.4991,-0.8029,0,122,679
left,18,5,-1.7302,4.6628,1.4156,0,121,623
left,19,3,1.2043,1.821,-0.2676,0,118,607
left,19,4,0.7864,2.3591,-0.7078,0,170,693
left,19,5,-2.6763,3.4268,-0.6691,0,123,678
left,19,6,-1.7302,4.6628,1.4156,0,120,624
left,20,2,1.2043,1.821,-0.2676,0,119,606
left,20,3,0.7864,2.3591,-0.7078,0,170,693
left,20,4,-2.5425,3.4991,-0.8029,0,122,679
left,20,5,-1.7302,4.6628,1.4156,0,121,623
left,21,2,1.2043,1.821,-0.2676,0,120,605
left,21,3,0.7864,2.3591,-0.7078,0,169,693
left,21,4,-2.5425,3.4991,-0.8029,0,122,679
left,21,5,-1.7302,4.6628,1.4156,0,120,624
left,22,2,1.2043,1.821,-0.2676,0,119,606
left,22,3,0.7864,2.3591,-0.7078,0,170,693
left,22,4,-2.5425,3.4991,-0.8029,0,122,679
left,22,5,-1.7302,4.6628,1.4156,0,120,624
left,23,1,-0.5047,1.5734,-0.1514,0,171,479
left,23,2,1.2043,1.821,-0.2676,0,119,607
left,23,3,0.7864,2.3591,-0.7078,0,170,693
left,23,4,-2.5425,3.4991,-0.8029,0,122,679
left,23,5,-1.7302,4.6628,1.4156,0,121,623
left,24,3,1.2043,1.821,-0.2676,0,119,606
left,24,4,0.7864,2.3591,-0.7078,0,170,692
left,24,5,-2.6763,3.4268,-0.6691,0,122,679
left,24,6,-1.7302,4.6628,1.4156,0,121,623
left,25,2,1.2043,1.821,-0.2676,0,119,606
left,25,3,0.7864,2.3591,-0.7078,0,170,693
left,25,4,-2.5425,3.4991,-0.8029,0,123,678
left,25,5,-1.7302,4.6628,1.4156,0,121,623
left,26,2,1.2043,1.821,-0.2676,0,119,606
left,26,3,0.7864,2.3591,-0.7078,0,170,693
left,26,4,-2.5425,3.4991,-0.8029,0,122,679
left,26,5,-1.7302,4.6628,1.4156,0,121,623
left,27,3,1.2043,1.821,-0.2676,0,119,606
left,27,4,0.7864,2.3591,-0.7078,0,170,693
left,27,5,-2.5425,3.4991,-0.8029,0,122,679
