frame_id,point_id,x,y,z,doppler,snr,noise
1,1,0.4081,1.5137,2.122,0,260,731
1,2,1.5507,1.0161,-1.8772,0,260,731
2,1,0.4081,1.5137,2.122,0,266,725
2,2,1.5507,1.0161,-1.8772,0,266,725
3,1,0.4081,1.5137,2.122,0,251,739
3,2,1.5507,1.0161,-1.8772,0,251,739
4,1,0.4081,1.5137,2.122,0,265,726
4,2,1.5507,1.0161,-1.8772,0,265,726
5,1,0.4081,1.5137,2.122,0,248,742
5,2,1.5507,1.0161,-1.8772,0,248,742
6,1,0.4081,1.5137,2.122,0,263,728
6,2,1.5507,1.0161,-1.8772,0,263,728
7,1,0.4081,1.5137,2.122,0,252,738
7,2,1.5507,1.0161,-1.8772,0,252,738
29,1,0.4081,1.5137,2.122,0,263,727
29,2,1.5507,1.0161,-1.8772,0,263,727
30,1,0.4081,1.5137,2.122,0,258,732
30,2,1.5507,1.0161,-1.8772,0,258,732
31,1,0.4081,1.5137,2.122,0,260,731
31,2,1.5507,1.0161,-1.8772,0,260,731
32,1,0.4081,1.5137,2.122,0,257,733
32,2,1.5507,1.0161,-1.8772,0,257,733
33,1,0.4081,1.5137,2.122,0,260,730
33,2,1.5507,1.0161,-1.8772,0,260,730
34,1,0.4081,1.5137,2.122,0,264,727
34,2,1.5507,1.0161,-1.8772,0,264,727
35,1,0.4081,1.5137,2.122,0,256,734
35,2,1.5507,1.0161,-1.8772,0,256,734
36,1,0.4081,1.5137,2.122,0,263,727
36,2,1.5507,1.0161,-1.8772,0,263,727
37,1,0.4081,1.5137,2.122,0,264,726
37,2,1.5507,1.0161,-1.8772,0,264,726
38,1,0.4081,1.5137,2.122,0,258,732
38,2,1.5507,1.0161,-1.8772,0,258,732
39,1,0.4081,1.5137,2.122,0,274,716
39,2,1.5507,1.0161,-1.8772,0,274,716
40,1,0.4081,1.5137,2.122,0,255,735
40,2,1.5507,1.0161,-1.8772,0,255,735
41,1,0.4081,1.5137,2.122,0,263,727
41,2,1.5507,1.0161,-1.8772,0,263,727
42,1,0.4081,1.5137,2.122,0,260,730
42,2,1.5507,1.0161,-1.8772,0,260,730
43,1,0.4081,1.5137,2.122,0,253,736
43,2,1.5507,1.0161,-1.8772,0,253,736
44,1,0.4081,1.5137,2.122,0,256,735
44,2,1.5507,1.0161,-1.8772,0,256,735
45,1,0.4081,1.5137,2.122,0,263,727
45,2,1.5507,1.0161,-1.8772,0,263,727
46,1,0.4081,1.5137,2.122,0,255,734
46,2,1.5507,1.0161,-1.8772,0,255,734
47,1,0.4081,1.5137,2.122,0,261,729
47,2,1.5507,1.0161,-1.8772,0,261,729
48,1,0.4081,1.5137,2.122,0,262,728
48,2,1.5507,1.0161,-1.8772,0,262,728
49,1,0.4081,1.5137,2.122,0,255,735
49,2,1.5507,1.0161,-1.8772,0,255,735
50,1,0.4081,1.5137,2.122,0,264,727
50,2,1.5507,1.0161,-1.8772,0,264,727
51,1,0.4081,1.5137,2.122,0,255,735
51,2,1.5507,1.0161,-1.8772,0,255,735
52,1,0.4081,1.5137,2.122,0,257,733
52,2,1.5507,1.0161,-1.8772,0,257,733
53,1,0.4081,1.5137,2.122,0,256,734
53,2,1.5507,1.0161,-1.8772,0,256,734
54,1,0.4081,1.5137,2.122,0,270,721
54,2,1.5507,1.0161,-1.8772,0,270,721
55,1,0.4081,1.5137,2.122,0,262,727
55,2,1.5507,1.0161,-1.8772,0,262,727
56,1,0.4081,1.5137,2.122,0,259,731
56,2,1.5507,1.0161,-1.8772,0,259,731
57,1,0.4081,1.5137,2.122,0,264,727
57,2,1.5507,1.0161,-1.8772,0,264,727
58,1,0.4081,1.5137,2.122,0,258,732
58,2,1.5507,1.0161,-1.8772,0,258,732
59,1,0.4081,1.5137,2.122,0,270,721
59,2,1.5507,1.0161,-1.8772,0,270,721
60,1,0.4081,1.5137,2.122,0,261,729
60,2,1.5507,1.0161,-1.8772,0,261,729
61,1,0.4081,1.5137,2.122,0,271,719
61,2,1.5507,1.0161,-1.8772,0,271,719
62,1,0.4081,1.5137,2.122,0,256,735
62,2,1.5507,1.0161,-1.8772,0,256,735
63,1,0.4081,1.5137,2.122,0,273,717
63,2,1.5507,1.0161,-1.8772,0,273,717
64,1,0.4081,1.5137,2.122,0,262,728
64,2,1.5507,1.0161,-1.8772,0,262,728
65,1,0.4081,1.5137,2.122,0,264,727
65,2,1.5507,1.0161,-1.8772,0,264,727
66,1,0.4081,1.5137,2.122,0,253,736
66,2,1.5507,1.0161,-1.8772,0,253,736
67,1,0.4081,1.5137,2.122,0,259,731
67,2,1.5507,1.0161,-1.8772,0,259,731
68,1,0.4081,1.5137,2.122,0,261,730
68,2,1.5507,1.0161,-1.8772,0,261,730
69,1,0.4081,1.5137,2.122,0,265,725
69,2,1.5507,1.0161,-1.8772,0,265,725
70,1,0.4081,1.5137,2.122,0,253,737
70,2,1.5507,1.0161,-1.8772,0,253,737
71,1,0.4081,1.5137,2.122,0,260,730
71,2,1.5507,1.0161,-1.8772,0,260,730
72,1,0.4081,1.5137,2.122,0,263,727
72,2,1.5507,1.0161,-1.8772,0,263,727
73,1,0.4081,1.5137,2.122,0,270,720
73,2,1.5507,1.0161,-1.8772,0,270,720
74,1,0.4081,1.5137,2.122,0,259,731
74,2,1.5507,1.0161,-1.8772,0,259,731
75,1,0.4081,1.5137,2.122,0,257,733
75,2,1.5507,1.0161,-1.8772,0,257,733
76,1,0.4081,1.5137,2.122,0,251,740
76,2,1.5507,1.0161,-1.8772,0,251,740
77,1,0.4081,1.5137,2.122,0,240,750
77,2,1.5507,1.0161,-1.8772,0,240,750
78,1,0.4081,1.5137,2.122,0,260,731
78,2,1.5507,1.0161,-1.8772,0,260,731
79,1,0.4081,1.5137,2.122,0,258,731
79,2,1.5507,1.0161,-1.8772,0,258,731
80,1,0.4081,1.5137,2.122,0,256,734
80,2,1.5507,1.0161,-1.8772,0,256,734
81,1,0.4081,1.5137,2.122,0,262,728
81,2,1.5507,1.0161,-1.8772,0,262,728
82,1,0.4081,1.5137,2.122,0,257,734
82,2,1.5507,1.0161,-1.8772,0,257,734
83,1,0.4081,1.5137,2.122,0,268,722
83,2,1.5507,1.0161,-1.8772,0,268,722
84,1,0.4081,1.5137,2.122,0,254,737
84,2,1.5507,1.0161,-1.8772,0,254,737
85,1,0.4081,1.5137,2.122,0,246,745
85,2,1.5507,1.0161,-1.8772,0,246,745
86,1,0.4081,1.5137,2.122,0,262,727
86,2,1.5507,1.0161,-1.8772,0,262,727
87,1,0.4081,1.5137,2.122,0,258,732
87,2,1.5507,1.0161,-1.8772,0,258,732
88,1,0.4081,1.5137,2.122,0,246,744
88,2,1.5507,1.0161,-1.8772,0,246,744
89,1,0.4081,1.5137,2.122,0,259,731
89,2,1.5507,1.0161,-1.8772,0,259,731
90,1,0.4081,1.5137,2.122,0,253,737
90,2,1.5507,1.0161,-1.8772,0,253,737
91,1,0.4081,1.5137,2.122,0,251,739
91,2,1.5507,1.0161,-1.8772,0,251,739
92,1,0.4081,1.5137,2.122,0,258,732
92,2,1.5507,1.0161,-1.8772,0,258,732
93,1,0.4081,1.5137,2.122,0,250,740
93,2,1.5507,1.0161,-1.8772,0,250,740
94,1,0.4081,1.5137,2.122,0,251,738
94,2,1.5507,1.0161,-1.8772,0,251,738
95,1,0.4081,1.5137,2.122,0,251,738
95,2,1.5507,1.0161,-1.8772,0,251,738
96,1,0.4081,1.5137,2.122,0,254,736
96,2,1.5507,1.0161,-1.8772,0,254,736
97,1,0.4081,1.5137,2.122,0,261,729
97,2,1.5507,1.0161,-1.8772,0,261,729
98,1,0.4081,1.5137,2.122,0,254,736
98,2,1.5507,1.0161,-1.8772,0,254,736
99,1,0.4081,1.5137,2.122,0,266,725
99,2,1.5507,1.0161,-1.8772,0,266,725
100,1,0.4081,1.5137,2.122,0,263,727
100,2,1.5507,1.0161,-1.8772,0,263,727
101,1,0.4081,1.5137,2.122,0,260,729
101,2,1.5507,1.0161,-1.8772,0,260,729
102,1,0.4081,1.5137,2.122,0,262,728
102,2,1.5507,1.0161,-1.8772,0,262,728
103,1,0.4081,1.5137,2.122,0,255,734
103,2,1.5507,1.0161,-1.8772,0,255,734
104,1,0.4081,1.5137,2.122,0,244,746
104,2,1.5507,1.0161,-1.8772,0,244,746
105,1,0.4081,1.5137,2.122,0,254,736
105,2,1.5507,1.0161,-1.8772,0,254,736
106,1,0.4081,1.5137,2.122,0,254,736
106,2,1.5507,1.0161,-1.8772,0,254,736
107,1,0.4081,1.5137,2.122,0,257,733
107,2,1.5507,1.0161,-1.8772,0,257,733
108,1,0.4081,1.5137,2.122,0,260,730
108,2,1.5507,1.0161,-1.8772,0,260,730
109,1,0.4081,1.5137,2.122,0,253,736
109,2,1.5507,1.0161,-1.8772,0,253,736
110,1,0.4081,1.5137,2.122,0,255,736
110,2,1.5507,1.0161,-1.8772,0,255,736
111,1,0.4081,1.5137,2.122,0,264,727
111,2,1.5507,1.0161,-1.8772,0,264,727
112,1,0.4081,1.5137,2.122,0,259,731
112,2,1.5507,1.0161,-1.8772,0,259,731
113,1,0.4081,1.5137,2.122,0,250,739
113,2,1.5507,1.0161,-1.8772,0,250,739
114,1,0.4081,1.5137,2.122,0,243,747
114,2,1.5507,1.0161,-1.8772,0,243,747
115,1,0.4081,1.5137,2.122,0,252,738
115,2,1.5507,1.0161,-1.8772,0,252,738
116,1,0.4081,1.5137,2.122,0,245,745
116,2,1.5507,1.0161,-1.8772,0,245,745
117,1,0.4081,1.5137,2.122,0,255,735
117,2,1.5507,1.0161,-1.8772,0,255,735
118,1,0.4081,1.5137,2.122,0,256,734
118,2,1.5507,1.0161,-1.8772,0,256,734
119,1,0.4081,1.5137,2.122,0,234,755
119,2,1.5507,1.0161,-1.8772,0,234,755
120,1,0.4081,1.5137,2.122,0,258,731
120,2,1.5507,1.0161,-1.8772,0,258,731
121,1,0.4081,1.5137,2.122,0,254,736
121,2,1.5507,1.0161,-1.8772,0,254,736
122,1,0.4081,1.5137,2.122,0,256,734
122,2,1.5507,1.0161,-1.8772,0,256,734
123,1,0.4081,1.5137,2.122,0,259,731
123,2,1.5507,1.0161,-1.8772,0,259,731
124,1,0.4081,1.5137,2.122,0,246,744
124,2,1.5507,1.0161,-1.8772,0,246,744
125,1,0.4081,1.5137,2.122,0,256,735
125,2,1.5507,1.0161,-1.8772,0,256,735
126,1,0.4081,1.5137,2.122,0,254,735
126,2,1.5507,1.0161,-1.8772,0,254,735
127,1,0.4081,1.5137,2.122,0,257,733
127,2,1.5507,1.0161,-1.8772,0,257,733
128,1,0.4081,1.5137,2.122,0,243,747
128,2,1.5507,1.0161,-1.8772,0,243,747
129,1,0.4081,1.5137,2.122,0,254,735
129,2,1.5507,1.0161,-1.8772,0,254,735
130,1,0.4081,1.5137,2.122,0,266,721
130,2,1.5507,1.0161,-1.8772,0,266,721
131,1,0.4081,1.5137,2.122,0,251,739
131,2,1.5507,1.0161,-1.8772,0,251,739
132,1,0.4081,1.5137,2.122,0,243,746
132,2,1.5507,1.0161,-1.8772,0,243,746
133,1,0.4081,1.5137,2.122,0,250,739
133,2,1.5507,1.0161,-1.8772,0,250,739
134,1,0.4081,1.5137,2.122,0,252,738
134,2,1.5507,1.0161,-1.8772,0,252,738
135,1,0.4081,1.5137,2.122,0,253,737
135,2,1.5507,1.0161,-1.8772,0,253,737
136,1,0.4081,1.5137,2.122,0,247,743
136,2,1.5507,1.0161,-1.8772,0,247,743
137,1,0.4081,1.5137,2.122,0,268,723
137,2,1.5507,1.0161,-1.8772,0,268,723
138,1,0.4081,1.5137,2.122,0,258,732
138,2,1.5507,1.0161,-1.8772,0,258,732
139,1,0.4081,1.5137,2.122,0,250,741
139,2,1.5507,1.0161,-1.8772,0,250,741
140,1,0.4081,1.5137,2.122,0,245,744
140,2,1.5507,1.0161,-1.8772,0,245,744
141,1,0.4081,1.5137,2.122,0,244,745
141,2,1.5507,1.0161,-1.8772,0,244,745
142,1,0.4081,1.5137,2.122,0,251,739
142,2,1.5507,1.0161,-1.8772,0,251,739
142,3,0.3627,0.2903,0.5668,-0.8227,222,711
143,1,0.4081,1.5137,2.122,0,241,750
143,2,1.5507,1.0161,-1.8772,0,241,750
144,1,0.4081,1.5137,2.122,0,256,734
144,2,1.5507,1.0161,-1.8772,0,256,734
145,1,0.4081,1.5137,2.122,0,252,738
145,2,1.5507,1.0161,-1.8772,0,252,738
146,1,0.4081,1.5137,2.122,0,254,736
146,2,1.5507,1.0161,-1.8772,0,254,736
147,1,0.4081,1.5137,2.122,0,262,728
147,2,1.5507,1.0161,-1.8772,0,262,728
148,1,0.4081,1.5137,2.122,0,257,734
148,2,1.5507,1.0161,-1.8772,0,257,734
