frame_id,point_id,x,y,z,doppler,snr,noise
1,1,1.8167,0.5423,1.7377,0,146,621
2,1,-0.7241,2.1856,-0.5068,0,147,618
3,1,-0.7241,2.1856,-0.5068,0,150,615
4,1,-0.6582,1.9869,-0.4608,0,146,618
5,1,-0.6582,1.9869,-0.4608,0,148,617
6,1,-0.6582,1.9869,-0.4608,0,151,615
6,2,1.7377,0.5423,1.8167,0,141,615
7,1,-0.6582,1.9869,-0.4608,0,156,610
7,2,1.7377,0.5423,1.8167,0,145,616
8,1,-0.7241,1.9638,-0.4608,0,145,623
9,1,-0.7241,1.9638,-0.4608,0,150,617
10,1,-0.7241,1.9638,-0.4608,0,155,612
11,1,-0.7241,1.9638,-0.4608,0,152,614
12,1,-0.8689,2.1481,-0.4344,0,161,608
10,1,1.7377,0.5423,1.8167,0,169,600
14,1,1.8167,0.5423,1.7377,0,167,599
15,1,-0.7899,1.9383,-0.4608,0,141,612
15,3,0.5266,0.3898,-0.5412,-4.1664,167,366
15,4,0.3423,0.5835,0.5266,-4.1664,167,366
29,1,-0.9413,2.142,-0.2896,0,162,607
30,1,-0.9413,2.142,-0.2896,0,174,601
31,1,-0.7241,2.2011,-0.4344,0,176,605
32,1,-0.7965,2.1892,-0.362,0,150,617
33,1,-0.8689,2.1723,-0.2896,0,183,594
34,1,-0.8689,2.1723,-0.2896,0,183,600
35,1,-0.8557,1.9472,-0.2633,0,200,587
36,1,-0.7899,1.9748,-0.2633,0,177,616
37,1,-0.7899,1.9649,-0.3291,0,211,592
38,1,-0.7899,1.9649,-0.3291,0,200,613
39,1,-0.7899,1.9649,-0.3291,0,215,603
40,1,-0.7899,1.9649,-0.3291,0,212,606
41,1,-0.8557,1.9372,-0.3291,0,199,619
42,1,-0.8557,1.9372,-0.3291,0,218,602
43,1,-0.8557,1.9372,-0.3291,0,206,609
44,1,-0.9215,1.9068,-0.3291,0,197,607
45,1,-0.9215,1.9068,-0.3291,0,196,606
46,1,-0.9215,1.9068,-0.3291,0,193,598
47,1,-0.9215,1.9068,-0.3291,0,181,600
48,1,1.7377,0.5423,1.8167,0,187,583
48,2,-0.9215,1.917,-0.2633,-0.2976,205,582
49,1,-0.8557,1.9372,-0.3291,-0.2976,206,592
50,1,-0.9215,1.917,-0.2633,-0.2976,209,591
51,1,-0.8557,1.9372,-0.3291,-0.2976,194,605
52,1,1.6587,0.5188,1.8957,0,163,605
52,2,-0.9215,1.9068,-0.3291,-0.2976,182,607
53,1,-0.9215,1.9068,-0.3291,-0.2976,168,610
54,1,-1.2309,2.0054,-0.1448,-0.2976,163,599
54,2,1.5205,0.4756,1.7377,-0.2976,163,599
55,1,-0.9873,1.8608,-0.3949,-0.2976,175,594
56,1,-1.0532,1.8373,-0.3291,-0.2976,181,597
57,2,-1.0532,1.8373,-0.3291,-0.2976,179,603
58,2,-1.119,1.8088,-0.2633,-0.2976,148,611
59,3,1.4481,0.4292,1.8101,-0.2976,152,615
59,4,-1.0861,2.0609,-0.362,-0.2976,152,615
60,3,-1.119,1.798,-0.3291,-0.2976,162,606
61,2,-1.119,1.8088,-0.2633,-0.2976,175,613
62,3,-1.0071,1.6182,-0.2962,-0.2976,177,611
63,4,-1.0071,1.6182,-0.2962,-0.2976,168,609
64,3,-0.8952,1.4384,-0.2633,-0.2976,116,624
64,4,1.4481,0.4292,1.8101,-0.2976,125,625
65,1,-0.6319,0.7745,2.3696,0,140,597
65,3,-1.1848,1.7664,-0.2633,-0.2976,132,608
66,2,-1.0663,1.5798,-0.2962,-0.2976,181,600
67,2,-1.0663,1.5798,-0.2962,-0.2976,193,600
68,2,-1.3165,1.6706,-0.2633,-0.2976,190,584
70,2,-1.1848,1.493,-0.2962,-0.2976,188,593
71,2,-1.1848,1.48,-0.3554,-0.2976,187,587
72,1,0.158,1.1586,2.2906,0,190,562
72,4,-1.0005,1.356,-0.3159,-0.2976,135,601
76,5,-1.1058,1.2836,-0.2633,-0.2976,126,607
77,3,-1.1585,1.2362,-0.2633,-0.2976,120,595
78,6,-1.3625,1.3182,-0.3554,-0.2976,130,602
79,1,1.2309,0.7063,1.8825,0,168,555
79,2,0.2567,1.2405,2.4815,0,141,552
79,4,-0.3225,1.4469,0.2304,-0.5952,165,569
79,8,-1.3625,1.3182,-0.3554,-0.2976,182,573
80,3,-1.1585,1.2238,-0.3159,-0.2976,123,596
81,2,-1.2111,1.1847,-0.2633,-0.2976,133,589
82,1,-1.481,1.2128,-0.237,0,129,580
82,4,-0.1843,1.4824,-0.1353,-0.5952,116,585
83,1,0,0.4749,-2.5276,0,127,558
83,4,-1.2638,1.1283,-0.2633,-0.2976,134,607
84,1,-1.3165,1.0781,-0.2106,0,186,575
84,2,1.1585,0.8196,1.8825,0,144,565
84,5,-1.3165,1.0781,-0.2106,-0.2976,172,589
85,1,-1.3165,1.0664,-0.2633,0,190,570
86,1,-1.3165,1.0781,-0.2106,0,175,572
86,2,1.0861,0.5178,2.0273,0,146,568
87,1,-1.3165,1.0664,-0.2633,0,187,567
87,2,0,0.4749,-2.5276,0,137,549
88,1,-1.3691,0.9979,-0.2633,0,178,574
89,1,-1.4218,0.9348,-0.2106,0,144,590
90,1,-0.237,0.7499,2.4486,0,146,574
91,1,-0.079,0.9965,2.3696,0,114,561
92,1,-1.4744,0.8607,-0.158,0,130,589
92,2,-0.079,0.7825,2.4486,0,159,562
93,1,-1.5271,0.7634,-0.158,0,132,580
94,1,-0.7109,0.4674,-0.1053,0,131,621
96,1,-0.7635,0.3753,-0.1053,0,158,617
97,1,-0.7635,0.3669,-0.1316,0,154,607
99,1,-0.7899,0.3237,-0.079,0,166,599
99,4,-0.5134,1.1763,0.079,-0.5952,118,574
100,4,-0.3949,1.2231,-0.0395,-0.5952,131,561
101,6,-0.6911,0.8189,0,-0.2976,118,592
102,1,-0.7635,0.3753,-0.1053,0,135,611
104,1,-0.7372,0.408,-0.158,0,134,603
106,1,-0.7372,0.4247,-0.1053,0,125,594
109,1,-0.7635,0.3898,0,0,116,605
109,5,-0.5412,1.1365,0.237,-0.5952,130,560
110,1,-0.7635,0.3753,-0.1053,0,151,597
111,1,-0.7635,0.3669,-0.1316,0,185,583
111,7,-0.5924,1.1406,0.0395,-0.5952,140,581
112,1,-0.7635,0.3669,-0.1316,0,151,594
114,1,-0.7635,0.3862,-0.0527,0,114,616
115,5,-0.757,0.752,-0.0987,-0.2976,131,593
116,1,-0.7635,0.3862,-0.0527,0,127,606
117,1,-0.7635,0.3669,-0.1316,0,143,602
118,1,-0.7372,0.4303,-0.079,0,140,606
119,1,-0.7635,0.3753,-0.1053,0,147,604
121,1,-0.7635,0.3862,-0.0527,0,117,606
122,4,-0.5924,0.8905,-0.0658,-0.5952,141,554
123,1,-0.7635,0.3817,-0.079,0,135,602
124,1,-0.7635,0.3669,-0.1316,0,152,590
125,1,-0.7899,0.3161,-0.1053,0,126,604
126,1,-0.7635,0.3753,-0.1053,0,155,588
126,5,-0.4344,1.2077,-0.079,-0.8928,141,570
126,6,-0.5595,0.9133,-0.0329,-0.5952,139,568
127,1,-0.7899,0.3161,-0.1053,0,117,597
127,4,-0.4344,1.2097,-0.0395,-0.8928,142,578
129,3,-0.6253,0.8545,-0.1646,-0.5952,119,582
135,1,-0.7899,0.3161,-0.1053,0,155,582
135,5,-0.4608,1.3163,0.5412,-0.5952,121,584
136,1,-0.7899,0.3061,-0.1316,0,165,581
137,1,-0.7899,0.3237,-0.079,0,154,591
137,8,-0.6319,1.1087,0.158,-0.5952,161,578
146,5,-0.7109,0.9795,0.4344,-0.5952,135,555
150,1,-0.9544,0.4586,-0.1646,0,146,602
151,10,-0.6319,1.1172,0.079,-0.5952,153,567
162,10,-0.4608,1.3662,-0.4147,-0.8928,113,554
162,11,-0.5412,1.3568,0.3225,-0.8928,113,554
168,1,-0.9873,0.4046,-0.0987,0,136,596
172,9,-0.7504,1.017,0.237,-0.5952,116,563
173,1,-0.9873,0.4046,-0.0987,0,120,628
174,6,-0.7109,1.0598,0.158,-0.5952,134,556
175,1,-0.9873,0.3826,-0.1646,0,145,596
177,1,-0.9873,0.3826,-0.1646,0,124,602
183,1,-0.9873,0.3951,-0.1316,0,134,626
184,1,-0.9873,0.4046,-0.0987,0,126,615
185,1,-0.9873,0.3826,-0.1646,0,143,608
186,8,-0.6319,1.1192,-0.0395,-0.8928,134,562
187,1,-0.9873,0.3951,-0.1316,0,141,614
187,10,-0.6714,1.0903,0.1185,-0.5952,131,563
188,1,-0.9544,0.4586,-0.1646,0,141,618
