source,frame_id,point_id,x,y,z,doppler,snr,noise
left,1,1,0.5412,2.4986,1.5666,0,116,671
left,1,2,1.2111,4.5798,-1.3625,0,215,628
left,2,1,0.5412,2.4986,1.5666,0,117,671
left,2,2,1.2111,4.5798,-1.3625,0,211,633
left,3,1,0.5412,2.4986,1.5666,0,116,670
left,3,2,1.2111,4.5798,-1.3625,0,213,630
left,4,1,0.5412,2.4986,1.5666,0,117,671
left,4,2,1.2111,4.5798,-1.3625,0,218,625
left,5,1,0.5412,2.4986,1.5666,0,117,670
left,5,2,1.2111,4.5798,-1.3625,0,219,624
left,6,1,0.5412,2.4986,1.5666,0,117,671
left,6,2,1.2111,4.5798,-1.3625,0,219,624
left,7,1,0.5412,2.4986,1.5666,0,116,672
left,7,2,1.2111,4.5798,-1.3625,0,223,620
left,8,1,0.5412,2.4986,1.5666,0,116,672
left,8,2,1.2111,4.5798,-1.3625,0,217,626
left,9,1,0.5412,2.4986,1.5666,0,117,671
left,9,2,1.2111,4.5798,-1.3625,0,219,624
left,10,1,0.5412,2.4986,1.5666,0,118,669
left,10,2,1.2111,4.5798,-1.3625,0,218,626
left,11,1,0.5412,2.4986,1.5666,0,118,669
left,11,2,1.2111,4.5798,-1.3625,0,215,628
left,12,1,0.5412,2.554,1.4744,0,116,670
left,12,2,1.2111,4.5798,-1.3625,0,214,630
left,10,1,0.4608,2.5172,1.5666,0,119,668
left,10,2,1.2111,4.5798,-1.3625,0,217,627
left,14,1,0.4608,2.5172,1.5666,0,122,668
left,14,2,1.2111,4.5798,-1.3625,0,219,626
left,15,1,0.4608,2.5172,1.5666,0,124,666
left,15,2,1.0597,4.6172,-1.3625,0,219,626
left,16,1,0.5412,2.4986,1.5666,0,126,663
left,16,2,1.2111,4.5798,-1.3625,0,213,632
left,17,1,0.5412,2.4986,1.5666,0,120,665
left,17,2,1.2111,4.5798,-1.3625,0,217,629
left,29,1,1.0597,4.6592,-1.2111,0,205,629
