frame_id,point_id,x,y,z,doppler,snr,noise
24,3,1.6128,8.4182,-2.1504,0,164,563
28,4,1.6128,8.4182,-2.1504,0,163,564
37,4,1.6128,8.4182,-2.1504,0,165,562
43,3,1.6128,8.4182,-2.1504,0,163,564
47,3,1.6128,8.4182,-2.1504,0,163,564
48,3,1.6128,8.4182,-2.1504,0,165,562
52,4,1.6128,8.4182,-2.1504,0,168,559
60,5,1.6128,8.4182,-2.1504,0,166,561
87,4,1.6128,8.4182,-2.1504,0,164,563
92,4,5.8103,2.5752,0.3874,0,127,620
92,5,1.6128,8.4182,-2.1504,0,162,563
93,5,1.8816,8.3622,-2.1504,0,172,555
94,5,1.6128,8.4182,-2.1504,0,167,559
98,3,-4.039,1.1927,-0.7818,0,139,617
99,5,-3.8125,1.8767,-0.7888,0,147,622
100,4,-3.7785,1.9095,-0.6515,0,141,637
101,5,-0.493,3.1286,-0.6902,-0.3479,159,574
102,3,-3.681,2.123,-0.7888,0,127,650
102,5,-0.5916,3.1114,-0.6902,-0.3479,134,575
103,2,-3.7785,1.9095,-0.6515,0,143,642
103,3,5.6507,2.992,0.3897,0,134,604
103,4,-0.682,3.0542,-0.682,-0.3479,123,588
104,2,-3.8125,1.8767,-0.7888,0,123,654
104,3,-0.3944,3.1192,-0.7888,-0.3479,139,577
105,2,-3.8125,1.8767,-0.7888,0,115,662
106,2,-3.7785,1.9095,-0.6515,0,129,647
107,2,-3.7785,1.86,-0.7818,0,125,649
108,3,-3.944,1.6409,-0.6573,0,134,641
111,2,-3.681,2.123,-0.7888,0,128,641
112,5,-0.3709,2.9085,-0.8346,-0.3479,114,609
114,4,-0.5493,2.8673,-0.7325,-0.3479,119,640
115,4,-0.5423,2.8306,-0.7231,-0.6958,163,584
116,2,-0.6245,2.7967,-0.6245,-0.6958,152,592
118,5,-3.0284,3.9509,0,-0.3479,115,611
118,6,-3.3312,1.6081,-3.3312,-0.3479,115,611
119,2,-3.944,1.5819,-0.7888,0,135,623
119,3,-0.608,2.6784,-0.7818,-0.6958,198,538
119,5,-3.0049,3.8942,0.4507,-0.3479,117,600
120,2,-3.944,1.6409,-0.6573,0,115,626
120,3,5.7528,2.9676,0.7935,0.3479,131,492
121,1,-3.6482,2.1041,-0.7818,0,116,622
121,4,-0.9015,3.5056,-0.7888,-0.6958,117,633
122,2,-3.9088,1.6263,-0.6515,0,158,612
122,4,-0.993,3.4022,-0.7724,-0.6958,115,620
123,2,-3.7785,1.9095,-0.6515,0,189,598
124,2,-3.7785,1.9095,-0.6515,0,168,611
124,4,0.6573,5.1987,-1.3147,-0.6958,117,607
125,2,-3.8125,1.9267,-0.6573,0,135,611
126,3,-1.0682,3.2342,-0.8545,-0.6958,113,616
127,1,-3.8125,1.9267,-0.6573,0,113,614
129,1,-3.8125,1.9972,-0.3944,0,115,611
130,2,-3.7139,2.2226,-0.5306,0,138,601
131,2,-3.5813,2.3978,-0.6632,0,137,609
131,4,-1.0329,3.1276,-0.8264,-0.6958,130,608
132,2,-3.5813,2.4306,-0.5306,0,135,614
132,3,0.6198,4.8598,-1.3945,-1.0436,117,609
132,7,-1.3123,3.0061,-0.5047,-0.6958,130,585
