frame_id,point_id,x,y,z,doppler,snr,noise
1727,1,-0.1405,0.8604,2.1771,0,159,740
1727,2,2.5239,2.0839,-0.8076,0,276,774
1,1,-0.1405,0.8604,2.1771,0,163,735
1,2,2.5239,2.0839,-0.8076,0,275,776
2,1,-0.1405,0.8604,2.1771,0,151,748
2,2,2.5239,2.0839,-0.8076,0,277,773
3,1,-0.1405,0.8604,2.1771,0,178,720
3,2,2.5239,2.0839,-0.8076,0,268,783
4,1,2.6248,1.9104,-0.9086,0,276,774
5,1,-0.1405,0.8604,2.1771,0,169,728
5,2,2.5239,2.0839,-0.8076,0,275,775
6,1,-0.1405,0.8604,2.1771,0,179,719
6,2,2.5239,2.0839,-0.8076,0,276,774
12,1,2.6248,1.9104,-0.9086,0,278,772
10,1,-0.1405,0.8604,2.1771,0,160,738
10,2,2.5239,2.0839,-0.8076,0,281,769
14,1,2.5239,2.0839,-0.8076,0,280,770
15,1,-0.1405,0.8604,2.1771,0,176,721
15,2,2.5239,2.0839,-0.8076,0,273,777
16,1,-0.1405,0.8604,2.1771,0,161,736
16,2,2.5239,2.0839,-0.8076,0,273,777
17,1,2.5239,2.0839,-0.8076,0,277,774
18,1,-0.1405,0.8604,2.1771,0,177,720
18,2,2.5239,2.0839,-0.8076,0,272,778
19,1,-0.1405,0.8604,2.1771,0,172,727
19,2,2.5239,2.0839,-0.8076,0,281,769
20,1,-0.1405,0.8604,2.1771,0,172,727
20,2,2.5239,2.0839,-0.8076,0,268,782
21,1,-0.1405,0.8604,2.1771,0,162,735
21,2,2.5239,2.0839,-0.8076,0,280,770
22,1,2.5239,2.0839,-0.8076,0,278,773
23,1,-0.1405,0.8604,2.1771,0,170,729
23,2,2.5239,2.0839,-0.8076,0,273,778
24,1,-0.1405,0.8604,2.1771,0,165,734
24,2,2.5239,2.0839,-0.8076,0,279,771
25,1,-0.1405,0.8604,2.1771,0,174,724
25,2,2.5239,2.0839,-0.8076,0,280,770
26,1,2.5239,2.0839,-0.8076,0,277,773
27,1,-0.1405,0.8604,2.1771,0,175,723
27,2,2.5239,2.0839,-0.8076,0,281,770
28,1,2.6248,1.9104,-0.9086,0,272,778
29,1,2.5239,2.0839,-0.8076,0,277,773
30,1,-0.1405,0.8604,2.1771,0,167,731
30,2,2.5239,2.0839,-0.8076,0,276,775
31,1,2.5239,2.0839,-0.8076,0,281,769
32,1,-0.1405,0.8604,2.1771,0,172,725
32,2,2.5239,2.0839,-0.8076,0,282,768
33,1,2.5239,2.0839,-0.8076,0,270,780
34,1,2.5239,2.0839,-0.8076,0,283,767
35,1,-0.1405,0.8604,2.1771,0,174,724
35,2,2.5239,2.0839,-0.8076,0,268,782
36,1,-0.1405,0.8604,2.1771,0,179,718
36,2,2.5239,2.0839,-0.8076,0,272,778
37,1,-0.1405,0.8604,2.1771,0,177,723
37,2,2.5239,2.0839,-0.8076,0,276,775
38,1,-0.1405,0.8604,2.1771,0,171,727
38,2,2.5239,2.0839,-0.8076,0,275,775
39,1,-0.1405,0.8604,2.1771,0,173,726
39,2,2.5239,2.0839,-0.8076,0,278,772
40,1,-0.1405,0.8604,2.1771,0,184,714
40,2,2.5239,2.0839,-0.8076,0,267,783
41,1,2.5239,2.0839,-0.8076,0,271,780
