frame_id,point_id,x,y,z,doppler,snr,noise
1,1,0.2484,0.5948,-0.3838,0,158,645
1,2,0,1.1085,2.3284,0,339,563
1,3,2.7517,2.1958,-0.9906,0,210,848
1,4,1.7851,4.8222,-1.6228,0,170,821
1,5,-0.223,7.0611,-2.2296,0,183,768
2,1,0.2484,0.5948,-0.3838,0,178,633
2,2,0,1.1085,2.3284,0,342,558
2,3,0.4233,1.584,2.286,0,155,669
2,4,1.6934,1.4762,-1.6934,0,155,669
2,5,-0.8467,2.5457,0.8467,0,155,669
2,6,2.7517,2.1958,-0.9906,0,209,849
2,7,1.7851,4.8222,-1.6228,0,169,821
2,8,-0.223,7.0611,-2.2296,0,187,764
2,9,0.1016,0.224,0.3429,-6.7524,277,560
3,1,0.2484,0.6088,-0.3612,0,151,654
3,2,0,1.1085,2.3284,0,354,547
3,3,2.7517,2.1958,-0.9906,0,209,849
3,4,1.7851,4.8222,-1.6228,0,169,821
3,5,-0.223,7.0611,-2.2296,0,181,770
4,1,0.2709,0.5848,-0.3838,0,172,634
4,2,0,1.1085,2.3284,0,331,571
4,3,1.6651,1.6229,-1.4986,0,181,638
4,4,2.7517,2.1958,-0.9906,0,207,850
4,5,1.7851,4.8222,-1.6228,0,168,821
4,6,-0.223,7.0611,-2.2296,0,186,765
4,7,0.1143,0.2366,0.3302,-5.3055,257,584
5,1,0,1.1085,2.3284,0,341,562
5,2,2.7517,2.1958,-0.9906,0,209,848
5,3,1.7851,4.8222,-1.6228,0,172,819
5,4,-0.223,7.0611,-2.2296,0,186,765
6,1,0.2709,0.5848,-0.3838,0,172,635
6,2,0,1.1085,2.3284,0,352,551
6,3,2.7517,2.1958,-0.9906,0,208,849
6,4,1.7851,4.8222,-1.6228,0,170,820
6,5,-0.223,7.0611,-2.2296,0,184,767
12,1,0.2709,0.5848,-0.3838,0,163,641
12,2,0,1.1085,2.3284,0,345,557
12,3,2.7517,2.1958,-0.9906,0,208,850
12,4,1.7851,4.8222,-1.6228,0,169,821
12,5,-0.223,7.0611,-2.2296,0,184,767
10,1,0.2709,0.5848,-0.3838,0,172,637
10,2,0,1.1085,2.3284,0,343,558
10,3,2.7517,2.1958,-0.9906,0,208,850
10,4,1.7851,4.8222,-1.6228,0,169,821
10,5,-0.223,7.0611,-2.2296,0,183,768
14,1,0.2709,0.5694,-0.4064,0,165,645
14,2,0,1.1085,2.3284,0,338,564
14,3,2.7517,2.1958,-0.9906,0,210,848
14,4,1.7851,4.8222,-1.6228,0,169,821
14,5,-0.223,7.0611,-2.2296,0,183,768
15,1,0.2709,0.5848,-0.3838,0,163,642
15,2,0,1.1085,2.3284,0,337,565
15,3,0.3387,1.6042,2.286,0,150,675
15,4,1.6934,1.4762,-1.6934,0,150,675
15,5,-0.9313,2.4858,0.9313,0,150,675
15,6,2.7517,2.1958,-0.9906,0,210,848
15,7,1.7851,4.8222,-1.6228,0,170,820
15,8,-0.223,7.0611,-2.2296,0,184,766
16,1,0.2709,0.5848,-0.3838,0,174,635
16,2,0,1.1085,2.3284,0,344,557
16,3,2.7517,2.1958,-0.9906,0,207,851
16,4,1.7851,4.8222,-1.6228,0,171,819
16,5,-0.223,7.0611,-2.2296,0,184,767
17,1,0.2484,0.5948,-0.3838,0,159,645
17,2,0,1.1085,2.3284,0,337,564
17,3,2.7517,2.1958,-0.9906,0,210,848
17,4,1.7851,4.8222,-1.6228,0,169,821
17,5,-0.223,7.0611,-2.2296,0,182,768
18,1,0.2709,0.5694,-0.4064,0,160,647
18,2,0,1.1085,2.3284,0,333,567
18,3,2.7517,2.1958,-0.9906,0,208,850
18,4,1.7851,4.8222,-1.6228,0,169,821
18,5,-0.223,7.0611,-2.2296,0,183,768
19,1,0.2935,0.5581,-0.4064,0,162,645
19,2,0,1.1085,2.3284,0,344,558
19,3,2.7517,2.1958,-0.9906,0,208,850
19,4,1.7851,4.8222,-1.6228,0,170,820
19,5,-0.223,7.0611,-2.2296,0,182,769
20,1,0.2484,0.5948,-0.3838,0,160,644
20,2,0,1.1085,2.3284,0,345,557
20,3,2.7517,2.1958,-0.9906,0,210,848
20,4,1.7851,4.8222,-1.6228,0,170,820
20,5,-0.223,7.0611,-2.2296,0,185,766
21,1,0.2709,0.5848,-0.3838,0,162,644
21,2,0,1.1085,2.3284,0,337,565
21,3,2.7517,2.1958,-0.9906,0,209,849
21,4,1.7851,4.8222,-1.6228,0,171,819
21,5,-0.223,7.0611,-2.2296,0,181,769
22,1,0.2709,0.5848,-0.3838,0,169,631
22,2,0,1.1085,2.3284,0,337,565
22,3,2.7517,2.1958,-0.9906,0,209,849
22,4,1.7851,4.8222,-1.6228,0,171,819
22,5,-0.223,7.0611,-2.2296,0,183,768
23,1,0.2484,0.5948,-0.3838,0,164,643
23,2,0,1.1085,2.3284,0,346,556
23,3,2.7517,2.1958,-0.9906,0,208,849
23,4,1.7851,4.8222,-1.6228,0,170,820
23,5,-0.223,7.0611,-2.2296,0,184,767
24,1,0.2709,0.5848,-0.3838,0,179,625
24,2,0,1.1085,2.3284,0,327,574
24,3,2.7517,2.1958,-0.9906,0,209,848
24,4,1.7851,4.8222,-1.6228,0,169,821
24,5,-0.223,7.0611,-2.2296,0,184,766
25,1,0.2935,0.5409,-0.429,0,165,648
25,2,0,1.1085,2.3284,0,347,554
25,3,2.7517,2.1958,-0.9906,0,207,850
25,4,1.7851,4.8222,-1.6228,0,170,820
25,5,-0.223,7.0611,-2.2296,0,185,766
26,1,0.2935,0.5581,-0.4064,0,178,632
26,2,0,1.1085,2.3284,0,344,558
26,3,2.7517,2.1958,-0.9906,0,207,851
26,4,1.7851,4.8222,-1.6228,0,169,820
26,5,-0.223,7.0611,-2.2296,0,183,768
27,1,0.2935,0.5581,-0.4064,0,174,637
27,2,0,1.1085,2.3284,0,335,565
27,3,2.7517,2.1958,-0.9906,0,208,849
27,4,1.7851,4.8222,-1.6228,0,168,822
27,5,-0.223,7.0611,-2.2296,0,182,768
28,1,0.2484,0.5948,-0.3838,0,162,643
28,2,0,1.1085,2.3284,0,346,556
28,3,0.4233,1.6997,2.2014,0,158,669
28,4,1.6934,1.3731,-1.778,0,158,669
28,5,-0.8467,2.5457,0.8467,0,158,669
28,6,2.7517,2.1958,-0.9906,0,206,851
28,7,1.7851,4.8222,-1.6228,0,170,820
28,8,-0.223,7.0611,-2.2296,0,183,768
29,1,0.2709,0.5694,-0.4064,0,172,635
29,2,0,1.1085,2.3284,0,351,550
