frame_id,point_id,x,y,z,doppler,snr,noise
1,1,0.3273,1.1979,2.4551,0,145,470
1,2,2.4006,2.633,-0.8729,0,119,598
2,1,0.3273,1.1979,2.4551,0,136,480
2,2,2.4006,2.633,-0.8729,0,118,599
3,1,0.3273,1.1979,2.4551,0,138,477
3,2,2.5097,2.5292,-0.8729,0,119,598
4,1,0.3273,1.1979,2.4551,0,145,469
4,2,2.4006,2.633,-0.8729,0,119,597
8,1,0.3273,1.1979,2.4551,0,138,477
8,2,2.4006,2.633,-0.8729,0,119,598
9,1,0.3273,1.1979,2.4551,0,152,465
9,2,2.4006,2.633,-0.8729,0,120,597
10,2,0.3273,1.1979,2.4551,0,169,446
10,3,2.4006,2.633,-0.8729,0,119,598
11,1,0.3273,1.1979,2.4551,0,159,455
11,2,2.4006,2.633,-0.8729,0,117,599
12,2,0.3273,1.1979,2.4551,0,161,453
12,3,2.4006,2.633,-0.8729,0,118,599
10,2,0.3273,1.1979,2.4551,0,161,454
10,3,2.4006,2.633,-0.8729,0,121,597
14,1,0.3273,1.1979,2.4551,0,153,461
14,2,2.4006,2.633,-0.8729,0,118,599
15,1,0.3273,1.1979,2.4551,0,170,446
15,2,2.4006,2.633,-0.8729,0,119,599
16,1,0.3273,1.1979,2.4551,0,157,457
16,2,2.4006,2.633,-0.8729,0,119,599
17,2,0.3273,1.1979,2.4551,0,160,456
17,3,2.4006,2.633,-0.8729,0,118,600
18,1,0.3273,1.1979,2.4551,0,159,454
18,2,2.4006,2.633,-0.8729,0,119,599
19,1,0.3273,1.1979,2.4551,0,163,451
19,2,2.4006,2.633,-0.8729,0,119,599
20,1,0.3273,1.1979,2.4551,0,173,442
20,2,2.4006,2.633,-0.8729,0,120,598
21,1,0.3273,1.1979,2.4551,0,150,465
21,2,2.4006,2.633,-0.8729,0,118,600
22,1,0.3273,1.1979,2.4551,0,134,481
22,2,2.4006,2.633,-0.8729,0,118,599
23,2,0.3273,1.1979,2.4551,0,159,455
23,3,2.4006,2.633,-0.8729,0,117,600
24,1,0.3273,1.1979,2.4551,0,160,454
24,2,2.4006,2.633,-0.8729,0,118,599
25,1,0.3273,1.1979,2.4551,0,167,449
25,2,2.4006,2.633,-0.8729,0,116,600
26,1,0.3273,1.1979,2.4551,0,158,458
26,2,2.4006,2.633,-0.8729,0,118,599
27,1,0.3273,1.1979,2.4551,0,156,461
27,2,2.4006,2.633,-0.8729,0,119,598
28,1,0.3273,1.1979,2.4551,0,150,467
28,2,2.4006,2.633,-0.8729,0,117,599
29,1,0.3273,1.1979,2.4551,0,143,473
29,2,2.4006,2.633,-0.8729,0,117,600
30,1,0.3273,1.1979,2.4551,0,142,474
30,2,2.4006,2.633,-0.8729,0,117,599
31,1,0.3273,1.1979,2.4551,0,151,465
31,2,2.4006,2.633,-0.8729,0,116,600
32,2,0.3273,1.1979,2.4551,0,152,464
32,3,2.4006,2.633,-0.8729,0,117,599
33,2,0.3273,1.1979,2.4551,0,161,454
33,3,2.4006,2.633,-0.8729,0,117,598
34,1,0.3273,1.1979,2.4551,0,135,478
34,2,2.4006,2.633,-0.8729,0,116,600
35,1,0.3273,1.1979,2.4551,0,153,463
35,2,2.4006,2.633,-0.8729,0,117,599
36,1,0.3273,1.1979,2.4551,0,161,456
36,2,2.5097,2.5292,-0.8729,0,117,599
37,1,0.3273,1.1979,2.4551,0,143,472
37,2,2.5097,2.5292,-0.8729,0,117,599
38,1,0.3273,1.1979,2.4551,0,125,490
38,2,2.4006,2.633,-0.8729,0,117,599
39,1,0.3273,1.1979,2.4551,0,134,480
39,2,2.5097,2.5292,-0.8729,0,118,599
40,1,0.3273,1.1979,2.4551,0,141,473
40,2,2.4006,2.633,-0.8729,0,119,598
41,1,0.3273,1.1979,2.4551,0,141,473
41,2,2.4006,2.633,-0.8729,0,120,597
42,1,0.3273,1.1979,2.4551,0,164,450
42,2,2.4006,2.633,-0.8729,0,120,597
43,1,0.3273,1.1979,2.4551,0,148,466
43,2,2.4006,2.633,-0.8729,0,119,598
44,1,0.3273,1.1979,2.4551,0,142,472
44,2,2.4006,2.633,-0.8729,0,120,596
45,1,0.3273,1.1979,2.4551,0,152,461
45,2,2.4006,2.633,-0.8729,0,121,596
46,1,0.3273,1.1979,2.4551,0,147,467
46,2,2.4006,2.633,-0.8729,0,120,597
47,1,0.3273,1.1979,2.4551,0,130,484
47,2,2.5097,2.5292,-0.8729,0,118,599
48,1,0.3273,1.1979,2.4551,0,150,464
48,2,2.4006,2.633,-0.8729,0,120,597
49,1,0.3273,1.1979,2.4551,0,156,457
49,2,2.4006,2.633,-0.8729,0,119,598
50,1,0.3273,1.1979,2.4551,0,153,461
50,2,2.4006,2.633,-0.8729,0,118,598
51,1,0.3273,1.1979,2.4551,0,156,458
51,2,2.4006,2.633,-0.8729,0,120,596
52,1,0.3273,1.1979,2.4551,0,154,461
52,2,2.4006,2.633,-0.8729,0,119,597
53,1,0.3273,1.1979,2.4551,0,165,453
53,2,2.4006,2.633,-0.8729,0,120,596
54,1,0.2455,1.2173,2.4551,0,160,459
54,2,2.4006,2.633,-0.8729,0,120,596
55,1,0.3273,1.1979,2.4551,0,165,450
55,2,2.4006,2.633,-0.8729,0,118,597
56,1,0.2455,1.2173,2.4551,0,150,465
56,2,2.5097,2.5292,-0.8729,0,122,594
57,1,0.3273,1.1979,2.4551,0,148,466
57,2,2.5097,2.5292,-0.8729,0,120,596
58,1,0.2455,1.2173,2.4551,0,143,470
58,2,2.5097,2.5292,-0.8729,0,122,593
59,1,0.3273,1.1979,2.4551,0,139,473
59,2,2.5097,2.5292,-0.8729,0,119,596
60,1,0.3273,1.1979,2.4551,0,172,440
60,2,2.5097,2.5292,-0.8729,0,120,596
61,1,0.3273,1.1979,2.4551,0,158,459
61,2,2.4006,2.633,-0.8729,0,121,596
62,1,0.3273,1.1979,2.4551,0,167,450
62,2,2.4006,2.633,-0.8729,0,124,593
63,1,0.3273,1.1979,2.4551,0,174,446
63,2,2.4006,2.633,-0.8729,0,126,592
64,1,0.3273,1.1979,2.4551,0,168,453
64,2,2.4006,2.633,-0.8729,0,127,591
65,1,0.3273,1.1979,2.4551,0,156,462
65,2,2.4006,2.633,-0.8729,0,124,593
66,1,0.3273,1.1979,2.4551,0,151,467
66,2,2.4006,2.633,-0.8729,0,122,595
67,1,0.3273,1.1979,2.4551,0,155,459
67,2,2.4006,2.633,-0.8729,0,118,598
68,1,0.3273,1.1979,2.4551,0,150,461
68,2,2.5097,2.5292,-0.8729,0,116,600
69,1,0.3273,1.1979,2.4551,0,147,461
69,2,2.5097,2.5292,-0.8729,0,119,597
70,1,0.3273,1.1979,2.4551,0,151,457
70,2,2.5097,2.5292,-0.8729,0,118,599
71,1,0.3273,1.1979,2.4551,0,146,462
71,2,2.5097,2.5292,-0.8729,0,118,598
72,1,0.3273,1.1979,2.4551,0,140,469
72,2,2.5097,2.5292,-0.8729,0,118,598
73,1,0.3273,1.1979,2.4551,0,162,450
73,2,2.5097,2.5292,-0.8729,0,118,598
74,1,0.3273,1.1979,2.4551,0,129,481
74,2,2.5097,2.5292,-0.8729,0,118,598
75,1,0.3273,1.0131,2.537,0,142,465
75,2,2.5097,2.5292,-0.8729,0,122,594
76,1,0.2455,1.036,2.537,0,148,465
76,2,2.5097,2.5292,-0.8729,0,121,596
77,1,0.3273,1.1979,2.4551,0,151,470
77,2,2.4006,2.633,-0.8729,0,123,594
