frame_id,point_id,x,y,z,doppler,snr,noise
1,1,-0.1402,1.4885,1.8228,0,169,572
1,2,0.0319,1.0403,-0.2549,-0.2882,166,636
2,1,-0.2103,1.4802,1.8228,0,154,587
2,2,0.0319,1.0403,-0.2549,-0.2882,151,652
3,1,-0.1402,1.4885,1.8228,0,175,570
3,2,0.0319,1.0403,-0.2549,-0.2882,161,649
4,1,-0.1402,1.4885,1.8228,0,181,567
4,2,0.0319,1.0403,-0.2549,-0.2882,150,667
5,1,-0.0637,1.2759,1.7208,0,165,585
5,2,0.0319,1.0403,-0.2549,-0.2882,173,647
6,1,-0.1402,1.3982,1.8929,0,177,575
6,2,0.0319,1.0403,-0.2549,-0.2882,173,643
7,1,-0.1402,1.4885,1.8228,0,177,572
7,2,0.0637,1.0389,-0.2549,-0.2882,157,655
8,1,-0.0637,1.4319,1.5934,0,156,589
8,2,0.0637,1.0389,-0.2549,-0.2882,160,650
9,1,0,1.3591,1.6571,0,153,598
9,3,0.0637,1.0389,-0.2549,-0.2882,163,652
10,1,0,1.2775,1.7208,0,172,583
10,2,0.0637,1.0462,-0.2231,-0.2882,166,654
11,1,-0.1275,1.1799,1.7846,0,162,586
11,2,0.0637,1.0462,-0.2231,-0.2882,178,642
12,1,-0.1275,1.3531,1.6571,0,153,584
12,2,-0.0701,1.4035,1.8929,0,164,573
12,3,0.0637,1.0462,-0.2231,-0.2882,164,651
10,1,0,1.3591,1.6571,0,152,589
10,3,0.0956,1.0364,-0.2549,-0.2882,156,655
14,1,0,1.1868,1.7846,0,165,583
14,2,0.0956,1.0364,-0.2549,-0.2882,190,628
15,1,-0.1275,1.2711,1.7208,0,164,576
15,2,0.0956,1.0437,-0.2231,-0.2882,179,645
16,1,0,1.3591,1.6571,0,172,577
16,2,0.0956,1.0437,-0.2231,-0.2882,174,645
17,1,0,1.2775,1.7208,0,171,581
17,2,0.1275,1.0403,-0.2231,-0.2882,176,637
18,1,0,1.4333,1.5934,0,166,581
18,2,0.102,0.8323,-0.1785,-0.2882,166,655
19,1,0,1.2775,1.7208,0,168,581
19,2,0.102,0.8323,-0.1785,-0.2882,179,651
20,1,0.0637,1.4319,1.5934,0,165,577
20,2,0.1275,0.8338,-0.153,-0.2882,172,650
21,1,0,1.4333,1.5934,0,148,582
21,3,0.102,0.8373,-0.153,-0.2882,181,640
22,1,0.1275,1.1799,1.7846,0,168,577
22,2,0.102,0.8373,-0.153,-0.2882,176,656
23,1,0.1275,1.1799,1.7846,0,175,567
23,2,0.1275,0.8338,-0.153,-0.2882,173,654
24,1,0,1.1868,1.7846,0,171,568
24,3,0.1275,0.8287,-0.1785,-0.2882,174,656
25,1,-0.0637,1.083,1.8483,0,150,592
25,3,0.1275,0.8287,-0.1785,-0.2882,172,669
26,1,0,0.9682,1.912,0,163,588
26,3,0.153,0.8244,-0.1785,-0.2882,174,661
27,1,0.1275,1.0774,1.8483,0,184,578
27,3,0.153,0.8185,-0.204,-0.2882,185,663
28,1,0.1275,1.0774,1.8483,0,176,583
28,3,0.1785,0.8133,-0.204,-0.2882,185,655
29,1,0.1275,1.1799,1.7846,0,161,591
29,3,0.1785,0.8065,-0.2294,-0.2882,193,656
30,1,0.0637,1.1851,1.7846,0,174,572
30,6,0.204,0.8004,-0.2294,-0.2882,177,664
31,4,0.204,0.8004,-0.2294,-0.2882,186,657
31,5,0.0637,1.1851,1.7846,-0.2882,159,582
32,4,0.2294,0.7935,-0.2294,-0.2882,159,670
32,5,0.0637,1.083,1.8483,-0.2882,157,582
33,2,-0.2549,1.6575,-0.3569,-0.5763,121,532
33,4,0.2294,0.7935,-0.2294,-0.2882,191,648
33,5,0.0637,1.083,1.8483,-0.2882,150,583
34,5,0.2294,0.7935,-0.2294,-0.2882,188,641
35,4,0.2549,0.7988,-0.1785,-0.2882,161,644
35,5,0.1275,1.0774,1.8483,-0.2882,130,596
36,5,0.2549,0.7988,-0.1785,-0.2882,150,656
37,4,0.2294,0.5855,-0.1338,-0.2882,149,654
38,4,0.2294,0.5855,-0.1338,-0.2882,151,659
39,3,0.2294,0.5896,-0.1147,-0.2882,148,648
40,6,0.2868,0.5639,-0.1147,-0.2882,137,653
41,7,0.2868,0.5597,-0.1338,-0.2882,171,648
42,5,0.2868,0.5597,-0.1338,-0.2882,184,644
43,4,0.325,0.5332,-0.153,-0.2882,188,635
44,4,0.325,0.5384,-0.1338,-0.2882,200,625
45,7,0.3442,0.5308,-0.1147,-0.2882,173,645
46,7,0.3824,0.504,-0.1147,-0.2882,179,633
47,5,0.4207,0.4725,-0.1147,-0.2882,192,618
48,5,0.4015,0.493,-0.0956,-0.2882,180,618
49,5,0.478,0.4192,-0.0956,-0.2882,156,619
50,2,0.5927,0.2462,-0.0382,0.2882,126,592
50,3,-0.2868,1.8647,-0.4015,-0.8645,120,481
52,4,0.2549,0.7927,-0.204,-0.5763,165,541
52,5,0.0446,1.4755,-0.2677,-0.5763,123,533
53,1,0.5354,0.3477,-0.0765,0,206,572
53,4,0.2294,0.8161,-0.1275,-0.5763,163,540
54,1,0.5927,0.2491,0,0.2882,126,559
54,3,0.2549,0.7857,-0.2294,-0.5763,134,541
54,4,0.2804,0.7392,0.3314,-0.5763,134,541
55,1,0.5354,0.354,-0.0382,0,168,589
56,1,0.5736,0.2904,0,0,137,566
57,3,0.3633,0.5133,-0.1338,-0.2882,175,531
59,5,0.4334,0.7286,-0.1275,-0.2882,177,542
60,5,0.4844,0.7055,-0.051,-0.2882,185,523
61,5,0.3442,0.5308,-0.1147,-0.2882,223,512
62,6,0.4015,0.5007,-0.0382,-0.2882,203,515
63,8,0.4398,0.4434,-0.153,-0.2882,190,530
64,4,0.4398,0.4495,-0.1338,-0.2882,179,514
65,5,0.4015,0.4963,-0.0765,-0.2882,202,508
66,7,0.478,0.4283,-0.0382,-0.2882,191,524
67,5,0.325,0.5417,-0.0382,-0.5763,115,551
71,1,0.5354,0.3514,-0.0574,0,170,527
71,6,0.2804,0.8,-0.1275,-0.5763,165,530
72,5,0.3569,0.7272,-0.2804,-0.5763,179,530
73,6,0.3314,0.7757,-0.153,-0.5763,141,545
74,2,0.3314,0.7757,-0.153,-0.5763,196,536
75,5,0.3824,0.7519,-0.153,-0.5763,200,526
76,5,0.4079,0.7096,-0.2549,-0.5763,210,524
77,6,0.4079,0.7326,-0.1785,-0.5763,215,522
78,2,0.4334,0.7237,-0.153,-0.5763,214,521
79,4,0.4334,0.7286,-0.1275,-0.5763,210,517
80,8,0.4589,0.7078,-0.153,-0.5763,213,509
81,6,0.3824,0.5155,-0.0382,-0.5763,215,504
82,4,0.5099,0.672,-0.153,-0.5763,176,534
83,4,0.4589,0.4236,-0.153,-0.2882,183,517
84,3,0.4589,0.4355,-0.1147,-0.2882,165,521
85,4,0.3059,0.5603,0.0765,-0.5763,139,531
86,6,0.3442,0.5377,-0.0765,-0.5763,181,508
87,1,0.5354,0.3371,-0.1147,0,142,547
89,4,0.2549,0.7857,-0.2294,-0.8645,167,549
90,4,0.2294,0.7769,-0.2804,-0.8645,137,546
90,5,0.5163,0.3321,-0.1912,-0.2882,176,492
91,5,0.5163,0.3813,-0.0382,-0.2882,193,499
92,3,0.3314,0.7702,-0.1785,-0.8645,185,543
94,4,0.4079,0.7383,-0.153,-0.8645,196,520
96,3,0.0382,1.2484,-0.3059,-1.1527,121,515
96,5,0.4589,0.5983,-0.4079,-0.8645,131,511
96,6,0.0765,0.84,0.153,-0.8645,131,511
96,7,0.3059,0.363,0.7138,-0.8645,131,511
97,6,0.3442,0.5211,-0.153,-0.5763,174,515
98,1,0.5354,0.3299,-0.1338,0,153,529
98,6,0.325,0.5427,-0.1147,-0.5763,155,523
99,4,0.5099,0.6295,-0.2804,-0.5763,183,491
100,7,0.4398,0.4548,-0.1147,-0.2882,206,506
101,6,0.4015,0.4718,-0.1721,-0.2882,189,506
102,5,0.4207,0.4768,-0.0956,-0.2882,178,513
103,6,0.478,0.3851,-0.1912,-0.5763,131,501
104,4,0.153,0.8338,-0.1275,-0.8645,216,515
105,6,0.204,0.8004,-0.2294,-0.8645,221,520
106,1,0.5428,0.3232,-0.0382,0,168,529
108,1,0.5428,0.3204,-0.0574,0,198,487
108,2,0.5428,0.3232,-0.0382,0,198,487
108,3,0.5163,0.1686,-0.3442,0,198,487
108,9,0.2549,0.7857,-0.2294,-0.8645,161,529
109,6,0.2804,0.8,-0.1275,-0.8645,154,534
109,7,0.4398,0.469,0,-0.2882,188,509
110,6,0.3314,0.7639,-0.204,-0.8645,172,531
111,8,0.2294,0.593,-0.0956,-0.8645,178,536
112,6,0.3059,0.5642,0.0382,-0.5763,137,508
113,5,0.2677,0.5587,-0.1721,-0.8645,137,547
114,5,0.3633,0.5133,-0.1338,-0.5763,207,513
115,5,0.3824,0.504,-0.1147,-0.5763,208,511
117,5,0.153,0.8431,-0.0255,-0.8645,158,533
117,6,0.3824,0.504,-0.1147,-0.2882,165,500
118,5,0.325,0.5274,0.1721,-0.5763,175,514
120,7,0.2294,0.7321,-0.3824,-0.8645,121,545
120,8,0.153,0.63,0.5609,-0.8645,121,545
121,6,0.1785,0.7988,-0.2549,-0.8645,200,533
122,7,0.1785,0.8244,-0.153,-0.8645,225,537
123,10,0.2549,0.7857,-0.2294,-0.8645,201,538
126,6,0.2486,0.5777,-0.1338,-0.8645,146,536
127,6,0.2868,0.5491,-0.1721,-0.8645,158,533
128,5,0.3442,0.5377,-0.0765,-0.5763,197,498
128,6,0.4015,0.493,-0.0956,-0.2882,178,516
