frame_id,point_id,x,y,z,doppler,snr,noise
1,1,-0.1255,1.2723,-0.5856,0,225,579
1,2,-0.1419,1.962,1.3476,0,200,630
2,1,-0.1255,1.2723,-0.5856,0,223,581
2,2,-0.1419,1.962,1.3476,0,195,635
3,1,-0.1255,1.2723,-0.5856,0,218,585
3,2,-0.1419,1.962,1.3476,0,199,630
4,1,-0.1255,1.2723,-0.5856,0,219,585
4,2,-0.1419,1.962,1.3476,0,199,630
8,1,-0.1255,1.2723,-0.5856,0,223,580
8,2,-0.1419,1.962,1.3476,0,196,634
9,1,-0.1255,1.2723,-0.5856,0,221,582
9,2,-0.1419,1.962,1.3476,0,199,630
10,1,-0.1255,1.2723,-0.5856,0,219,584
10,2,-0.1419,1.962,1.3476,0,204,626
11,1,-0.12,1.217,-0.5601,0,213,590
11,2,-0.1419,1.962,1.3476,0,204,626
12,1,-0.12,1.217,-0.5601,0,211,593
12,2,-0.1419,1.962,1.3476,0,207,623
10,1,-0.12,1.217,-0.5601,0,212,593
10,2,-0.1419,1.962,1.3476,0,198,632
14,1,-0.12,1.217,-0.5601,0,214,590
14,2,-0.1419,1.962,1.3476,0,200,630
15,1,-0.12,1.217,-0.5601,0,213,592
15,2,-0.1419,1.962,1.3476,0,191,639
16,1,-0.12,1.217,-0.5601,0,210,596
16,2,-0.1419,1.962,1.3476,0,204,626
17,1,-0.12,1.217,-0.5601,0,216,592
17,2,-0.1419,1.962,1.3476,0,202,626
18,1,-0.12,1.217,-0.5601,0,208,600
18,2,-0.1419,1.962,1.3476,0,180,645
19,1,-0.12,1.217,-0.5601,0,205,604
19,2,-0.1419,1.962,1.3476,0,175,648
20,1,-0.12,1.217,-0.5601,0,229,579
20,2,-0.0709,2.0127,1.2767,0,175,644
21,1,-0.0709,2.0127,1.2767,0,167,650
21,2,-0.12,1.217,-0.5601,-0.3402,241,566
22,1,-0.0709,2.0127,1.2767,0,177,637
22,2,-0.12,1.217,-0.5601,-0.3402,238,566
23,1,-0.0709,2.0127,1.2767,0,173,636
23,2,-0.1146,1.1617,-0.5347,-0.3402,237,560
24,1,-0.0709,2.0127,1.2767,0,163,641
24,2,-0.0764,1.1648,-0.5347,-0.3402,233,562
25,1,-0.1146,1.1785,-0.4965,-0.3402,222,570
25,2,-0.0691,1.9155,1.313,-0.3402,186,613
26,1,-0.0764,1.1816,-0.4965,-0.3402,225,557
26,2,-0.0691,1.8662,1.3821,-0.3402,191,611
27,1,0.4328,0.678,1.9168,0,143,604
27,2,-0.0727,1.1399,-0.4365,-0.3402,210,558
27,3,-0.0691,1.8662,1.3821,-0.3402,192,614
28,1,-0.0364,1.1271,-0.4728,-0.3402,221,542
28,2,-0.0691,1.8662,1.3821,-0.3402,196,611
29,1,0.4947,0.6343,1.9168,0,174,575
29,2,-0.0727,1.1253,-0.4728,-0.3402,230,545
29,3,-0.0691,1.8662,1.3821,-0.3402,212,598
30,1,5.1939,4.2477,2.8134,0,114,544
30,2,-0.0338,1.0556,-0.4837,-0.3402,249,531
30,3,-0.0691,1.8662,1.3821,-0.3402,220,590
31,1,0.4947,0.6343,1.9168,0,185,572
31,2,5.6268,3.6551,2.8134,0,118,536
31,3,-0.0338,1.0556,-0.4837,-0.3402,229,541
31,4,-0.04,1.1823,-0.6401,-0.3402,113,544
31,5,-0.0673,1.7653,1.4131,-0.3402,232,583
32,1,0.4801,0.7738,1.8004,0,157,573
32,2,4.9775,4.3566,3.0298,0,114,547
32,3,-0.0327,1,-0.4583,-0.3402,271,509
32,4,-0.04,1.2031,-0.6001,-0.3402,120,544
32,5,-0.0673,1.7653,1.4131,-0.3402,239,579
33,1,0.4801,0.7738,1.8004,0,132,558
33,2,5.4322,2.9809,1.1239,0,155,588
33,3,0,3.2486,-0.5892,-1.0205,133,555
33,5,-0.0673,1.7653,1.4131,-0.3402,253,570
34,1,0.4801,0.7738,1.8004,0,168,562
34,2,2.3496,2.4987,2.3496,0,119,590
34,3,0,0.9849,-0.491,-0.3402,223,554
34,4,-0.0673,1.7092,1.4803,-0.3402,249,571
35,1,0.4801,0.7738,1.8004,0,191,564
35,2,0,0.945,-0.4328,-0.6804,288,490
35,3,0,0.9302,-0.4637,-0.3402,234,544
35,4,-0.0673,1.7092,1.4803,-0.3402,224,591
36,1,0.4801,0.6157,1.8604,0,174,538
36,2,0,0.945,-0.4328,-0.6804,281,497
36,4,-0.0673,1.6486,1.5476,-0.3402,244,569
37,1,0.4801,0.6157,1.8604,0,191,540
37,2,0.0291,0.8889,-0.4074,-0.6804,265,502
37,3,0,1.6643,1.4403,-0.3402,260,554
38,1,0.0582,0.9003,-0.3783,-0.6804,277,499
38,3,0,1.6053,1.5058,-0.3402,252,564
39,1,0.0873,0.8979,-0.3783,-0.6804,260,503
39,2,0.0655,1.604,1.5058,-0.3402,252,560
40,1,0.1091,0.8387,-0.3546,-0.6804,268,502
40,2,0.0655,1.604,1.5058,-0.3402,259,545
41,1,0.1091,0.8266,-0.3819,-0.6804,284,496
41,2,0.0655,1.5399,1.5713,-0.3402,259,540
42,1,0.1273,0.7677,-0.3564,-0.6804,282,506
42,2,0.1273,1.4931,1.5276,-0.3402,245,559
43,1,2.5533,1.8484,-0.982,0,115,610
43,2,0.1273,0.7677,-0.3564,-0.6804,285,509
43,3,0.0637,1.6169,1.4003,-0.3402,235,564
44,1,0.1655,0.6918,-0.3546,-0.6804,273,515
44,2,0.1273,1.4251,1.5913,-0.3402,235,570
45,1,0.1891,0.6974,-0.331,-0.6804,279,499
45,2,0.1273,1.4251,1.5913,-0.3402,223,577
46,1,0.1964,0.6375,-0.3055,-0.6804,272,500
46,2,0.191,1.3431,1.6549,-0.3402,207,594
47,1,0.2182,0.6404,-0.2837,-0.6804,245,508
47,2,0.1273,1.4931,1.5276,-0.3402,209,583
48,1,0.2619,0.6134,-0.3055,-0.6804,244,510
48,2,0.1273,1.4931,1.5276,-0.3402,199,586
49,1,0.3092,1.355,1.5458,0,263,537
49,2,0.2401,0.5719,-0.2601,-0.6804,152,602
50,1,0.3092,1.1994,1.6695,0,279,531
50,3,0.3201,0.5313,-0.2601,-0.3402,156,589
51,1,0.4328,1.1605,1.6695,0,301,519
51,3,0.3092,0.4802,-0.2182,-0.3402,166,586
51,4,1.9914,3.9744,0.3983,-0.3402,159,605
52,1,0.4328,1.1605,1.6695,0,284,532
52,2,0.1564,1.1763,2.346,0,126,634
52,6,0.3273,0.4761,-0.2,-0.3402,188,563
52,7,1.9914,3.9589,0.531,-0.3402,167,591
53,1,0.3092,1.2811,1.6076,0,252,519
53,5,0.3637,0.4489,-0.2,-0.3402,138,581
53,6,2.1241,3.8893,0.531,-0.3402,142,583
54,1,0.4328,1.0661,1.7313,0,282,522
54,4,0.4001,0.425,-0.1819,-0.3402,141,581
55,1,0.4328,0.9584,1.7931,0,257,515
55,2,0,1.159,2.2914,0,155,610
55,4,0.2546,0.7354,-0.3564,-0.6804,174,522
56,1,0.4583,0.275,-0.1309,0,175,543
56,2,0.5565,0.8923,1.7931,0,282,507
56,3,0,1.1866,2.346,0,157,634
57,1,0.5565,0.8923,1.7931,0,277,505
57,3,-0.2255,1.7561,-0.6765,-1.0205,115,522
58,1,0.6802,0.802,1.7931,0,181,510
58,4,-0.2182,1.6774,-0.7093,-1.0205,117,531
59,1,0.2,1.2858,3.1007,0,122,579
60,1,0,1.1866,2.346,0,218,511
60,2,0.4001,1.6534,2.9007,0,134,559
61,4,0.4001,0.4938,-0.2201,-0.3402,123,538
62,1,0.0764,1.1565,2.2914,0,229,498
62,2,0.2,1.5045,3.0007,0,126,562
62,5,0.4201,0.4769,-0.2201,-0.3402,119,542
64,1,0.2346,1.1632,2.346,0,279,477
65,1,0.3128,0.9681,2.4242,0,243,487
66,1,0.391,1.1203,2.346,0,220,486
66,2,0.3001,1.4878,3.0007,0,161,570
66,5,-0.2473,1.901,-0.8038,-1.0205,120,530
67,1,0.3128,1.1446,2.346,0,268,481
68,1,0.5474,0.8575,2.4242,0,210,478
68,2,0.1,1.5145,3.0007,0,159,579
68,4,0.3055,0.7157,-0.3564,-0.6804,193,468
69,1,0.3128,1.1446,2.346,0,230,485
69,4,0.3819,0.6908,-0.331,-0.6804,219,463
70,1,-0.3055,1.118,2.2914,0,203,478
70,4,0.3783,0.6389,-0.2837,-0.6804,211,477
71,1,0.3128,0.9681,2.4242,0,263,480
71,2,0.2,1.2858,3.1007,0,133,584
71,4,-0.2837,2.1492,-0.993,-1.0205,113,521
71,6,0.4146,0.5347,-0.2837,-0.3402,147,522
72,1,0.2346,0.9899,2.4242,0,243,477
72,2,0.3001,1.4878,3.0007,0,127,563
72,8,0.4365,0.517,-0.2837,-0.3402,126,527
73,1,0.3128,0.9681,2.4242,0,251,478
74,1,0.4492,0.5356,0.3783,0,120,473
74,2,0.4692,1.0899,2.346,0,219,466
75,1,0.4692,0.9027,2.4242,0,245,468
75,2,0.1,1.5145,3.0007,0,127,560
76,1,0.4692,1.0899,2.346,0,237,486
76,2,-0.2546,1.9288,-0.8911,-1.0205,123,536
77,1,0.3128,0.9681,2.4242,0,242,476
77,3,-0.1855,1.8808,-0.8657,-1.0205,130,539
