source,frame_id,point_id,x,y,z,doppler,snr,noise
right,1,1,0.1593,1.0106,-0.3187,0,154,676
right,1,2,0.0701,1.5751,1.7527,0,176,592
right,1,3,-3.4417,9.0093,0,0,139,491
right,2,1,0.1593,1.0106,-0.3187,0,154,676
right,2,2,0.0701,1.5751,1.7527,0,174,594
right,2,3,-3.4417,9.0093,0,0,139,491
right,3,1,0.1593,1.0106,-0.3187,0,155,675
right,3,2,0.0701,1.5751,1.7527,0,173,594
right,3,3,-3.4417,9.0093,0,0,138,493
right,4,1,0.1593,1.0106,-0.3187,0,155,675
right,4,2,0.0701,1.5751,1.7527,0,174,593
right,4,3,-3.4417,9.0093,0,0,136,494
right,5,1,0.1593,1.0106,-0.3187,0,156,674
right,5,2,0.0701,1.5751,1.7527,0,175,593
right,5,3,-3.4417,9.0093,0,0,133,497
right,6,1,0.1593,1.0106,-0.3187,0,157,673
right,6,2,0.0701,1.5751,1.7527,0,175,592
right,6,3,-3.4417,9.0093,0,0,135,494
right,6,4,0.1657,0.3021,0.2549,-9.2212,154,352
right,7,1,0.1593,1.0106,-0.3187,0,157,673
right,7,2,0.0701,1.5751,1.7527,0,176,592
right,7,3,-3.4417,9.0093,0,0,139,490
right,8,1,0.1593,1.0106,-0.3187,0,155,674
right,8,2,0.0701,1.5751,1.7527,0,174,593
right,8,3,-3.4417,9.0093,0,0,139,491
right,9,1,0.1593,1.0106,-0.3187,0,151,678
right,9,2,0.0701,1.5751,1.7527,0,173,595
right,9,3,-3.4417,9.0093,0,0,141,488
right,10,1,0.1593,1.0106,-0.3187,0,151,679
right,10,2,0.0701,1.5751,1.7527,0,172,595
right,10,3,-3.4417,9.0093,0,0,140,489
right,11,1,0.1593,1.0106,-0.3187,0,150,679
right,11,2,0.0701,1.5751,1.7527,0,173,594
right,11,3,-3.4417,9.0093,0,0,132,498
right,12,1,0.1593,1.0106,-0.3187,0,152,678
right,12,2,0.0701,1.5751,1.7527,0,174,593
right,12,3,-3.4417,9.0093,0,0,131,499
right,10,1,0.1593,1.0106,-0.3187,0,150,679
right,10,2,0.0701,1.5751,1.7527,0,175,592
right,10,3,-3.4417,9.0093,0,0,129,500
right,14,1,0.1593,1.0106,-0.3187,0,148,681
right,14,2,0.0701,1.5751,1.7527,0,175,593
right,14,3,-3.4417,9.0093,0,0,131,499
right,15,1,0.1593,1.0106,-0.3187,0,149,681
right,15,2,0.0701,1.5751,1.7527,0,174,593
right,15,3,-3.4417,9.0093,0,0,128,500
right,16,1,0.1593,1.0106,-0.3187,0,149,681
right,16,2,0.0701,1.5751,1.7527,0,173,594
right,16,3,-3.4417,9.0093,0,0,131,498
right,17,1,0.1593,1.0106,-0.3187,0,148,682
right,17,2,0.0701,1.5751,1.7527,0,173,595
right,17,3,-3.4417,9.0093,0,0,131,498
right,18,1,0.1593,1.0106,-0.3187,0,148,681
right,18,2,0.0701,1.5751,1.7527,0,173,595
right,18,3,-3.4417,9.0093,0,0,130,500
right,19,1,0.1593,1.0106,-0.3187,0,149,681
right,19,2,0.0701,1.5751,1.7527,0,173,595
right,19,3,-3.4417,9.0093,0,0,128,500
right,20,1,0.1593,1.0106,-0.3187,0,149,681
right,20,2,0.0701,1.5751,1.7527,0,173,595
right,20,3,-3.4417,9.0093,0,0,128,500
right,21,1,0.1593,1.0106,-0.3187,0,151,679
right,21,2,0.0701,1.5751,1.7527,0,170,597
right,21,3,-3.4417,9.0093,0,0,136,492
right,22,1,0.1593,1.0106,-0.3187,0,155,676
right,22,2,0.0701,1.5751,1.7527,0,169,598
right,22,3,-3.4417,9.0093,0,0,146,482
right,23,1,0.1593,1.0106,-0.3187,0,158,672
right,23,2,0.0701,1.5751,1.7527,0,169,596
right,23,3,-3.4417,9.0093,0,0,149,479
right,24,1,0.1593,1.0106,-0.3187,0,162,668
right,24,2,0.0701,1.5751,1.7527,0,168,595
right,24,3,-3.7285,8.8898,0.2868,0,141,486
