source,frame_id,point_id,x,y,z,doppler,snr,noise
right,2528,1,0.2294,1.2277,-0.3059,0,135,663
right,2528,2,0.0701,1.6498,1.6826,0,200,595
right,2528,3,-5.7361,7.7531,0,0,179,481
right,1,1,0.2294,1.2277,-0.3059,0,130,665
right,1,2,0.1402,1.7141,1.6125,0,188,603
right,1,3,-5.7361,7.7531,0,0,169,486
right,2,1,0.2294,1.2277,-0.3059,0,124,671
right,2,2,0.2103,1.7069,1.6125,0,185,607
right,2,3,-6.0229,7.5324,0,0,174,479
right,3,1,0.2294,1.2277,-0.3059,0,128,668
right,3,2,0.1402,1.6453,1.6826,0,185,611
right,3,3,-5.7361,7.7477,-0.2868,0,161,489
right,4,1,0.2294,1.2277,-0.3059,0,133,663
right,4,2,0.1402,1.6453,1.6826,0,189,607
right,4,3,-5.7361,7.7531,0,0,162,486
right,5,1,0.2294,1.2277,-0.3059,0,130,665
right,5,2,0.1402,1.7141,1.6125,0,187,608
right,5,3,-6.0229,7.5324,0,0,161,486
right,6,1,0.2294,1.2277,-0.3059,0,144,653
right,6,2,0.1402,1.7774,1.5424,0,192,599
right,6,3,-6.0229,7.5324,0,0,161,481
right,6,4,-3.8942,9.2462,0.8987,0,162,460
right,7,1,0.2294,1.2176,-0.3442,0,132,664
right,7,2,0.1402,1.7141,1.6125,0,191,600
right,7,3,-5.8891,7.2303,-1.4022,0,155,481
right,7,4,-4.1938,9.0797,1.1982,0,157,465
right,8,1,0.2294,1.2277,-0.3059,0,134,663
right,8,2,0.2103,1.7069,1.6125,0,191,599
right,8,3,-5.8891,7.2303,-1.4022,0,143,488
right,8,4,-3.8942,9.2122,1.1982,0,139,478
right,9,1,0.2294,1.2176,-0.3442,0,134,664
right,9,2,0.2103,1.7069,1.6125,0,184,607
right,9,3,2.167,2.829,-0.7584,0,119,547
right,9,4,-5.6087,7.3917,-1.6826,0,154,473
right,9,5,-3.8942,9.2122,1.1982,0,151,465
right,10,1,0.2294,1.2176,-0.3442,0,135,665
right,10,2,0.1402,1.7141,1.6125,0,185,606
right,10,3,2.5239,2.8048,-0.8031,0,116,545
right,10,4,-5.8891,7.2303,-1.4022,0,128,499
right,10,5,-6.3098,7.2882,0.2868,0,128,499
right,10,6,-3.8942,9.2122,1.1982,0,126,489
right,11,1,0.2294,1.2176,-0.3442,0,134,667
right,11,2,0.1402,1.6453,1.6826,0,180,607
right,11,3,2.7533,2.6129,-0.6883,0,118,531
right,11,4,-5.6087,7.3917,-1.6826,0,132,492
right,12,1,0.2294,1.2176,-0.3442,0,134,669
right,12,2,0.2103,1.6378,1.6826,0,180,609
right,12,3,2.5239,2.8048,-0.8031,0,124,527
right,12,4,2.4219,3.0533,1.7846,0,113,521
right,12,5,-6.5966,7.0297,0.2868,0,137,489
right,10,1,0.2294,1.2176,-0.3442,0,138,667
right,10,2,0.1402,1.6453,1.6826,0,180,611
right,10,3,2.2753,2.7426,-0.7584,0,138,532
right,10,4,2.167,3.1656,1.912,0,113,523
