frame_id,point_id,x,y,z,doppler,snr,noise
1,1,0.321,1.5472,2.0868,0,399,633
1,2,1.4447,1.1648,-1.846,0,399,633
1,3,2.4898,8.3067,-2.4898,0,252,816
2,1,0.3142,1.4021,2.1209,0,413,619
2,2,1.3354,1.3391,-1.7282,0,413,619
2,3,0.321,1.5472,2.0868,0,402,630
2,4,1.4447,1.1648,-1.846,0,402,630
2,5,2.4898,8.3067,-2.4898,0,251,818
3,1,0.321,1.5472,2.0868,0,421,611
3,2,1.4447,1.1648,-1.846,0,421,611
3,3,2.4898,8.3067,-2.4898,0,252,816
4,1,0.321,1.5472,2.0868,0,417,615
4,2,1.4447,1.1648,-1.846,0,417,615
4,3,2.4898,8.3067,-2.4898,0,251,817
5,1,0.321,1.5472,2.0868,0,401,631
5,2,1.4447,1.1648,-1.846,0,401,631
5,3,2.4898,8.3067,-2.4898,0,252,817
6,1,0.321,1.5472,2.0868,0,415,618
6,2,1.4447,1.1648,-1.846,0,415,618
6,3,2.4898,8.3067,-2.4898,0,260,809
7,1,0.321,1.5472,2.0868,0,415,617
7,2,1.4447,1.1648,-1.846,0,415,617
7,3,2.4898,8.3067,-2.4898,0,262,806
8,1,0.321,1.5472,2.0868,0,408,624
8,2,1.4447,1.1648,-1.846,0,408,624
8,3,2.4898,8.3067,-2.4898,0,261,808
9,1,0.321,1.5472,2.0868,0,429,603
9,2,1.4447,1.1648,-1.846,0,429,603
9,3,2.4898,8.3067,-2.4898,0,264,805
10,1,0.321,1.5472,2.0868,0,404,629
10,2,1.4447,1.1648,-1.846,0,404,629
10,3,2.4898,8.3067,-2.4898,0,261,808
11,1,0.3142,1.4021,2.1209,0,409,623
11,2,1.3354,1.3391,-1.7282,0,409,623
11,3,2.4898,8.3067,-2.4898,0,263,806
12,1,0.321,1.5472,2.0868,0,419,613
12,2,1.4447,1.1648,-1.846,0,419,613
12,3,2.4898,8.3067,-2.4898,0,258,810
10,1,0.321,1.5472,2.0868,0,400,632
10,2,1.4447,1.1648,-1.846,0,400,632
10,3,2.4898,8.3067,-2.4898,0,259,810
14,1,0.321,1.5472,2.0868,0,415,618
14,2,1.4447,1.1648,-1.846,0,415,618
14,3,2.4898,8.3067,-2.4898,0,263,805
15,1,0.321,1.5472,2.0868,0,427,605
15,2,1.4447,1.1648,-1.846,0,427,605
15,3,2.4898,8.3067,-2.4898,0,270,798
16,1,0.321,1.5472,2.0868,0,402,630
16,2,1.4447,1.1648,-1.846,0,402,630
16,3,2.4898,8.3067,-2.4898,0,255,813
17,1,0.321,1.5472,2.0868,0,409,623
17,2,1.4447,1.1648,-1.846,0,409,623
17,3,2.4898,8.3067,-2.4898,0,252,816
18,1,0.321,1.5472,2.0868,0,404,628
18,2,1.4447,1.1648,-1.846,0,404,628
18,3,2.4898,8.3067,-2.4898,0,257,811
19,1,0.3142,1.4021,2.1209,0,409,623
19,2,1.3354,1.3391,-1.7282,0,409,623
19,3,0.321,1.5472,2.0868,0,401,631
19,4,1.4447,1.1648,-1.846,0,401,631
19,5,2.4898,8.3067,-2.4898,0,249,819
20,1,0.321,1.5472,2.0868,0,398,633
20,2,1.4447,1.1648,-1.846,0,398,633
20,3,2.4898,8.3067,-2.4898,0,247,821
21,1,0.321,1.5472,2.0868,0,400,632
21,2,1.4447,1.1648,-1.846,0,400,632
21,3,2.4898,8.3067,-2.4898,0,250,818
22,1,0.3142,1.4021,2.1209,0,398,634
22,2,1.4139,1.14,-1.8067,0,398,634
22,3,0.321,1.5472,2.0868,0,392,641
22,4,1.4447,1.1648,-1.846,0,392,641
22,5,2.4898,8.3067,-2.4898,0,255,813
23,1,0.321,1.5472,2.0868,0,389,643
23,2,1.4447,1.1648,-1.846,0,389,643
23,3,2.4898,8.3067,-2.4898,0,252,815
24,1,0.3142,1.4021,2.1209,0,424,608
24,2,1.3354,1.3391,-1.7282,0,424,608
24,3,0.321,1.5472,2.0868,0,418,614
24,4,1.4447,1.1648,-1.846,0,418,614
24,5,2.4898,8.3067,-2.4898,0,257,811
25,1,0.321,1.5472,2.0868,0,395,637
25,2,1.4447,1.1648,-1.846,0,395,637
25,3,2.4898,8.3067,-2.4898,0,250,818
26,1,0.3142,1.4021,2.1209,0,407,625
26,2,1.4139,1.14,-1.8067,0,407,625
26,3,0.321,1.5472,2.0868,0,408,624
26,4,1.4447,1.1648,-1.846,0,408,624
26,5,2.4898,8.3067,-2.4898,0,251,817
27,1,0.3142,1.4021,2.1209,0,405,628
27,2,1.3354,1.3391,-1.7282,0,405,628
27,3,2.4898,8.3067,-2.4898,0,251,817
28,1,0.2357,1.4175,2.1209,0,418,614
28,2,1.3354,1.3391,-1.7282,0,418,614
28,3,0.321,1.5472,2.0868,0,411,621
28,4,1.4447,1.1648,-1.846,0,411,621
28,5,2.4898,8.3067,-2.4898,0,254,813
29,1,0.3142,1.4021,2.1209,0,413,618
29,2,1.3354,1.3391,-1.7282,0,413,618
29,3,2.4898,8.3067,-2.4898,0,254,814
30,1,0.321,1.5472,2.0868,0,396,636
30,2,1.4447,1.1648,-1.846,0,396,636
30,3,2.4898,8.3067,-2.4898,0,250,817
31,1,0.3142,1.4021,2.1209,0,409,623
31,2,1.3354,1.3391,-1.7282,0,409,623
31,3,0.321,1.5472,2.0868,0,402,630
31,4,1.4447,1.1648,-1.846,0,402,630
31,5,2.4898,8.3067,-2.4898,0,253,814
32,1,0.2357,1.4175,2.1209,0,434,598
32,2,1.3354,1.3391,-1.7282,0,434,598
32,3,0.321,1.5472,2.0868,0,427,605
32,4,1.4447,1.1648,-1.846,0,427,605
32,5,2.4898,8.3067,-2.4898,0,249,819
33,1,0.321,1.5472,2.0868,0,394,638
33,2,1.4447,1.1648,-1.846,0,394,638
33,3,2.4898,8.3067,-2.4898,0,247,821
34,1,0.321,1.5472,2.0868,0,416,615
34,2,1.4447,1.1648,-1.846,0,416,615
34,3,2.4898,8.3067,-2.4898,0,250,818
35,1,0.321,1.5472,2.0868,0,382,650
35,2,1.4447,1.1648,-1.846,0,382,650
35,3,2.4898,8.3067,-2.4898,0,247,821
36,1,0.321,1.5472,2.0868,0,398,635
36,2,1.4447,1.1648,-1.846,0,398,635
36,3,2.4898,8.3067,-2.4898,0,248,820
37,1,0.2357,1.4175,2.1209,0,398,634
37,2,1.4139,1.14,-1.8067,0,398,634
37,3,0.321,1.5472,2.0868,0,393,639
37,4,1.4447,1.1648,-1.846,0,393,639
37,5,2.4898,8.3067,-2.4898,0,241,827
38,1,0.3142,1.4021,2.1209,0,393,639
38,2,1.4139,1.14,-1.8067,0,393,639
38,3,0.321,1.5472,2.0868,0,386,646
38,4,1.4447,1.1648,-1.846,0,386,646
38,5,2.4898,8.3067,-2.4898,0,244,824
39,1,0.3142,1.4021,2.1209,0,405,627
39,2,1.3354,1.3391,-1.7282,0,405,627
39,3,0.321,1.5472,2.0868,0,400,632
39,4,1.4447,1.1648,-1.846,0,400,632
39,5,2.4898,8.3067,-2.4898,0,243,824
40,1,0.321,1.5472,2.0868,0,391,641
40,2,1.4447,1.1648,-1.846,0,391,641
40,3,2.4898,8.3067,-2.4898,0,245,823
41,1,0.3142,1.4021,2.1209,0,428,604
41,2,1.3354,1.3391,-1.7282,0,428,604
41,3,0.321,1.5472,2.0868,0,412,620
41,4,1.4447,1.1648,-1.846,0,412,620
41,5,2.4898,8.3067,-2.4898,0,246,821
42,1,0.321,1.5472,2.0868,0,403,629
42,2,1.4447,1.1648,-1.846,0,403,629
42,3,2.4898,8.3067,-2.4898,0,247,820
43,1,0.3142,1.4021,2.1209,0,403,629
43,2,1.3354,1.3391,-1.7282,0,403,629
43,3,0.321,1.5472,2.0868,0,401,631
43,4,1.4447,1.1648,-1.846,0,401,631
43,5,2.4898,8.3067,-2.4898,0,242,825
44,1,0.321,1.5472,2.0868,0,417,615
44,2,1.4447,1.1648,-1.846,0,417,615
44,3,2.4898,8.3067,-2.4898,0,244,824
45,1,0.321,1.5472,2.0868,0,415,616
45,2,1.4447,1.1648,-1.846,0,415,616
45,3,2.4898,8.3067,-2.4898,0,247,821
46,1,0.3142,1.4021,2.1209,0,412,620
46,2,1.3354,1.3391,-1.7282,0,412,620
46,3,0.321,1.5472,2.0868,0,407,625
46,4,1.4447,1.1648,-1.846,0,407,625
46,5,2.4898,8.3067,-2.4898,0,243,825
47,1,0.3142,1.4021,2.1209,0,432,600
47,2,1.3354,1.3391,-1.7282,0,432,600
47,3,0.321,1.5472,2.0868,0,425,607
47,4,1.4447,1.1648,-1.846,0,425,607
47,5,2.4898,8.3067,-2.4898,0,243,825
47,6,8.1609,4.8135,-2.7203,-1.4742,211,579
48,1,0.321,1.5472,2.0868,0,409,623
48,2,1.4447,1.1648,-1.846,0,409,623
48,3,2.4898,8.3067,-2.4898,0,245,822
49,1,0.321,1.5472,2.0868,0,417,614
49,2,1.4447,1.1648,-1.846,0,417,614
49,3,2.4898,8.3067,-2.4898,0,245,822
50,1,0.2357,1.4175,2.1209,0,404,628
50,2,1.3354,1.3391,-1.7282,0,404,628
50,3,0.321,1.5472,2.0868,0,402,630
50,4,1.4447,1.1648,-1.846,0,402,630
50,5,2.4898,8.3067,-2.4898,0,246,822
51,1,0.321,1.5472,2.0868,0,403,628
51,2,1.4447,1.1648,-1.846,0,403,628
51,3,2.4898,8.3067,-2.4898,0,244,823
52,1,0.321,1.5472,2.0868,0,414,618
52,2,1.4447,1.1648,-1.846,0,414,618
52,3,2.4898,8.3067,-2.4898,0,251,817
53,1,0.321,1.5472,2.0868,0,392,639
53,2,1.4447,1.1648,-1.846,0,392,639
53,3,2.4898,8.3067,-2.4898,0,246,822
54,1,0.321,1.5472,2.0868,0,396,636
54,2,1.4447,1.1648,-1.846,0,396,636
54,3,2.4898,8.3067,-2.4898,0,245,823
55,1,0.3142,1.4021,2.1209,0,426,606
55,2,1.3354,1.3391,-1.7282,0,426,606
55,3,2.4898,8.3067,-2.4898,0,244,824
55,4,7.9304,4.9638,-2.056,-0.9828,183,613
56,1,0.321,1.5472,2.0868,0,417,615
56,2,1.4447,1.1648,-1.846,0,417,615
56,3,2.4898,8.3067,-2.4898,0,247,822
57,1,0.321,1.5472,2.0868,0,423,609
57,2,1.4447,1.1648,-1.846,0,423,609
57,3,2.4898,8.3067,-2.4898,0,251,817
57,4,7.8843,4.935,-2.0441,-0.9828,167,640
58,1,0.321,1.5472,2.0868,0,401,632
58,2,1.4447,1.1648,-1.846,0,401,632
58,3,2.4898,8.3067,-2.4898,0,254,814
59,1,0.321,1.5472,2.0868,0,411,620
59,2,1.4447,1.1648,-1.846,0,411,620
59,3,2.4898,8.3067,-2.4898,0,248,820
59,4,7.7255,5.6581,-1.4857,-0.9828,177,609
60,1,0.3142,1.4021,2.1209,0,402,630
60,2,1.4139,1.14,-1.8067,0,402,630
60,3,0.321,1.5472,2.0868,0,398,633
60,4,1.4447,1.1648,-1.846,0,398,633
60,5,2.4898,8.3067,-2.4898,0,243,826
61,1,0.321,1.5472,2.0868,0,399,633
61,2,1.4447,1.1648,-1.846,0,399,633
61,3,2.4898,8.3067,-2.4898,0,243,825
62,1,0.321,1.5472,2.0868,0,424,608
62,2,1.4447,1.1648,-1.846,0,424,608
62,3,2.4898,8.3067,-2.4898,0,242,826
63,1,0.321,1.5472,2.0868,0,414,618
