frame_id,point_id,x,y,z,doppler,snr,noise
1220,1,0.1492,0.6924,1.0074,0,406,640
1220,2,0.6716,0.5737,-0.8581,0,406,640
1220,3,1.1593,3.9227,-1.1593,0,250,824
1220,4,3.1225,4.0503,-1.8078,0,210,823
1220,5,4.1929,5.4886,-0.4193,0,186,757
1,1,-0.0169,0.0151,0.0187,0,280,805
1,2,0.0098,0.0152,-0.0231,0,280,805
1,3,0.0089,0.017,-0.0222,0,280,805
1,4,0.2185,0.5978,1.0198,0,326,604
1,5,1.1593,3.8371,-1.4169,0,299,773
1,6,3.4698,3.7109,-1.9828,0,212,804
1,7,3.7416,5.3621,-2.0787,0,202,759
2,1,-0.0169,0.0151,0.0187,0,282,803
2,2,0.0098,0.0152,-0.0231,0,282,803
2,3,-0.0071,0.0099,-0.0266,0,282,803
2,4,0.2185,0.5978,1.0198,0,324,611
2,5,1.0305,3.8737,-1.4169,0,298,774
2,6,3.4698,3.7109,-1.9828,0,213,803
2,7,3.7416,5.3621,-2.0787,0,202,760
2,8,0.231,0.4409,0.5774,-5.4131,219,601
7,1,-0.0169,0.0151,0.0187,0,280,805
7,2,0.0098,0.0137,-0.024,0,280,805
7,3,0.0098,0.0152,-0.0231,0,280,805
7,4,0.2185,0.5978,1.0198,0,283,648
7,5,1.0305,3.8737,-1.4169,0,300,771
7,6,3.4698,3.7109,-1.9828,0,210,805
7,7,3.7416,5.3621,-2.0787,0,197,765
7,8,3.5338,5.5755,-1.8708,0,197,765
8,1,-0.0169,0.0151,0.0187,0,280,805
8,2,0.0098,0.0152,-0.0231,0,280,805
8,3,-0.0071,0.0099,-0.0266,0,280,805
8,4,0.2185,0.5978,1.0198,0,278,653
8,5,1.1593,3.8371,-1.4169,0,298,774
8,6,3.3046,3.9393,-1.8175,0,213,802
8,7,3.7416,5.3621,-2.0787,0,200,762
9,1,-0.0169,0.0151,0.0187,0,281,804
9,2,0.0098,0.0137,-0.024,0,281,804
9,3,-0.0071,0.0099,-0.0266,0,281,804
9,4,0.2185,0.5978,1.0198,0,322,610
9,5,1.1593,3.8371,-1.4169,0,299,772
9,6,3.4698,3.7109,-1.9828,0,212,803
9,7,3.7416,5.3621,-2.0787,0,196,766
9,8,4.1076,6.1906,-2.8995,0,151,748
10,1,-0.0169,0.0151,0.0187,0,279,806
10,2,0.0098,0.0152,-0.0231,0,279,806
10,3,-0.0071,0.0099,-0.0266,0,279,806
10,4,0.2185,0.5978,1.0198,0,307,626
10,5,1.1593,3.8371,-1.4169,0,300,772
10,6,3.4698,3.7109,-1.9828,0,214,802
10,7,3.7416,5.3621,-2.0787,0,202,760
10,8,4.1076,6.1906,-2.8995,0,159,739
11,1,-0.0169,0.0151,0.0187,0,283,801
11,2,0.0098,0.0152,-0.0231,0,283,801
11,3,0.0089,0.017,-0.0222,0,283,801
11,4,0.2185,0.5978,1.0198,0,338,594
11,5,1.0305,3.8737,-1.4169,0,296,775
11,6,3.2868,3.9182,-1.8078,0,222,793
11,7,3.4698,3.7109,-1.9828,0,209,806
11,8,3.7416,5.3621,-2.0787,0,198,764
11,9,0.231,0.4409,0.5774,-4.7365,224,605
12,1,-0.0169,0.0151,0.0187,0,282,803
12,2,0.0098,0.0152,-0.0231,0,282,803
12,3,-0.0071,0.0099,-0.0266,0,282,803
12,4,0.2185,0.5978,1.0198,0,327,604
12,5,1.1593,3.8371,-1.4169,0,299,773
12,6,3.4698,3.7109,-1.9828,0,211,805
12,7,3.7416,5.3621,-2.0787,0,194,767
12,8,4.1076,6.1906,-2.8995,0,150,747
12,9,0.231,0.4089,0.6005,-3.3832,237,588
10,1,-0.0169,0.0151,0.0187,0,279,806
10,2,0.0098,0.0152,-0.0231,0,279,806
10,3,-0.0071,0.0099,-0.0266,0,279,806
10,4,0.2185,0.5978,1.0198,0,330,602
10,5,1.0305,3.8737,-1.4169,0,296,775
10,6,3.3046,3.9393,-1.8175,0,208,807
10,7,3.7416,5.3621,-2.0787,0,202,760
10,8,4.1076,6.1906,-2.8995,0,151,748
14,1,-0.0169,0.0151,0.0187,0,280,805
14,2,0.0098,0.0137,-0.024,0,280,805
14,3,-0.0071,0.0099,-0.0266,0,280,805
14,4,0.2185,0.5978,1.0198,0,334,599
14,5,1.0305,3.8737,-1.4169,0,298,773
14,6,3.4698,3.7109,-1.9828,0,214,802
14,7,3.5338,5.5014,-2.0787,0,204,757
14,8,0.2079,0.3861,0.6236,-4.0598,245,585
15,1,-0.0169,0.0151,0.0187,0,283,802
15,2,0.0098,0.0152,-0.0231,0,283,802
15,3,-0.0071,0.0099,-0.0266,0,283,802
15,4,0.2185,0.5978,1.0198,0,330,603
15,5,1.0305,3.8737,-1.4169,0,301,771
15,6,3.4698,3.7109,-1.9828,0,214,802
15,7,3.5338,5.5014,-2.0787,0,192,768
15,8,0.231,0.4409,0.5774,-3.3832,221,605
15,9,3.7416,2.7472,-1.0074,-1.3533,168,563
16,1,-0.0169,0.0151,0.0187,0,278,807
16,2,0.0098,0.0152,-0.0231,0,278,807
16,3,-0.0071,0.0099,-0.0266,0,278,807
16,4,0.2185,0.5978,1.0198,0,327,606
16,5,1.0305,3.8737,-1.4169,0,298,774
16,6,3.4698,3.7109,-1.9828,0,216,800
16,7,3.5338,5.5014,-2.0787,0,197,765
16,8,0.2398,0.4579,0.5996,-2.0299,231,579
17,1,-0.0169,0.0151,0.0187,0,284,801
17,2,0.0098,0.0137,-0.024,0,284,801
17,3,-0.0071,0.0099,-0.0266,0,284,801
17,4,0.2185,0.5978,1.0198,0,323,611
17,5,1.1593,3.8371,-1.4169,0,298,773
17,6,3.4698,3.7109,-1.9828,0,214,802
17,7,3.7416,5.3621,-2.0787,0,201,760
17,8,0.2079,0.4211,0.6005,-4.7365,245,596
17,9,3.8616,2.308,-1.4302,-1.3533,207,549
18,1,-0.0169,0.0151,0.0187,0,284,801
18,2,0.0098,0.0152,-0.0231,0,284,801
18,3,-0.0071,0.0099,-0.0266,0,284,801
