frame_id	point_id	x	y	z	doppler	snr	noise
1	1	-1.2265	2.571	-0.0876	0	56976	60961
1	2	3.7342	4.0534	-0.3395	0	56976	60961
1	3	5.3603	14.8471	-1.4619	0	56976	60961
2	1	-1.2265	2.571	-0.0876	0	56976	60961
2	2	3.7342	4.0534	-0.3395	0	56976	60961
2	3	5.3603	14.8471	-1.4619	0	56976	60961
3	1	-1.2265	2.571	-0.0876	0	56976	60961
3	2	3.7342	4.0534	-0.3395	0	56976	60961
3	3	5.3603	14.8471	-1.4619	0	56976	60961
4	1	-1.2265	2.571	-0.0876	0	57104	60961
4	2	3.7342	4.0534	-0.3395	0	57104	60961
4	3	5.3603	14.8471	-1.4619	0	57104	60961
5	1	-1.2265	2.571	-0.0876	0	56976	60961
5	2	3.9039	3.8902	-0.3395	0	56976	60961
5	3	5.3603	14.8471	-1.4619	0	56976	60961
6	1	-1.2265	2.571	-0.0876	0	57104	60961
6	2	3.7342	4.0534	-0.3395	0	57104	60961
6	3	5.3603	14.8471	-1.4619	0	57104	60961
7	1	-1.2265	2.571	-0.0876	0	57104	60961
7	2	3.7342	4.0534	-0.3395	0	57104	60961
7	3	5.3603	14.8471	-1.4619	0	57104	60961
8	1	-1.2265	2.571	-0.0876	0	57104	60961
8	2	3.7342	4.0534	-0.3395	0	57104	60961
8	3	5.8476	14.6053	-1.9492	0	57104	60961
9	1	-1.2265	2.571	-0.0876	0	57104	60961
9	2	3.7342	4.0534	-0.3395	0	57104	60961
9	3	5.3603	14.8471	-1.4619	0	57104	60961
10	1	-1.2265	2.571	-0.0876	0	57104	60961
10	2	3.9039	3.8717	-0.5092	0	57104	60961
10	3	5.3603	14.8471	-1.4619	0	57104	60961
11	1	-1.2265	2.571	-0.0876	0	57104	60961
11	2	3.7342	4.0534	-0.3395	0	57104	60961
11	3	5.8476	14.6053	-1.9492	0	57104	60961
12	1	-1.2265	2.571	-0.0876	0	57104	60961
12	2	3.7342	4.0534	-0.3395	0	57104	60961
12	3	5.8476	14.6053	-1.9492	0	57104	60961
10	1	-1.2265	2.5665	-0.1752	0	57104	60961
10	2	3.7342	4.0534	-0.3395	0	57104	60961
10	3	5.8476	14.6053	-1.9492	0	57104	60961
14	1	-1.2265	2.5665	-0.1752	0	57104	60961
14	2	3.7342	4.0534	-0.3395	0	57104	60961
14	3	5.8476	14.6053	-1.9492	0	57104	60961
15	1	-1.2265	2.5665	-0.1752	0	57104	60961
15	2	3.7342	4.0534	-0.3395	0	57104	60961
15	3	5.3603	14.8471	-1.4619	0	57104	60961
