frame_id	point_id	x	y	z	doppler	snr	noise
1866	1	-0.1643	0.7933	2.546	0	56976	40982
1866	2	-0.9034	2.2361	1.1498	0	56976	40982
1866	3	-1.9711	1.8018	-0.0821	0	56976	40982
1866	4	-1.3031	2.727	0.1862	0	56976	40982
1866	5	-1.3962	2.6724	0.2792	0	56976	40982
1866	6	0.1862	2.3809	1.8616	0	56976	40982
1866	7	3.1045	2.0578	-0.3449	0	56976	40982
1866	8	5.092	15.7302	-1.0184	0	56976	40982
1	1	-1.3031	2.727	0.1862	0	56976	40982
1	2	0.2792	2.3718	1.8616	0	56976	40982
1	3	3.1045	2.0578	-0.3449	0	56976	40982
1	4	3.5644	4.1863	-0.5092	0	56976	40982
1	5	5.092	15.7302	-1.0184	0	56976	40982
2	1	-1.3031	2.727	0.1862	0	56976	40982
2	2	0.2792	2.3718	1.8616	0	56976	40982
2	3	3.1045	2.0578	-0.3449	0	56976	40982
2	4	5.092	15.7302	-1.0184	0	56976	40982
3	1	-1.3031	2.727	0.1862	0	57104	40982
3	2	0.1862	2.3051	1.9547	0	57104	40982
3	3	3.1045	2.0578	-0.3449	0	57104	40982
3	4	5.092	15.7302	-1.0184	0	57104	40982
4	1	-1.3031	2.727	0.1862	0	56976	40982
4	2	0.1862	2.3051	1.9547	0	56976	40982
4	3	3.1045	2.0578	-0.3449	0	56976	40982
5	1	-1.3031	2.727	0.1862	0	57104	40982
5	2	0.1862	2.3051	1.9547	0	57104	40982
5	3	3.1045	2.0578	-0.3449	0	57104	40982
6	1	-1.3031	2.727	0.1862	0	57104	40982
6	2	0.1862	2.3051	1.9547	0	57104	40982
6	3	3.1045	2.0578	-0.3449	0	57104	40982
7	1	-1.3031	2.727	0.1862	0	57104	40982
7	2	0.2792	2.3718	1.8616	0	57104	40982
7	3	3.1045	2.0578	-0.3449	0	57104	40982
7	4	5.092	15.7302	-1.0184	0	57104	40982
8	1	-1.3031	2.727	0.1862	0	57104	40982
8	2	0.2792	2.3718	1.8616	0	57104	40982
8	3	3.1045	2.0578	-0.3449	0	57104	40982
8	4	5.092	15.7302	-1.0184	0	57104	40982
9	1	-1.3031	2.727	0.1862	0	57104	40982
9	2	0.2792	2.3718	1.8616	0	57104	40982
9	3	3.1045	2.0578	-0.3449	0	57104	40982
9	4	5.092	15.7302	-1.0184	0	57104	40982
10	1	-1.3031	2.727	0.1862	0	57104	40982
10	2	0.2792	2.3718	1.8616	0	57104	40982
10	3	3.1045	2.0578	-0.3449	0	57104	40982
10	4	5.092	15.7302	-1.0184	0	57104	40982
11	1	-1.3031	2.727	0.1862	0	57104	40982
11	2	0.1862	2.3809	1.8616	0	57104	40982
11	3	3.1045	2.0578	-0.3449	0	57104	40982
11	4	3.7342	4.0106	-0.6789	0	57104	40982
11	5	5.092	15.7302	-1.0184	0	57104	40982
12	1	-0.0821	1.0301	2.4639	0	57104	40982
12	2	-0.9856	2.2012	1.1498	0	57104	40982
12	3	-1.3962	2.6724	0.2792	0	57104	40982
12	4	0.1862	2.3809	1.8616	0	57104	40982
12	5	3.1045	2.0578	-0.3449	0	57104	40982
12	6	3.7342	4.0106	-0.6789	0	57104	40982
12	7	5.092	15.7302	-1.0184	0	57104	40982
10	1	-0.2464	0.7718	2.546	0	57104	40982
10	2	-0.9034	2.2361	1.1498	0	57104	40982
10	3	-2.0532	1.7076	-0.0821	0	57104	40982
10	4	-1.3962	2.6724	0.2792	0	57104	40982
10	5	0.1862	2.3809	1.8616	0	57104	40982
10	6	3.1045	2.0578	-0.3449	0	57104	40982
10	7	3.5644	4.1863	-0.5092	0	57104	40982
14	1	-0.2464	0.7718	2.546	0	57104	40982
14	2	-0.9034	2.2361	1.1498	0	57104	40982
14	3	-1.889	1.8824	-0.1643	0	57104	40982
14	4	-1.3962	2.6805	0.1862	0	57104	40982
14	5	0.1862	2.3809	1.8616	0	57104	40982
14	6	3.1045	2.0578	-0.3449	0	57104	40982
14	7	3.5644	4.1621	-0.6789	0	57104	40982
14	8	5.092	15.7302	-1.0184	0	57104	40982
15	1	-0.2464	0.7718	2.546	0	57104	40982
15	2	-1.889	1.8824	-0.1643	0	57104	40982
15	3	-1.3962	2.6805	0.1862	0	57104	40982
15	4	0.1862	2.3809	1.8616	0	57104	40982
15	5	3.1045	2.0578	-0.3449	0	57104	40982
15	6	3.5644	4.1621	-0.6789	0	57104	40982
15	7	5.092	15.7302	-1.0184	0	57104	40982
16	1	-1.3962	2.6805	0.1862	0	57104	40982
16	2	0.1862	2.3809	1.8616	0	57104	40982
16	3	3.1045	2.0578	-0.3449	0	57104	40982
16	4	3.5644	4.1621	-0.6789	0	57104	40982
16	5	5.092	15.7302	-1.0184	0	57104	40982
17	1	-1.3962	2.6805	0.1862	0	57104	40982
17	2	0.1862	2.3051	1.9547	0	57104	40982
17	3	3.1045	2.0578	-0.3449	0	57104	40982
17	4	3.5644	4.1621	-0.6789	0	57104	40982
17	5	5.092	15.7302	-1.0184	0	57104	40982
18	1	-1.3962	2.6853	0.0931	0	57104	40982
18	2	0.1862	2.3051	1.9547	0	57104	40982
18	3	2.9895	2.2364	-0.23	0	57104	40982
18	4	3.5644	4.1621	-0.6789	0	57104	40982
18	5	5.092	15.7302	-1.0184	0	57104	40982
19	1	-1.3962	2.6805	0.1862	0	57104	40982
19	2	0.1862	2.3809	1.8616	0	57104	40982
19	3	2.9895	2.2364	-0.23	0	57104	40982
19	4	3.5644	4.1621	-0.6789	0	57104	40982
19	5	5.092	15.6889	-1.5276	0	57104	40982
20	1	-1.3962	2.6853	0.0931	0	57104	40982
20	2	0.1862	2.3051	1.9547	0	57104	40982
20	3	3.1045	2.0578	-0.3449	0	57104	40982
20	4	3.5644	4.1621	-0.6789	0	57104	40982
20	5	5.092	15.6889	-1.5276	0	57104	40982
21	1	-1.3962	2.6805	0.1862	0	57104	40982
21	2	0.1862	2.3051	1.9547	0	57104	40982
21	3	3.1045	2.0578	-0.3449	0	57104	40982
21	4	3.5644	4.1621	-0.6789	0	57104	40982
21	5	5.092	15.6889	-1.5276	0	57104	40982
22	1	-0.3285	0.7405	2.546	0	57104	40982
22	2	-1.7247	2.0256	-0.2464	0	57104	40982
22	3	-1.3962	2.6805	0.1862	0	57104	40982
22	4	0.1862	2.3809	1.8616	0	57104	40982
22	5	3.1045	2.0578	-0.3449	0	57104	40982
22	6	3.5644	4.1621	-0.6789	0	57104	40982
22	7	5.092	15.6889	-1.5276	0	57104	40982
23	1	-0.3285	0.7405	2.546	0	57104	40982
23	2	-1.889	1.8824	-0.1643	0	57104	40982
23	3	-0.9856	2.2012	1.1498	0	57104	40982
23	4	-1.3962	2.6805	0.1862	0	57104	40982
23	5	0.1862	2.3051	1.9547	0	57104	40982
23	6	3.1045	2.0578	-0.3449	0	57104	40982
23	7	3.5644	4.1621	-0.6789	0	57104	40982
23	8	5.092	15.6889	-1.5276	0	57104	40982
24	1	-0.2464	0.7718	2.546	0	57104	40982
24	2	-0.9856	2.2012	1.1498	0	57104	40982
24	3	-1.889	1.8824	-0.1643	0	57104	40982
24	4	-1.3031	2.727	0.1862	0	57104	40982
24	5	-1.3962	2.6724	0.2792	0	57104	40982
