frame_id	point_id	x	y	z	doppler	snr	noise
2003	1	-0.9856	2.434	-0.4928	0	56976	29922
2003	2	-1.1389	2.5591	-0.5256	0	56976	29922
2003	3	1.451	9.2875	-0.8706	0	56976	29922
2003	4	-2.9895	13.5612	0.4271	0	56976	29922
2003	5	5.9133	14.8677	-0.9856	0	56976	29922
1	1	-1.3141	2.4907	-0.438	0	56976	29922
1	2	-2.7596	2.3517	0.9199	0	56976	29922
1	3	1.451	9.2875	-0.8706	0	56976	29922
1	4	-2.9895	13.5612	0.4271	0	56976	29922
1	5	5.4205	15.0785	-0.4928	0	56976	29922
2	1	-1.3141	2.4907	-0.438	0	56976	29922
2	2	-2.7596	2.3517	0.9199	0	56976	29922
2	3	1.451	9.2875	-0.8706	0	56976	29922
2	4	-2.9895	13.5612	0.4271	0	56976	29922
2	5	5.9133	14.8677	-0.9856	0	56976	29922
3	1	-1.3141	2.4907	-0.438	0	57104	29922
3	2	1.451	9.2875	-0.8706	0	57104	29922
3	3	-2.9895	13.5612	0.4271	0	57104	29922
3	4	5.4205	15.0785	-0.4928	0	57104	29922
4	1	-1.3141	2.4907	-0.438	0	56976	29922
4	2	1.451	9.2875	-0.8706	0	56976	29922
4	3	-2.9895	13.5612	0.4271	0	56976	29922
4	4	5.9133	14.8677	-0.9856	0	56976	29922
4	5	5.4205	15.0785	-0.4928	0	56976	29922
5	1	-1.3141	2.4907	-0.438	0	57104	29922
5	2	1.451	9.2875	-0.8706	0	57104	29922
5	3	-2.9895	13.5612	0.4271	0	57104	29922
5	4	5.9133	14.8677	-0.9856	0	57104	29922
6	1	-1.3141	2.4907	-0.438	0	57104	29922
6	2	1.451	9.2875	-0.8706	0	57104	29922
6	3	-2.9895	13.5612	0.4271	0	57104	29922
6	4	5.9133	14.8677	-0.9856	0	57104	29922
7	1	-1.3141	2.4907	-0.438	0	57104	29922
7	2	1.451	9.2875	-0.8706	0	57104	29922
7	3	-2.9895	13.5612	0.4271	0	57104	29922
7	4	5.9133	14.8677	-0.9856	0	57104	29922
8	1	-1.2265	2.5182	-0.5256	0	57104	29922
8	2	1.451	9.2875	-0.8706	0	57104	29922
8	3	-2.9895	13.5612	0.4271	0	57104	29922
8	4	5.9133	14.8677	-0.9856	0	57104	29922
9	1	-0.9856	2.434	-0.4928	0	57104	29922
9	2	1.451	9.2875	-0.8706	0	57104	29922
9	3	-2.9895	13.5612	0.4271	0	57104	29922
9	4	5.9133	14.8677	-0.9856	0	57104	29922
10	1	-0.9856	2.434	-0.4928	0	57104	29922
10	2	1.451	9.2875	-0.8706	0	57104	29922
10	3	-2.9895	13.5612	0.4271	0	57104	29922
10	4	5.9133	14.8677	-0.9856	0	57104	29922
11	1	-0.9034	2.4478	-0.5749	0	57104	29922
11	2	1.451	9.2875	-0.8706	0	57104	29922
11	3	-2.9895	13.541	0.8541	0	57104	29922
11	4	5.9133	14.8677	-0.9856	0	57104	29922
12	1	-1.0513	2.577	-0.6132	0	57104	29922
12	2	1.451	9.3101	-0.5804	0	57104	29922
12	3	-2.9895	13.5612	0.4271	0	57104	29922
12	4	5.9133	14.8677	-0.9856	0	57104	29922
10	1	-1.0513	2.5963	-0.5256	0	57104	29922
10	2	1.451	9.2875	-0.8706	0	57104	29922
10	3	-2.9895	13.541	0.8541	0	57104	29922
10	4	5.9133	14.8677	-0.9856	0	57104	29922
14	1	-1.1389	2.5755	-0.438	0	57104	29922
14	2	1.451	9.2875	-0.8706	0	57104	29922
14	3	-3.4166	13.4396	0.8541	0	57104	29922
14	4	5.9133	14.8677	-0.9856	0	57104	29922
15	1	-1.0513	2.6125	-0.438	0	57104	29922
15	2	1.1608	9.3507	-0.5804	0	57104	29922
15	3	-3.4166	13.4396	0.8541	0	57104	29922
15	4	5.9133	14.8677	-0.9856	0	57104	29922
16	1	-0.9034	2.4657	-0.4928	0	57104	29922
16	2	1.451	9.2875	-0.8706	0	57104	29922
16	3	-3.4166	13.4396	0.8541	0	57104	29922
16	4	5.9133	14.8677	-0.9856	0	57104	29922
17	1	-1.0513	2.6125	-0.438	0	57104	29922
17	2	1.451	9.2875	-0.8706	0	57104	29922
17	3	-3.4166	13.4396	0.8541	0	57104	29922
17	4	5.4205	15.0785	-0.4928	0	57104	29922
18	1	-1.0513	2.6125	-0.438	0	57104	29922
18	2	1.1608	9.3507	-0.5804	0	57104	29922
18	3	-3.4166	13.4396	0.8541	0	57104	29922
18	4	5.9133	14.8677	-0.9856	0	57104	29922
19	1	-1.0513	2.5963	-0.5256	0	57104	29922
19	2	-2.0806	2.7558	0.876	0	57104	29922
19	3	3.2852	1.3063	-0.438	0	57104	29922
19	4	0.219	2.3949	2.6281	0	57104	29922
19	5	1.451	9.2875	-0.8706	0	57104	29922
19	6	-3.4166	13.4396	0.8541	0	57104	29922
19	7	5.9133	14.8677	-0.9856	0	57104	29922
20	1	-0.9637	2.5889	-0.7008	0	57104	29922
20	2	1.451	9.2875	-0.8706	0	57104	29922
20	3	-2.9895	13.5612	0.4271	0	57104	29922
20	4	-3.4166	13.4396	0.8541	0	57104	29922
20	5	5.9133	14.8677	-0.9856	0	57104	29922
21	1	-0.9034	2.4478	-0.5749	0	57104	29922
21	2	1.451	9.2875	-0.8706	0	57104	29922
21	3	-2.9895	13.5612	0.4271	0	57104	29922
21	4	5.4205	15.0785	-0.4928	0	57104	29922
22	1	-0.9856	2.434	-0.4928	0	57104	29922
22	2	1.451	9.2875	-0.8706	0	57104	29922
22	3	-2.9895	13.5612	0.4271	0	57104	29922
22	4	5.9133	14.8677	-0.9856	0	57104	29922
23	1	-1.1498	2.3765	-0.4106	0	57104	29922
23	2	1.451	9.2875	-0.8706	0	57104	29922
23	3	-2.9895	13.5612	0.4271	0	57104	29922
23	4	5.4205	15.0785	-0.4928	0	57104	29922
24	1	-1.1498	2.3765	-0.4106	0	57104	29922
24	2	1.1608	9.3507	-0.5804	0	57104	29922
24	3	-2.9895	13.5612	0.4271	0	57104	29922
24	4	5.9133	14.8677	-0.9856	0	57104	29922
25	1	-1.2319	2.335	-0.4106	0	57104	29922
25	2	1.1608	9.3507	-0.5804	0	57104	29922
25	3	-2.9895	13.5612	0.4271	0	57104	29922
25	4	5.4205	15.0785	-0.4928	0	57104	29922
26	1	-1.2319	2.335	-0.4106	0	57104	29922
26	2	1.1608	9.3507	-0.5804	0	57104	29922
26	3	-2.9895	13.541	0.8541	0	57104	29922
26	4	5.9133	14.8677	-0.9856	0	57104	29922
27	1	-1.2319	2.335	-0.4106	0	57104	29922
27	2	1.1608	9.3507	-0.5804	0	57104	29922
27	3	-2.9895	13.5612	0.4271	0	57104	29922
27	4	5.4205	15.0785	-0.4928	0	57104	29922
28	1	-1.2319	2.335	-0.4106	0	57104	29922
28	2	1.1608	9.3507	-0.5804	0	57104	29922
28	3	-2.9895	13.5612	0.4271	0	57104	29922
28	4	5.9133	14.8677	-0.9856	0	57104	29922
29	1	-1.2319	2.335	-0.4106	0	57104	29922
29	2	-1.2319	2.348	-0.3285	0	57104	29922
29	3	1.1608	9.3507	-0.5804	0	57104	29922
29	4	-3.4166	13.4396	0.8541	0	57104	29922
29	5	-2.9895	13.541	0.8541	0	57104	29922
29	6	5.4205	15.0785	-0.4928	0	57104	29922
30	1	-1.1498	2.3765	-0.4106	0	57104	29922
30	2	1.1608	9.3507	-0.5804	0	57104	29922
30	3	-2.9895	13.5612	0.4271	0	57104	29922
30	4	5.9133	14.8677	-0.9856	0	57104	29922
31	1	-1.1498	2.3765	-0.4106	0	57104	29922
31	2	1.451	9.2875	-0.8706	0	57104	29922
31	3	1.1608	9.3507	-0.5804	0	57104	29922
31	4	-2.9895	13.5612	0.4271	0	57104	29922
31	5	5.4205	15.0785	-0.4928	0	57104	29922
