frame_id,point_id,x,y,z,doppler,snr,noise
15,1,-0.7008,2.7624,0,0,57104,14507
15,2,-1.9273,1.8173,-1.0513,0,57104,14507
15,3,2.7377,2.1659,-0.5475,0,57104,14507
15,4,-2.6281,2.2795,0.7665,0,57104,14507
15,5,0,9.3687,-1.1608,0,57104,14507
16,1,-0.7008,2.7624,0,0,57104,14507
16,2,-1.9273,1.8173,-1.0513,0,57104,14507
16,3,2.7377,2.1659,-0.5475,0,57104,14507
16,4,-2.6281,2.2795,0.7665,0,57104,14507
16,5,0,9.3687,-1.1608,0,57104,14507
17,1,-0.7008,2.7624,0,0,57104,14507
17,2,-1.9273,1.8173,-1.0513,0,57104,14507
17,3,2.7377,2.1659,-0.5475,0,57104,14507
17,4,-2.6281,2.2795,0.7665,0,57104,14507
17,5,0,9.3687,-1.1608,0,57104,14507
18,1,-0.7008,2.7624,0,0,57104,14507
18,2,-1.9273,1.8173,-1.0513,0,57104,14507
18,3,2.7377,2.1659,-0.5475,0,57104,14507
18,4,-2.6281,2.2795,0.7665,0,57104,14507
18,5,0,9.3687,-1.1608,0,57104,14507
19,1,-0.7008,2.7624,0,0,57104,14507
19,2,-1.9273,1.8173,-1.0513,0,57104,14507
19,3,2.7377,2.1659,-0.5475,0,57104,14507
19,4,-2.7377,2.1044,0.876,0,57104,14507
19,5,0,9.3687,-1.1608,0,57104,14507
20,1,-0.7008,2.7624,0,0,57104,14507
20,2,-1.9273,1.8173,-1.0513,0,57104,14507
20,3,2.7377,2.1659,-0.5475,0,57104,14507
20,4,-2.6281,2.2795,0.7665,0,57104,14507
20,5,0,9.3687,-1.1608,0,57104,14507
21,1,-0.7884,2.7387,0,0,57104,14507
21,2,-1.9273,1.8173,-1.0513,0,57104,14507
21,3,2.7377,2.1659,-0.5475,0,57104,14507
21,4,-2.6281,2.2795,0.7665,0,57104,14507
21,5,0,9.3687,-1.1608,0,57104,14507
22,1,-0.7008,2.7624,0,0,57104,14507
22,2,-1.9273,1.8173,-1.0513,0,57104,14507
22,3,2.7377,2.1659,-0.5475,0,57104,14507
22,4,-2.6281,2.2795,0.7665,0,57104,14507
22,5,0,9.3687,-1.1608,0,57104,14507
23,1,-0.7008,2.761,-0.0876,0,57104,14507
23,2,-1.9273,1.8173,-1.0513,0,57104,14507
23,3,2.7377,2.1659,-0.5475,0,57104,14507
23,4,-2.6281,2.2795,0.7665,0,57104,14507
23,5,0,9.3687,-1.1608,0,57104,14507
24,1,-0.7008,2.761,-0.0876,0,57104,14507
24,2,-1.9273,1.8173,-1.0513,0,57104,14507
24,3,2.7377,2.1659,-0.5475,0,57104,14507
24,4,-2.6281,2.2795,0.7665,0,57104,14507
24,5,0,9.3687,-1.1608,0,57104,14507
25,1,-0.7008,2.761,-0.0876,0,57104,14507
25,2,-1.9273,1.8173,-1.0513,0,57104,14507
25,3,2.7377,2.1659,-0.5475,0,57104,14507
25,4,-2.6281,2.2795,0.7665,0,57104,14507
25,5,0,9.3687,-1.1608,0,57104,14507
26,1,-0.7008,2.761,-0.0876,0,57104,14507
26,2,-1.9273,1.8173,-1.0513,0,57104,14507
26,3,2.7377,2.1659,-0.5475,0,57104,14507
26,4,-2.6281,2.2795,0.7665,0,57104,14507
26,5,0,9.3687,-1.1608,0,57104,14507
27,1,-0.7008,2.761,-0.0876,0,57104,14507
27,2,-1.9273,1.8173,-1.0513,0,57104,14507
27,3,2.7377,2.1659,-0.5475,0,57104,14507
27,4,-2.6281,2.2795,0.7665,0,57104,14507
27,5,0,9.3687,-1.1608,0,57104,14507
28,1,-1.8616,2.2691,-0.7446,0,57104,14507
28,2,-0.9308,2.8573,0.3723,0,57104,14507
28,3,2.7377,2.1659,-0.5475,0,57104,14507
28,4,-2.6281,2.2795,0.7665,0,57104,14507
28,5,0,9.3687,-1.1608,0,57104,14507
29,1,-0.7008,2.761,-0.0876,0,57104,14507
29,2,-1.9273,1.8173,-1.0513,0,57104,14507
29,3,2.7377,2.1659,-0.5475,0,57104,14507
29,4,-2.6281,2.2795,0.7665,0,57104,14507
29,5,0,9.3687,-1.1608,0,57104,14507
30,1,-0.7008,2.761,-0.0876,0,57104,14507
30,2,-1.9273,1.8173,-1.0513,0,57104,14507
30,3,2.7377,2.1659,-0.5475,0,57104,14507
30,4,-2.6281,2.2795,0.7665,0,57104,14507
30,5,0,9.3687,-1.1608,0,57104,14507
31,1,-0.7008,2.761,-0.0876,0,57104,14507
31,2,-1.9273,1.8173,-1.0513,0,57104,14507
31,3,2.7377,2.1659,-0.5475,0,57104,14507
31,4,-2.6281,2.2795,0.7665,0,57104,14507
31,5,0,9.3687,-1.1608,0,57104,14507
32,1,-0.7008,2.7624,0,0,57104,14507
32,2,-1.9273,1.8173,-1.0513,0,57104,14507
32,3,2.7377,2.1659,-0.5475,0,57104,14507
32,4,-2.6281,2.2795,0.7665,0,57104,14507
32,5,0,9.3687,-1.1608,0,57104,14507
33,1,-0.7884,2.7387,0,0,57104,14507
33,2,-1.9273,1.8173,-1.0513,0,57104,14507
33,3,2.7377,2.1659,-0.5475,0,57104,14507
33,4,-2.6281,2.2795,0.7665,0,57104,14507
33,5,0,9.3687,-1.1608,0,57104,14507
