frame_id,point_id,x,y,z,doppler,snr,noise
1,3,1.1394,9.3781,0.5697,0,261,790
1,4,5.4689,9.9477,0.3418,0,184,805
2,3,0.8545,9.3868,0.8545,0,262,789
2,4,5.4689,9.9477,0.3418,0,184,806
2,5,9.9124,2.107,5.1271,0,184,806
3,3,0.8545,9.3868,0.8545,0,264,787
3,4,5.4689,9.9477,0.3418,0,182,808
4,3,0.8545,9.3868,0.8545,0,265,785
4,4,5.4689,9.9477,0.3418,0,186,804
7,3,0.8545,9.3868,0.8545,0,267,784
7,4,5.4689,9.9477,0.3418,0,185,804
8,4,0.8545,9.3868,0.8545,0,266,785
8,5,5.4689,9.9477,0.3418,0,183,807
9,3,1.1394,9.3781,0.5697,0,262,789
9,4,5.4689,9.9477,0.3418,0,186,803
10,3,0.8545,9.3868,0.8545,0,260,791
10,4,5.4689,9.9477,0.3418,0,187,803
11,3,1.136,9.3505,0.568,0,268,782
11,4,0.8545,9.3868,0.8545,0,264,786
11,5,5.4689,9.9477,0.3418,0,182,807
12,3,0.8545,9.3868,0.8545,0,263,788
12,4,5.4689,9.9477,0.3418,0,187,803
10,3,0.8545,9.3868,0.8545,0,261,790
10,4,5.4689,9.9477,0.3418,0,184,806
14,3,1.136,9.3505,0.568,0,267,783
14,4,0.852,9.3592,0.852,0,267,783
14,5,0.8545,9.3868,0.8545,0,265,785
14,6,5.4689,9.9477,0.3418,0,182,808
15,3,1.136,9.3505,0.568,0,267,783
15,4,0.8545,9.3868,0.8545,0,265,785
15,5,5.4689,9.9477,0.3418,0,186,804
16,3,0.8545,9.3868,0.8545,0,264,787
16,4,5.4689,9.9477,0.3418,0,183,807
17,4,0.8545,9.3868,0.8545,0,262,788
17,5,5.4689,9.9477,0.3418,0,187,803
18,3,0.8545,9.3868,0.8545,0,265,785
18,4,5.4689,9.9477,0.3418,0,185,806
19,3,1.136,9.3505,0.568,0,266,782
19,4,0.852,9.3592,0.852,0,266,782
19,5,1.1394,9.3781,0.5697,0,263,787
19,6,5.4689,9.9477,0.3418,0,182,807
20,3,0.8545,9.3868,0.8545,0,265,786
20,4,5.4689,9.9477,0.3418,0,187,803
21,4,0.852,9.3592,0.852,0,270,780
21,5,5.4689,9.9477,0.3418,0,183,805
22,3,1.136,9.3505,0.568,0,270,780
22,4,0.852,9.3592,0.852,0,270,780
