frame_id,point_id,x,y,z,doppler,snr,noise
15,1,-1.0841,3.0157,-0.0986,0,57104,63908
15,2,6.4773,14.8501,-0.4983,0,57104,63908
16,1,-1.0841,3.0109,-0.1971,0,57104,63908
16,2,6.4773,14.8501,-0.4983,0,57104,63908
17,1,-1.0841,3.0109,-0.1971,0,57104,63908
17,2,6.4773,14.8501,-0.4983,0,57104,63908
18,1,-1.0841,3.0109,-0.1971,0,57104,63908
18,2,6.9755,14.5972,-0.9965,0,57104,63908
19,1,-1.0841,3.0109,-0.1971,0,57104,63908
19,2,6.9755,14.5972,-0.9965,0,57104,63908
20,1,-1.0841,3.0109,-0.1971,0,57104,63908
20,2,6.9755,14.5972,-0.9965,0,57104,63908
21,1,-1.0841,3.0157,-0.0986,0,57104,63908
21,2,6.9755,14.5972,-0.9965,0,57104,63908
22,1,-1.0841,3.0109,-0.1971,0,57104,63908
22,2,6.4773,14.8501,-0.4983,0,57104,63908
23,1,-1.0841,3.0109,-0.1971,0,57104,63908
23,2,6.4773,14.8501,-0.4983,0,57104,63908
24,1,-0.9856,3.0446,-0.1971,0,57104,63908
24,2,6.9755,14.5972,-0.9965,0,57104,63908
25,1,-1.0841,3.0109,-0.1971,0,57104,63908
25,2,6.4773,14.8501,-0.4983,0,57104,63908
26,1,-1.0841,3.0109,-0.1971,0,57104,63908
26,2,6.4773,14.8501,-0.4983,0,57104,63908
27,1,-1.0841,3.0157,-0.0986,0,57104,63908
27,2,6.4773,14.8501,-0.4983,0,57104,63908
28,1,-1.0841,3.0157,-0.0986,0,57104,63908
28,2,6.4773,14.8501,-0.4983,0,57104,63908
29,1,-1.0841,3.0157,-0.0986,0,57104,63908
29,2,6.4773,14.8501,-0.4983,0,57104,63908
30,1,-1.0841,3.0157,-0.0986,0,57104,63908
30,2,6.4773,14.8501,-0.4983,0,57104,63908
31,1,-0.9856,3.0446,-0.1971,0,57104,63908
31,2,6.4773,14.8501,-0.4983,0,57104,63908
32,1,-0.9856,3.0446,-0.1971,0,57104,63908
32,2,6.4773,14.8501,-0.4983,0,57104,63908
33,1,-0.9856,3.0446,-0.1971,0,57104,63908
33,2,6.4773,14.8501,-0.4983,0,57104,63908
34,1,-0.9856,3.0446,-0.1971,0,57104,63908
34,2,6.4773,14.8501,-0.4983,0,57104,63908
35,1,-0.9856,3.0446,-0.1971,0,57104,63908
35,2,6.4773,14.8501,-0.4983,0,57104,63908
36,1,-0.9856,3.0446,-0.1971,0,57104,63908
36,2,6.4773,14.8501,-0.4983,0,57104,63908
37,1,-0.9856,3.0446,-0.1971,0,57104,63908
37,2,6.4773,14.8501,-0.4983,0,57104,63908
38,1,-1.1827,2.9784,-0.0986,0,57104,63908
38,2,6.9755,14.5972,-0.9965,0,57104,63908
39,1,-0.0821,0.806,2.546,0,57104,63908
39,2,-1.0841,3.0028,-0.2957,0,57104,63908
39,3,6.9755,14.5972,-0.9965,0,57104,63908
40,1,-0.0821,1.2079,2.3818,0,57104,63908
40,2,-1.1827,2.9654,-0.2957,0,57104,63908
40,3,6.4773,14.8501,-0.4983,0,57104,63908
40,4,-1.1827,2.9654,-0.2957,-0.1495,57104,63908
41,1,-1.1827,2.9735,-0.1971,-0.1495,57104,63908
41,2,6.4773,14.8501,-0.4983,-0.1495,57104,63908
42,1,-0.0821,1.3578,2.2996,0,57104,63908
42,2,-0.887,3.0668,0.2957,-0.1495,57104,63908
42,3,-1.6754,2.5857,-0.887,-0.1495,57104,63908
42,4,7.0522,14.7576,-1.0075,-0.1495,57104,63908
43,1,0,0.9645,2.2996,0,57104,63908
43,2,0,1.2107,2.3818,0,57104,63908
43,3,-1.6754,2.6174,-0.7884,-0.1495,57104,63908
43,4,-0.5913,3.0952,0.5913,-0.1495,57104,63908
