frame_id,point_id,x,y,z,doppler,snr,noise
15,1,-0.7884,2.7331,-0.1752,0,57104,53367
15,2,2.0697,9.3184,-1.1827,0,57104,53367
15,3,8.4703,13.7837,-0.9965,0,57104,53367
15,4,7.1288,14.9527,0,0,57104,53367
16,1,-0.7884,2.7331,-0.1752,0,57104,53367
16,2,2.0697,9.3184,-1.1827,0,57104,53367
16,3,8.4703,13.7837,-0.9965,0,57104,53367
16,4,7.1288,14.9527,0,0,57104,53367
17,1,-0.7884,2.7331,-0.1752,0,57104,53367
17,2,2.0697,9.3184,-1.1827,0,57104,53367
17,3,8.4703,13.7837,-0.9965,0,57104,53367
17,4,7.1288,14.9527,0,0,57104,53367
18,1,-0.7884,2.7331,-0.1752,0,57104,53367
18,2,2.0697,9.3184,-1.1827,0,57104,53367
18,3,8.4703,13.7837,-0.9965,0,57104,53367
18,4,7.1288,14.9527,0,0,57104,53367
19,1,-0.7884,2.7331,-0.1752,0,57104,53367
19,2,2.0697,9.3184,-1.1827,0,57104,53367
19,3,8.4703,13.7837,-0.9965,0,57104,53367
19,4,7.1288,14.9527,0,0,57104,53367
20,1,-0.7884,2.7331,-0.1752,0,57104,53367
20,2,2.0697,9.3184,-1.1827,0,57104,53367
20,3,8.4703,13.7837,-0.9965,0,57104,53367
20,4,7.1288,14.9527,0,0,57104,53367
21,1,-0.876,2.7105,-0.0876,0,57104,53367
21,2,2.0697,9.3184,-1.1827,0,57104,53367
21,3,8.4703,13.7837,-0.9965,0,57104,53367
21,4,7.1288,14.9527,0,0,57104,53367
22,1,-0.876,2.7105,-0.0876,0,57104,53367
22,2,1.774,9.4118,-0.887,0,57104,53367
22,3,8.4703,13.7837,-0.9965,0,57104,53367
22,4,7.1288,14.9527,0,0,57104,53367
23,1,-0.876,2.7105,-0.0876,0,57104,53367
23,2,2.0697,9.3184,-1.1827,0,57104,53367
23,3,8.4703,13.7837,-0.9965,0,57104,53367
23,4,7.1288,14.9527,0,0,57104,53367
24,1,-0.876,2.7105,-0.0876,0,57104,53367
24,2,2.0697,9.3184,-1.1827,0,57104,53367
24,3,8.4703,13.7837,-0.9965,0,57104,53367
24,4,7.1288,14.9527,0,0,57104,53367
25,1,-0.876,2.7105,-0.0876,0,57104,53367
25,2,2.0697,9.3184,-1.1827,0,57104,53367
25,3,8.4703,13.7837,-0.9965,0,57104,53367
25,4,7.1288,14.9527,0,0,57104,53367
26,1,-0.876,2.7105,-0.0876,0,57104,53367
26,2,2.0697,9.3184,-1.1827,0,57104,53367
26,3,8.4703,13.7837,-0.9965,0,57104,53367
26,4,7.1288,14.9527,0,0,57104,53367
27,1,-0.876,2.7105,-0.0876,0,57104,53367
