frame_id,point_id,x,y,z,doppler,snr,noise
1,1,-0.8503,1.4378,0.3189,0,162,697
1,2,0.3922,3.0566,-0.5882,0,120,612
1,3,-0.5388,4.1383,1.0775,0,117,641
1,5,0.679,6.8459,2.2632,0,115,473
2,3,-0.8503,1.425,0.372,0,172,682
2,4,-0.2676,4.1362,1.0702,0,121,641
3,2,-0.8356,1.4004,0.3656,0,158,691
3,3,0,4.1733,1.0775,0,164,623
3,5,0.8979,6.7644,2.2449,0,127,469
4,2,-0.821,1.3882,0.3079,0,159,682
4,3,-0.2657,4.14,0.93,0,152,633
4,5,-0.8384,1.1697,1.062,-0.4511,122,678
5,4,-0.8723,1.3672,0.2566,0,171,684
5,5,-0.1329,4.1972,0.6643,0,183,618
5,7,0.8943,6.9234,1.565,0,134,463
5,8,-0.8246,1.2415,0.9346,-0.4511,143,670
6,2,-0.9071,1.3324,0.0504,0,125,700
6,3,0.2914,2.7795,-1.3597,0,116,613
6,4,-1.3597,2.788,-0.1942,0,116,613
6,5,0.5827,2.9762,0.6799,0,116,613
6,6,-0.3958,4.1849,0.3958,0,146,627
6,9,-0.0403,0.3174,-1.2498,-0.4511,119,648
6,10,-0.919,1.2551,0.7568,-0.4511,155,656
7,2,-0.8906,1.3053,-0.099,0,123,719
7,3,-0.5223,2.7361,0,0,140,652
7,4,-0.3958,4.1953,-0.2639,0,157,616
7,6,0.7917,6.2805,0.1979,0,140,545
7,7,-0.077,0.5149,-1.116,-0.4511,124,650
7,8,-0.9034,1.3591,0.4783,-0.4511,114,685
8,1,-0.077,0.4216,-1.1545,0,149,642
8,2,-0.8256,1.313,-0.0971,-0.4511,117,727
8,3,-0.5241,4.16,0,-0.4511,167,600
8,5,0.788,6.2514,0.197,-0.4511,168,524
8,6,1.1087,7.0049,0.2217,-0.4511,112,479
9,1,-0.1613,0.2764,-1.2498,0.4511,164,595
9,3,0.6185,1.1589,0.1237,-0.4511,132,592
9,4,-0.8741,1.2848,0,-0.4511,177,678
9,5,-0.821,1.2272,0.7184,-0.4511,131,667
9,6,0.1704,2.7161,-0.1704,-0.4511,139,640
9,7,-0.3876,4.1079,0.2584,-0.4511,161,616
9,9,0.5855,6.1407,0.9758,-0.4511,145,538
10,2,0.0861,0.3308,-1.335,0.4511,122,570
10,3,0.3702,2.7886,-0.9254,-0.9022,114,600
10,7,0.6854,1.0742,0.2016,-0.4511,114,611
10,8,-0.7944,1.2239,0.3271,-0.4511,176,665
10,9,-0.2547,3.9687,0.8915,-0.4511,144,631
10,10,0.7147,4.4357,0.8576,-0.4511,119,592
11,1,-0.8063,0.8493,1.1087,0,123,668
11,2,-1.4807,2.5378,0.3702,-0.9022,139,603
11,4,-0.7633,1.1125,0.4939,-0.4511,155,676
11,5,-0.7257,2.3118,0.8869,-0.4511,116,655
11,6,-0.1264,3.7488,1.5173,-0.4511,168,628
11,8,0.8723,6.2141,3.053,-0.4511,122,491
12,3,-0.7321,1.0852,0.4306,-0.4511,153,676
12,4,-0.3738,3.4331,1.9938,-0.4511,125,615
12,5,0.8338,4.2122,3.1685,-0.4511,171,588
10,2,-0.865,2.1187,-2.5949,0,153,569
10,3,1.1069,3.751,2.0753,-0.9022,128,592
10,4,0.8201,4.1427,3.1162,-0.9022,225,544
10,5,-0.8008,0.9602,0.5058,-0.4511,168,669
10,6,0.1228,3.5309,1.7189,-0.4511,125,620
10,7,0.2474,3.5507,1.7317,-0.4511,136,610
14,3,0.6597,0.7686,0.2969,-0.4511,127,593
14,4,-0.766,0.9726,0.3628,-0.4511,176,672
14,5,0,3.6345,1.3304,-0.4511,156,628
14,6,0.678,4.1087,1.2205,-0.4511,126,601
14,7,0.9566,4.8463,1.2754,-0.4511,122,565
15,2,0.7055,0.739,0.0962,-0.4511,172,555
15,3,-0.788,0.9771,0.1182,-0.4511,149,684
15,4,-0.7477,0.9626,0.7037,-0.4511,128,661
15,5,0.8576,3.2938,0.4288,-0.4511,117,588
15,6,0,3.7649,0.5956,-0.4511,172,630
15,7,0.6689,4.175,0.6689,-0.4511,134,609
16,2,-0.8081,0.926,0.077,-0.4511,139,686
16,3,-0.1173,3.7494,0.1173,-0.4511,122,626
16,4,0,4.2139,0.2639,-0.4511,116,617
17,2,-0.7697,0.8842,0.0367,-0.4511,157,671
17,3,-0.7889,0.9063,0.0376,-0.4511,139,689
17,5,0.843,5.3287,0,-0.4511,113,572
18,1,0,0.4387,-1.182,0.4511,147,633
18,2,0.1127,3.5976,0.2254,-0.9022,124,622
18,3,1.2828,3.8972,0.1283,-0.9022,147,622
18,5,0.4975,5.2602,0.4975,-0.9022,120,566
18,6,2.0433,6.1976,0.4087,-0.9022,132,474
18,10,-0.7504,0.8561,0.1072,-0.4511,115,692
19,1,-0.7092,0.6341,0.8274,0,119,651
19,2,0.2217,3.4972,0.5426,-0.9022,162,623
19,3,1.1298,3.8219,0.5021,-0.9022,160,617
19,9,-0.7458,0.776,0.1356,-0.4511,154,678
20,1,-0.7697,0.6665,0.1283,-0.9022,187,634
20,2,0.1081,3.3184,0.9731,-0.9022,168,635
20,3,1.2278,3.5648,1.105,-0.9022,171,637
20,6,-0.7697,0.6719,0.0962,-0.4511,163,658
21,1,-0.6817,0.5674,0.1988,-0.9022,220,543
21,2,0.1045,3.0969,1.2535,-0.9022,141,642
21,3,1.2003,3.4014,1.3203,-0.9022,160,670
21,4,0.6872,0.2381,0.0916,-0.4511,142,533
22,1,0,3.0563,1.1188,-0.9022,161,631
22,2,0.9383,3.3971,1.2901,-0.9022,157,688
22,3,0.7367,3.8573,0.1228,-0.9022,145,603
22,4,0.7422,3.8861,0.1237,-0.9022,147,601
22,6,-0.7669,0.4455,0.1988,-0.4511,191,592
22,7,0.9291,4.4315,-2.013,-0.4511,188,558
23,1,0.7697,3.9993,-2.7708,0,185,528
23,3,0.7037,2.6738,0.5278,-0.9022,122,587
23,4,-0.099,3.0883,0.6927,-0.9022,170,632
23,5,1.0308,3.4702,0.5727,-0.9022,180,675
23,6,1.0472,3.2893,1.3964,-0.9022,185,656
24,1,-0.7972,0.3333,-0.1649,0,131,593
24,2,0.9236,3.6002,-3.2326,0,155,527
24,3,-0.0962,3.0636,0.2886,-0.9022,190,625
24,4,0.9016,3.4755,0.3381,-0.9022,205,683
24,5,1.1069,4.2306,0.6918,-0.9022,152,581
24,6,-0.6909,0.4342,0.2391,-0.4511,163,568
24,7,0.8402,3.4601,-1.4404,-0.4511,134,605
25,1,0.5131,1.5589,-0.0513,-0.9022,123,687
25,2,-0.7184,1.4684,0.1539,-0.9022,123,687
25,3,-0.0944,3.0171,0.0944,-0.9022,140,644
25,4,0.8796,3.405,0.11,-0.9022,210,687
25,7,0.7605,3.2975,-3.4983,-0.4511,140,559
26,1,-0.0403,0.3174,-1.2498,0.4511,238,598
26,4,0.4288,1.4623,0.0476,-0.9022,120,693
26,5,-0.5718,1.4005,-0.1906,-0.9022,120,693
26,6,0,2.9263,0.1833,-0.9022,207,613
26,7,0.8576,3.2938,0.4288,-0.9022,215,685
27,2,-0.088,2.801,0.2639,-0.9022,163,643
27,3,0.9236,3.1497,0.1026,-0.9022,124,706
27,6,0.7669,0.4317,0.2272,-0.4511,140,598
27,7,0.5278,1.2928,5.4536,-0.4511,117,474
28,2,0.1704,2.6347,0.6817,-0.9022,112,651
28,3,0.9236,2.7498,1.5393,-0.9022,208,652
29,1,0.799,2.5187,1.7977,-0.9022,191,661
29,2,-1.4477,4.3624,0.5791,-0.9022,117,585
29,3,-1.193,4.9804,1.8747,-0.9022,127,497
30,1,0.6451,0.6582,0.1759,-0.9022,113,630
30,2,-0.536,0.9448,0.3573,-0.9022,127,698
30,3,-0.5864,0.9473,0.3665,-0.9022,136,689
30,4,0.9346,2.6484,1.0281,-0.9022,120,710
30,5,0.9621,2.3566,1.7317,-0.9022,194,663
30,6,-1.5622,4.2298,0.5681,-0.9022,135,598
30,7,-1.1673,4.6544,2.3346,-0.9022,128,547
30,9,0.6872,0.538,0.11,-0.4511,115,621
31,2,0.4673,0.8784,0.0623,-0.9022,133,626
31,3,-0.81,0.5599,0.1558,-0.9022,133,626
31,4,0.8695,1.8989,0.4682,-0.9022,178,605
31,5,0.9053,1.7043,1.1142,-0.9022,115,655
31,6,1.0281,2.485,1.3084,-0.9022,199,665
31,7,-1.237,3.885,1.6493,-0.9022,131,604
31,8,-0.9841,4.9395,1.4761,-0.9022,152,547
31,9,0,6.5841,1.9297,-0.9022,115,483
31,11,-0.6267,0.9106,0.1393,-0.4511,118,679
31,12,-1.4019,4.2591,0.1402,-0.4511,192,561
32,1,0.4398,0.8267,0.0586,-0.9022,182,626
32,2,0.8979,1.8411,0.1283,-0.9022,240,604
32,3,0.9364,1.7785,0.7358,-0.9022,163,667
32,4,0.8979,2.6071,0.8081,-0.9022,210,667
32,5,-1.4816,3.991,0.6735,-0.9022,121,603
32,6,-1.1288,5.0121,0.4838,-0.9022,121,553
32,7,-0.2126,6.6783,1.2754,-0.9022,140,476
32,9,0.668,0.376,0.1979,-0.4511,175,536
32,10,0.5937,0.4132,-0.3216,-0.4511,175,536
32,11,-1.5219,4.1368,-0.4151,-0.4511,148,583
33,1,0.4123,0.7765,0.0275,-0.9022,242,578
33,2,0.8723,1.7918,-0.0623,-0.9022,278,607
33,3,0.8796,2.5795,0.7037,-0.9022,179,679
33,4,-1.7629,3.8808,-0.8136,-0.9022,156,571
33,5,-1.2754,4.9166,0.4783,-0.9022,185,528
34,1,0.1209,0.4323,-1.2095,0,150,631
34,2,1.3213,1.6346,5.6625,0,116,437
34,3,-0.6377,0.5465,0.1329,-0.9022,256,537
34,4,0.5049,0.6842,0,-0.9022,256,537
34,5,0.8338,1.7096,-0.1191,-0.9022,289,611
34,6,0.9346,1.7063,0.4361,-0.9022,219,685
34,7,0.9373,2.5249,0.4261,-0.9022,157,685
34,8,-1.3286,4.0034,-0.5314,-0.9022,178,569
34,11,-0.4142,6.6005,0.4142,-0.9022,127,493
35,1,0.1209,0.2963,-1.2498,0.4511,129,593
35,4,-0.6157,0.5125,0.1796,-0.9022,280,518
35,5,0.8521,1.6058,0,-0.9022,248,620
35,6,0.9676,1.5382,0.6652,-0.9022,157,713
35,7,0.9896,2.3556,0.6597,-0.9022,120,678
35,8,-1.1545,3.9308,0.2566,-0.9022,147,594
35,12,0.9676,1.5382,0.6652,-0.4511,170,700
36,1,0.8796,1.5146,0.1649,-0.9022,220,641
36,2,-1.1215,3.6945,0.9969,-0.9022,121,617
36,5,1.0555,1.2781,0.8796,-0.4511,140,718
37,1,-1.3707,3.6924,0.6231,-0.9022,130,594
37,2,0.1979,5.944,2.1771,-0.9022,140,468
37,4,-0.5003,0.355,0.4526,-0.4511,139,603
37,5,-0.5956,0.4705,-0.0715,-0.4511,139,603
37,6,0.9923,1.3285,0.2089,-0.4511,226,653
37,7,1.1362,1.0898,0.9089,-0.4511,116,733
38,1,-1.072,3.4151,1.3103,-0.9022,118,619
38,2,0.3922,5.8792,2.1569,-0.9022,127,490
38,3,-0.5195,0.2815,0.1732,-0.4511,222,516
38,4,-0.5956,0.4046,0.1374,-0.4511,160,585
38,5,1.0079,1.2426,0.2016,-0.4511,194,667
39,1,0.7477,1.185,0.1319,-0.9022,130,587
39,2,1.0198,1.1726,0,-0.9022,213,642
39,3,-0.5864,3.5535,1.0555,-0.9022,130,599
39,4,0.3867,5.9243,1.74,-0.9022,118,502
39,5,-0.5039,0.3219,0.2419,-0.4511,209,566
39,6,-0.9126,2.1497,-0.6845,-0.4511,119,667
40,1,0.7834,1.0609,-0.0412,-0.9022,143,563
